"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Associated Products","Gruba Bağlı Ürünler"
"Attrib. Set Name","Özellik Seti Adı"
"Attribute Code","Özellik Kodu"
"Attribute Information","Özellik Bilgisi"
"Attribute Label","Özellik Adı (Görünür)"
"Attribute Model","Özellik Modeli"
"Attribute Name:","Özellik Adı:"
"Attribute Properties","Özellik Ayarları"
"Attribute Set","Özellik Seti"
"Attribute group with the ""/name/"" name already exists","""/name/"" adında bir özellik grubu zaten var"
"Attribute model not defined","Özellik modeli belirlenmedi"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Attributes","Özellikler"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı belirtilmelidir."
"Autogenerate","Otomatik Oluştur"
"Availability","Varlık"
"Availability: In stock.","Stok Durumu : Stokta var"
"Availability: Out of stock.","Stok Durumu : Stokta yok"
"Back","Geri"
"Backend Model","Arka Uç Modeli"
"Backend Table","Arka Uç Tablosu"
"Backend Table Title","Arka Uç Tablo Başlığı"
"Backorders","İadeler"
"Base directory to upload image file is not specified","Resim dosyaları için belirtilmesi gereken resim klasörü belirtilmemiş"
"Based On","Şuna Bağlı"
"Best Value","En İyi Değer"
"Block after Info Column","Bilgi kolonundan sonra Blok"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Browse By","Daralt"
"Buy %1$s for %2$s","%1$s için %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s al, her biri için %2$s öde (Vergi Dahil %3$s)"
"Buy %1$s for %2$s each","%1$s al, her biri için %2$s öde"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki Dropdown (açılır menü) ile kullanılır"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki açılır menülerde, Çoklu Seçimlerde ve Fiyatta kullanılabilir"
"Can't create image.","Resim Oluşturulamıyor."
"Cannot create writeable directory '%s'","Yazdırılabilir klasör oluşturulamadı '%s'"
"Cart Item Attribute","Sepetteki ürün özelliği"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Katalog Giriş Tipi"
"Catalog Price Scope","Katalog Fiyat Havuzu"
"Catalog Section","Katalog Bölümü"
"Catalog, Search","Katalog, Arama"
"Categories","Kategoriler"
"Categories Sitemap","Kategorilerin Site Haritası"
"Category","Kategori"
"Category API","Kategori API si"
"Category Data","Kategori Verisi"
"Category Navigation:","Kategori Gezisi :"
"Category Products","Kategori Ürünleri"
"Category Top Navigation","Kategori Gezinmesi"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri API si"
"Category delete error","Kategori silmede hata"
"Category deleted","Kategori silindi"
"Category move error","Kategori taşıma hatası"
"Category must be instance of Mage_Catalog_Model_Category","Kategori, Mage_Catalog_Model_Category modelinin bir örneği olmalı"
"Category saved","Kategori kaydedildi"
"Change","Değiştir"
"Change or Retrieve attribute store view","Özellik görünümünü Gör/Değiştir"
"Change status","Değiştirme durumu "
"Check items to add to the cart or","Sepete eklenmek üzere ürün seçiniz veya "
"Choose an Option...","Birini seçiniz..."
"Choose option...","Seçiniz..."
"Clear All","Hepsini Temizle"
"Clear All Items","Tümünü Temizle"
"Close Window","Pencereyi Kapat"
"Collapse All","Hepsini Toparla"
"Comparable","Karşılaştırılabilir"
"Comparable on Front-end","Ön sayfada Karşılaştırılabilir"
"Compare Items","Ürünleri Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Compare Products (%d)","Ürünleri Karşılaştır (%d)"
"Compare Products - %d Items","Ürün Karşılaştırma - %d Ürün"
"Compare Products List","Ürün Karşılaştırma Listesi"
"Compare list successfully cleared","Karşılaştırma listesi temizlendi"
"Conditions Combination","Durum Kombinasyonu"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Continue","Devam"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Country/State","Ülke/Şehir"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create Empty","Boş Oluştur"
"Create Product Settings","Ürün Ayarlarını Oluştur"
"Create Simple Associated Product","Basit Ürün Oluştur"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Cross-sells","Çapraz Satış"
"Currently Shopping by","Alışveriş Yapılan "
"Custom Design","Özel Tasarım"
"Custom Options","Özel Seçenekler"
"Customer Group","Müşteri Grubu"
"Customers Reviews","Müşteri Yorumları"
"Customers Tagged Product","Müşteriler tarafından eklenen etiketler"
"Customers for alert %s was successfuly added to queue","%s için alarm kaydeden müşteriler kuyruğa eklendi"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Date","Tarih"
"Date & Time Custom Options","Tarih & Saat Seçenekleri"
"Date Subscribed","Eklendiği Tarih"
"Date fields order","Tarih alanları sıralaması"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Decimal Number","Ondalıklı Sayı"
"Declare attribute value saving scope","Özellik değeri kaydetme havuzunu belirtiniz"
"Default Qty","Varsayılan Adet"
"Default Values","Varsayılan Değerler"
"Default price","Varsayılan fiyat"
"Default value","Varsayılan değer"
"Delete","Sil"
"Delete Attribute","Özelliği Sil"
"Delete Attribute Set","Özellik Setini Sil"
"Delete Category","Kategoriyi Sil"
"Delete Option","Seçeneği Sil"
"Delete Row","Satır Sil"
"Delete Search","Aramayı Sil"
"Delete Selected Group","Seçili Grubu Sil"
"Delete category","Kategori Sil"
"Delete product","Ürün Sil"
"Depends on design theme","Temaya göre değişir"
"Design","Tasarım"
"Disabled","Pasif"
"Display in Suggested Terms","Tavsiye edilen deyimler kısmında göster"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba tıklayınız"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Dropdown","Açılır Menü"
"Duplicate","Çoğalt"
"Duplicate website tier price customer group and quantity.","Müşteri grubu ve adete özel fiyat vermek için çoğalt."
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"Edit","Düzenle"
"Edit Attribute Set '%s'","Özellik setini düzenle '%s'"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Edit Product Attribute ""%s""","Ürün özelliğini düzelt ""%s"""
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Email","E-mail"
"Email to a Friend","Arkadaşına Tavsiye Et"
"Empty","Boş"
"Enabled","Aktif"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Error while adding customers for %s alert. Message: %s","%s alarmı için müşteriler eklenirken hata oluştu. Mesaj : %s"
"Error while saving this group. Group with the same name already exists.","Grup kaydedilirken hata oluştu. Aynı adla bir grup zaten kayıtlı."
"Error while saving this group. Please try again later.","Error while saving this group. Lütfen daha sonra tekrar deneyiniz."
"Exclude","Hariç Tut"
"Expand All","Hepsini Aç"
"Failed","Başarısız"
"Failed to move file: %s","Dosya taşınamadı : %s"
"Feature Products","Özel Ürünler"
"File options format is not valid","Dosya seçenekleri biçimi hatalı"
"File upload failed","Dosya yüklemede hata oluştu"
"Filter model name must be declared","Filtre modeli adı belirtilmelidir"
"Filter must be as object. Set correct filter please","Filtre bir nesne gibi olmalıdır. Lütfen geçerli bir filtre giriniz"
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"Filters must be as array","Filtreler dizi gibi olmalıdır"
"First Name","Adı"
"Fixed","Sabit"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Düz Katalog modülü en fazla %2$d adet filtrelenebilir/sıralanabilir özellik alabilir. Şu an %1$d adet var. Bu modülde kullanılabilecek filtrelenebilir/sıralanabilir özellik sayısını düşürünüz."
"For internal use. Must be unique with no spaces","İç kullanım içindir. Eşsiz olmalı ve boşluk içermemelidir"
"For reindex enabled product(s) you need specify store or product","Etkin ürünleri yeniden indekslemek için mağaza veya ürün seçiniz"
"Frontend","Ön Sayfa"
"Frontend Model","Ön Sayfa Modeli"
"Frontend Properties","Ön Sayfa Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get special price","Özel fiyatı al"
"Global","Genel"
"Globally Editable","Genel olarak Düzenlenebilir"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bir mağaza için özel bir değer belirlemezseniz varsayılan değer uygulanacaktır."
"Image","Resim"
"Image content is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"Image file not found","Resim dosyası bulunamadı"
"Image not exists","Resim yok"
"Image not specified.","Resim seçilmedi."
"Image type and information need to be specified for each store view.","Resim tipi ve bilgisi her mağaza için ayrı belirlenmeli."
"In Stock","Stokta var"
"In stock","Stokta var"
"In stock.","Stokta var."
"Incl. Tax","Vergi Dahil"
"Input Type","Giriş Tipi"
"Input Validation for Store Owner","Mağaza kurucusu için giriş onayı"
"Integer","Sayısal"
"Integer Number","Sayısal"
"Invalid Tier Prices","Hatalı Kanal Fiyatı"
"Invalid attribute %s","Hatalı özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s) için hatalı seçenek değeri, kayıt atlanıyor"
"Invalid attribute set specified, skipping the record","Hatalı özellik seti, kayıt atlanıyor"
"Invalid block: %s","Hatalı blok : %s"
"Invalid category","Hatalı kategori"
"Invalid category IDs","Hatalı kategori numara(ları)"
"Invalid image file type","Hatalı resim dosyası tipi"
"Invalid image type.","Hatalı resim tipi."
"Invalid option id specified for %s (%s), skipping the record","%s (%s) için hatalı seçenek numarası, kayıt atlanıyor"
"Invalid product type specified, skipping the record","Hatalı ürün tipi seçildi, kayıt atlanıyor"
"Invalid store specified","Hatalı mağaza seçimi"
"Invalid store specified, skipping the record","Yanlış mağaza seçildi, kayıt atlanıyor"
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda veya ürün aramalarında gözükmesini istemediğiniz ürünler için istediğiniz mağazada 'Kapalı' seçiniz."
"Label","İsim"
"Last Name","Soyad"
"Last Notification","Son Bildirim"
"Learn More","Daha Fazla Bilgi"
"Length of text is too long","Yazı boyutu çok uzun"
"Letters","Harfler"
"Letters(a-zA-Z) or Numbers(0-9)","Harfler(a-zA-Z) veya Numaralar(0-9)"
"Line %d, Email: %s","Satır %d, Email: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link product not exists.","Bağlantılı ürün bulunamadı."
"List","Liste"
"List Mode","Liste Modu"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","İsim / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliklerin değerleri)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Başlıkları Yönet (Boyut, Renk, vs.)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek derinlik"
"Maximum Image Size","En Yüksek Resim Boyutu"
"Maximum Qty Allowed in Shopping Cart","Bir sipariş için izin verilen en çok adet"
"Maximum image height","En Yüksek Resim Boyu"
"Maximum image width","En Yüksek Resim Eni"
"Maximum number of characters","En fazla karakter"
"Media Image","Resim"
"Minimum Lines Per Page","Sayfa Başı En Az Satır Sayısı"
"Minimum Qty Allowed in Shopping Cart","Bir Sipariş İçin İzin Verilen En Az Adet"
"Minimum Qty for Item's Status to be Out of Stock","Ürünün stokta yok gözükmesi için gerekli adet"
"Missing SKU, skipping the record","Ürün kodu yok, kayıt atlanıyor"
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Multiple Select","Çoklu Seçme"
"Name","Adı"
"Name In %s","%s içindeki Adı"
"Name<br/>(For internal use)","Adı <br/>(Sadece yönetimde gözükür)"
"New Category","Yeni Kategori"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Yapısal güncelleme yok"
"No options of this product are available.","Bu ürün için seçenekler yok."
"No product collections found","Ürün koleksiyonu bulunamadı"
"None","Yok"
"Not shared with other products","Diğer ürünlerle paylaşılmaz, 1 değer sadece 1 üründe kullanılabilir"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Notify for Quantity Below","Düşük Ürün Adedi Uyarısı"
"Nowhere","Hiçbir Yerde"
"Number of Uses","Kullanım Sayısı"
"Number of results<br/>(For last time placed)","Sonuç sayısı<br/>(Son sefer için)"
"OR","VEYA"
"Old Price:","Eski fiyat :"
"Option validation failed to add product to cart","Ürün sepete eklenirken Seçenek Doğrulaması yapılamadı"
"Option:","Seçenek:"
"Options Control","Seçenek Kontrolü"
"Options is required","Seçenek gerekli"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Müşteri destek sistemimize ulaşmak için iletişim sayfamıza bakınız."
"Out of Stock","Stokta Yok"
"Out of stock","Stokta yok"
"Out of stock.","Stokta Yok."
"PM","ÖS"
"Page Title Separator","Sayfa Başlık Ayracı"
"Page:","Sayfa :"
"Parent Category","Üst Kategori"
"Pending","Beklemede"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Percentage","Yüzde"
"Please add rows to option.","Seçeneğe satır ekle."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Lütfen dikkatli olunuz. Bu satıra bir kere tıkladığınızda seçili dosyadan veriler yüklenecek, kaydedilmemiş verileriniz kaybolacaktır."
"Please click on Close Window button if it won't be closed automatically","Eğer pencere otomatik kapanmazsa Pencereyi Kapat butonuna basınız"
"Please enter a new group name","Yeni bir Grup Adı giriniz"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Lütfen ""Katalog Adres Yeniden Yazımı"" ve ""Katmanlı Gezinme İndisleri"" ni yenilemek için Sistem -> <a href=""%s"">Önbellek Yönetimi</a> bölümüne giriniz"
"Please select  items","Lütfen ürün seçiniz"
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please select product(s)","Lütfen ürün(leri) seçiniz "
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please select static block ...","Lütfen sabit bloku seçiniz ..."
"Please set up merge date/time .","Lütfen birleştirme tarihini belirleyiniz."
"Please specify date required option(s)","Lütfen, Tarih verisi giriniz"
"Please specify the product option(s)","Lütfen ürün seçeneklerini seçiniz"
"Please specify the product required option(s)","Lütfen gerekli olan ürün seçeneklerini seçiniz"
"Please specify the product(s) quantity","Lütfen ürün adedini belirtiniz"
"Please specify time required option(s)","Lütfen, Saat verisi giriniz"
"Please, use four-digit year format","Lütfen 4 haneli yıl değeri giriniz"
"Position","Konum"
"Position In Layered Navigation","Katmanlı Gezinme Menüsündeki Yeri"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Yeri"
"Prev","Önceki"
"Previous","Önceki"
"Price","Fiyat"
"Price Type","Fiyat Tipi"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin ücretlendirilmesi sistemde kullanılan varsayılan para birimi ile yapılmalıdır."
"Price:","Fiyat :"
"Print This Page","Bu sayfayı Yazdır"
"Problem saving the collection, aborting. Error: %s","Koleksiyon kaydedilirken hata oluştu, işlem iptal edildi. Hata : %s"
"Product","Ürün"
"Product %s successfully added to compare list","%s karşılaştırma listesine eklendi"
"Product %s successfully removed from compare list","%s Karşılaştırma listesinden silindi"
"Product API","Ürün API si"
"Product Alerts","Ürün Alarmları"
"Product Attribute","Ürün Özelliği"
"Product Attributes","Ürün Özellikleri"
"Product Categories","Ürün Kategorileri"
"Product Description","Ürün Açıklaması"
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Product Images","Ürün Resimleri"
"Product Images API","Ürün Resimleri API si"
"Product In Websites","Web Sitelerindeki Ürün"
"Product Info Column","Ürün bilgisi kolonu"
"Product Information","Ürün Bilgisi"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Tags","Ürün Etiketleri"
"Product Tier Price API","Ürün kanal fiyatı API si"
"Product Type","Ürün Tipi"
"Product URL Suffix","Ürün Adresi Öneki"
"Product attribute sets API","Ürün özellik setleri API si"
"Product attribute was successfully deleted","Ürün özelliği silindi"
"Product attribute was successfully saved","Ürün özelliği kaydedildi"
"Product attributes API","Ürün özellikleri API si"
"Product collection expected","Ürün koleksiyonu bekleniyor"
"Product deleted","Ürün Silindi"
"Product duplicated","Ürün çoğaltıldı"
"Product has required options","Ürün için seçenekleri seçmelisiniz"
"Product links API (related, cross sells, up sells)","Ürün Bağlantıları API si (ilişkili, çapraz satış, üst satış)"
"Product listing sort by","Ürün listesi sıralama şekli"
"Product saving error.","Ürün kaydetmede hata oluştu."
"Product saving error. ","Ürün kaydedilirken hata oluştu. "
"Product types API","Ürün Tipleri API si"
"Product was successfully created.","Ürün oluşturuldu."
"Product was successfully saved.","Ürün kaydedildi."
"Product with this combination of attributes already associated to configurable.","Bu ürün aynı kombinasyonla Ayarlanabilir Ürün olarak zaten var."
"Products","Ürünler"
"Products Information","Ürün Bilgisi"
"Products Reviews","Ürün Yorumları"
"Products Sitemap","Ürünlerin site haritası"
"Products only","Sadece ürünler"
"Products per Page on Grid default value","Izgara tipinde Sayfa Başı Ürün Sayısı varsayılan değer"
"Products per Page on List allowed values","Liste Görünümünde sayfa başı ürün sayısı değerleri"
"Products per Page on List default value","Liste tipinde Sayfa Başı Ürün Sayısı varsayılan değer"
"Products per page on Grid allowed values","Izgara Görünümünde sayfa başı ürün sayısı değerleri"
"Properties","Özellikler"
"Qty","Adet"
"Qty Uses Decimals","Adet kısmında ondalık sayı kullan"
"Qty for Item's Status to become Out of Stock","Ürünün Stokta Yok gözükmesi için gerekli adet"
"Quick Create","Hızlı Oluştur"
"Quick Overview","Hızlı Gözat"
"Quick simple product creation","Hızlı basit ürün oluşturma"
"Records for ""","Kayıtlar """
"Redirect","Yönlendir"
"Redirect URL","Yönlendirileceği Adres"
"Regular Price:","Normal Fiyat :"
"Related Products","İlişkili Ürünler"
"Remove","Sil"
"Remove Product","Ürün Sil"
"Remove Product From Websites","Ürünü Web Sitelerinden Sil"
"Remove This Item","Bu kaydı sil"
"Remove product assignment","Ürün atamasını kaldır"
"Remove product image","Ürün resmini sil"
"Remove product link","Ürün bağlantısını sil"
"Required","Gerekli"
"Reset","Sıfırla"
"Results","Sonuçlar"
"Retrieve attribute data","Özellik verisi al"
"Retrieve attribute list","Özellik listesi al"
"Retrieve attribute options","Özellik seçeneklerini al"
"Retrieve categories tree","Kategori ağacını al"
"Retrieve category attributes","Kategori özelliklerini al"
"Retrieve category data","Kategori verisini al"
"Retrieve hierarchical tree","Hiyerarşik ağacı al"
"Retrieve linked products","Bağlantılı ürünleri al"
"Retrieve list of assigned products","Atanmış ürünlerin listesini al"
"Retrieve one level of categories by website/store view/parent category","Kategorilerin bir seviyesini, web sitesine/mağaza görünümüne/üst kategoriye göre al"
"Retrieve product","Ürün bilgisi oku"
"Retrieve product attribute sets","Ürün özellik setlerini al"
"Retrieve product image","Ürün resmini al"
"Retrieve product image list","Ürün resim listesini al"
"Retrieve product image types","Ürün resim tiplerini al"
"Retrieve product link type attributes","Ürün bağlantı tipi özelliklerini al"
"Retrieve product link types","Ürün bağlantı tipilerini al"
"Retrieve product tier prices","Ürün kanal fiyatlarını al"
"Retrieve product types","Ürün tiplerini al"
"Retrieve products data","Ürün verisini al"
"Retrieve products list by filters","Ürün listesini filtreleyerek al"
"Review successfully deleted","Yorum silindi"
"Review was saved successfully","Yorum kaydedildi"
"Review was successfully saved","Yorum kaydedildi"
"Reviews","Yorumlar"
"Roll Over for preview","Önizleme için üstüne gidin"
"Root","Ana Dizin"
"SKU","Ürün Kodu"
"Save","Kaydet"
"Save And Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Save Attribute","Özelliği Kaydet"
"Save Attribute Set","Özellik Setini Kaydet"
"Save Category","Kategoriyi Kaydet"
"Save Search","Aramayı Kaydet"
"Saved ","Kaydedildi "
"Scope","Havuz"
"Search","Arama"
"Search Engine Optimizations","Arama Motoru Optimizasyonları"
"Search Information","Arama Bilgisi"
"Search Query","Arama Sorgusu"
"Search Term was successfully saved","Arama (cümlesi) kaydedildi"
"Search Term with such search query already exist.","Eşleşen sorguya bağlı aynı adda arama kelimesi zaten var."
"Search was successfully deleted","Arama silindi"
"Searchable","Aranabilir"
"Select Configurable Attributes ","Ayarlanabilir Ürün Özelliklerini Seç "
"Select type of option","Seçenek tipi seçiniz"
"Select type options required values rows.","Seçenek tipi için gerekli değerleri seçiniz."
"Selected Product Types","Seçili Ürün Tipleri"
"Selected configuration is not available.","Seçtiğiniz ayar seti bulunamadı."
"Send Count","Sayımı Gönder"
"Set Ascending Direction","Küçükten Büyüğe Sıralamayı Ayarla"
"Set Descending Direction","Büyükten Küçüğe Sıralamayı Ayarla"
"Set Name","İsmi Ayarla"
"Set Root Category For Store","Mağaza için En Üst Kategoriyi seçiniz"
"Set root category for this store in the <a href=""%s"">configuration</a>","Mağaza için En Üst Kategoriyi seçmek için <a href=""%s"">BURAYA</a> tıklayınız"
"Set special price","Özel fiyat belirle"
"Set/Get current store view","Mevcut mağaza görünümünü Göster/Düzenle"
"Settings","Ayarlar"
"Shop by","Hedef Daralt"
"Shopping Options","Alışveriş Seçenekleri"
"Show","Göster"
"Show Details","Detayları Göster"
"Show Tags","Etiketleri Göster"
"Simple Product","Basit Ürün"
"Site Map","Site Haritası"
"Sitemap","SiteHaritası"
"Skip import row, is not valid value ""%s"" for field ""%s""","Satırı almayı atla, ""%s"" geçerli bir değer değil. ( Alan : ""%s"")"
"Skip import row, required field ""%s"" for new customer not defined","Satırı almayı atla, yeni müşteri için doldurulması zorunlu bir alan olan ""%s"" boş"
"Skip import row, required field ""%s"" for new products not defined","Satırı almayı atla, yeni ürün için doldurulması zorunlu bir alan olan ""%s"" boş"
"Skip import row, required field ""%s"" not defined","Satırı almayı atla, doldurulması zorunlu bir alan olan ""%s"" boş"
"Skip import row, store ""%s"" field not exists","Satırı almayı atla, mağaza ""%s"" alanı bulunamıyor"
"Sort Order","Sıralama"
"Sort by","Sıralama Alanı"
"Source Model","Kaynak Modeli"
"Special Price:","Özel Fiyat:"
"Starting at:","Başlama :"
"Static","Sabit"
"Static block and products","Sabit blok ve ürünler"
"Static block only","Sadece sabit blok"
"Status","Durum"
"Stock Availability","Stok Durumu"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Stretch","Esnek"
"Subscribe to Feed","Veri Akışına Abone Ol"
"Subscribe to RSS Feed","RSS Veri Akışına Abone Ol"
"Super product attributes configuration","Süper ürün özellikleri ayarı"
"Synonym For","Eşanlamlısı"
"Synonym for","Eşanlamlısı"
"System","Sistem"
"System Properties","Sistem Özellikleri"
"Tag Name","Etiket Adı"
"Tax","Vergi"
"Text","Yazı"
"Text Area","Yazı Alanı"
"Text Field","Yazı Kutusu"
"There are no %s available.","Hiç %s yok."
"There are no customers for this alert","Bu alarma bağlı müşteri yok"
"There are no products matching the selection.","Seçiminizle eşleşen ürün yok."
"There was an error while adding products to websites","Web sitelerine ürün eklenirken hata oluştu"
"There was an error while cleared compare list","Karşılaştırma listesi silinirken hata oluştu"
"There was an error while removing products from websites","Web sitelerinden ürün silinirken hata oluştu"
"There was an error while updating product(s) attributes","Ürün özellikleri güncellenirken hata oluştu"
"There was an error while updating product(s) status","Ürünlerin durumları güncellenirken hata oluştu"
"This attribute no longer exists","Özellik bulunamıyor"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Bu gruptaki bazı özellikler bazı ayarlanabilir ürünlerde kullanıldı. Bu özellikleri başka gruba kaydırarak tekrar deneyiniz."
"This group contains system attributes. Please move system attributes to another group and try again.","Bu grup bazı sistem özelliklerini içeriyor. Bu sistem özelliklerini başka gruba kaydırıp tekrar deneyiniz."
"This is a required option","Bu seçenek zorunludur"
"This search no longer exists","Bu arama artık bulunamıyor"
