"Abandoned carts","Terk edilen sepetler"
"Results","Sonuçlar"
"Revenue","Kazanç"
"Review","Yorum"
"Reviews","Yorumlar"
"Reviews for %s","%s için Yorumlar"
"Sales","Satışlar"
"Sales Report","Satış Raporu"
"Search Terms","Arama Kelimeleri"
"Shipping","Kargo"
"Shopping Cart","Alışveriş Sepeti"
"Show for Current","Seçili olan için Göster"
"Stock Qty","Stoktaki Adet"
"Submitted In","Eklendiği Yer"
"Submitted On","Eklendiği Tarih"
"Subtotal","Ara Toplam"
"Tag","Etiket"
"Tag ""%s"" details","""%s"" etiket detayı"
"Tag Detail","Etiket Detayı"
"Tag Name","Etiket Adı"
"Tag use","Etiket Kullanımı"
"Tags submited by %s","%s tarafından eklenen etiketler"
"Tags submitted to %s","%s için eklenen etiketler"
"Tax","Vergi"
"Tax Amount","Vergi Toplamı"
"Title","Başlık"
"Total","Toplam"
"Total Invoiced","Toplam Faturalandırılan"
"Total Invoiced Captured","Toplam Faturalandırılan ve Tahsil Edilen"
"Total Invoiced not Captured","Toplam Faturalandırılan ama Tahsil Edilmeyen"
"Total Refunded","Toplam İade Edilen"
"Total Shipping","Toplam Kargo"
"Total Tags","Etiket Toplamı"
"Total invoiced","Toplam faturalanan"
"Total refunded","Toplam İade Edilen Ücret"
"Updated at","Güncellendiği tarih"
"Visible In","Göründüğü Yer"
"Wishlist Report","Takip Listesi Raporu"
"Wishlist vs. Regular Order","Takip Listesi ve Normal Sipariş"
"Wishlists","Takip Listeleri"
"Year","Yıl"
"Your Recently Compared","En son karşılaştırdıklarınız"
"Your Recently Viewed","En son gördükleriniz"
