"%s already exist","%s zaten var"
"%s already exists","%s zaten var"
"-- Please Select --","-- Lütfen Seçiniz --"
"Create Store","Mağaza Oluştur"
"Create Store View","Mağaza Görünümü Oluştur"
"Create Website","Web Sitesi Oluştur"
"Current package name","Paket adı"
"Custom Design","Özel Tasarım"
"Custom admin URL","Özel Yönetim Sayfası Adresi"
"Custom email 1","Özel e-mail 1"
"Custom email 2","Özel e-mail 2"
"Customer support","Müşteri Destek"
"Date From","Başlama Tarihi"
"Date To","Bitiş Tarihi"
"Date/time format ""%s"" is not supported.","Tarih/Saat biçimi ""%s"" desteklenmiyor."
"Debug","Hata Ayıklama"
"Default","Varsayılan"
"Default Description","Varsayılan Açıklama"
"Default Keywords","Varsayılan Kelimeler"
"Default Pages","Varsayılan Sayfalar"
"Default Robots","Varsayılan Robot Ayarları"
"Default Store","Varsayılan Mağaza"
"Default Store View","Varsayılan Mağaza Görünümü"
"Default Title","Varsayılan Başlık"
"Default country","Varsayılan Ülke"
"Default no-route url","Varsayılan Dosya Bulunamadı sayfası"
"Default web url","Varsayılan Web Adresi"
"Delete","Sil"
"Delete Store","Mağazayı Sil"
"Delete Store View","Mağaza Görünümünü Sil"
"Delete Website","Web Sitesini Sil"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s silmek %1$s ile bağlı bilgileri silmez (örnek kategoriler, ürünler, vs.), fakat %1$s geri alınamaz. Bu yüzden %1$s silmeden önce veritabanının bir yedeğini almanız tavsiye edilir."
"Design","Tasarım"
"Design Change","Tasarım Değiştir"
"Developer","Programcı"
"Developer Client Restrictions","Programcı İstemcisi Kısıtlamaları"
"Disable email communications","E-mail iletişimini kapat"
"Disable modules output","Modül çıkışını kapat"
"Duplicate Of Template Code","Tema Kodunu Çoğalt"
"Edit Design Change","Tasarım Değişimini Düzenle"
"Edit Store","Mağazayı Düzenle"
"Edit Store View","Mağaza Görünümünü Düzenle"
"Edit Website","Web Sitesini Düzenle"
"Empty identifier field name","Kimlik alan adını boş"
"Empty main table name","Ana tablo adı boş"
"Enabled","Aktif"
"Enabled for Admin","Yönetim için açık"
"Enabled for Frontend","Ön Sayfa için açık"
"Error in file: ""%s"" - %s","Dosyada Hata : ""%s"" - %s"
"Error while saving. Please try again later.","Kaydederken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error: Passwords do not match","Hata: Şifreler Eşleşmiyor"
"Exceptions Log File Name","Hata Günlüğü Dosya Adı"
"First Day of Week","Haftanın İlk Günü"
"Footer","Alt Kısım"
"Forgot Password Email Sender","Şifremi Unuttum Mail Göndericisi"
"Forgot Password Email Template","Şifremi Unuttum Mail Teması"
"General","Genel"
"General Settings","Genel Ayarlar"
"General contact","Genel İletişim"
"Global","Genel"
"HTML Head","HTML Başlığı"
"Header","Başlık Kısmı"
"Host","Sunucu"
"Id path for specified store","Seçili mağaza için kimlik yolu"
"Incorrect credit card expiration date","Hatalı kredi kartı son kullanma tarihi"
"Invalid base url type","Hatalı ana adres tipi"
"Invalid block name to set child %s: %s","Alt kayıt için hatalı blok adı %s: %s"
"Invalid block type: %s","Hatalı blok tipi : %s"
"Invalid block: %s","Hatalı blok : %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Hatalı yapı güncelleme verisi, Mage_Core_Model_Layout_Element bekleniyordu"
"Invalid layout update handle","Hatalı yapı güncelleme tutamacı"
"Invalid messages storage ""%s"" for layout messages initialization","""%s"" Yapı mesajları başlangıcı için hatalı mesaj deposu "
"Invalid transactional email code: ","Hatalı hareket e-mail kodu : "
"Invalid websites configuration path: %s","Web siteleri için ayar dizininde hata : %s"
"Layout","Yapı"
"Layouts","Yapılar"
"Leave empty for access from any location","Heryerden erişime izin vermek için boş bırakınız"
"Locale","Yerelleştirme"
"Locale options","Yerelleştirme Seçenekleri"
"Log Settings","Günlük Ayarları"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Mage::log()'dan günlükleme yapılıyor. Dosyanın yeri : {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Mage::logException()'dan günlükleme yapılıyor. Dosyanın yeri : {{base_dir}}/var/log"
"Logo Image Alt","Logo Dosyası Alt Açıklaması"
"Logo Image Src","Logo Dosyası"
"Manage Stores","Mağazaları Yönet"
"Match expressions in the same order as displayed in the configuration.","İfadeleri ayarlarda gösterildiği sırayla eşleştir."
"Miscellaneous HTML","Çeşitli HTML"
"Miscellaneous scripts","Çeşitli scripts"
"Model class does not exist: %s","Model sınıfı bulunamıyor : %s"
"Model collection resource name is not defined","Model koleksiyonu kaynak adı girilmedi"
"Module ""%1$s"" can not be depended from ""%2$s"""," ""%1$s"" adlı modül ""%2$s"" ile bağlı olamaz"
"Module ""%1$s"" requires module ""%2$s""","""%1$s"" modülü ""%2$s"" modülüne ihtiyaç duyuyor"
"Name","Adı"
"New Design Change","Yeni Tasarım Değişimi"
"New Store","Yeni Mağaza"
"New Store View","Yeni Mağaza Görünümü"
"New Website","Yeni Web Sitesi"
"No","Hayır"
"Package","Paket"
"Please choose to register or to checkout as a guest","Lütfen Üye Olun veya Konuk Olarak Alışverişi Tamamlama seçeneğinden devam edin"
"Please define flag code.","Lütfen bayrak kodunu giriniz."
"Please enter 6 or more characters.","Lütfen 6 veya daha fazla karakter giriniz."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Lütfen en az 6 karakter giriniz. Baştaki ve sondaki boşluklar görmezden gelinecektir."
"Please enter a number greater than 0 in this field.","Lütfen bu alana 0 dan büyük bir rakam giriniz."
"Please enter a valid $ amount. For example $100.00.","Lütfen geçerli bir miktar giriniz. Örnek $100.00 "
"Please enter a valid URL. For example http://www.example.com or www.example.com","Lütfen geçerli bir web adresi giriniz. Örnek:  http://www.orneksite.com veya www.orneksite.com"
"Please enter a valid URL. http:// is required","Lütfen geçerli bir web adresi giriniz. http:// gereklidir"
"Please enter a valid credit card number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Please enter a valid email address. For example johndoe@domain.com.","Lütfen geçerli bir e-mail adresi girini. Örnek: johndoe@domain.com."
"Please enter a valid number in this field.","Lütfen bu alana geçerli bir numara giriniz."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir telefon numarası giriniz. Örnek: (123) 456-7890 veya 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Lütfen geçerli bir sosyal güvenlik numarası giriniz. Örnek 123-45-6789."
"Please enter a valid zip code.","Lütfen geçerli bir posta kodu giriniz."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek: 90602 veya 90602-1234."
"Please enter valid password.","Lütfen geçerli bir şifre giriniz."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Lütfen adresin '/' (slaş, bölü) ile bittiğinden emin olunuz, örnek: http://www.domain.com/magento/"
"Please make sure your passwords match.","Lütfen iki şifrenizin aynı olduğundan emin olunuz."
"Please select State/Province.","Lütfen geçerli bir Şehir giriniz."
"Please select an option.","Lütfen bir seçenek seçiniz."
"Please select one of the above options.","Lütfen yukarıdaki seçeneklerden birini seçiniz."
"Please select one of the options.","Lütfen seçeneklerden birini seçiniz."
"Please specify payment method.","Lütfen tahsilat yöntemini seçiniz."
"Please specify shipping method.","Lütfen teslimat yöntemini seçiniz."
"Please use letters only (a-z or A-Z) in this field.","Lütfen bu alanda sadece harf (a-z veya A-Z) kullanınız."
"Please use letters only (a-z) in this field.","Lütfen bu alanda sadece harf (a-z) kullanınız."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Lütfen bu alanda sedece rakam kullanınız. Rakam dışında hiç bir karakter kullanmayınız."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Lütfen bu alanda sadece harf (a-z) ve rakam (0-9) kullanınız. Boşluk veya diğer karakterleri kullanmayınız."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Lütfen bu alanda sadece harf (a-z), rakam (0-9), boşluk ve # kullanınız."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Lütfen bu alanda sadece harf (a-z), rakam (0-9), altçizgi (_) ve diyez (#) kullanınız. İlk karakter kesinlikle harf olmalıdır."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Lütfen bu tarih biçimini kullanınız : gg/aa/yyyy. Örnek: 17 Mart 2008 için 17/03/2008 girmelisiniz."
"Please wait, loading...","Lütfen bekleyiniz, yükleniyor..."
"Polls","Anketler"
"Port (25)","Port(25)"
"Profiler","Profil Gösterici"
"Prototype Deprecation Log","Prototype Uyumsuzluk Günlüğü"
"Request path for specified store","Seçili mağaza için dizin"
"Requested invalid store ""%s""","Hatalı mağaza isteği ""%s"""
"Resource is not set","Kaynak ayarlanmadı"
"Root Category","Ana Kategori"
"SMTP settings (Windows server only)","SMTP ayarları (Windows sunucular için gereklidir)"
"Sales representative","Satış görevlisi"
"Save","Kaydet"
"Save Store","Mağazayı Kaydet"
"Save Store View","Mağaza Görünümünü Kaydet"
"Save Website","Web Sitesini Kaydet"
"Search Engines Optimization","SEO - Arama Motoru Optimizasyonu"
"Secure","Güvenli"
"Security","Güvenlik"
"Select Date","Tarih Seç"
"Sender email","Gönderici E-Mail Adresi"
"Sender name","Gönderici Adı"
"Services","Hizmetler"
"Session Cookie management","Oturum Çerez Yönetimi"
"Session Lifetime, Seconds","Oturum Süresi, Saniye"
"Session Validation Settings","Oturum Onaylama Ayarları"
"Set as default","Varsayılan olarak ayarla"
"Skin (Images / CSS)","Tema (Resimler / CSS)"
"Sort order","Sıralama"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Girdiğiniz tarih/saat ""%1$s"", ""%2$s"" biçimine uymuyor."
"Specify either category or product, or both.","Ürün, kategori veya ikisini birden seçebilirsiniz."
"Start date can't be greater than end date","Başlama tarihi bitiş tarihinden sonra olamaz"
"Startup page","Başlangıç Sayfası"
"Status","Durum"
"Store","Mağaza"
"Store Email Addresses","Mağaza E-Mail Adresleri"
"Store Information","Mağaza Bilgisi"
"Store Name","Mağaza Adı"
"Store View","Mağaza Görünümü"
"Store View Information","Mağaza Görünümü Bilgisi"
"Store View Name","Mağaza Görünüm Adı"
"Store View was successfully saved","Mağaza Görünümü kaydedildi"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Mağaza Kodunda sadece harf (a-z), numara (0-9) ve altçizgi (_) kullanılmalı, İlk karakter harf olmalıdır"
"Store doesn't exist","Mağaza bulunamıyor"
"Store view doesn't exist","Mağaza görünümü bulunamıyor"
"Store view was successfully deleted.","Mağaza görünümü silindi."
"Store was successfully deleted.","Mağaza silindi."
"Store was successfully saved","Mağaza kaydedildi"
"Store with the same code","Aynı kodla bir mağaza zaten kayıtlı"
"System","Sistem"
"System Log File Name","System Günlük Dosyası Adı"
"Template Path Hints","Tema Dizini İpuçları"
"Templates","Temalar"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Girdiğiniz %s hatalı. ""http://domain.com/"" biçiminde olduğundan emin olunuz."
"Themes","Temalar"
"This category and all its child elements","Bu kategori ve tüm alt elemanları"
"This category and its child categories only","Bu kategori ve alt kategorileri"
"This category and its products only","Bu kategori ve ürünleri"
"This category only","Sadece kategori"
"This is a required field.","Bu alan doldurulması zorunlu bir alandır."
"This store cannot be deleted","Bu mağaza silinemiyor"
"This store cannot be deleted.","Bu mağaza silinemiyor."
"This store view cannot be deleted","Bu mağaza görünümü silinemiyor"
"This store view cannot be deleted.","Bu mağaza görünümü silinemiyor."
"This website cannot be deleted","Bu web sitesi silinemiyor"
"This website cannot be deleted.","Bu web sitesi silinemiyor."
"This will be displayed just before body closing tag","Bu kutuya girdiğiniz kodlar/yazılar sitede BODY kapatma etiketinin hemen öncesine koyulur"
"This will be included before head closing tag in page HTML","Bu kutuya girdiğiniz kodlar/yazılar sitede HEAD kapatma etiketinin hemen öncesine koyulur"
"Timezone","Zaman Dilimi"
"Title Prefix","Başlık Öneki"
"Title Suffix","Başlık Soneki"
"Translate Inline","Site İçinde Çeviri"
"Translate cache should be disabled for both Frontend and Admin inline translations","Ön Sayfa ve Yönetim için Çeviri önbelleği kapatılmalıdır."
"Translations","Çeviriler"
"Unable to delete store view. Please, try again later.","Mağaza görünümü silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete store. Please, try again later.","Mağaza silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete website. Please, try again later.","Web sitesi silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to proceed. Please, try again","Yapılamadı. Lütfen daha sonra tekrar deneyiniz"
"Unknown scope ""%s""","Bilinmeyen havuz ""%s"""
"Unsecure","Güvensiz"
"Url Options","Adres Seçenekleri"
"Use HTTP Only","Sadece HTTP Kullan"
"Use Secure URLs in Admin","Yönetim Sayfasında Güvenli Adresler kullan"
"Use Secure URLs in Frontend","Ön Sayfada Güvenli Adresler kullan"
"Use Web Server Rewrites","Web Sunucusu Adres Yeniden Yazımını (URL Rewrite) Kullan"
"Use custom admin URL","Özel Yönetim Adresi Kullan"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT bilgisini Doğrula"
"Validate HTTP_VIA","HTTP_VIA bilgisini Doğrula"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR bilgisini Doğrula"
"Validate REMOTE_ADDR","REMOTE_ADDR bilgisini Doğrula"
"Values less than 60 are ignored.","60'dan küçük değerler gözardı edilecektir."
"Web","Web"
"Website","Web sitesi"
"Website Information","Web sitesi Bilgisi"
"Website Name","Web sitesi Adı"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Web sitesi kodunda sadece harfler(a-z), rakamlar(0-9) ve altçizgi(_) kullanabilirsiniz, ilk karakter harf olmalıdır."
"Website doesn't exist","Web sitesi bulunamıyor"
"Website was successfully deleted.","Web sitesi silindi."
"Website was successfully saved","Web sitesi kaydedildi"
"Website with the same code","Aynı Kodla Web sitesi "
"Weekend Days","Haftasonu Günleri"
"Welcome Text","Karşılama Yazısı"
"Wrong number of arguments for %s","%s için yanlış sayıda parametre var"
"Yes","Evet"
"Your order can not be completed at this time as there is no payment methods available for it.","Şu an sitemizde herhangi bir ödeme yöntemi tanımlanmadığı için siparişiniz tamamlanamıyor."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Siparişiniz şu an tamamlanamıyor. Çünkü siparişinizi teslim etmeye uygun bir teslimat seçeneği ayarlanmadı. Bu sizin teslimat adresinizle ilgili de olabilir. Eğer öyle olduğunu düşünüyorsanız adresinizde gerekli değişiklikleri yapıp tekrar deneyiniz."
"Your session has been expired, you will be relogged in now.","Oturumunuz sonlandırıldı, tekrar giriş yapmalısınız."
"Search","Ara"
"Go","Git"
"Search entire store here...","Bütün mağazada arama yapabilirsiniz..."
"Compare Products","Ürünleri Karşılaştır"
"Back to Main Product Info","Ürün Bilgisi Sayfasına Dön"
"You have no items to compare.","Karşılaştırılacak bir ürününüz yok."
"Clear All","Tout effacer"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
