"%s already exist","%s už existujú"
"%s already exists","%s už existuje"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kód obchodu môže obsahovať iba písmená (a-z), číslice (0-9) alebo podtrhovník (_), prvý znak musí byť písmeno"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kód stránky môže obsahovať iba písmená (a-z), číslice (0-9) alebo podtrhovník (_), prvý znak musí byť písmeno"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"This category only","Len táto kategória"
"located in {{base_dir}}/var/log","located in {{base_dir}}/var/log"
"Locale","Lokalita"
"Locale options","Lokálne možnosti"
"Media files directory","Media files directory"
"Current package name","Meno aktuálneho balíka"
"Sender name","Meno odosielateľa"
"Model collection resource name is not defined","Meno zdroja zbierky modelov nie je definované"
"Countries options","Možnosti krajín"
"Set as default","Nastaviť ako predvolené"
"Template Path Hints","Nápovedy pre cesty šablón"
"Name","Názov"
"Store Name","Názov obchodu"
"Empty identifier field name","Názov prázdneho identifikačného poľa"
"Empty main table name","Názov prázdnej hlavnej tabuľky"
"Website Name","Názov stránky"
"Store View Name","Názov zobrazenia obchodu"
"Leave empty for access from any location","Nechať prázdne pre prístup z akéhokoľvek miesta"
"Cannot Delete Email Template","Nemožno vymazať šablónu e-mailu"
"Can't retrieve request object","Nemožno získať objekt požiadavky"
"Invalid websites configuration path: %s","Neplatná cesta konfigurácie stránky: %s"
"Invalid block name to set child %s: %s","Neplatné meno bloku na určenie potomka %s: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Neplatný argument aktualizácie schémy, očakával sa Mage_Core_Model_Layout_Element"
"Invalid block: %s","Neplatný blok: %s"
"Invalid layout update handle","Neplatný manipulátor aktualizácie schémy"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid base url type","Neplatný typ základnéj URL"
"Wrong number of arguments for %s","Nesprávne číslo argumentov pre %s"
"Unsecure","Nezabezpečené"
"Unable to proceed. Please, try again","Nie je možné pokračovať. Skúste prosím znovu."
"New Website","Nová stránka"
"New Design Change","Nová zmena vzhľadu"
"New Store View","Nové zobrazenie obchodu"
"New Store","Nový obchod"
"Store","Obchod"
"Store was successfully saved","Obchod bol úspešne uložený"
"Store was successfully deleted.","Obchod bol úspešne vymazaný."
"Store with the same code","Obchod s rovnakým kódom"
"Sales representative","Obchodný zástupca"
"Developer Client Restrictions","Obmedzenia vývojárskeho klienta"
"Forgot Password Email Sender","Odosielateľ e-mailu zabudnutého hesla"
"Debug","Odstrániť chyby"
"Search Engines Optimization","Optimalizácia pre vyhľadávače"
"Controller file was loaded but class does not exist","Ovládací súbor bol načítaný, ale trieda neexistuje"
"Advanced","Pokročilé"
"Port (25)","Port (25)"
"Sort order","Postup triedenia"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Používajte prosím tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17. marec 2006."
"Use Web Server Rewrites","Použiť web server rewrites"
"Use Secure URLs in Admin","Použiť zabezpečené URL v administrácii"
"Use Secure URLs in Frontend","Použiť zabezpečené URL v obchode"
"Enabled","Povolené"
"Allowed IPs (comma separated)","Povolené IP adresy (oddelené čiarkou)"
"Enabled for Frontend","Povolené v obchode"
"Enabled for Admin","Povolené v ovládacom paneli"
"Allow countries","Povoliť krajiny"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Pre toto pole používajte prosím iba číslice. Vyhnite sa medzerám alebo iným znakom ako bodkám či čiarkam."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Pre toto pole používajte prosím iba písmená (a-z) alebo číslice (0-9). Medzery či iné znaky nie sú povolené."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Pre toto pole používajte prosím iba písmená (a-z), číslice (0-9) alebo podtrhovník (_), prvý znak musí byť písmeno."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Pre toto pole používajte prosím iba písmená (a-z), číslice (0-9), medzery alebo #."
"Please use letters only (a-z) in this field.","Pre toto pole používajte prosím iba písmená (a-z)."
"Before modifying the website code please make sure that it is not used in index.php","Pred zmenou kódu stránky sa prosím uistite, že nie je použitý v index.php"
"Before modifying the store view code please make sure that it is not used in index.php","Pred zmenou kódu zobrazenia obchodu sa prosím uistite, že nie je použitý v index.php"
"Default country","Predvolená krajina"
"Default no-route url","Predvolené bezcestné URL"
"Default Pages","Predvolené strany"
"Default Store View","Predvolené zobrazenie obchodu"
"Default","Predvolený"
"Default Store","Predvolený obchod"
"Translations","Preklady"
"Profiler","Profilovač"
"Remove This Item","Remove This Item"
"Layout","Schéma"
"Search","Search"
"Session files directory","Session files directory"
"Skin directory","Skin directory"
"Services","Služby"
"SMTP settings (Windows server only)","SMTP nastavenia (iba pre Windows server)"
"Back","Späť"
"Manage Stores","Sprava obchodov"
"Session Cookie management","Správa relácií cookie"
"Start date can't be greater than end date","Start date can't be greater than end date"
"Status","Stav"
"Are you sure?","Ste si istý?"
"Store not exists","Store not exists"
"Store View not exists","Store View not exists"
"Store View was successfully deleted.","Store View was successfully deleted."
"Stores","Stores"
"Website","Stránka"
"Website was successfully saved","Stránka bola úspešne uložená"
"Website was successfully deleted.","Stránka bola úspešne vymazaná."
"Website with the same code","Stránka s rovnakým kódom"
"Submit","Submit"
"System","Systém"
"Target path for specified store","Target path for specified store"
"Themes","Témy"
"Telephone","Telephone"
"This category and its child categories","This category and its child categories"
"This category and its products","This category and its products"
"This Store cannot be deleted","This Store cannot be deleted"
"This Store cannot be deleted.","This Store cannot be deleted."
"This Store View cannot be deleted","This Store View cannot be deleted"
"This Store View cannot be deleted.","This Store View cannot be deleted."
"This Website cannot be deleted","This Website cannot be deleted"
"This Website cannot be deleted.","This Website cannot be deleted."
"This is a required field.","Toto pole je povinné."
"Model class does not exist: %s","Trieda modelu neexistuje: %s"
"Please make sure your passwords match.","Uistite sa prosím, že sa heslá zhodujú."
"Save","Uložiť"
"Save Store","Uložiť obchod"
"Save Website","Uložiť stránku"
"Save Store View","Uložiť zobrazenie obchodu"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Unable to delete Store View. Please, try again later.","Unable to delete Store View. Please, try again later."
"Unable to delete Store. Please, try again later.","Unable to delete Store. Please, try again later."
"Unable to delete Website. Please, try again later.","Unable to delete Website. Please, try again later."
"Unknown scope ""%s""","Unknown scope ""%s"""
"Edit Store","Upraviť obchod"
"Edit Website","Upraviť stránku"
"Edit Design Change","Upraviť zmenu vzhľadu"
"Edit Store View","Upraviť zobrazenie obchodu"
"Url Options","Url Options"
"Default web url","URL predvolenej stránky"
"Your session has been expired, you will be relogged in now.","Vaša session vypršala, teraz budete znovu prihlásený."
"Var (temporary files) directory","Var (temporary files) directory"
"General","Všeobecné"
"General Settings","Všeobecné nastavenia"
"General contact","Všeobecný kontakt"
"Disable modules output","Výstupy modulov"
"Developer","Vývojár"
"Custom email 1","Vlastný e-mail 1"
"Custom email 2","Vlastný e-mail 2"
"Custom Design","Vlastný vzhľad"
"Please select State/Province.","Vyberte prosím štát/provinciu."
"Please select one of the above options.","Vyberte prosím jednu z horeuvedených možností."
"Please select one of the options.","Vyberte prosím jednu z možností."
"Please select an option.","Vyberte prosím niektorú možnosť."
"Create Store","Vytvoriť obchod"
"Create Website","Vytvoriť stránku"
"Create Store View","Vytvoriť zobrazenie obchodu"
"Design","Vzhľad"
"Skin (Images / CSS)","Vzhľad (obrázky/CSS)"
"Website not exists","Website not exists"
"Web","Webstránka"
"You have no items to compare.","You have no items to compare."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your order # is: %s","Your order # is: %s"
"Your order has been received","Your order has been received"
"Please enter 6 or more characters.","Zadajte prosím 6 a viac znakov."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Zadajte prosím 6 a viac znakov. Počiatočné a koncové medzery budú ignorované."
"Please enter a valid credit card number.","Zadajte prosím platné číslo kreditnej karty."
"Please enter a valid social security number. For example 123-45-6789.","Zadajte prosím platné číslo sociálneho poistenia, napríklad 123-45-6789"
"Please enter valid password.","Zadajte prosím platné heslo."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ, na príklad 90602."
"Please enter a valid zip code.","Zadajte prosím platné PSČ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte prosím platné telefónne číslo, napríklad +421 903 123456."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Zadajte prosím platné URL, napríklad http://www.vzor.com alebo www.vzor.com"
"Please enter a valid URL. http:// is required","Zadajte prosím platné URL, vyžaduje sa http://"
"Please enter a valid email address. For example johndoe@domain.com.","Zadajte prosím platnú e-mailovú adresu. Napríklad lojzo@gmail.com."
"Please enter a valid $ amount. For example $100.00.","Zadajte prosím platnú sumu, napríklad $100.00."
"Please enter a valid date.","Zadajte prosím platný dátum."
"Customer support","Zákaznícka podpora"
"Base URL","Základné URL"
"Base JavaScript URL","Základné URL pre JavaScript"
"Base Media URL","Základné URL pre médiá"
"Base Link URL","Základné URL pre odkazy"
"Base Skin URL","Základné URL pre vzhľad"
"Resource is not set","Zdroj nie je nastavený"
"Delete","Zmazať"
"Delete Store","Zmazať obchod"
"Delete Website","Zmazať stránku"
"Delete Store View","Zmazať zobrazenie obchodu"
"Design Change","Zmena vzhľadu"
"Disable email communications","Znemožniť e-mailovú komunikáciu"
"Store View was successfully saved","Zobrazenie obchodu bolo úspešne uložené"
"Cancel","Zrušiť"
