"# of Use","# počet použití"
"Qty Uses Decimals","Množstvo používa desetinné čísla"
"You may also be interested in the following product(s)","Možno Vás budú zaujímať nasledovné produkty"
"Option:","Možnosť:"
"Shopping Options","Možnosti nákupu"
"Attribute Properties","Možnosti vlastnosti"
"Backend Model","Model Backend-u"
"Frontend Model","Model Frontend-u"
"Attribute Model","Model vlastnosti"
"Attribute model not defined","Model vlastnosti nie je definovaný"
"Go to Home Page","Na hlavnú stránku"
"In Stock","Na sklade"
"In stock","Na sklade"
"per page","na stránku"
"Attribute Label","Nadpis vlastnosti"
"Parent Category","Nadradená kategória"
"Best Value","Najlepšej hodnoty"
"Shop by","Nakupovať podľa"
"Name:","Name:"
"Are you sure you want to delete this category?","Naozaj chcete zmazať túto kategóriu?"
"ex. http://domain.com","napríklad: http://domain.com"
"Settings","Nastavenia"
"Configurable Product Settings","Nastavenie konfigurovateľného produktu"
"Options Control","Nastavenie možností"
"Set Root Category For Store","Nastaviť hlavnú kategóriu pre obchod"
"Set Name","Nastaviť názov"
"Set Ascending Direction","Nastaviť vzostupne"
"Set Descending Direction","Nastaviť zostupne"
"Stretch","Natiahnúť"
"Category Navigation:","Navigácia kategórie:"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Náš zákaznícky servis je dostupný 24 hodín 7 dnív týždni. zavolajte nám na (800) DEMO-NUMBER."
"Name","Názov"
"Tag Name","Názov štítka"
"A name is required","Názov je povinný"
"Filter model name must be declared","Názov modelu filtra musí byť zadaný"
"Product Name","Názov produktu"
"Attrib. Set Name","Názov sady vlastností"
"Backend Table Title","Názov tabuľky Backend-u"
"Attribute Name:","Názov vlastnosti:"
"Disabled","Neaktívne"
"No product collections found","Neboli nájdené žiadne kolekcie produktov"
"You cannot update this attribute","Nemôžete aktualizovať danú vlastnosť"
"You cannot remove system attribute from this set.","Nemôžete odstrániť systémovú vlastnosť z tejto sady."
"You cannot edit this attribute","Nemôžete upraviť danú vlastnosť"
"You cannot delete this attribute","Nemôžete zmazať danú vlastnosť"
"Invalid category IDs","Neplatné ID kategórií"
"Invalid block: %s","Neplatný blok: %s"
"Invalid image file type","Neplatný typ súboru obrázka"
"Unassigned Attributes","Nepriradené vlastnosti"
"Pending","Neschválené"
"Pending Reviews RSS","Neschválené recenzie RSS"
"You have no items to compare.","Nevybrali ste položky pre porovanie."
"Unknown attribute: %s","Neznáma vlastnosť: %s"
"No","Nie"
"Unable to complete request. Please try again later.","Nie je možné dokončiť požiadavku. Prosím skúste neskôr."
"Unable to get product id.","Nie je možné zistiť ID produktu."
"Out of stock","Nie je na sklade"
"Out of Stock","Nie je na sklade"
"Out of stock.","Nie je na sklade."
"Not shared with other products","Nie je zdieľaný s inými produktami"
"Nowhere","Nikde"
"Notify Low Stock RSS","Notifikácie o nízkom stave na sklade cez RSS"
"Notify for Quantity Below","Notifikácie pri doleuvedenom množstve"
"New Category","Nová kategória"
"New Product Attribute","Nová vlastnosť produktu"
"New Products","Nové produkty"
"New Search","Nové vyhľadávanie"
"New Set Name","Nový názov sady"
"New Product","Nový produkt"
"Store","Obchod"
"Scope","Oblasť"
"Image","Obrázok"
"Media Image","Obrázok (média)"
"Image not exists","Obrázok neexistuje"
"Page Title Separator","Oddelovač nadpisov stránok"
"Remove","Odstrániť"
"Remove Product","Odstrániť produkt"
"Remove Product From Websites","Odstrániť produkty z webstránky"
"Remove This Item","Odstrániť túto položku"
"Clear All Items","Odstrániť všetky položky."
"unselect all","odznačiť všetky"
"Action","Operácia"
"Search Engine Optimizations","Optimalizácia pre vyhľadávače"
"Option","Option"
"Options","Options"
"Label","Označenie"
"select all","označiť všetky"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
"Letters(a-zA-Z) or Numbers(0-9)","Písmena (a-zA-Z) alebo číslice (0-9)"
"Letters","Písmená"
"Old Price:","Pôvodná cena:"
"Pending Reviews","Pending Reviews"
"Percentage","Percentuálne"
"Please add one or more options","Please add one or more options"
"Please click on Close Window button if it won't be closed automatically","Please click on Close Window button if it won't be closed automatically"
"Number of Uses","Počet použití"
"Number of results<br/>(For last time placed)","Počet výsledkov<br/>(Pre naposledy umiestnené)"
"Conditions Combination","Podmienky kombinácie"
"If you do not specify an option value for a store then the default value will be used.","Pokiaľ nešpecifikujete žiadnu hodnotu pre obchod, bude použitá predvolená hodnota."
"Continue","Pokračovať"
"Items %s to %s of %s total","Položiek %s do %s z celkového počtu %s"
"%s Item(s)","Položiek: %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, ktoré nechcete zobrazovať v katalógu alebo vyhľadávání, musia mať v danom obchode stav 'Neaktívne'."
"Product Description","Popis produktu"
"Sort Order","Poradie zoradenia"
"Compare Items","Porovnať položky"
"Compare Products","Porovnať produkty"
"Compare Products - %d Items","Porovnanie produktov - %d položiek"
"Comparable","Porovnateľný"
"Comparable on Front-end","Porovnateľný na Frontend-e"
"Send Count","Poslať počet"
"Email to a Friend","Poslať známemu"
"Last Notification","Posledná notofikácia"
"Use in advanced search","Použíť pri rozšírenom vyhľadávaní"
"Use in quick search","Použíť v rýchlom vyhľadávaní"
"Use categories path for product URLs","Použiť cestu kategórií pre URL produktu"
"Apply To","Použiť na"
"Apply To Configurable/Grouped Product","Použiť na nastaviteľný/zlúčený produkt"
"Use Config Settings","Použiť nastavenia konfigurácie"
"Use To Create Configurable Product","Použiť pre vytvorenie konfigurovateľného produktu"
"Use Default Value","Použiť predvolenú hodnotu"
"Use In Layered Navigation","Použiť vo vrstvách navigácie"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Použiť vo vrstvách navigácie<br/>(môže byť použité iba s katalógovým typom Dropdown - 'Rozbalovacie menu')"
"Required","Povinné"
"Position","Pozícia"
"Position of attribute in layered navigation block","Pozícia vlastnosti v oblasti vrstvenej navigácie"
"Position In Layered Navigation","Pozícia vo vrstvenej navigácii"
"Empty","Prázdne"
"Image type and information need to be specified for each store view.","Pre každý pohľad obchodu je potrebné špecifikovať typ obrázku a informácie."
"Roll Over for preview","Pre náhľad prejdite kurzorom"
"Double click on a group to rename it","Pre premenovanie skupiny použite dvojklik"
"There are no customers for this alert","Pre toto upozornenie neexistujú žiadni zákazníci"
"Browse By","Prechádzať podľa"
"Previous","Predchádzajúci"
"Prev","Predchádzajúci"
"Default price","Predvolená cena"
"Default value","Predvolená hodnota"
"Watermark Default Size","Predvolená veľkosť vodoznaku"
"Default Values","Predvolené hodnoty"
"Default Qty","Predvolené množ."
"Redirect","Presmerovanie"
"Redirect URL","Presmerovanie URL"
"There was an error while updating product(s) attributes","Pri aktualizácii vlastností produktu sa vyskytla chyba"
"There was an error while removing products from websites","Pri odstraňovaní produktov z webstránok sa vyskytla chyba"
"There was an error while adding products to websites","Pri pridávaní produktov na webstránky sa vyskytla chyba"
"Prices","Prices"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať do porovnávania"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Add to My Wishlist","Pridať do Zoznamu prianí"
"Add Option","Pridať možnosť"
"Add New Images","Pridať nové obrázky"
"Add New Set","Pridať novú sadu"
"Add New Attribute Set","Pridať novú sadu vlastností"
"Add New Group","Pridať novú skupinu"
"Add New Attribute","Pridať novú vlastnosť"
"Add New","Pridať nový"
"Add New Search Term","Pridať nový výraz pre vyhľadávanie"
"Add Items to Cart","Pridať položky do košíka"
"Add Product","Pridať produkt"
"Add Product To Websites","Pridať produkt do webstránky"
"Add Group","Pridať skupinu"
"Add Attribute","Pridať vlastnosť"
"Add Tier","Pridať vrstvu"
"Add Design Change","Pridať zmenu vzhľadu"
"Last Name","Priezvisko"
"Subscribe to RSS Feed","Prihlásiť sa k odberu RSS"
"Problem saving the collection, aborting. Error: %s","Problém pri ukladaní kolekcie, prerušené. Chyba: %s"
"Product %s successfully removed from compare list","Product %s bol úspešne odstránený zo zoznamu porovnávaných produktov"
"Product Attribute Sets","Product Attribute Sets"
"Product Attribute Specs","Product Attribute Specs"
"Product Attributes","Product Attributes"
"Product Options","Product Options"
"Product URL Suffix (cache refresh needed)","Product URL Suffix (cache refresh needed)"
"Product %s successfully added to compare list","Produkt %s bol úspešne pridaný do zoznamu porovnávaných produktov"
"Product was successfully saved.","Produkt bol úspešne uložený."
"Product was successfully created.","Produkt bol úspešne vytvorený."
"Product In Websites","Produkt na webstránkach"
"Product with this combination of attributes already associated to configurable.","Produkt s rovnakou kombináciou vlastností už je asociovaný s konfigurovateľnými."
"Product duplicated","Produkt zkopírovaný"
"Product deleted","Produkt zmazaný"
"Products per Page on Grid default value","Produktov na stránku ak je predvoleným zobrazení Tabuľka"
"Products per Page on List default value","Produktov na stránku ak je predvoleným zobrazení Zoznam"
"Products","Produkty"
"Category Products","Produkty kategórie"
"Quick Create","Rýchle vytvorenie"
"Quick simple product creation","Rýchle vytvorenie jednoduchého produktu"
"Reviews","Recenzie"
"Review was successfully saved","Recenzie boli úspešne uložené"
"Review was saved successfully","Recenzie boli úspešne uložené"
"Review successfully deleted","Recenzie boli úspešne zmazané"
"Products Reviews","Recenzie produktov"
"Product Reviews","Recenzie produktu"
"Customers Reviews","Recenzie zákazníkov"
"Recipient:","Recipient:"
"Remove Email","Remove Email"
"Reviews and Ratings","Reviews and Ratings"
"Line %d, Email: %s","Riadok %d, E-mail: %s"
"Line %d, SKU: %s","Riadok %d, Kód: %s"
"Dropdown","Rozbaľovacie menu"
"Catalog Price Scope","Rozsah katalógovej ceny"
"Attribute Set","Sada vlastností"
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"save %s%%","save %s%%"
"Saved ","Saved "
"Image file not found","Súbor s obrázkom nebol nájdený"
"Inventory","Súpis"
"Cross-sells","Súvisiace"
"Related Products","Súvisiace produkty"
"Associated Products","Súvisiace produkty"
"Approved","Schválený"
"See all %s","See all %s"
"Select Configurable Attributes ","Select Configurable Attributes "
"Send email","Send email"
"Sender:","Sender:"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Stock Availability","Skladová dostupnosť"
"Copy From Configurable","Skopírovať z konfigurovateľného"
"Customer Group","Skupina zákazníkov"
"Groups","Skupiny"
"Back","Späť"
"Backorders","Spätné objednávky"
"Special Price","Special Price"
"Manage Categories","Správa kategórií"
"Manage Catalog Categories","Správa kategórií katalógu"
"Manage Options (values of your attribute)","Správa možností (hodnoty pre vlastnosti)"
"Manage Titles (Size, Color, etc.)","Správa nadpisov (veľkosť, farba, atď.)"
"Manage Label / Options","Správa Označení / Možností"
"Url Rewrite Management","Správa prepisu URL"
"Manage Products","Správa produktov"
"Manage Product Sets","Správa sád produktov"
"Manage Attribute Sets","Správa sád vlastností"
"Manage Attributes","Správa vlastností"
"Manage Product Attributes","Správa vlastností produktu"
"Static","Statický"
"Static block and products","Statický blok a produkty"
"Status","Stav"
"Are you sure you would like to remove this item from the compare products?","Ste si istý, že chcete odstrániť túto položku z porovnávania produktov?"
"Are you sure you would like to remove all item from compare products?","Ste si istý, že chcete odstrániť všetky položky z porovnávania produktov?"
"Are you sure?","Ste si istý?"
"Page:","Stránka:"
"Subscribe to Feed","Subscribe to Feed"
"Synonym for","Synonymá pre"
"Synonym For","Synonymá pre"
"System","Systém"
"Backend Table","Tabuľka Backend-u"
"Grid","Tabuľku"
"This group contains system attributes. Please move system attributes to another group and try again.","Táto skupina obsahuje systémové vlastnosti. Presuňte prosím systémové vlastnosti do inej skupiny a skúste znova."
"No options of this product are available.","Tento produkt nemá žiadne dostupné voľby."
"Text","Text"
"Text Area","Textové pole"
"Text Field","Textové pole"
"The information in this tab has been changed.","The information in this tab has been changed."
"There is %d product(s) that will be not updated for selected store","There is %d product(s) that will be not updated for selected store"
"This bundle is out of stock.","This bundle is out of stock."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Type","Typ"
"Product Type","Typ"
"Data Type for Saving in Database","Typ údajov pre uloženie do databázy"
"Custom Design","Užívateľský vzhľad"
"Save","Uložiť"
"Save And Continue Edit","Uložiť a pokračovať v úpravách"
"Save Category","Uložiť kategóriu"
"Save Attribute Set","Uložiť sadu vlastností"
"Save Attribute","Uložiť vlastnosť"
"Save Search","Uložiť vyhľadávanie"
"Watermark Position","Umiestnenie vodoznaku"
"Unique Value","Unikátna hodnota"
"Unique Value (not shared with other products)","Unikátna hodnota (nie je zdieľaná s inými produktami)"
"Product Alerts","Upozornenia produktu"
"Edit","Upraviť"
"Edit Attribute Set '%s'","Upraviť sadu vlastností '%s'"
"Edit Product Attribute","Upraviť vlastnosť produktu"
"Edit Search","Upraviť vyhľadávanie"
"Edit Search '%s'","Upraviť vyhľadávanie '%s'"
"Url","URL"
"Varchar","Varchar pole"
"ALL GROUPS","VŠETKY SKUPINY"
"General Information","Všeobecné informácie"
"All","Všetky"
"All Product Types","Všetky typy produktu"
"There are no products matching the selection.","Výberu nezodpovedá žiadna položka."
"Results","Výsledky"
"More Views","Viac pohľadov"
"Multiple Select","Viacnásobný výber"
"Visible","Viditeľné"
"Visible on Catalog Pages on Front-end","Viditeľné na stránkach katalógu na Frontend-e"
"Visibility","Viditeľnosť"
"View Details","View Details"
"Unable to find an attribute to delete","Vlastnosť nebola nájdená"
"Cart Item Attribute","Vlastnosť položky košíka"
"Product Attribute","Vlastnosť produktu"
"Product attribute was successfully saved","Vlastnosť produktu bola úspešne uložená"
"Product attribute was successfully deleted","Vlastnosť produktu bola úspešne zmazaná"
"Attribute with the same code already exists","Vlastnosť s rovnakým kódom už existuje."
"Properties","Vlastnosti"
"Attributes","Vlastnosti"
"Frontend Properties","Vlastnosti Frontend-u"
"System Properties","Vlastnosti systému"
"Options is required","Voľba je povinná"
"Watermark","Vodoznak"
"Product Image Watermarks","Vodoznaky produktového obrázku"
"Input Validation for Store Owner","Vstupné overenie pre majiteľa obchodu"
"Catalog Input Type for Store Owner","Vstupný typ katalógu pre vlastníka obchodu"
"Choose option...","Vyberte možnosť..."
"Choose an Option...","Vyberte možnosť..."
"Please select one or more attributes.","Vyberte prosím jednu alebo viac vlastností."
"Please select product(s)","Vyberte prosím produkt(y)"
"Please select products for attributes update","Vyberte prosím produkty pre aktualizáciu vlastností"
"Please select static block ...","Vyberte prosím statický blok..."
"Selected Product Types","Vybrané typy produktu"
"Searchable","Vyhľadateľný"
"Search","Vyhľadávanie"
"Search was successfully deleted","Vyhľadávanie bolo úspešne zmazané"
"Exclude","Vylúčiť"
"Reset","Vynulovať"
"Print This Page","Vytlačiť stránku"
"Create Simple Associated Product","Vytvoriť jednoduchý súvisiaci produkt"
"Create Product Settings","Vytvoriť nastavenia produktu"
"Create Empty","Vytvoriť prázdny"
"Design","Vzhľad"
"Website","Webstránka"
"Websites","Webstránky"
"Starting at:","Začína o:"
"Please enter a new group name","Zadajte prosím názov novej skupiny"
"Based On","Založené na"
"Close Window","Zatvoriť okno"
"Tile","Záhlavie"
"Customers for alert %s was successfuly added to queue","Zákazníci určení pre upozornenia %s boli úspešne pridaní do zoznamu"
"Customers Tagged Product","Zákaznícke štítky produktu"
"Base directory to upload image file is not specified","Základná zložka pre upload obrázku nie je špecifikovaná"
"Records for ""","Záznamy pre """
"Source Model","Zdrojový model"
"Delete","Zmazať"
"Delete Category","Zmazať kategóriu"
"Delete Option","Zmazať možnosť"
"Delete Attribute Set","Zmazať sadu vlastností"
"Delete Attribute","Zmazať vlastnosť"
"Delete Selected Group","Zmazať vybranú skupinu"
"Delete Search","Zmazať vyhľadávanie"
"Zoom Out","Zmenšiť"
"Change","Zmeniť"
"Change status","Zmeniť stav"
"Frontend","Zobrazenie: Frontend"
"Store View","Zobrazenie: Obchod"
"Show","Zobraziť"
"View as","Zobraziť ako"
"Display in Suggested Terms","Zobraziť v doporučených výrazoch"
"Sort by","Zoradiť podľa"
"Grouped Product","Zoskupený produkt"
"List","Zoznam"
"Compare Products List","Zoznam porovnávaných produktov"
"Compare list successfully cleared","Zoznam porovnávaných produktov bol úspešne odstránený"
"Zoom In","Zväčšiť"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
"[GLOBAL]","[GLOBÁLNE]"
"Please login to see prices","Cena je dostupná až po prihlásení"
"Availability:","Dostupnosť:"
"(full)","(plná)"
"(normal)","(normálná)"
"(low)","(malá)"
