"* Required Fields","* Povinne vyplnené polia"
"Email Address","E-mailová adresa"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Email Template","Email Template"
"Billing Information","Fakturačné údaje"
"Fax","Fax"
"Company","Firma"
"Global","Globálne"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Password","Heslo"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Heslo musí obsahovať najmenej 6 znakov. Začiatočné a konečné medzery budú ignorované"
"Guest","Hosť"
"HTML","HTML"
"Visitors Only","Iba pre návštevníkov"
"ID","ID"
"Product ID","ID Produktu"
"Address Information","Informácia o adrese"
"Account information was successfully saved","Informácia o účte bola úspešne uložená"
"Shipping Information","Informácia o dodávke"
"Account Information","Informácie o účte"
"Group Information","Informácie o skupine"
"Newsletter Information","Informácie o Spravodaji"
"Customer Information","Informácie o zákazníkovi"
"Invalid login or password","Invalid login or password"
"IP Address","IP adresa"
"Text One Line","Jednoriadkový text"
"SKU","Kód"
"Config","Konfigurácia"
"Contact Information","Kontaktné informácie"
"Country","Krajina"
"First Name","Krstné meno"
"Customers Only","Len pre zákazníkov"
"Log Out","Log Out"
"Login or Create an Account","Login or Create an Account"
"My Account","Môj účet"
"My Dashboard","Môj panel nástrojov"
"My Wishlist","Môj Zoznam prianí"
"Name","Meno"
"City","Mesto"
"Shipping Method","Metóda dodávky"
"Qty","Množ."
"Amount","Množstvo"
"Account Sharing Options","Možnosti zdielania účtu"
"My Tags","Moje štítky"
"My Orders","Moje objednávky"
"My Reviews","Moje recenzie"
"There are no items in customer's wishlist at the moment","Momentálne nie sú žiadne položky v zákazníkovom Zozname prianí"
"You are currently not subscribed to any newsletter.","Momentálne nie ste prihlásený na odber žiadneho Spravodaja."
"You are currently not subscribed to our newsletter","Momentálne nie ste prihlásený na odber nášho Spravodaja"
"You are currently subscribed to our newsletter","Momentálne ste prihlásený na odber nášho Spravodaj"
"You are currently subscribed to our newsletter.","Momentálne ste prihlásený na odber nášho Spravodaj."
"You are currently subscribed to 'General Subscription'.","Momentálne ste prihlásený na odber všeobecného Spravodaja."
"Per Website","Na stránku"
"Purchased at","Nakúpené"
"Bought From","Nakúpené v"
"Are you sure that you want to remove this item?","Naozaj chcete odstrániť túto položku?"
"Are you sure you want to delete this address?","Naozaj chcete vymazať túto adresu?"
"Are you sure you want to cancel adding of this address?","Naozaj chcete zrušiť pridanie tejto adresy?"
"Password Options","Nastavenie hesiel"
"Set as Default Shipping Address","Nastaviť ako predvolenú dodaciu adresu"
"Set as Default Billing Address","Nastaviť ako predvolenú fakturačnú adresu"
"Purchase On","Nákup vykonaný"
"Shopping Cart","Nákupný košík"
"Shopping Cart - %d item(s)","Nákupný košík - Položky: %d"
"Visitor","Návštevník"
"Tag Name","Názov štítku"
"Product name","Názov produktu"
"Product Name","Názov produktu"
"Group Name","Názov skupiny"
"No Newsletter Found","Nebol nájdený žiadny Spravodaj"
"No Items Found","Neboli nájdené žiadne položky"
"No product collections found","Neboli nájdené žiadne zbierky produktov"
"n/a","nedostupné"
"Need to Confirm","Need to Confirm"
"You have no additional address entries in your address book.","Nemáte žiadne ďalšie záznamy adries vo vašom zozname adries."
"You have no additional entries in your address book.","Nemáte žiadne ďalšie záznamy vo vašom adresári."
"You have no primary entries in your address book.","Nemáte žiadne primárne záznamy vo vašom zozname adries."
"You have no default shipping address in your address book.","Nemáte žiadnu predvolenú dodaciu adresu vo vašom zozname adries."
"You have no default billing address in your address book.","Nemáte žiadnu predvolenú fakturačnú adresu vo vašom zozname adries."
"You have not set a primary shipping address.","Nenastavili ste žiadnu primárnu dodaciu adresu."
"You have not set a primary billing address.","Nenastavili ste žiadnu primárnu fakturačnú adresu."
"Not Sent","Neodoslané"
"Invalid email address","Neplatná e-mailová adresa"
"Invalid customer data","Neplatné dáta zákazníka"
"Offline","Nerítomnný"
"Wrong region id by selected country","Nesprávne ID regiónu podľa zvolenej krajiny"
"Pending","Nevybavený"
"New passowrd","New passowrd"
"Newsletter Subscription","Newsletter Subscription"
"Unknown","Neznáme"
"Never","Nikdy"
"New Address","Nová adresa"
"New Customer Address","Nová adresa zákazníka"
"New Group","Nová skupina"
"New Customer Group","Nová skupina zákazníkov"
"New Password","Nové heslo"
"A new password was sent","Nové heslo bolo odoslané"
"New Customer Groups","Nové skupiny zákazníkov"
"New Customers","Noví zákazníci"
"New account","Nový účet"
"New Customer","Nový zákazník"
"New Address Entry","Nový záznam adresy"
"Entity collection is expected","Očakáva sa zber záznamov"
"Array of Entity collections is expected","Očakáva sa zoskupenie množiny údajov"
"Customer collection expected","Očakávaný zber zákazníka"
"Store","Obchod"
"Orders","Objednávky"
"Order #","Objendnávka č."
"Order #%s (%s)","Objendnávka č.%s (%s)"
"Retrieve your password here","Obnovte vaše heslo tu"
"Unsubscribe from newsletter","Odhlásiť odoberanie Spravodaja"
"Subscribe","Odoberať"
"Sign Up for Newsletter","Odoberať Spravodaj"
"Subscribe to newsletter","Odoberajte náš Spravodaj"
"Sign up for our newsletter","Odoberajte náš Spravodaj"
"Subscribed to Newsletter?","Odoberáte Spravodaj?"
"Sending","Odosielanie"
"Email Sender","Odosielateľ e-mailu"
"Forgot Email Sender","Odosielateľ e-mailu zabudnutého hesla"
"Submit","Odoslať"
"Send auto-generated password","Odoslať automaticky vytvorené heslo"
"Ship to First name","Odoslať na krstné meno"
"Ship to Last name","Odoslať na priezvisko"
"Send welcome email","Odoslať uvítací e-mail"
"Sent","Odoslané"
"Shipped to First Name","Odoslané na krstné meno"
"Shipped to Name","Odoslané na meno"
"Shipped to Last Name","Odoslané na priezvisko"
"Remove","Odstrániť"
"Action","Operácia"
"Personal Information","Osobné informácie"
"Pasword fields can't be empty.","Pasword fields can't be empty."
"PDF","PDF dokument"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Days in Wishlist","Počet dní v Zozname prianí"
"Session Start Time","Počiatok relácie"
"Continue Shopping","Pokračovať v nákupe"
"Items Order","Poradie položiek"
"Recent Orders","Posledné objednávky"
"Last Viewed Items","Posledné prezerané položky"
"Last Url","Posledné URL"
"Last date subscribed","Posledný dátum odberu"
"Last date unsubscribed","Posledný dátum zrušenia odberu"
"Last Activity","Poslená aktivita"
"Confirm Password","Potvrdiť helso"
"Confirm New Password","Potvrdiť nové heslo"
"Use as my default shipping address","Použiť ako moju predvolenú dodaciu adresu"
"Use as my default billing address","Použiť ako moju predvolenú fakturačnú adresu"
"Use as My Primary %s Address","Použiť moju primárnu %s adresu"
"Paused","Pozastavené"
"Online","Prítomní"
"Online Customers","Prítomní zákazníci"
"Subject","Predmet"
"Default Shipping Address","Predvolená dodacia adresa"
"Default Email Domain","Predvolená e-mailová doména"
"Default Billing Address","Predvolená fakturačná adresa"
"Default Group","Predvolená skupina"
"Default Addresses","Predvolené adresy"
"View","Prezrieť"
"View Order","Prezrieť objednávku"
"View Order List","Prezrieť zoznam objednávky"
"Add New Customer","Pridať nového zákazníka"
"Add New Address","Pridať novú adresu"
"Add New Customer Group","Pridať novú skupinu zákazníkov"
"Added From","Pridané z"
"Average Sale","Priemerná tržba"
"Last Name","Priezvisko"
"Login Information","Prihlasovacie informácie"
"Login and password are required","Prihlasovacie meno a heslo sú povinné."
"Log In","Prihlásiť"
"Login","Prihlásiť"
"Primary Shipping Address","Primárna dodacia adresa"
"Primary Billing Address","Primárna fakturačná adresa"
"Assign a customer group","Priraďte skupinu zákazníkov"
"Problem saving the collection, aborting. Error: %s","Problém pri ukladaní dát, prerušujem akciu. Chyba: %s"
"Product","Produkt"
"Zip/Postal Code","PSČ"
"ZIP/Post Code","PSČ"
"ZIP/Postal Code","PSČ"
"ZIP","PSČ"
"Product Reviews","Recenzie produktov"
"Refunded","Refundované"
"Registered Customers","Registrovaní zákazníci"
"Saved ","Saved "
"Current Password","Súčasné heslo"
"Invalid current password","Súčasné heslo je neplatné"
"Approved","Schválený"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"Group","Skupina"
"Customer Group","Skupina zákazníkov"
"Customer Group was successfully saved","Skupina zákazníkov bola úspešne uložená"
"Customer Group was successfully deleted","Skupina zákazníkov bola úspešne vymazaná"
"Customer Groups","Skupiny zákazníkov"
"Back","Späť"
"Back to Login","Späť na prihlásenie"
"Payment Method","Spôsob platby"
"Newsletter","Spravodaj"
"Newsletter Received","Spravodaj prijatý"
"Newsletters","Spravodaje"
"Manage Addresses","Spravovať adresy"
"Password Management","Správa hesiel"
"Manage Customers","Správa zákazníkov"
"Status","Stav"
"Are you sure?","Ste si istý?"
"Website","Stránka"
"Street Address 2","Street Address 2"
"Order Total","Suma objednávky"
"The address does not belong to this customer","Táto adresa nepatrí tomuto zákazníkovi"
"This email address was not found in our records","Táto e-mailová adresa nebola v našich záznamoch nájdená"
"Telephone","Telefón"
"This customer has no saved addresses.","Tento zákazník nemá žiadne uložené adresy."
"You're now Logged Out","Teraz ste odhlásený"
"Text","Text"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"This is My Primary %s Address","Toto je moja primárna %s adresa"
"Tax class","Trieda dane"
"Tax Class","Trieda dane"
"Type","Typ"
"User description","Užívateľský popis"
"Please make sure your passwords match.","Uistite sa prosím, že sú Vaše heslá rovnaké."
"Street Address","Ulica"
"Save","Uložiť"
"Save Address","Uložiť adresu"
"Save Password","Uložiť heslo"
"Save Customer Group","Uložiť skupinu zákazníkov"
"Save Customer","Uložiť zákazníka"
"Edit","Upraviť"
"Edit Address","Upraviť adresu"
"Edit Customer's Address","Upraviť adresu zákazníka"
"Edit Account Information","Upraviť informácie účtu"
"Edit Newsletter Subscription","Upraviť odoberanie Spravodaja"
"Edit Personal Information","Upraviť osobné údaje"
"Edit Group","Upraviť skupinu"
"Edit Customer Groups","Upraviť skupiny zákazníkov"
"Edit Newsletters","Upraviť Spravodaja"
"Edit Address Entry","Upraviť záznam adresy"
"Your account balance is: %s","Váš stav účtu je: %s"
"General Subscription","Všeobecný odber"
"All","Všetko"
"All countries","Všetky krajiny"
"All Store Views","Všetky zobrazenia obchodu"
"Visible In","Viditeľný v"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Vlastnosť špecifikovaná pre atribút %s (%s) je neplatná, vynechávam záznam"
"Please select region, state or province","Vyberte prosím región, štát alebo provinciu"
"Please select","Vyberte si prosím"
"There was an error while deleting the address","Vyskytla sa chyba počas mazania adresy"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Vytvorením osobného účtu v našom obchode získate možnosť prechádzať platobným procesom omnoho rýchlejšie, spravovať dodacie adresy, prezerať a sledovať svoje objednávky a iné."
"Create an Account","Vytvoriť účet"
"Create New Account Options","Vytvoriť nové možnosti účtu"
"Create New Customer Account","Vytvoriť nový zákaznícky účet"
"Create Order","Vytvoriť objednávku"
"XML","XML"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Z ovládacieho panelu vášho účtu máte možnosť si prezrieť náhľad vašej poslednej aktivity v rámci účtu a aktualizovať jeho informácie. Kliknite na doleuvedenú linku pre prezretie alebo úpravu informácií."
"Newsletter Start","Začiatok Spravodaja"
"Forgot Your Password?","Zabudli ste heslo?"
"Please enter your email.","Zadajte prosím váš e-mail."
"You have placed no orders yet.","Zatiaľ ste neuskutočnili žiadnu objednávku."
"You have placed no products yet.","Zatiaľ ste nevybrali žiadne produkty."
"Customers","Zákazníci"
"Customer Configuration","Zákaznícka konfigurácia"
"Customer Login","Zákaznícke prihlásenie"
"Customer","Zákazník"
"Customer doesn't have primary billing address","Zákazník nemá primárnu fakturačnú adresu"
"Customer Since","Zákazníkom od"
"Customer email already exists","Zákazníkov e-mail už existuje"
"Records for ""","Záznamy pre """
"Share Customer Accounts","Zdielať zákaznícke účty"
"Delete","Zmazať"
"Delete Address","Zmazať adresu"
"Delete Customer Group","Zmazať skupinu zákazníkov"
"Delete Customer","Zmazať zákazníka"
"Deleted Stores","Zmazané obchody"
"Change Shipping Address","Zmeniť dodaciu adresu"
"Change Billing Address","Zmeniť fakturačnú adresu"
"Change Password","Zmeniť heslo"
"Change Account Password","Zmeniť heslo účtu"
"Store View","Zobrazenie obchodu"
"Customer View","Zobrazenie zákazníka"
"Address Book","Zoznam adries"
"Order List...","Zoznam objendnávok..."
"Wishlist","Zoznam prianí"
"Wishlist - %d item(s)","Zoznam prianí - Položky: %d"
"Cancel","Zrušiť"
"Email Address/Username","E-mailová adresa / Užívateľské meno"
"Automatic registration is disabled. Please complete and send form below, and we'll contact you soon to verify given informations ","
Automatické prihlásenie je zakázané. Prosím vyplňte a odošlite formulár nižšie a my Vás budeme kontaktovať pre overenie danej informácie "
"and complete registration process by delivering your login informations.","a celý registračný proces tým, že poskytuje svoje prihlasovacie informácie."
"Account details","Informácie o účte"
"Billing informations","Fakturačné údaje"
"Shipping informations","Poštovné informácie"
"ZIP/Post code","ZIP / PSČ"
 "Tax/VAT number","IČ DPH"
