"%s was successfully added to your shopping cart.","«%s» успішно додано до кошика."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Закрити"
"Company","Підприємство"
"Condition Name","Назва умови"
"Condition was successfully deleted","Умову успішно видалено"
"Condition was successfully saved","Умову успішно збережено"
"Configurable product image","Зображення конфігурованого товару"
"Confirm Password","Підтвердження паролю"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Продовжити"
"Continue Shopping","Перейти до каталогу"
"Continue to Billing Information","Перейти до даних про платника"
"Continue to Review Your Order","Перейти до перегляду вашого замовлення"
"Continue to Shipping Information","Перейти до даних про отримувача"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код купона ""%s"" не дійсний."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Create Billing Address","Створити адресу платника"
"Create Shipping Address","Створити адресу отримувача"
"Customer Address is not valid.","Адреса покупця не дійсна."
"Data saving problem","Під час збереження даних сталася помилка"
"Default Billing","Платник за промовчанням"
"Default Shipping","Отримувач за промовчанням"
"Delete Condition","Видалити умову"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Коди знижок"
"Display Cart Summary","Показати"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Кількість товару"
"Display number of items in cart","Кількість найменувань товару"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу оплати"
"Edit Items","Редагувати товари"
"Edit Shipping Address","Редагувати адресу поставки"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Редагувати Ваш кошик"
"Email Address","Електронна пошта"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Ввести нову адресу"
"Enter your coupon code if you have one.","Якщо Ви маєте сертифікат на знижку, введіть його код."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Fax","Факс"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули пароль?"
"Get a Quote","Отримати загальну вартість"
"Grand Total:","Загальна вартість:"
"Grouped product image","Зображення групового товару"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Невірні дані"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Невірний метод доставки."
"Items","Товарів"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Loading next step...","Завантаження наступного кроку..."
"Login","Вхід в систему"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"Move to Wishlist","Додати до списку бажань"
"My Account","Обліковий запис"
"My Cart","Кошик"
"My Cart (%s item)","Кошик (%s од.)"
"My Cart (%s items)","Кошик (%s од.)"
"My Cart Link","Лінк на мій кошик"
"New Address","Нова адреса"
"New Condition","Нова умова"
"Order #","Замовлення №"
"Order Review","Огляд замовлення"
"Order Success","Замовлення здійснено вдало!"
"Other items in your order","Інші товари у вашому замовленні"
"Password","Пароль"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Платіжні дані"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не вказано"
"Place Order","Дати замовлення"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до каталогу</a>."
"Please agree to all Terms and Conditions before placing the order.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please agree to all Terms and Conditions before placing the orders.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Вкажіть поштовий індекс правильно. Наприклад, 03127 або 30300."
"Please log in below:","Будь ласка, увійдіть у систему нижче:"
"Please select region, state or province","Будь ласка, виберіть область"
"Please select shipping address for applicable items","Будь ласка, виберіть адресу отримувача для придатних товарів"
"Please select shipping methods for all addresses","Будь-ласка, виберіть способи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Подати замовлення"
"Product","Крам"
"Product Name","Назва краму"
"Product does not exist","Такого краму не існує"
"Qty","К-сть"
"Quote Lifetime (days)","Термін зберігання товару в кошику (днів)"
"Recently added item(s)","Нещодавно доданий крам"
"Register","Реєстрація"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Remove","Видалити"
"Remove Item","Видалити річ"
"Remove Product","Видалити крам"
"Remove item","Remove річ"
"Review Order","Перевірте замовлення"
"Review Order - %s","Перевірте замовлення - %s"
"Sales","Обсяги збуту"
"Save Condition","Зберегти умову"
"Save in address book","Зберегти в адресній книзі"
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставк "
"Select State/Province...","Виберіть область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Надіслати"
"Ship to Multiple Addresses","Доставити за кількома адресами"
"Ship to different address","Доставити на іншу адресу"
"Ship to this address","Доставити на цю адресу"
"Shipping Address","Адреса доставки"
"Shipping Information","Дані про доставку"
"Shipping Method","Метод доставки"
"Shipping Methods","Методи доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Доставка до"
"Shopping Cart","Кошик"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Кошик порожній"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Деякі продукти, що Ви замовили, на даний момент недоступні у необхідній кількості"
"Some of the products you requested are unavailable","Деякі продукти, що Ви замовили,на даний момент недоступні"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Область"
"Status","Стан"
"Store View","Store View"
"Street Address","Вулиця"
"Street Address ","Вулиця (додатково)"
"Submitting order information...","Відбувається відправлення даних замовлення..."
"Subtotal","Всього"
"Telephone","Телефон"
"Terms and Conditions","Умови надання послуг"
"Terms and Conditions Information","Дані про умови надання послуг"
"Terms and conditions","Умови надання послуг"
"Text","Текст"
"Thank you for your purchase!","Дякуємо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>%s товарів</strong></a> ."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з даною email адресою"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"This condition no longer exists","Такої умови більше нема"
"Total","Загалом"
"Total for this address","Загальна сума замовлення на цю адресу"
"Unit Price","Ціна одиниці"
"Update Qty &amp; Addresses","Оновити кількість &amp; адреси"
"Update Shopping Cart","Перерахувати"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу платника"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"You have no items in your shopping cart.","У вашому кошику нічого нема."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Відбувається виконання вашого замовлення"
"Your order # is: %s","Номер вашого замовлення: %s"
"Your order # is: <a href=""%s"">%s</a>","Номер вашого замовлення: <a href=""%s"">%s</a>"
"Your order has been received","Ваше замовлення отримано"
"Your order number is ","Вашому замовленню надано номер "
"Zip/Postal Code","Поштовий індекс"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Кошик"
"You have no items in your shopping cart.","У вашому кошику нічого нема."
"Checkout","Дати замовлення"
"Shopping Cart is Empty","Кошик порожній"
"Please <a href=""%s"">continue shopping</a>.","Будь ласка, <a href=""%s"">поверніться до каталогу</a>."
