"%s already exist","%s вже існують"
"%s already exists","%s вже існує"
"-- Please Select --","-- Please Select --"
"Error in file: ""%s"" - %s","Помилка у файлі: ""%s"" - %s"
"Error while saving. Please try again later.","Помилка при збереженні. Будь-ласка, спробуйте ще раз пізніше."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Відправник"
"Forgot Password Email Template","Шаблон"
"General","Загальні"
"General Settings","Загальні налаштування"
"General contact","Загальні контакти"
"Global","Глобальна змінна"
"HTML Head","HTML Head"
"Header","Header"
"Host","Хост"
"Id path for specified store","Id шлях для визначеної групи магазинів"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Невірний тип основного url "
"Invalid block name to set child %s: %s","Невірна назва блоку для створення під-блоку %s: %s"
"Invalid block type: %s","Невірний тип блоку: %s"
"Invalid block: %s","Невірний блок: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","невірний аргумент оновлення шаблону, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Невірне збереження повідомлення ""%s"" для ініціалізації щаблону повідомлень"
"Invalid transactional email code: ","Невірний код транзакційного email: "
"Invalid websites configuration path: %s","Невірне налаштування шляху вебсайту: %s"
"Layout","Шаблон"
"Layouts","Layouts"
"Leave empty for access from any location","Залишіть пустим для доступу з будь-якого місця"
"Locale","Локальна змінна"
"Locale options","Локальні налаштування"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Групи магазинів"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Клас моделі не існує: %s"
"Model collection resource name is not defined","Назва моделі колекції даних не задана"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Ім&#39;я"
"New Design Change","Нові зміни в дизайні"
"New Store","Нова група магазинів"
"New Store View","Новий магазин"
"New Website","Новий вебсайт"
"No","No"
"Package","Пакет"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Будь-ласка, введіть 6 або більше знаків."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Будь-ласка, введіть 6 або більше знаків. Пробіли проставлені спереду та ззаду враховуватись не будуть."
"Please enter a number greater than 0 in this field.","Будь-ласка, введіть значення більше 0 в цьому полі."
"Please enter a valid $ amount. For example $100.00.","Будь-ласка, введіть дійсну суму $. Наприклад $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Будь-ласка, введіть вірний URL. Наприклад http://www.example.com або www.example.com"
"Please enter a valid URL. http:// is required","Будь-ласка, введіть вірний URL. Обов'язково поставте http:// перед адресою"
"Please enter a valid credit card number.","Будь-ласка, введіть вірний номер кредитної картки."
"Please enter a valid date.","Будь-ласка, введіть вірну дату."
"Please enter a valid email address. For example johndoe@domain.com.","Будь-ласка, введіть вірну email адресу. 
Наприклад ivandoe@domain.com."
"Please enter a valid number in this field.","Будь-ласка, введіть вірний номер в це поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Будь-ласка, введіть вірний номер телефону. Наприклад (123) 456-7890 або 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Будь-ласка, введіть вірний номер соціального страхування. Наприклад 123-45-6789."
"Please enter a valid zip code.","Будь-ласка, введіть вірний поштовий код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний поштовий код. Наприклад 90602 або 90602-1234."
"Please enter valid password.","Будь-ласка, введіть вірний пароль."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Будь-ласка, переконайтесь в тому, що Ваші паролі співпадають."
"Please select State/Province.","Будь-ласка, ввиберіть регіон/область."
"Please select an option.","Будь-ласка, виберіть варіант."
"Please select one of the above options.","Будь-ласка, ввиберіть один з вищенаведених варіантів."
"Please select one of the options.","Будь-ласка, ввиберіть один з варіантів."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Будь-ласка, для цього поля використовуйте лише літери (а-я)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Будь-ласка, використовуйте тільки цифри для цього поля. Уникайте використання пробілів та інших знаків, таких як крапчи чи коми."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Будь-ласка, використовуйте лише літери (а-я) або цифри (0-9) для цього поля. Використання пробілів та інших знаків заборонено."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), пробіли або # для цього поля."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), або символ підкреслення(_) для цього поля. Перший знак повинен бути літерою."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Будь-ласка, використовуйте цей формат дати: дд/мм/рррр. Наприклад 17/03/2006 для 17го Березня, 2006 року."
"Please wait, loading...","Будь-ласка, зачекайте..."
"Polls","Polls"
"Port (25)","Порт (25)"
"Profiler","Профайлер"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Шлях запиту до вказаної групи магазинів"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Дані не встановлені"
"Root Category","Коренева категорія"
"SMTP settings (Windows server only)","SMTP налаштування (виключно для Windows server )"
"Sales representative","Представник по продажам"
"Save","Зберегти"
"Save Store","Зберегти групу магазинів"
"Save Store View","Зберегти магазин"
"Save Website","Зберегти вебсайт"
"Search Engines Optimization","Оптимізація під пошукові двигуни"
"Secure","Захищене з'єднання"
"Security","Security"
"Select Date","Select Date"
"Sender email","Еmail відправника"
"Sender name","Ім'я відправника"
"Services","Послуги"
"Session Cookie management","Сесії Cookie"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Встановити за замовчуванням"
"Skin (Images / CSS)","Скін (Зображення/ CSS)"
"Sort order","Порядок сортування"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Початкова дата не повинна бути більшою за кінцеву"
"Startup page","Startup page"
"Status","Статус"
"Store","Група магазинів"
"Store Email Addresses","Email адреси групи магазинів"
"Store Information","Інформація про групи магазинів"
"Store Name","Назва групи магазинів"
"Store View","Store View"
"Store View Information","Інформація про магазин"
"Store View Name","Назва магазину"
"Store View was successfully saved","Магазин був успішно збережений"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код групи магазинів повинен вміщати лише літери (а-я), цифри (0-9), або символ підкреслення(_). Перший знак повинен бути літерою"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Група магазинів була успішно видалена."
"Store was successfully saved","Група магазинів була успішно збережена"
"Store with the same code","Група магазинів з одинаковим кодом"
"System","Система"
"System Log File Name","System Log File Name"
"Template Path Hints","Підказка шляху шаблону"
"Templates","Шаблони"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Теми"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Виключно ця категорія"
"This is a required field.","Це поле є обов'язковим."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Часові зони"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Переклади"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Неможливо продовжити. Будь-ласка, спробуйте ще раз пізніше"
"Unknown scope ""%s""","Невідомий контекст ""%s"""
"Unsecure","Незахищене з'єднання"
"Url Options","Опції Url"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Використовувати захищені URL в Адміністративній панелі"
"Use Secure URLs in Frontend","Використовувати захищені URL у зовнішньому інтерфейсі"
"Use Web Server Rewrites","Використовувати Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Веб"
"Website","Вебсайт"
"Website Information","Інформація про вебсайт"
"Website Name","Назва вебсайту"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код вебсайту повинен вміщати лише літери (а-я), цифри (0-9), або символ підкреслення(_). Перший знак повинен бути літерою"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Вебсайт був успішно видалений."
"Website was successfully saved","Вебсайт був успішно збережений"
"Website with the same code","Вебсайт з одинаковим кодом"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Невірна кількість аргументів для %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Термін Вашої сесії збіг, зараз Ви заново ввійдете в систему."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
