"%s already exist","%s finns redan"
"%s already exists","%s finns redan"
"-- Please Select --","-- Vänligen välj --"
"Manage Stores","Hantera butiker"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse script"
"Model class does not exist: %s","Modellklassen finns inte: %s"
"Model collection resource name is not defined","Resursnamnet för modellsamlingen har inte angivits"
"Module ""%1$s"" can not be depended from ""%2$s""","Modul ""%1$s"" kan inte vara beroende av ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Modul ""%1$s"" kräver modul ""%2$s"""
"Name","Namn"
"New Design Change","Ny designändring"
"New Store","Ny butik"
"New Store View","Ny butiksvy"
"New Website","Ny webbplats"
"No","Nej"
"Package","Paket"
"Please choose to register or to checkout as a guest","Vänligen registrera dig som kund eller checka ut som gäst"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Vänligen ange 6 eller fler tecken."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vänligen ange 6 eller fler tecken. Eventuella mellanslag i början eller i slutet kommer att tas bort."
"Please enter a number greater than 0 in this field.","Vänligen ange ett tal som är större än 0 i detta fält."
"Please enter a valid $ amount. For example $100.00.","Vänligen ange ett giltigt belopp. Exempelvis 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen ange en giltig URL, exempelvis http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Vänligen ange en giltig URL. http:// måste finnas med"
"Please enter a valid credit card number.","Vänligen ange ett giltigt bankkortsnummer."
"Please enter a valid date.","Vänligen ange ett giltigt datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen ange en giltig e-postadress, exempelvis namn@example.com."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i detta fält."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vänligen ange ett giltigt telefonnummer, exempelvis 08-123 456."
"Please enter a valid social security number. For example 123-45-6789.","Vänligen ange ett giltigt personnummer, exempelvis 010101-0106."
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 111 52 eller 231 78."
"Please enter valid password.","Vänligen ange lösenord."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Vänligen se till att Bas URL slutar med '/' (slash), exv http://yourdomain/magento/"
"Please make sure your passwords match.","Vänligen se till att dina lösenord överensstämmer."
"Please select State/Province.","Vänligen välj region."
"Please select an option.","Vänligen välj ett alternativ."
"Please select one of the above options.","Vänligen välj ett av alternativen ovan."
"Please select one of the options.","Vänligen välj ett av alternativen."
"Please specify payment method.","Vänligen ange betalningssätt."
"Please specify shipping method.","Vänligen ange fraktsätt."
"Please use letters only (a-z or A-Z) in this field.","Vänligen använd endast bokstäver (a-ö eller A-Ö) i detta fält."
"Please use letters only (a-z) in this field.","Vänligen använd endast bokstäver (a-ö) i detta fält."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vänligen använd endast nummer i detta fält. Vänligen använd inte mellanslag eller andra liknande tecken, exempelvis punkt eller komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-ö) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vänligen använd endast bokstäver (a-ö), siffror (0-9), mellanslag eller # (brädgård) i detta fält."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vänligen använd endast bokstäver (a-z), siffror (0-9) eller understreck i detta fält. Första tecknet bör vara en bokstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Polls","Frågeformulär"
"Port (25)","Port (25)"
"Profiler","Profilerare"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Sökväg för begäran för angiven butik"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resursen har inte angivits"
"Root Category","Rotkategori"
"SMTP settings (Windows server only)","SMTP-inställningar (endast för Windows server)"
"Sales representative","Sales representative"
"Save","Spara"
"Save Store","Spara butik"
"Save Store View","Spara butiksvy"
"Save Website","Spara webbplats"
"Search Engines Optimization","Sökmotoroptimering"
"Secure","Säkert"
"Security","Säkerhet"
"Select Date","Välj Datum"
"Sender email","Avsändarens e-post"
"Sender name","Användarens namn"
"Services","Tjänster"
"Session Cookie management","Session Cookie management"
"Session Lifetime, Seconds","Sessions livstid, Sekunder"
"Session Validation Settings","Sessionsvalideringsinställningar"
"Set as default","Välj som förvalt"
"Skin (Images / CSS)","Tema (bilder / CSS)"
"Sort order","Sortering"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angivet datum/tid ""%1$s"" matchar ej formatet ""%2$s""."
"Specify either category or product, or both.","Välj antingen kategori eller produkt, eller båda."
"Start date can't be greater than end date","Startdatumet kan inte inträffa senare än slutdatumet"
"Startup page","Startsida"
"Status","Status"
"Store","Butik"
"Store Email Addresses","E-postadresser för butik"
"Store Information","Information om butik"
"Store Name","Butiksnamn"
"Store View","Butiksvy"
"Store View Information","Information om butiksvy"
"Store View Name","Butiksvyns namn"
"Store View was successfully saved","Butiksvyn har sparats"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Butikskoden bör endast innehålla bokstäver (a-ö), siffror (0-9) eller understreck (_). Första tecknet bör vara en bokstav"
"Store doesn't exist","Butiken finns inte"
"Store view doesn't exist","Butiksvyn finns inte"
"Store view was successfully deleted.","Butiksvyn togs bort."
"Store was successfully deleted.","Butiken har tagits bort."
"Store was successfully saved","Butiken har sparats"
"Store with the same code","Butik med samma kod"
"System","System"
"System Log File Name","Namn för systemlogfil"
"Template Path Hints","Ledtrådar för mallsökväg"
"Templates","Mallar"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Teman"
"This category and all its child elements","Denna kategori och alla dess underelement"
"This category and its child categories only","Enbart denna kategori och dess underkategorier"
"This category and its products only","Enbart denna kategori och dess produkter"
"This category only","Endast denna kategori"
"This is a required field.","Detta är ett obligatoriskt fält."
"This store cannot be deleted","Denna butik kan ej tas bort"
"This store cannot be deleted.","Denna butik kan ej tas bort"
"This store view cannot be deleted","Denna butiksvy kan ej tas bort"
"This store view cannot be deleted.","Denna butiksvy kan ej tas bort"
"This website cannot be deleted","Denna webbplats kan ej tas bort"
"This website cannot be deleted.","Denna butiksvy kan ej tas bort"
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Tidszon"
"Title Prefix","Titel Prefix"
"Title Suffix","Titel Suffix"
"Translate Inline","Översätt Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Översättningar"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Det går inte att gå vidare. Vänligen försök igen senare."
"Unknown scope ""%s""","Okänt omfång ""%s"""
"Unsecure","Osäker"
"Url Options","URL-inställningar"
"Use HTTP Only","Använd endast HTTP"
"Use Secure URLs in Admin","Använd säkra URL:er i admin"
"Use Secure URLs in Frontend","Använd säkra URL:er i kunddelen"
"Use Web Server Rewrites","Använd omskrivningar tillhandahållna av webbservern"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validera HTTP_USER_AGENT"
"Validate HTTP_VIA","Validera HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validera HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validera REMOTE_ADDR"
"Values less than 60 are ignored.","Värden mindre än 60 ignoreras."
"Web","Webb"
"Website","Webbplats"
"Website Information","Information om webbplats"
"Website Name","Webbplatsens namn"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Koden för webbplatsen bör endast innehålla bokstäver (a-ö), siffror (0-9) eller understreck (_). Första tecknet bör vara en bokstav"
"Website doesn't exist","Webbplatsen finns inte"
"Website was successfully deleted.","Webbplatsen har tagits bort"
"Website was successfully saved","Webbplatsen har sparats"
"Website with the same code","Webbplats med samma kod"
"Weekend Days","Veckodagar"
"Welcome Text","Välkomsttext"
"Wrong number of arguments for %s","Fel antal argument till %s"
"Yes","Ja"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Din session har gått ut, du kommer att loggas in på nytt."
"Search","Sök"
"Go","Kör"
"Search entire store here...","Sök i butiken här..."
"Compare Products","Jämför produkter"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","Du har inga produkter att jämföra."
"Clear All","Töm alla"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
