"* Required Fields","* Obilgāti aizpildāmie lauki"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Retrieve your password here"
"SKU","Artikuls"
"Sales Statistics","Pārdošanas statistika"
"Save","Saglabāt"
"Save Address","Saglabāt adresi"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Saglabāt klientu"
"Save Customer Group","Saglabāt klientu grupu"
"Save Password","Saglabāt paroli"
"Saved ","Saglabāts"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Nosūtīt uzģenerēto paroli"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Sending","Nosūtu"
"Sent","Sūtīt"
"Session Start Time","Sesijas sākuma laiks"
"Set as Default Billing Address","Lietot kā noklusēto rēķina adresi"
"Set as Default Shipping Address","Lietot kā noklusēto piegādes adresi"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shipping Information","Informācija par piegādi"
"Shipping Method","Piegādes veids"
"Shopping Cart","Pirkumu grozs"
"Shopping Cart - %d item(s)","Pirkumu grozā - %d prece(s)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Vēlos saņemt jaunumus e-pastā"
"Sign up for our newsletter","Abonēt mūsu biļetenu"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"State/Province","Rajons"
"Status","Statuss"
"Store","Veikals"
"Store View","Veikala skats"
"Street Address","Iela"
"Street Address ","Street Address "
"Subject","Subject"
"Submit","Apstiprināt"
"Subscribe","Abonēt"
"Subscribe to newsletter","Abonēt biļetenu"
"Subscribed to Newsletter?","Abonēt biļetenu?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Birkas nosaukums"
"Tax Class","Nodokļu grupa"
"Tax class","Nodokļu grupa"
"Tax/VAT number","Tax/VAT number"
"Telephone","Tālrunis"
"Text","Teksts"
"Text One Line","Text One Line"
"Thank you for registering with %s","Thank you for registering with %s"
"The address does not belong to this customer","Adrese nepieder šim klientam"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","Adrese pievienota"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Klienta vēlmju saraksts pašreiz ir tukšs"
"There are no items in customer's shopping cart at the moment","Klienta pirkumu grozs pašreiz ir tukšs"
"There was an error while deleting the address","There was an error while deleting the address"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","This customer has no saved addresses."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Šī e-pasta adrese netika atrasta mūsu datu bāzē"
"This is My Primary %s Address","Šī ir mana primārā %s adrese"
"To Cart","Uz grozu"
"Total","Kopā"
"Type","Tips"
"Unknown","Nezināms"
"Unsubscribe from newsletter","Atcelt biļetena abonementu"
"Update","Atjaunināt"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Lietot šo kā primāro %s adresi"
"Use as my default billing address","Uzstādīt šo kā rēķina adresi"
"Use as my default shipping address","Uzstādīt šo kā piegādes adresi"
"User description","Lietotāja apraksts"
"View","Skats"
"View Order","Aplūkot pasūtījumu"
"View Order List","Aplūkot pasūtījumu sarakstu"
"Visible In","Redzams"
"Visitor","Apmeklētājs"
"Visitors Only","Tikai apmeklētājiem"
"Website","Vietne"
"Welcome Email","Welcome Email"
"Wishlist","Vēlmju saraksts"
"Wishlist - %d item(s)","Vēlmju sarakstā - %d prece(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Reģions neatbilst norādītajai valstji"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Nav neviena biļetena abonementa."
"You are currently not subscribed to our newsletter","Jūs neesat abonējuši nevienu biļetenu"
"You are currently subscribed to 'General Subscription'.","Jūs esat abonējuši 'Visparējas Ziņas'."
"You are currently subscribed to our newsletter","Jūs esat abonējuši mūsu biļetenu"
"You are currently subscribed to our newsletter.","Jūs esat abonējuši mūsu biļetenu."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Jūsu darba sesija ir veiksmīgi noslēgta un piecu sekunžu laikā tiksiet pārvirzīts uz mūsu mājaslapu."
"You have no additional address entries in your address book.","Nav norādīta neviena papildus adrese."
"You have no additional entries in your address book.","Nav papildus ierakstu Jūsu adrešu grāmatā."
"You have no default billing address in your address book.","Nav noklusētās maksāšanas(rēķina) adreses Jūsu adrešu grāmatā."
"You have no default shipping address in your address book.","Nav noklusētās piegādes adreses Jūsu adrešu grāmatā."
"You have no primary entries in your address book.","Nav primāro ierakstu Jūsu adrešu grāmatā."
"You have not set a primary billing address.","Nav norādīta rēķina izrakstīšanas adrese."
"You have not set a primary shipping address.","Nav norādīta piegādes adrese."
"You have placed no orders yet.","Nav veiktu pasūtījumu."
"You have placed no products yet.","Šobrīd nav izvēlētu preču."
"You're now Logged Out","Darba sesija izbeigta"
"Your account balance is: %s","Jūsu konta bilance ir: %s"
"ZIP","Pasta indekss"
"ZIP/Post Code","Pasta indekss"
"ZIP/Postal Code","Pasta indekss"
"Zip/Postal Code","Pasta indekss"
"n/a","nav"
"or","vai"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
