"* Required Fields","* Obligatoriska fält"
"Disabled","Inaktiverad"
"Edit","Ändra"
"Edit Account Info","Ändra kontoinfo"
"Edit Account Information","Ändra kontoinformation"
"Edit Address","Ändra adress"
"Edit Address Entry","Ändra adresspost"
"Edit Customer Group ""%s""","Ändra kundgruppen ""%s"""
"Edit Customer Groups","Ändra kundgrupper"
"Edit Customer's Address","Ändra kundens adress"
"Edit Group","Ändra grupp"
"Edit Newsletter Subscription","Ändra prenumeration på nyhetsbrev"
"Edit Newsletters","Ändra nyhetsbrev"
"Edit Personal Information","Ändra personlig information"
"Email","E-post"
"Email Address","E-postadress"
"Email Sender","Avsändare av e-post"
"Entity collection is expected","Entitetssamling förväntas"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet (%s) skulle hämtas"
"Ext. Price","Totalsumma"
"Failed to confirm customer account.","Det gick inte att konfirmera kundkontot."
"Fax","Fax"
"First Name","Förnamn"
"First name can't be empty","Förnamn kan inte vara tomt"
"Forgot Email Sender","Avsändare för e-post för glömda uppgifter"
"Forgot Email Template","Mall för e-post för glömda uppgifter"
"Forgot Your Password?","Glömt ditt lösenord?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontoöversikten får du en överblick av dina senaste aktiviteter, och du kan också ändra dina kontouppgifter. Välj en länk nedan för att granska eller ändra dina uppgifter."
"General Subscription","Allmän prenumeration"
"Global","Global"
"Go to Address Book","Gå till adressbok"
"Grand Total","Totalsumma"
"Grand Total: %s","Totalsumma: %s"
"Group","Grupp"
"Group ""%s"" can not be deleted","Gruppen ""%s"" kan inte tas bort"
"Group Information","Information om grupp"
"Group Name","Gruppnamn"
"Guest","Gäst"
"HTML","HTML"
"Hello, %s!","Hej, %s!"
"ID","ID"
"IP Address","IP-adress"
"If you have an account with us, please log in.","Om du redan har ett konto hos oss, vänligen logga in."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ogiltigt värde för attributet %s (%s), hoppar över posten"
"Invalid attribute set specified, skipping the record","Ogiltig attributsmängd har angivits, hoppar över posten"
"Invalid current password","Det nuvarande lösenord är felaktigt"
"Invalid customer data","Ogiltig kunddata"
"Invalid email address","Ogiltig e-postadress"
"Invalid email address ""%s""","Ogiltig epostadress ""%s"""
"Invalid login or password.","Ogiltigt login eller lösenord."
"Invalid option id specified for %s (%s), skipping the record","Ogiltigt id för alternativ har angivits för %s (%s), hoppar över posten"
"Invalid store specified, skipping the record","Ogiltig butik har angivits, hoppar över posten"
"Items Order","Beställning av artiklar"
"Last 5 Orders","Senaste 5 beställningar"
"Last Activity","Senast aktiv"
"Last Name","Efternamn"
"Last Url","Senaste URL"
"Last Viewed Items","Senaste granskade artiklar"
"Last date subscribed","Senaste datum för prenumeration"
"Last date unsubscribed","Senaste datum för uppsägning av prenumeration"
"Last name can't be empty","Efternamn kan inte vara tomt"
"Leave empty for default (15 minutes).","Lämnas tom för förvald (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Lämna tom för förvald (2). Giltigt intervall : 1-4"
"Lifetime Sales","Försäljning totalt"
"Log In","Logga in"
"Log Out","Logga ut"
"Log in or Create an Account","Logga in eller skapa ett konto"
"Login","Logga in"
"Login Information","Information om inloggning"
"Login and password are required","Användarnamn och lösenord krävs"
"Login or Create an Account","Logga in eller skapa ett konto"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Hantera adresser"
"Manage Customers","Hantera kunder"
"Missing email, skipping the record","Saknar e-post, hoppar över posten"
"Missing firstname, skipping the record","Saknar förnamn, hoppar över posten"
"Missing lastname, skipping the record","Saknar efternamn, hoppar över posten"
"Month","Månad"
"My Account","Mitt konto"
"My Account Dashboard","Mitt konto översikt"
"My Dashboard","Kontoöversikt"
"My Orders","Mina beställningar"
"My Reviews","Mina recensioner"
"My Tags","Mina etiketter"
"My Wishlist","Min önskelista"
"Name","Namn"
"Name and Address Options","Namn och adressinställningar"
"Never","Aldrig"
"New Address","Ny adress"
"New Address Entry","Ny adresspost"
"New Customer","Ny kund"
"New Customer Address","Ny kundadress"
"New Customer Group","Ny kundgrupp"
"New Customer Groups","Nya kundgrupper"
"New Customers","Inte kund? Skapa konto"
"New Group","Ny grupp"
"New Password","Nytt lösenord"
"New account","Nytt konto"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","Nytt lösenord"
"Newsletter","Nyhetsbrev"
"Newsletter Finish","Slutet på nyhetsbrev"
"Newsletter Information","Information om nyhetsbrev"
"Newsletter Received","Nyhetsbrev har mottagits"
"Newsletter Start","Början på nyhetsbrev"
"Newsletter Subscription","Prenumeration på nyhetsbrev"
"Newsletters","Nyhetsbrev"
"No Items Found","Inga artiklar har hittats"
"No Newsletter Found","Inget nyhetsbrev har hittats"
"No item specified.","Ingen artikel vald."
"No product collections found","Inga produktsamlingar har hittats"
"Not Sent","Har inte skickats"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Antal rader i gatuadressen"
"Offline","Nerkopplad"
"Online","Uppkopplad"
"Online Customers","Uppkopplade kunder"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Beställningsnummer"
"Order #%s (%s)","Beställningsnummer %s (%s)"
"Order List...","Lista över beställningar..."
"Order Total","Totalsumma för beställning"
"Orders","Beställningar"
"PDF","PDF"
"Password","Lösenord"
"Password Management","Hantera lösenord"
"Password Options","Alternativ för lösenord"
"Password can't be empty","Lösenordet kan inte vara tomt"
"Password fields can't be empty.","Lösenordsfältet kan inte vara tomt."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Lösenord måste ha åtminstonde 6 tecken. Mellanslag i början och i slutet kommer att tas bort."
"Paused","Pausad"
"Payment Method","Betalningssätt"
"Pending","Avvaktande"
"Per Website","Per webbplats"
"Personal Information","Personlig information"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Vänligen ange din e-post."
"Please make sure your passwords match.","Vänligen försäkra dig om att lösenorden överensstämmer."
"Please select","Vänligen välj"
"Please select region, state or province","Vänligen välj region"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Pris"
"Primary Billing Address","Förvald fakturaadress"
"Primary Shipping Address","Förvald leveransadress"
"Problem saving the collection, aborting. Error: %s","Det uppstod ett fel när samlingen skulle sparas, avbryter. Felmeddelande: %s"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Tags","Produktetiketter"
"Product name","Produktnamn"
"Purchase On","Köptes den"
"Purchased at","Köptes hos"
"Qty","Antal"
"Recent Orders","Senaste beställningar"
"Records for ""","Poster för """
"Refunded","Återköp"
"Registered Customers","Befintlig kund? Logga in"
"Remove","Ta bort"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Hämta ditt lösenord här"
"SKU","Artikelnummer"
"Sales Statistics","Försäljningsstatistik"
"Save","Spara"
"Save Address","Spara adress"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Spara kund"
"Save Customer Group","Spara kundgrupp"
"Save Password","Spara lösenord"
"Saved ","Har sparats"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Skicka autogenererat lösenord"
"Send confirmation link","Send confirmation link"
"Send welcome email","Skicka välkomstbrev"
"Sending","Skickar"
"Sent","Skickat"
"Session Start Time","Starttid för session"
"Set as Default Billing Address","Välj som förvald fakturaadress"
"Set as Default Shipping Address","Välj som förvald leveransadress"
"Share Customer Accounts","Dela kundkonton"
"Ship to First name","Förnamn för leverans"
"Ship to Last name","Efternamn för leverans"
"Shipped to First Name","Förnamn för leverans"
"Shipped to Last Name","Efternamn för leverans"
"Shipped to Name","Namn för leverans"
"Shipping Information","Information om leverans"
"Shipping Method","Leveranssätt"
"Shopping Cart","Varukorg"
"Shopping Cart - %d item(s)","Kundvagn - %d artiklar"
"Show Tax/VAT number","Visa momsregnr"
"Show date of birth","Visa födelsedatum"
"Show middle name (initial)","Visa andranamn (initial)"
"Show prefix","Visa prefix"
"Show suffix","Visa suffix"
"Sign Up for Newsletter","Prenumerera på nyhetsbrev"
"Sign up for our newsletter","Prenumerera på vårt nyhetsbrev"
"Skip import row, required field ""%s"" not defined","Ett fel uppstod: det obligatoriska fältet ""%s"" har inte angivits, hoppar över importrad"
"Skip import row, website ""%s"" field not exists","Ett fel uppstod: fältet ""%s"" för webbplatsen finns inte, hoppar över importraden"
"State/Province","Region"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Street Address ","Street Address "
"Subject","Ämne"
"Submit","Skicka"
"Subscribe","Prenumerera"
"Subscribe to newsletter","Prenumerera på nyhetsbrev"
"Subscribed to Newsletter?","Prenumererar på nyhetsbrev?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","Momsregistreringsnummer är obligatoriskt"
"Tag Name","Etikettnamn"
"Tax Class","Momsklass"
"Tax class","Momsklass"
"Tax/VAT number","Momsregistreringsnummer"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text"
"Thank you for registering with %s","Tack för att du har registrerat dig hos %s"
"The address does not belong to this customer","Adressen tillhör inte till denna kund"
"The address was successfully deleted","Adressen har tagits bort"
"The address was successfully saved","Adressen har sparats"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","För närvarande finns det inga artiklar i kundens önskelista"
"There are no items in customer's shopping cart at the moment","För närvarande finns det inga artiklar i kundens varukorg"
"There was an error while deleting the address","Ett fel uppstod när adressen skulle tas bort"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Denna kund har inga sparade adresser"
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Denna e-postadress finns inte i vårt system"
"This is My Primary %s Address","Detta är min primära adress för %s"
"To Cart","Till kassan"
"Total","Totalt"
"Type","Kundtyp"
"Unknown","Okänt"
"Unsubscribe from newsletter","Säg upp prenumeration på nyhetsbrev"
"Update","Uppdatera"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Använd som min primära adress för %s"
"Use as my default billing address","Använd som förvald fakturaadress"
"Use as my default shipping address","Använd som min förvalda leveransadress"
"User description","Beskrivning av användare"
"View","Granska"
"View Order","Granska beställning"
"View Order List","Granska lista över beställningar"
"Visible In","Synlig i"
"Visitor","Besökare"
"Visitors Only","Endast besökare"
"Website","Webbplats"
"Welcome Email","Välkomstmail"
"Wishlist","Önskelista"
"Wishlist - %d item(s)","Önskelista - %d artiklar"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Fel regionsid för vald land"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","År"
"You are currently not subscribed to any newsletter.","För närvarande prenumererar du inte på några nyhetsbrev."
"You are currently not subscribed to our newsletter","Du prenumererar för närvarande inte på vårt nyhetsbrev"
"You are currently subscribed to 'General Subscription'.","Du prenumererar för närvarande på 'Allmän prenumeration'."
"You are currently subscribed to our newsletter","Du prenumererar på vårt nyhetsbrev"
"You are currently subscribed to our newsletter.","Du prenumererar på vårt nyhetsbrev."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Du har loggats ut och kommer att skickas vidare till vår hemsida inom 5 sekunder."
"You have no additional address entries in your address book.","Du har inga ytterligare poster i din adressbok."
"You have no additional entries in your address book.","Du har inga ytterligare poster i din adressbok."
"You have no default billing address in your address book.","Det finns ingen förvald fakturaadress i adressboken."
"You have no default shipping address in your address book.","Du har ingen förvald leveransadress i din adressbok."
"You have no primary entries in your address book.","Du har inga primära poster i din adressbok."
"You have not set a primary billing address.","Du har inte valt någon förvald fakturaadress."
"You have not set a primary shipping address.","Du har inte valt någon primär leveranssadress."
"You have placed no orders yet.","Du har inte lagt några beställningar."
"You have placed no products yet.","Du har inte placerat några produkter."
"You're now Logged Out","Du har loggats ut"
"Your account balance is: %s","Ditt saldo är: %s"
"ZIP","Postnummer"
"ZIP/Post Code","Postnummer"
"ZIP/Postal Code","Postadress"
"Zip/Postal Code","Postadress"
"n/a","[Inte tillgängligt]"
"or","eller"
"Please enter your email below and we'll send you a new password.","Vänligen ange din e-postadress nedan så skickar vi dig ett nytt lösenord."
"First name can't be empty","Förnamn kan inte vara tomt"
"Last name can't be empty","Efternamn kan inte vara tomt"
"Password can't be empty","Lösenordet kan inte vara tomt"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
