" and ","och"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core API"
"Magento Core Api Section","Magento Core API-sektion"
"Magento Logo","Magentos logotyp"
"Magento ver. %s","Magento version %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento är ett varumärke som tillhör Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Underhållare"
"Manage Stores","Hantera butiker"
"Mapping Configuration","Mappningskonfiguration"
"Max","Max"
"Merge Now","Sammanfoga nu"
"Min","Minst"
"Module version conflict!","Modulversionskonflikt!"
"N/A","Ej tillgängligt"
"Name","Namn"
"Name on Card","Namn på kortet"
"Name on the Card: %s","Namn på kortet: %s"
"Name:","Namn:"
"Next month (hold for menu)","Nästa månad (håll kvar för meny)"
"Next page","Nästa sida"
"Next year (hold for menu)","Nästa år (håll kvar för meny)"
"No","Nej"
"No Data Found","Ingen data hittades"
"No search keywords.","Inga sökord."
"Note:","Meddelande:"
"Notes:","Kommentarer:"
"Number of records:","Antal poster:"
"Old rate:","Tidigare kurs:"
"Only mapped fields","Endast kopplade fält"
"Order Totals","Totalsumma för order"
"Order confirmation email not sent","Bekräftelsemejl har ej skickats"
"Order confirmation email sent","Bekräftelsemejl har skickats"
"Original Magento attribute names in first row:","Ursprungliga Magento attributnamn på första raden:"
"Package","Paket"
"Package Information","Paketinformation"
"Packages","Paket"
"Page","Sida"
"Passive mode","Passivt läge"
"Password","Lösenord"
"Path","Sökväg"
"Path:","Sökväg:"
"PayPal Email","PayPal-epost"
"Personal Information","Personlig information"
"Phone:","Telefonnummer:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vänligen bekräfta byte av webbplats. All data som inte har sparats kommer att förloras."
"Please enter 6 or more characters.","Vänligen skriv sex eller fler tecken."
"Please enter a number greater than 0 in this field.","Vänligen skriv ett nummer som är större än noll i detta fält."
"Please enter a valid $ amount. For example $100.00.","Vänligen skriv ett giltigt värde i dollarformat, t.ex. $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen skriv en giltig URL, t.ex. http://www.example.com/ eller www.example.com"
"Please enter a valid URL. http:// is required","Vänligen skriv en giltig URL. http:// måste anges."
"Please enter a valid credit card number.","Vänligen skriv ett giltigt betalkortsnummer"
"Please enter a valid date.","Vänligen skriv ett giltigt datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen skriv en giltig epostadress, t.ex. info@example.com."
"Please enter a valid number in this field.","Vänligen skriv ett giltigt nummer i detta fält."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vänligen skriv ett giltigt telefonnummer, t.ex. 01-123 567."
"Please enter a valid social security number. For example 123-45-6789.","Vänligen skriv ett giltigt personnummer, t.ex. 700101-1234."
"Please enter a valid value from list","Vänligen skriv ett giltigt värde från listan."
"Please enter a valid value, ex: 10,20,30","Vänligen skriv ett giltigt värde, t.ex. 10, 20, 30"
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 980 16 eller 231 78."
"Please enter valid password.","Vänligen ange ett giltigt lösenord."
"Please make sure that your changes were saved before running the profile.","Vänligen se till att dina ändringar har sparats innan du kör igång profilen."
"Please make sure your passwords match.","Vänligen se till att lösenorden överensstämmer."
"Please select State/Province.","Vänligen välj region."
"Please select an option.","Vänligen välj ett alternativ."
"Please select one of the above options.","Vänligen välj ett av ovanstående alternativ."
"Please select one of the options.","Vänligen välj ett av alternativen."
"Please use in this field only ""a-z,0-9,_"".","Vänligen använd endast tecknen ""a-z,0-9,_"" i detta fält."
"Please use letters only (a-z) in this field.","Vänligen använd endast bokstäver (a-ö) i detta fält."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vänligen använd endast nummer i detta fält. Vänligen använd inte mellanslag eller andra liknande tecken, exempelvis punkt eller komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-ö) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vänligen använd endast bokstäver (a-ö), siffror (0-9), mellanslag eller # (brädgård) i detta fält."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Please, select a store view","Vänligen välj butiksvy"
"Prev. month (hold for menu)","Föreg. månad (håll kvar för meny)"
"Prev. year (hold for menu)","Föreg. år (håll kvar för meny)"
"Previous page","Föregående sida"
"Price","Pris"
"Price:","Pris:"
"Primary Billing Address","Primär faktureringsadress"
"Processed <strong>%s%% %s/%d</strong> items","Bearbetade <strong>%s%% %s/%d</strong> artiklar"
"Product","Produkt"
"Products","Produkter"
"Profile Information","Profilinformation"
"Provided Files","Tillhandahållna filer"
"Qty","Antal"
"Read details","Läs detaljer"
"Recommended","Rekommenderas"
"Remote FTP","Fjärr-FTP"
"Remote URL:","Fjärr-URL:"
"Remove","Ta bort"
"Resource Access","Resursåtkomst"
"Resources","Resurser"
"Role","Roll"
"Role Users","Rollanvändare"
"Roles","Roller"
"Roles Resources","Rollresurser"
"SKU","Artikelnummer"
"SKU:","Artikelnummer:"
"Schedule Merge","Schemalägg sammanfogning"
"Select All","Välj alla"
"Select Date","Välj datum"
"Select Range","Välj omfattning"
"Select Visible","Välj synlighet"
"Select date","Välj datum"
"Select website from map","Välj webbplats från karta"
"Select website to map","Välj webbplats till karta"
"Shipment Comments","Fraktkommentarer"
"Shipment History","Frakthistorik"
"Shipping Address","Fraktadress"
"Shipping address selection is not applicable","Valet av leveransadress är inte giltigt"
"Shipping method selection is not applicable","Valet av fraktsätt är inte giltigt"
"Show Report for","Visa rapport för"
"Show by","Visa"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Vissa artiklar i denna order har olika fakturerings- och fraktsätt. Du kan därför endast skapa en försändelse först efter att fakturan har skapats."
"Sort Order","Sorteringsordning"
"Spreadsheet Name:","Namn på kalkylblad:"
"Staging Store: ","Staging butik: "
"Staging Website: ","Staging Webbplats: "
"Start Date","Startdatum"
"State/Province:","Region:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Lagersaldo:"
"Store:","Butik:"
"Store: ","Butik: "
"Subpackage","Underpaket"
"Subpackages","Underpaket"
"Summary:","Sammanfattning:"
"Switch/Solo Only","Endast Switch/Solo"
"Switch/Solo card issue number: %s","Nummer för Switch/Solo-kort: %s"
"Switch/Solo card start Date: %s/%s","Startdatum för Switch/Solo-kort: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Endast Switch/Solo/Maestro (för UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Nummer för Switch/Solo/Maestro-kort: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Startdatum för Switch/Solo/Maestro-kort: %s/%s"
"The information in this tab has been changed.","Informationen i denna flik har ändrats"
"This is a required field.","Detta är ett obligatoriskt fält."
"This tab contains invalid data. Please solve the problem before saving.","Denna flik innehåller ogiltig data. Vänligen kontrollera datan innan du sparar."
"Thumbnail","Miniatyrbild"
"Time selection:","Val av tid:"
"Time:","Tid:"
"To","Till"
"Top 5 Search Terms","Topp 5 sökord"
"Total %d records found","%d poster har hittats"
"Track order","Spåra beställning"
"Track this shipment","Spåra försändelsen"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Kunde ej logga in."
"Unselect All","Avmarkera alla"
"Unselect Visible","Avmarkera synliga"
"Upgrade All Available Packages","Uppgradera alla tillgängliga paket"
"Upload Local File","Ladda upp lokal fil"
"Upload local file:","Ladda upp lokal fil:"
"Use Default Value","Använd standardvärden"
"User","Användare"
"User Name","Användarnamn"
"User Roles","Användarroller"
"User name","Användarnamn"
"Users","Användare"
"Value Delimiter:","Avskiljare för värden:"
"Version:","Version:"
"View","Granska"
"View Statistics for","Se statistik för"
"Visibility:","Synlighet:"
"Warning! Empty value can cause problems with CSV format.","Observera! Tomt värde kan skapa problem med CSV-formatet."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Webbtjänster"
"Web Services Configuration","Konfiguration för webbtjänster"
"Website: ","Webbplats: "
"Websites","Webbplatser"
"Websites / Stores","Webbplatser / Butiker"
"What is this?","Vad är detta?"
"Yes","Ja"
"You have","Du har"
"Your Account has been deactivated.","Ditt konto har inaktiverats"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Dina PHP-inställningar tillåter endast att filer på %s laddas upp samtidigt. Vänligen ändra post_max_size (nuvarande värde: %s) och upload_max_filesize (%s) i filen php.ini om du vill ladda upp större filer."
"Zip/Postal Code:","Postadress:"
"critical","kritisk"
"images/logo.gif","images/logo.gif"
"items selected","poster valda"
"major","större"
"md5sum","MD5-summa"
"minor","mindre"
"notice","notis"
"of %s pages","av %s sidor"
"or","eller"
"per page","per sida"
"to","till"
