" Copy","Kopiera"
"Unsubscription Email Sender","Avsändare för e-post om uppsägning av prenumeration"
"Unsubscription Email Template","Mall för e-post om uppsägning"
"View Newsletter","Granska nyhetsbrev"
"Website","Webbplats"
"You have been successfully unsubscribed.","Din prenumeration på nyhetsbrevet har sagts upp"
"Your subscription was successfully confirmed","Din prenumeration har bekräftats"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
