" Copy"," Copie"
"No problems found","Aucun problème trouvé"
"No subscribers selected","Aucun abonné sélectionné"
"Not Sent","Pas envoyé"
"Not activated","Désactivé"
"Pause","Pause"
"Paused","Arrêté"
"Please enter a valid email address","Saisissez un email valide"
"Please enter new template name","Saisissez un nouveau nom de gabarit"
"Please select subscriber(s)","Sélectionnez des abonnés"
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Processed","Terminé"
"Queue Date Start","Date de démarrage de la file"
"Queue Finish","Fin de la file"
"Queue Information","Informations de file"
"Queue Newsletter","Mettre la newsletter dans la file d'attente"
"Queue Start","Début de la file"
"Queue Subject","Sujet de la file"
"Recipients","Destinataires"
"Reset","Réinitialiser"
"Resume","Reprendre"
"Return Html Version","Revenir à la version HTML"
"Save And Resume","Sauvegarder et reprendre"
"Save As","Sauvegarder sous"
"Save Newsletter","Sauvegarder la newsletter"
"Save Template","Sauvegarder le gabarit"
"Selected problem subscribers successfully unsubscribed","Les abonnés problématiques sélectionnés ont été désabonnés avec succès"
"Selected problems successfully deleted","Les problèmes sélectionnés ont été supprimés avec succès"
"Sender","Expéditeur"
"Sender Email","Expéditeur de l'email"
"Sender Name","Nom de l'expéditeur"
"Sending","Envoi en cours"
"Sending Options","Options d'envoi"
"Sent","Envoyé"
"Set Return-Path","Renseigner le chemin de retour"
"Sign me up","Inscrivez-moi"
"Sign up for our newsletter:","Inscrivez-vous à notre newsletter :"
"Start","Commencer"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Subject","Sujet"
"Subscribe","Inscription"
"Subscribed","Inscrit"
"Subscriber","Abonné"
"Subscribers","Abonnés"
"Subscribers From","Abonnés de"
"Subscription Options","Options d'inscription"
"Success Email Sender","Expéditeur du mail de succès"
"Success Email Template","Gabarit du mail de succès"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Thank you for your subscription","Merci pour votre inscription"
"The subscription was successfully saved","L'inscription a été enregistrée"
"There was a problem with the subscription","Un problème est survenu lors de l'inscription"
"There was a problem with the subscription: %s","Il y a eu un problème lors de l'inscription : %s"
"There was a problem with the un-subscription.","Un problème est survenu lors de la désinscription"
"There was an error while saving your subscription","Erreur lors de la sauvegarde de l'inscription"
"Toggle Editor","Changer d'éditeur"
"Type","Type"
"Unsubscribe","Désabonner"
"Unsubscribe Selected","Désinscription sélectionnée"
"Unsubscribed","Désinscrit"
"Unsubscription Email Sender","Expéditeur du mail de désinscription"
"Unsubscription Email Template","Gabarit du mail de désinscription"
"View Newsletter","Voir la newsletter"
"Website","Site web"
"You have been successfully unsubscribed.","Vous avez bien été désinscrit."
"Your subscription was successfully confirmed","Votre inscription a été confirmée."
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
