"* Required Fields","* Champs obligatoires"
"Payment Method","Mode de paiement"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter your email below and we'll send you a new password.","Saisissez votre email ci-dessous et nous vous enverrons un nouveau mot de passe."
"Please enter your email below and we'll send you confirmation link for it.","Saisissez votre email ci-dessous et nous vous enverrons un lien de confirmation."
"Please enter your email.","Saisissez votre email."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select","Sélectionnez"
"Please select region, state or province","Sélectionnez une région"
"Please, check your e-mail for confirmation key.","Vérifiez votre email pour la clé de confirmation."
"Prefix","Préfixe"
"Prefix dropdown options","Options de la liste déroulante de préfixe"
"Price","Prix"
"Primary Billing Address","Adresse de facturation principale"
"Primary Shipping Address","Adresse de livraison principale"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection. Annulation. Erreur : %s"
"Product","Produit"
"Product ID","ID produit"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Tags","Tags de produits"
"Product name","Nom produit"
"Purchase On","Commande passée le"
"Purchased at","Acheté le"
"Qty","Quantité"
"Recent Orders","Dernières commandes"
"Records for ""","Enregistrements pour """
"Refunded","Remboursé"
"Registered Customers","Clients enregistrés"
"Remove","Retirer"
"Require Emails Confirmation","Nécessite la confirmation par email"
"Retrieve address data","Récupérer les données de l'adresse"
"Retrieve address info","Récupérer les informations de l'adresse"
"Retrieve customer addresses","Récupérez les adresses du client"
"Retrieve customer data","Récupérez les données du client"
"Retrieve customer's groups","Récupérez les groupes du client"
"Retrieve customers","Récupérez les clients"
"Retrieve customers info","Récupérer les informations des clients"
"Retrieve your confirmation link here","Récupérez votre lien de confirmation ici"
"Retrieve your password here","Récupérez votre mot de passe ici"
"SKU","SKU"
"Sales Statistics","Statistiques de vente"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Saved ","Sauvegardé"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valeurs séparées par des points-virgules (;).<br/>Commencer par un point-virgule pour une valeur vide en début d'options.<br/>Laisser vide pour un champ texte libre."
"Send Welcome Email after Confirmation","Envoyer un mail de bienvenue après la confirmation"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Send confirmation link","Envoyer un lien de confirmation"
"Send welcome email","Envoyer un mail de bienvenue"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes client"
"Ship to First name","Prénom (Livr.)"
"Ship to Last name","Nom de famille (Livr.)"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Tax/VAT number","Afficher le numéro de TVA intracommunautaire"
"Show date of birth","Afficher la date de naissance"
"Show middle name (initial)","Afficher les initiales"
"Show prefix","Afficher le préfixe"
"Show suffix","Afficher le suffixe"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Sign up for our newsletter","Abonnez-vous à la newsletter"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini"
"Skip import row, website ""%s"" field not exists","Ligne ignorée, le champ du site web ""%s"" n'existe pas"
"State/Province","Région"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Rue - Voie - Bât."
"Street Address ","Voie"
"Subject","Sujet"
"Submit","Valider"
"Subscribe","Inscrivez-vous"
"Subscribe to newsletter","S'abonner à la newsletter"
"Subscribed to Newsletter?","Abonné à la newsletter ?"
"Suffix","Suffixe"
"Suffix dropdown options","Options de la liste déroulante de suffixes"
"TAX/VAT number is required.","Le numéro de TVA intracommunautaire est obligatoire."
"Tag Name","Nom du tag"
"Tax Class","Classe de TVA"
"Tax class","Classe de TVA"
"Tax/VAT number","Numéro de TVA intracommunautaire"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"Thank you for registering with %s","Merci de votre inscription sur %s"
"The address does not belong to this customer","L'adresse n'appartient pas à ce client"
"The address was successfully deleted","L'adresse a été effacée"
"The address was successfully saved","L'adresse a été sauvegardée"
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (M., Mme, etc.)"
"There are no items in customer's wishlist at the moment","Aucun article dans la liste d'envies du client"
"There are no items in customer's shopping cart at the moment","Aucun article dans le panier du client"
"There was an error while deleting the address","La suppression de l'adresse a échoué"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Cet email sera envoyé à la place de l'email d'accueil par défaut, après la confirmation du compte."
"This account is not confirmed.","Ce compte n'est pas confirmé."
"This customer has no saved addresses.","Le client n'a pas d'adresse sauvegardée"
"This e-mail does not require confirmation.","Cet email ne nécessite pas de confirmation."
"This email address was not found in our records","Cette adresse mail n'a pas été trouvée dans nos enregistrements"
"This is My Primary %s Address","Ceci est mon adresse principale de <strong>%s</strong>"
"To Cart","Vers le panier"
"Total","Total"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from newsletter","Se désabonner de la newsletter"
"Update","Mettre à jour"
"Update customer address data","Modifier les données de l'adresse client"
"Update customer data","Modifier les données du client"
"Use as My Primary %s Address","Utiliser comme adresse <strong>%s</strong> principale"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"User description","Description utilisateur"
"View","Voir"
"View Order","Voir la commande"
"View Order List","Consulter la liste des commandes"
"Visible In","Visible dans"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Welcome Email","Email de bienvenue"
"Wishlist","Liste d'envies"
"Wishlist - %d item(s)","Liste d'envies - %d article(s)"
"Wrong confirmation key.","Clé de confirmation erronée."
"Wrong customer account specified.","Le compte client spécifié est erroné."
"Wrong email.","Email erroné."
"Wrong region id by selected country","Identifiant de région erroné pour le pays sélectionné"
"Wrong transactional account email type.","Le type d'email de compte transactionnel est erroné."
"XML","XML"
"YYYY","AAAA"
"Year","Année"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently not subscribed to our newsletter","Vous n'êtes pas encore abonné(e) à notre newsletter"
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter","Vous êtes actuellement abonné(e) à notre newsletter"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre newsletter"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) avec succès et vous allez être redirigé(e) vers notre page d'accueil dans 5 secondes."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have no primary entries in your address book.","Vous n'avez pas d'entrée principale dans votre carnet d'adresse"
"You have not set a primary billing address.","Vous n'avez pas spécifié d'adresse de facturation principale"
"You have not set a primary shipping address.","Vous n'avez pas spécifié d'adresse de livraison principale"
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You're now Logged Out","Vous êtes maintenant déconnecté."
"Your account balance is: %s","Le solde de votre compte est de : <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"ZIP/Postal Code","Code postal"
"Zip/Postal Code","Code postal"
"n/a","n/a"
"or","ou"
"Please enter your email below and we'll send you a new password.","Saisissez votre email ci-dessous et nous vous enverrons un nouveau mot de passe."
"First name can't be empty","Le prénom est obligatoire"
"Last name can't be empty","Le nom est obligatoire"
"Password can't be empty","Le mot de passe est obligatoire"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
