"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza que deseja remover este item da comparação de produtos?"
"Are you sure?","Você tem certeza?"
"As low as:","Maiores quantidades:"
"Assign","Atribuir"
"Assign product link","Atribuir link do produto"
"Assign product to category","Atribuir produto à categoria"
"Assigned Products","Produtos atribuídos"
"Associated Products","Produtos associados"
"Attrib. Set Name","Nome do grupo de atributos"
"Attribute Code","Código do atributo"
"Attribute Information","Informações do atributo"
"Attribute Label","Rótulo do atributo"
"Attribute Model","Modelo do atributo"
"Attribute Name:","Nome do atributo:"
"Attribute Properties","Propriedades do atributo"
"Attribute Set","Grupo de atributos"
"Attribute group with the ""/name/"" name already exists","Já existe grupo de atributos com nome ""/name/"""
"Attribute model not defined","Modelo de atributo não definido"
"Attribute with the same code already exists","Já existe atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes do atributo pode ser especificado por loja."
"Autogenerate","Geração automática"
"Availability","Disponibilidade"
"Availability: In stock.","Disponibilidade: Em estoque."
"Availability: Out of stock.","Disponibilidade: Esgotado."
"Back","Voltar"
"Backend Model","Modelo do backend"
"Backend Table","Tabela do backend"
"Backend Table Title","Título da tabela do backend"
"Backorders","Pedido pendente"
"Base directory to upload image file is not specified","Diretório base para carregar a imagem não está especificado"
"Based On","Baseado em"
"Best Value","Melhor preço"
"Block after Info Column","Bloquear depois da coluna de Informações"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Browse By","Pesquisa por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impostos) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Can be used only with catalog input type Dropdown","Pode ser usado somente com tipo de entrada de catálogo dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com tipo de entrada de catálogo dropdown, seleção múltipla e preço"
"Can't create image.","Não foi possível criar a imagem"
"Cannot create writeable directory '%s'","Não foi possível criar o diretório gravável '%s'"
"Cart Item Attribute","Atributo do item do carrinho"
"Catalog","Catálogo"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para dono de loja"
"Catalog Price Scope","Escopo do preço do catálogo"
"Catalog Section","Seção do catálogo"
"Catalog, Search","Catálogo, busca"
"Categories","Categorias"
"Categories Sitemap","Categorias do mapa do site"
"Category","Categoria"
"Category API","API da categoria"
"Category Data","Dados da categoria"
"Category Navigation:","Navegação da categoria:"
"Category Products","Produtos da categoria"
"Category Top Navigation","Categoria mais navegados"
"Category URL Suffix","Categoria sufixo do URL"
"Category attributes API","API da categoria atributos"
"Category delete error","Erro de exclusão da categoria"
"Category deleted","Categoria excluída"
"Category move error","Erro em mover a categoria"
"Category must be instance of Mage_Catalog_Model_Category","A categoria deve ser uma instância de Mage_Catalog_Model_Category"
"Category saved","Categoria salva"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo de visão da loja"
"Change status","Alterar status"
"Check items to add to the cart or","Selecione itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Choose option...","Escolha uma opção..."
"Clear All","Remover todos"
"Clear All Items","Remover todos os itens"
"Close Window","Fechar janela"
"Collapse All","Fechar tudo"
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Compare Items","Comparar itens"
"Compare Products","Comparar produtos"
"Compare Products (%d)","Compare produtos (%d)"
"Compare Products - %d Items","Compare produtos - %d itens"
"Compare Products List","Comparar lista de produtos"
"Compare list successfully cleared","Lista de comparação limpa com sucesso"
"Conditions Combination","Condições de combinação"
"Configurable Product","Produto configurável"
"Configurable Product Settings","Configurações de produto configurável"
"Continue","Continuar"
"Copy From Configurable","Copiar do configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (upload)"
"Create Empty","Criar vazio"
"Create Product Settings","Criar configurações de produto"
"Create Simple Associated Product","Criar produto de associação simples"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas cruzadas"
"Currently Shopping by","Atualmente comprando de"
"Custom Design","Design personalizado"
"Custom Options","Opções personalizadas"
"Customer Group","Grupo de clientes"
"Customers Reviews","Opiniões de clientes"
"Customers Tagged Product","Produto tagged por clientes"
"Customers for alert %s was successfuly added to queue","Cliente para o alerta %s foi adicionado a fila com sucesso"
"Data Type for Saving in Database","Tipo de dado para salvar no banco de dados"
"Date","Data"
"Date & Time Custom Options","Opções personalizada de data & hora"
"Date Subscribed","Data de assinatura"
"Date fields order","Ordem dos campos de data"
"Datetime","Data e hora"
"Decimal","Decimal"
"Decimal Number","Número decimal"
"Declare attribute value saving scope","Declarar valor do atributo salvando escopo"
"Default Qty","Quantidade padrão"
"Default Values","Valores padrão"
"Default price","Preço padrão"
"Default value","Valor padrão"
"Delete","Excluir"
"Delete Attribute","Excluir atributo"
"Delete Attribute Set","Excluir grupo de atributos"
"Delete Category","Excluir categoria"
"Delete Option","Excluir opção"
"Delete Row","Excluir linha"
"Delete Search","Excluir busca"
"Delete Selected Group","Excluir grupos selecionados"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do design do tema"
"Design","Design"
"Disabled","Desabilitado"
"Display in Suggested Terms","Mostrar nos termos sugeridos"
"Double click on a group to rename it","Duplo clique em um grupo para renomeá-lo"
"Double click on above image to view full picture","Duplo clique na imagem para vê-la ampliada"
"Dropdown","Dropdown"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar website, preço diferenciado, grupo de usuários e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país e imposto do estado."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar busca"
"Edit Search '%s'","Editar busca '%s'"
"Email","E-mail"
"Email to a Friend","Enviar para um amigo"
"Empty","Vazio"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro durante a recuperação da opção de valor: %s"
"Error while adding customers for %s alert. Message: %s","Erro ao adicionar o cliente para o alerta de %s. Mensagem: %s"
"Error while saving this group. Group with the same name already exists.","Erro ao salvar este grupo. Já existe grupo com o mesmo nome."
"Error while saving this group. Please try again later.","Erro ao salvar este grupo. Por favor, tente novamente mais tarde."
"Exclude","Excluir"
"Expand All","Expandir todos"
"Failed","Falhou"
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Produtos em destaque"
"File options format is not valid","Opções do formato do arquivo não é válida"
"File upload failed","Falha ao carregar arquivo"
"Filter model name must be declared","Nome do modelo de filtro deve ser declarado"
"Filter must be as object. Set correct filter please","Filtro deve ser como objeto. Selecione o filtro correto por favor"
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"Filters must be as array","Filtros devem ser como vetores"
"First Name","Nome"
"Fixed","Arrumado"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Para uso interno. Deve ser único sem espaços"
"For reindex enabled product(s) you need specify store or product","Para re-indexar produtos disponíveis você precisa especificar a loja ou produto"
"Frontend","Frontend"
"Frontend Model","Modelo de frontend"
"Frontend Properties","Propriedades de frontend"
"Gallery","Galeria"
"General Information","Informações gerais"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável globalmente"
"Go to Home Page","Ir para página principal"
"Grid","Grade"
"Grouped Product","Produtos agrupados"
"Groups","Grupos"
"Home","Principal"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para opção na visão de loja específica o valor padrão(Admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","Conteúdo da imagem não é um dado base64 válido"
"Image file not found","Arquivo da imagem não encontrado"
"Image not exists","Imagem não existe"
"Image not specified.","Imagem não especificada"
"Image type and information need to be specified for each store view.","Tipo de imagem e informações precisam ser especificada para cada visão de loja."
"In Stock","Em estoque"
"In stock","Em estoque"
"In stock.","Em estoque."
"Incl. Tax","Incl. imposto"
"Input Type","Tipo de entrada"
"Input Validation for Store Owner","Validação de entrada para dono da loja"
"Integer","Inteiro"
"Integer Number","Número inteiro"
"Invalid Tier Prices","Preços diferenciados inválidos"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção inválida de atributo especificado para o atributo %s (%s), parando a gravação"
"Invalid attribute set specified, skipping the record","Grupo inválido de atributos especificado, parando a gravação"
"Invalid block: %s","Bloco inválido: %s"
"Invalid category","Categoria inválida"
"Invalid category IDs","IDs inválidos de categoria"
"Invalid image file type","Tipo inválido de arquivo de imagem"
"Invalid image type.","Tipo inválido de imagem"
"Invalid option id specified for %s (%s), skipping the record","Opção de ID especificado inválido para %s (%s), parando a gravação"
"Invalid product type specified, skipping the record","Tipo de produto especificado inválido, parando a gravação"
"Invalid store specified","Loja especificada inválida"
"Invalid store specified, skipping the record","Loja especificada inválida, parando a gravação"
"Inventory","Inventário"
"Is Default","É padrão"
"Is Required","É necessário"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou nos resultados de busca devem ter status 'Desabilitado' na loja desejada."
"Label","Rótulo"
"Last Name","Sobrenome"
"Last Notification","Última notificação"
"Learn More","Saiba mais"
"Length of text is too long","Comprimento do texto é muito longo"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras(a-zA-Z) ou números(0-9)"
"Line %d, Email: %s","Linha %d, e-mail: %s"
"Line %d, SKU: %s","Linha %d, ID do produto: %s"
"Link (Related, Up sell, Cross sell)","Link (relacionado, venda agregada, vendas cruzada)"
"Link product not exists.","Produto vinculado não existe"
"List","Lista"
"List Mode","Modo de listagem"
"Manage Attribute Sets","Gerenciar grupo de atributos"
"Manage Attributes","Gerenciar atributos"
"Manage Catalog Categories","Gerenciar categorias do catálogo"
"Manage Categories","Gerenciar categorias"
"Manage Label / Options","Gerenciar rótulo / opções"
"Manage Options (values of your attribute)","Gerenciar opções (valores de seu atributo)"
"Manage Product Attributes","Gerenciar atributos de produto"
"Manage Product Sets","Gerenciar grupos de produtos"
"Manage Products","Gerenciar produtos"
"Manage Stock","Gerenciar estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar titulos (tamanho, cor, etc.)"
"Max Characters","Caracteres máximo"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho máximo da imagem"
"Maximum Qty Allowed in Shopping Cart","Quantidade máxima permitida no carrinho de compras"
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters","Número máximo de caracteres"
"Media Image","Imagem de media"
"Minimum Lines Per Page","Mínimo de linhas por página"
"Minimum Qty Allowed in Shopping Cart","Quantidade mínima permitida no carrinho de compras"
"Minimum Qty for Item's Status to be Out of Stock","Quantidade mínima de itens para o status ser esgotado"
"Missing SKU, skipping the record","ID do produto perdido, parando a gravação"
"More Views","Mais visualizações"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Multiple Select","Seleção múltipla"
"Name","Nome"
"Name In %s","Nome no %s"
"Name<br/>(For internal use)","Nome<br/>(Para uso interno)"
"New Category","Nova categoria"
"New Product","Novo produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New Search","Nova busca"
"New Set Name","Novo grupo de nomes"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualizações no layout"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"No product collections found","Nenhuma coleção de produtos foi encontrada"
"None","Nada"
"Not shared with other products","Não compartilhado com outros produtos"
"Notify Low Stock RSS","Notificação de estoque baixo em RSS"
"Notify for Quantity Below","Notifique para quantidade baixa"
"Nowhere","Em nenhum país"
"Number of Uses","Número de usos"
"Number of results<br/>(For last time placed)","Número de resultados<br/>(Pela última vez colocados)"
"OR","OU"
"Old Price:","Preço antigo"
"Option validation failed to add product to cart","Falha na validação das opções ao adicionar no carrinho"
"Option:","Opção:"
"Options Control","Opções de controle"
"Options is required","Opções são obrigatórias"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nosso SAC está disponível 24 horas por dia e 7 dias por semana. Pelo número: (55) 5555-0123."
"Out of Stock","Esgotado"
"Out of stock","Esgotado"
"Out of stock.","Esgotado."
"PM","PM"
"Page Title Separator","Separador de título da página"
"Page:","Página:"
"Parent Category","Categoria pai"
"Pending","Pendente"
"Pending Reviews RSS","Opiniões pendentes RSS"
"Percentage","Porcentagem"
"Please add rows to option.","Por favor, adicione linhas a opção."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha cuidado por favor, ao clicar sobre a linha será carregado o pacote de dados do arquivo selecionado e todos os dados do formulário não salvos serão perdidos."
"Please click on Close Window button if it won't be closed automatically","Por favor, clique no botão de fechar janela se ela não fechar automaticamente"
"Please enter a new group name","Por favor, insira um novo nome para o grupo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Por favor, renove ""catálogo rewrites"" e ""índices de navegação em camadas"" no sistema -> <a href=""%s"">gerenciador de cache</a>"
"Please select  items","Por favor, selecione itens"
"Please select one or more attributes.","Por favor, selecione um ou mais atributos."
"Please select product(s)","Por favor, selecione o(s) produto(s)"
"Please select products for attributes update","Por favor, selecione produtos para atualizações de atributos"
"Please select static block ...","Por favor, selecione bloco estático..."
"Please set up merge date/time .","Por favor, defina a data/hora para unir."
"Please specify date required option(s)","Por favor, especifique as opções de data obrigatórias"
"Please specify the product option(s)","Por favor, especifique as opções do produto"
"Please specify the product required option(s)","Por favor, especifique as opções obrigatórias do produto"
"Please specify the product(s) quantity","Por favor, especifique a quantidade do(s) produto(s)"
"Please specify time required option(s)","Por favor, especifique as opções de hora obrigatórias"
"Please, use four-digit year format","Por favor, use o formato de quatro dígitos no ano"
"Position","Posição"
"Position In Layered Navigation","Posição na navegação por camadas"
"Position of attribute in layered navigation block","Posição do atributo no bloco de navegação por camadas"
"Prev","Ant"
"Previous","Anterior"
"Price","Preço"
"Price Type","Tipo de preço"
"Price values for options should be specified in system base currency.","Valores de preço para opções devem ser especificados na moeda base do sistema"
"Price:","Preço:"
"Print This Page","Imprimir esta página"
"Problem saving the collection, aborting. Error: %s","Problema salvando a coleção, abortando. Erro: %s"
"Product","Produto"
"Product %s successfully added to compare list","Produto %s adicionado a lista de comparação com sucesso"
"Product %s successfully removed from compare list","Produto %s removido da lista de comparação com sucesso"
"Product API","API do produto"
"Product Alerts","Alertas de produto"
"Product Attribute","Atributo do produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorias do produto"
"Product Description","Descrição do produto"
"Product Image Placeholders","Placeholders da imagem do produto"
"Product Image Watermarks","Marca d'água da imagem do produto"
"Product Images","Imagens do produto"
"Product Images API","API das imagens do produto"
"Product In Websites","Produto nos websites"
"Product Info Column","Coluna de informações do produto"
"Product Information","Informações do produto"
"Product Name","Nome do produto"
"Product Reviews","Opiniões do produto"
"Product Tags","Tags do produto"
"Product Tier Price API","API do preço diferenciado do produto"
"Product Type","Tipo do produto"
"Product URL Suffix","Sufixo da URL do produto"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attribute was successfully deleted","Atributo do produto foi excluído com sucesso"
"Product attribute was successfully saved","Atributo do produto foi salvo com sucesso"
"Product attributes API","API dos atributos do produto"
"Product collection expected","Coleção de produto esperada"
"Product deleted","Produto excluído"
"Product duplicated","Produto duplicado"
"Product has required options","Produto possui opções obrigatórias"
"Product links API (related, cross sells, up sells)","API dos links do produto (relacionados, vendas agregadas, vendas cruzadas)"
"Product listing sort by","Listar produtos ordenados por"
"Product saving error.","Erro ao salvar produto."
"Product saving error. ","Erro ao salvar produto. "
"Product types API","API dos tipos de produtos"
"Product was successfully created.","Produto foi criado com sucesso."
"Product was successfully saved.","Produto foi salvo com sucesso."
"Product with this combination of attributes already associated to configurable.","Produtos com esta combinação de atributos já associado a configurável."
"Products","Produtos"
"Products Information","Informações dos produtos"
"Products Reviews","Opiniões de produtos"
"Products Sitemap","Mapa dos produtos"
"Products only","Apenas produtos"
"Products per Page on Grid default value","Produtos por página na quantidade padrão da grade"
"Products per Page on List allowed values","Produtos por página nas quantidades permitadas pela lista"
"Products per Page on List default value","Produtos por página na quantidade padrão da lista"
"Products per page on Grid allowed values","Produtos por página nas quantidades permitidas pela grade"
"Properties","Propriedades"
"Qty","Qtde"
"Qty Uses Decimals","Quantidade usa decimais"
"Qty for Item's Status to become Out of Stock","Quantidade para o status do item tornar-se esgotado"
"Quick Create","Criação rápida"
"Quick Overview","Descrição rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Records for ""","Registros para """
"Redirect","Redirecionar"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço normal:"
"Related Products","Produtos relacionados"
"Remove","Remover"
"Remove Product","Remover produto"
"Remove Product From Websites","Remover produto dos websites"
"Remove This Item","Remover este item"
"Remove product assignment","Remover designação do produto"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Required","Obrigatório"
"Reset","Redefinir"
"Results","Resultados"
"Retrieve attribute data","Obter dados de atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore de categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter árvore hierarquica"
"Retrieve linked products","Obter produtos com links"
"Retrieve list of assigned products","Obter lista de produtos atribuídos"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categoria por website/loja visão/categoria pai"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produtos"
"Retrieve product image","Obter imagem de produto"
"Retrieve product image list","Obter lista de imagens de produtos"
"Retrieve product image types","Obter tipos de imagem do produto"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos do link do produto"
"Retrieve product tier prices","Obter preço diferenciado do produto"
"Retrieve product types","Obter tipos do produto"
"Retrieve products data","Obter dados dos produtos"
"Retrieve products list by filters","Obter lista de produtos através de filtros"
"Review successfully deleted","Opinião excluída com sucesso"
"Review was saved successfully","Opinião foi salva com sucesso"
"Review was successfully saved","Opinião foi salva com sucesso"
"Reviews","Opiniões"
"Roll Over for preview","Passe o mouse para uma pré-visualização"
"Root","Raiz"
"SKU","ID do produto"
"Save","Salvar"
"Save And Continue Edit","Salvar e continuar editando"
"Save Attribute","Salvar atributo"
"Save Attribute Set","Salvar grupo de atributo"
"Save Category","Salvar categoria"
"Save Search","Salvar busca"
"Saved ","Salvo "
"Scope","Escopo"
"Search","Buscar"
"Search Engine Optimizations","Otimização do mecanismo de busca"
"Search Information","Informações de busca"
"Search Query","Query de busca"
"Search Term was successfully saved","Termo de busca foi salvo com sucesso"
"Search Term with such search query already exist.","Termo de busca com esta query já existe."
"Search was successfully deleted","Busca foi excluída com sucesso"
"Searchable","Buscável"
"Select Configurable Attributes ","Selecionar atributos configuráveis "
"Select type of option","Selecionar tipo de opção"
"Select type options required values rows.","Selecionar tipos de opções para linhas de valores obrigatórios."
"Selected Product Types","Tipos de produtos selecionados"
"Selected configuration is not available.","Configuração selecionada não está disponível."
"Send Count","Enviar conta"
"Set Ascending Direction","Definir direção ascendente"
"Set Descending Direction","Definir direção descendente"
"Set Name","Definir nome"
"Set Root Category For Store","Definir categoria raiz para a loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Definir categoria raiz para esta loja em <a href=""%s"">configuração</a>"
"Set special price","Definir preço especial"
"Set/Get current store view","Definir/Obter visão atual da loja"
"Settings","Configurações"
"Shop by","Compre também"
"Shopping Options","Opções de compra"
"Show","Mostrar"
"Show Details","Mostrar detalhes"
"Show Tags","Mostrar tags"
"Simple Product","Produto simples"
"Site Map","Mapa do site"
"Sitemap","Mapa do site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pular importação da linha, o valor ""%s"" não é válido para o campo ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Pular importação da linha, campo obrigatório ""%s"" para novo cliente não definido"
"Skip import row, required field ""%s"" for new products not defined","Pular importação da linha, campo obrigatório ""%s"" para novos produtos não definido"
"Skip import row, required field ""%s"" not defined","Pular importação da linha, campo obrigatório ""%s"" não definido"
"Skip import row, store ""%s"" field not exists","Pular importação da linha, campo ""%s"" da loja não existe"
"Sort Order","Ordem de ordenação"
"Sort by","Ordenado por"
"Source Model","Modelo fonte"
"Special Price:","Preço especial:"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas bloco estático"
"Status","Status"
"Stock Availability","Disponibilidade de estoque"
"Store","Loja"
"Store View","Visão da loja"
"Stretch","Esticar"
"Subscribe to Feed","Assinar Feed"
"Subscribe to RSS Feed","Assinar RSS Feed"
"Super product attributes configuration","Configuração de atributos de super produtos"
"Synonym For","Sinônimo para"
"Synonym for","Sinônimo para"
"System","Sistema"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da tag"
"Tax","Imposto"
"Text","Texto"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"There are no %s available.","Não há %s disponível"
"There are no customers for this alert","Não há clientes para este alerta"
"There are no products matching the selection.","Não há produtos com esta seleção."
"There was an error while adding products to websites","Ocorreu um erro ao adicionar produtos aos websites"
"There was an error while cleared compare list","Ocorreu um erro ao limpar a lista de comparação"
"There was an error while removing products from websites","Ocorreu um erro ao remover produtos dos websites"
"There was an error while updating product(s) attributes","Ocorreu um erro ao atualizar atributos dos produtos"
"There was an error while updating product(s) status","Ocorreu um erro ao atualizar o status dos produtos"
"This attribute no longer exists","Este atributo não existe mais"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos usados em produtos configuráveis. Por favor, mova estes atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos do sistema. Por favor, mova os atributos do sistema para outro grupo e tente novamente."
"This is a required option","Esta opção é obrigatória"
"This search no longer exists","Esta busca não existe mais"
"Tier Pricing","Preço diferenciado"
"Tile","Telha"
"Time format","Formato da hora"
"Title","Título"
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Total Qty Base Items","Quantidade total de itens de base"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Total of %d record(s) were successfully deleted","%d iten(s) excluído(s) com suceso"
"Total of %d record(s) were successfully updated","%d iten(s) atualizado(s) com suceso"
"Type","Tipo"
"Unable to complete request. Please try again later.","Não foi possível completar solicitação. Por favor, tente novamente mais tarde."
"Unable to find a search term to delete","Não foi possível encontrar um termo de busca para excluir"
"Unable to find an attribute to delete","Não foi possível encontrar um atributo para excluir"
"Unable to get product id.","Não foi possível obter chave primária do produto"
"Unassigned Attributes","Atributos não atribuídos"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não compartilhado com outros produtos)"
"Unknown attribute: %s","Atributo desconhecido: %s"
"Up-sells","Vendas agregadas"
"Update","Atualizar"
"Update Attributes","Atualizar atributos"
"Update Tier Price","Atualizar preço diferenciado"
"Update assigned product","Atualizar produto atribuído"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar preços diferenciados do produto"
"Upload new product image ","Carregar nova imagem do produto"
"Url","URL"
"Url Rewrite Management","Gerenciamento de Urlrewrite"
"Url rewrie save problem.","Problema ao salvar Urlrewrite."
"Use Config Settings","Usar as configurações do config"
"Use Default Value","Usar valor padrão"
"Use Flat Catalog Category","Usar catálogo flat de categorias"
"Use Flat Catalog Product","Usar catálogo flat de produtos"
"Use In Layered Navigation","Usar em navegação por camadas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar em navegação por camadas<br/>(Pode ser usada somente com tipo de entrada de catálogo 'Dropdown')"
"Use In Search Results Layered Navigation","Usar em resultados de pesquisas de navegação por camadas"
"Use JavaScript Calendar","Usar Calendário JavaScript"
"Use To Create Configurable Product","Usar para criar produto configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Use categories path for product URLs","Usar caminho de categorias para URLs do produto"
"Use in advanced search","Usar em busca avançada"
"Use in quick search","Usar em busca rápida"
"Used for sorting in product listing","Usado para ordenação na listagem de produtos"
"Used in product listing","Usado na listagem de produtos"
"Values Required","Valores requeridos"
"Varchar","Varchar"
"View as","Visualizar como"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo no Front-end"
"Visible on Product View Page on Front-end","Visível na página de exibição do produto no front-end"
"Watermark","Marca d'água"
"Watermark Default Size","Tamanho padrão de marca d'água"
"Watermark Position","Posição da marca d'água"
"We Also Recommend","Nós recomendamos também"
"Web Site Item Must be checked","Item site web deve ser selecionado"
"Web Site Store Must be checked","Site web da loja deve ser selecionado"
"Website","Website"
"Websites","Websites"
