" and "," e "
"Merge Now","Unir agora"
"Min","Min"
"Module version conflict!","Conflito de versão de módulo!"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"No","Não"
"No Data Found","Nenhum dado encontrado"
"No search keywords.","Nenhuma palavra-chave de busca."
"Note:","Nota:"
"Notes:","Notas:"
"Number of records:","Número de registros:"
"Old rate:","Taxa antiga:"
"Only mapped fields","Apenas campos mapeados"
"Order Totals","Total da compra"
"Order confirmation email not sent","E-mail de confirmação do pedido não enviado"
"Order confirmation email sent","E-mail de confirmação do pedido enviado"
"Original Magento attribute names in first row:","Nomes originais de atributo do Magento na primeira linha:"
"Package","Pacote"
"Package Information","Informações do pacote"
"Packages","Pacotes"
"Page","Página"
"Passive mode","Modo passivo"
"Password","Senha"
"Path","Caminho"
"Path:","Caminho:"
"PayPal Email","E-mail PayPal"
"Personal Information","Informações pessoais"
"Phone:","Fone:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme mudança de site. Todo dado que não foi salvo será perdido."
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid value from list","Por favor, insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor, insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please make sure that your changes were saved before running the profile.","Por favor, tenha certeza que suas modificações foram salvas antes de executar o perfil."
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please select State/Province.","Por favor, selecione estado."
"Please select an option.","Por favor, selecione uma opção."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use somente ""a-z,0-9,_"" neste campo."
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Please, select a store view","Por favor, selecione uma visão de loja"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Previous page","Página anterior"
"Price","Preço"
"Price:","Preço:"
"Primary Billing Address","Endereço de cobrança primário"
"Processed <strong>%s%% %s/%d</strong> items","Processado <strong>%s%% %s/%d</strong> itens"
"Product","Produto"
"Products","Produtos"
"Profile Information","Informações de perfil"
"Provided Files","Arquivos fornecidos"
"Qty","Qtde"
"Read details","Ler detalhes"
"Recommended","Recomendado"
"Remote FTP","FTP remoto"
"Remote URL:","URL remoto:"
"Remove","Remover"
"Resource Access","Acesso do recurso"
"Resources","Recursos"
"Role","Cargo"
"Role Users","Usuários do cargo"
"Roles","Cargos"
"Roles Resources","Recursos dos cargos"
"SKU","ID do produto"
"SKU:","ID do produto:"
"Schedule Merge","Agendar união"
"Select All","Selecionar todos"
"Select Date","Selecionar data"
"Select Range","Selecionar intervalo"
"Select Visible","Selecionar visíveis"
"Select date","Selecionar data"
"Select website from map","Selecione o website de onde mapear"
"Select website to map","Selecione o website para mapear"
"Shipment Comments","Comentários de postagem"
"Shipment History","Histórico de postagem"
"Shipping Address","Endereço de envio"
"Shipping address selection is not applicable","Endereço de envio não é aplicável"
"Shipping method selection is not applicable","Método de envio não é aplicável"
"Show Report for","Origem do envio"
"Show by","Mostrar por"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens neste pedido contém faturas e postagens diferentes. Você pode criar a postagem somente depois de faturar o pedido."
"Sort Order","Ordem de ordenação"
"Spreadsheet Name:","Nome da planilha:"
"Staging Store: ","Loja estágio:"
"Staging Website: ","Website estágio:"
"Start Date","Data de início"
"State/Province:","Estado:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Quantidade em estoque:"
"Store:","Loja:"
"Store: ","Loja:"
"Subpackage","Sub pacote"
"Subpackages","Sub pacotes"
"Summary:","Sumário:"
"Switch/Solo Only","Switch/Solo somente"
"Switch/Solo card issue number: %s","Switch/Solo número de emissão do cartão: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo data de início do cartão: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) somente"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data de início do cartão: %s/%s"
"The information in this tab has been changed.","As informações nessa aba foram alteradas."
"This is a required field.","Este é um campo obrigatório."
"This tab contains invalid data. Please solve the problem before saving.","Essa aba contém dados inválidos. Por favor, resolva o problema antes de salvar."
"Thumbnail","Imagem pequena"
"Time selection:","Selecionar hora:"
"Time:","Hora:"
"To","Para"
"Top 5 Search Terms","Top 5 termos de busca"
"Total %d records found","Total %d registros encontrados"
"Track order","Rastrear compra"
"Track this shipment","Rastrear essa postagem"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Não foi possível entrar."
"Unselect All","Limpar seleções"
"Unselect Visible","Limpar seleções visíveis"
"Upgrade All Available Packages","Atualizar todos pacotes disponíveis"
"Upload Local File","Carregar arquivo local"
"Upload local file:","Carregar arquivo local:"
"Use Default Value","Usar valor padrão"
"User","Usuário"
"User Name","Nome de usuário"
"User Roles","Cargos do usuário"
"User name","Nome de usuário"
"Users","Usuários"
"Value Delimiter:","Delimitador de valores:"
"Version:","Versão:"
"View","Visualizar"
"View Statistics for","Visualizar estatísticas para"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Alerta! Valor vazio pode causar problemas com o formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Alerta!rnEsta ação irá remover este usuário do cargo atribuídornVocê tem certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Alerta!rnEsta ação irá remover esses usuários dos cargos atribuídosrnVocê tem certeza?"
"Web Services","Serviços web"
"Web Services Configuration","Configuração de serviços web"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Lojas"
"What is this?","O que é isto?"
"Yes","Sim"
"You have","Você tem"
"Your Account has been deactivated.","Sua conta foi desativada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP não permite carregar arquivos com mais de %s. Por favor, modifique no arquivo php.ini o post_max_size (valor atual: %s) e o upload_max_filesize (valor atual: %s) se você deseja carregar arquivos maiores."
"Zip/Postal Code:","CEP:"
"critical","CRITICAL"
"images/logo.gif","images/logo.gif"
"items selected","itens selecionados"
"major","MAJOR"
"md5sum","md5sum"
"minor","MINOR"
"notice","NOTICE"
"of %s pages","de %s páginas"
"or","ou"
"per page","por página"
"to","para"
