"%s was successfully added to your shopping cart.","%s foi adicionado ao seu carrinho de compras com sucesso"
"Grouped product image","Imagem de produto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. imposto"
"Invalid data","Dados inválidos"
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Invalid shipping method.","Método de envio inválido."
"Items","Itens"
"Load customer quote error","Erro ao carregar a cotação do cliente"
"Loading next step...","Carregando próximo passo..."
"Login","Entrar"
"Manage Checkout Terms and Conditions","Gerenciar termos e condições de finalização de compra"
"Maximum display Recently added item(s)","Exibição máxima de itens recentemente adicionados"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida de envio para múltiplos endereços é %s"
"Move to Wishlist","Mover para a lista de desejos"
"My Account","Minha conta"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu carrinho (%s item)"
"My Cart (%s items)","Meu carrinho (%s itens)"
"My Cart Link","Link do meu carrinho"
"New Address","Novo endereço"
"New Condition","Nova condição"
"Order #","Pedido número"
"Order Review","Rever pedido"
"Order Success","Pedido realizado com sucesso"
"Other items in your order","Outros itens em seu pedido"
"Password","Senha"
"Payment Failed Email Reciever","E-mail de recebimento de erro no pagamento"
"Payment Failed Email Sender","E-mail de envio de erro no Pagamento"
"Payment Failed Emails","E-mails de erro no pagamento"
"Payment Failed Template","Modelo de erro no pagamento"
"Payment Information","Informações de pagamento"
"Payment Method","Método de pagamento"
"Payment method is not defined","Método de pagamento não foi definido"
"Place Order","Finalizar compra"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Continue comprando</a>."
"Please agree to all Terms and Conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de finalizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concorde com todos os termos e condições antes de finalizar os pedidos."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please log in below:","Por favor, entre abaixo:"
"Please select region, state or province","Por favor, selecione o estado"
"Please select shipping address for applicable items","Por favor, selecione endereço de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor, selecione o método de envio para todos endereços"
"Price","Preço"
"Proceed to Checkout","Finalizar compra"
"Product","Produto"
"Product Name","Nome do produto"
"Product does not exist","Produto não existe"
"Qty","Qtde"
"Quote Lifetime (days)","Validade da cotação (dias)"
"Recently added item(s)","Item(s) recentemente adicionado(s)"
"Register","Registrar"
"Register and save time!","Cadastre-se e ganhe tempo!"
"Register to Create an Account","Registrar-se"
"Register with us for future convenience:","Registre-se para futura conveniência:"
"Remove","Remover"
"Remove Item","Remover item"
"Remove Product","Remover produto"
"Remove item","Remover item"
"Review Order","Rever pedido"
"Review Order - %s","Rever pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar condição"
"Save in address book","Salvar no livro de endereços"
"Select Address","Selecionar endereço"
"Select Addresses","Selecionar endereços"
"Select Shipping Method","Selecione o método de envio"
"Select State/Province...","Selecionar estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança da sua lista de endereços ou cadastre um novo."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de envio da sua lista de endereços ou cadastre um novo."
"Send Payment Failed Email Copy Method","Método de envio de cópia de e-mail de erro no pagamento"
"Send Payment Failed Email Copy To","Enviar cópia de e-mail de erro no pagamento para"
"Send to","Enviar para"
"Ship to Multiple Addresses","Enviar para múltiplos endereços"
"Ship to different address","Enviar para endereços diferentes"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de envio"
"Shipping Information","Informações de envio"
"Shipping Method","Método de envio"
"Shipping Methods","Métodos de envio"
"Shipping method has not been selected yet","Método de envio não foi selecionado ainda"
"Shipping selection is not applicable","Não é possível utilizar método de envio selecinada"
"Shipping to","Enviando para"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Sidebar","Barra lateral do carrinho de compras"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Show Content as","Mostrar contéudo como"
"Some of the products you requested are not available in the desired quantity","Alguns produtos que você solicitou não estão disponíveis na quantidade desejada"
"Some of the products you requested are unavailable","Alguns produtos que você solicitou não estão disponíveis"
"Sorry, Onepage Checkout is disabled.","Desculpe, finalizar compra em uma página está desabilitado."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, finalizar compra como visitante não está disponível. Por favor, tente novamente ou contate o gerente da loja."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"State/Province","Estado"
"Status","Status"
"Store View","Visão da loja"
"Street Address","Endereço"
"Street Address ","Endereço "
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Telephone","Telefone"
"Terms and Conditions","Termos e condições"
"Terms and Conditions Information","Informações sobre termos e condições"
"Terms and conditions","Termos e condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado pela sua compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Existem <a href=""%s""><strong>%s itens</strong></a> em seu carrinho."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Existe <a href=""%s""><strong>1 item</strong></a> em seu carrinho."
"There is already a customer registered using this email address","Já existe um cliente registrado usando este endereço de e-mail"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro processando seu pedido. Por favor, entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists","Essa condição não existe mais"
"Total","Total"
"Total for this address","Total para este endereço"
"Unit Price","Preço unitário"
"Update Qty &amp; Addresses","Atualizar quantidade &amp; endereços"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Total","Atualizar total"
"Use Billing Address","Usar o endereço de cobrança"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nós estamos processando seu pedido e você logo receberá um e-mail com mais detalhes. Ao enviarmos o pedido, você receberá outro e-mail com um link para rastreá-lo."
"You have no items in your shopping cart.","Você não tem itens no seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de compra com mais detalhes e um link para rastreá-lo."
"Your Checkout Progress","Progresso da sua compra"
"Your order # is: %s","O número do seu pedido é: %s"
"Your order # is: <a href=""%s"">%s</a>","O número do seu pedido é: <a href=”%s”>%s</a>"
"Your order has been received","Seu pedido foi recebido"
"Your order number is ","O número do seu pedido é "
"Zip/Postal Code","CEP"
"osCommerce Orders","Pedidos osCommerce"
"separate by "",""","separado por "","""
"My Cart","Meu carrinho"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Finalizar Compra"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
