"# of Use","# di utilizzo"
"Attribute group with the ""/name/"" name already exists","Esiste già un gruppo di attributi con il nome ""/name/"""
"Attribute model not defined","Modello attributo non definito"
"Attribute with the same code already exists","Un attributo con lo stesso codice esiste già"
"Attributes","Attributi"
"Attrribute names can be specified per store.","Il nome degli attributi può essere specificato per ogni negozio."
"Autogenerate","Autogenerato"
"Availability","Availability"
"Availability: In stock.","Disponibilità: Disponibile."
"Availability: Out of stock.","Disponibilità: Esaurito"
"Back","Indietro"
"Backend Model","Modello Backend"
"Backend Table","Tabella Backend "
"Backend Table Title","Titolo tabella Backend"
"Backorders","Ordini arretrati"
"Base directory to upload image file is not specified","La directory par caricare le immagini non è stata specificata"
"Based On","Basato su"
"Best Value","Valore migliore"
"Block after Info Column","Blocco dopo info colonna"
"Bottom/Left","In basso/Sinistra"
"Bottom/Right","In basso/destra"
"Browse By","Sfoglia per"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s per %2$s ciascuno"
"Can be used only with catalog input type Dropdown","Può essere utilizzato solo con catologo con input dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere utilizzato solo con catalogo con input dropdown. Selezione multipla e prezzo"
"Can't create image.","Impossibile creare l'immagine."
"Cannot create writeable directory '%s'","Non è possible creare la directory scrivibile '%s'"
"Cart Item Attribute","Attributi articoli carrello"
"Catalog","Catalogo"
"Catalog Input Type for Store Owner","Tipo di Input per il Catalogo per il Proprietario del Negozio"
"Catalog Price Scope","Campo prezzi catalogo"
"Catalog Section","Sezione catalogo"
"Catalog, Search","Catalogo, cerca"
"Categories","Categorie"
"Categories Sitemap","Categorie sitemap"
"Category","Categoria"
"Category API","Categoria API"
"Category Data","Categoria Dati"
"Category Navigation:","Navigazione Categorie:"
"Category Products","Prodotti categoria"
"Category Top Navigation","Navigazione Categorie Topo"
"Category URL Suffix","Suffisso Categoria URL"
"Category attributes API","Attributi categoria API"
"Category delete error","Errore durante la cancellazione della categoria"
"Category deleted","Categoria eliminata"
"Category move error","Errore spostamento categoria"
"Category must be instance of Mage_Catalog_Model_Category","La Categoria deve essere un'istanza di Mage_Catalog_Model_Category"
"Category saved","Categoria salvata"
"Change","Cambia"
"Change or Retrieve attribute store view","Cambiare o recuperare attributo vista negozio"
"Change status","Cambia stato"
"Check items to add to the cart or","Spunta i prodotti da aggiungere al carrello o"
"Choose an Option...","Scegli un opzione..."
"Choose option...","Scegli una opzione..."
"Clear All","Cancella tutto"
"Clear All Items","Rimuovi Tutto"
"Close Window","Chiudi finestra"
"Collapse All","Comprimi tutto"
"Comparable","Comparabile"
"Comparable on Front-end","Comparabile sul Front-end"
"Compare Items","Confronta Articoli"
"Compare Products","Confronta prodotti"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Confronta prodotti <span class=""count"">- %d articoli</span>"
"Compare Products List","Lista Confronto Prodotti"
"Compare list successfully cleared","Lista confronto svuotata correttamente"
"Conditions Combination","Condizioni di combinazione"
"Configurable Product","Prodotto configurabile"
"Configurable Product Settings","Impostazioni prodotto configurabile"
"Continue","Continua"
"Copy From Configurable","Copia da configurabile"
"Country/State","Paese/Stato"
"Create","Crea"
"Create (Upload)","Crea (caricamento)"
"Create Empty","Crea vuoto"
"Create Product Settings","Crea impostazioni prodotto"
"Create Simple Associated Product","Crea prodotto semplice associato"
"Create new category","Crea nuova categoria"
"Create new product","Crea nuovo prodotto"
"Cross-sells","Prodotti consigliati"
"Currently Shopping by","Opzioni Attive"
"Custom Design","Design personalizzato"
"Custom Options","Opzioni personalizzate"
"Customer Group","Gruppo cliente"
"Customers Reviews","Recensioni clienti"
"Customers Tagged Product","Prodotti etichettati dai clienti"
"Customers for alert %s was successfuly added to queue","Clienti per l'avviso %s aggiunti correttamente alla lista"
"Data Type for Saving in Database","Tipo dati per salvataggio nel Database"
"Date","Data"
"Date & Time Custom Options","Data & ora opzioni personalizzate"
"Date Subscribed","Data di registrazione"
"Date fields order","Date fields order"
"Datetime","Dataora"
"Decimal","Decimale"
"Decimal Number","Numero Decimale"
"Declare attribute value saving scope","Dichiarare il valore dell'attributo del campo di risparmio"
"Default Qty","Qty predefinita"
"Default Values","Valori predefiniti"
"Default price","Prezzo predefinito"
"Default value","Valore predefinito"
"Delete","Elimina"
"Delete Attribute","Elimina attributo"
"Delete Attribute Set","Elimina set di attributi"
"Delete Category","Elimina categoria"
"Delete Option","Elimina opzioni"
"Delete Row","Elimina riga"
"Delete Search","Elimina ricerca"
"Delete Selected Group","Elimina gruppo selezionato"
"Delete category","Elimina categoria"
"Delete product","Elimina prodotto"
"Depends on design theme","Dipende dal tema di design"
"Design","Design"
"Disabled","Disabilitato"
"Display in Suggested Terms","Visualizza in termini consigliati"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Double click on above image to view full picture","Doppio click sull'immagine per ingrandirla"
"Dropdown","Dropdown"
"Duplicate","Duplicato"
"Duplicate website tier price customer group and quantity.","Duplica sito fascia prezzo cliente gruppo e quantità."
"Duplicate website, country and state tax found.","Duplica sito, paese e tasse statali trovate."
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica set di attributi '%s'"
"Edit Product Attribute","Modifica attributo prodotto"
"Edit Product Attribute ""%s""","Modifica attributo prodotto ""%s"""
"Edit Search","Modifica ricerca"
"Edit Search '%s'","Modifica ricerca '%s'"
"Email","Email"
"Email to a Friend","Mandalo via email ad un amico"
"Empty","Vuoto"
"Enabled","Abilitato"
"Error during retrieval of option value: %s","Errore durante il recupero delle opzioni del valore: %s"
"Error while adding customers for %s alert. Message: %s","Errore durante l'aggiunta di clienti per l'avviso %s. Messaggio: %s"
"Error while saving this group. Group with the same name already exists.","Errore durante il salvataggio del gruppo. Esiste già un gruppo con lo stesso nome."
"Error while saving this group. Please try again later.","Errore nel salvataggio di questo gruppo. Riprovare più tardi."
"Exclude","Escludi"
"Expand All","Espandi tutto"
"Failed","Fallito"
"Failed to move file: %s","Impossibile spostare file: %s"
"Feature Products","Caratteristica prodotti"
"File options format is not valid","Il formato del file opzioni non è valido"
"File upload failed","Caricamento file non riuscito"
"Filter model name must be declared","Il nome del modello di filtro deve essere dichiarato"
"Filter must be as object. Set correct filter please","Il filtro deve essere un oggetto. Impostare il filtro corretto"
"Filterable (no results)","Filtrabile (nessun risultato)"
"Filterable (with results)","Filtrabile (con risultati)"
"Filters must be as array","I filtri devono essere un array"
"First Name","Nome"
"Fixed","Fisso"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Il Modulo Flat Catalog ha un limite di %2$d attributi filtrabili e/o ordinabili. Attualmente ce ne sono %1$d. Riduci il numero di attributi filtrabili/ordinabili in modo da usare questo modulo."
"For internal use. Must be unique with no spaces","Per uso interno. Deve essere unico senza spazi"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Frontend"
"Frontend Model","Modello Frontend"
"Frontend Properties","Proprietà Frontend"
"Gallery","Gallery"
"General Information","Informazioni generali"
"Get special price","Ottieni prezzo speciale"
"Global","Globale"
"Globally Editable","Modificabile globalmente"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Grouped Product","Prodotti raggruppati"
"Groups","Gruppi"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin)."
"Image","Immagine"
"Image content is not valid base64 data.","I contenuti dell'immagine non sono validi su dati base64."
"Image file not found","File di immagine non trovato"
"Image not exists","Immagine inesistente"
"Image not specified.","Immagine non specificata."
"Image type and information need to be specified for each store view.","Tipo immagine e le informazioni necessitano di essere specificata per ogni vista negozio."
"In Stock","Disponibile"
"In stock","Disponibile"
"In stock.","In stock."
"Incl. Tax","Incl. Tasse"
"Input Type","Tipo in ingresso"
"Input Validation for Store Owner","Validazione Input per Proprietario Negozio"
"Integer","Intero"
"Integer Number","Numero Intero"
"Invalid Tier Prices","Fascia prezzi non valida"
"Invalid attribute %s","Attributo %s NON valido"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opzione di attributo non valida specificata per l'attributo %s (%s), salto il record"
"Invalid attribute set specified, skipping the record","Gruppo di attributi non valido specificato, salto il record"
"Invalid block: %s","Blocco non valido: %s"
"Invalid category","Categoria NON valida"
"Invalid category IDs","ID categoria non validi"
"Invalid image file type","Tipo di file immagine non valido"
"Invalid image type.","Tipo immagine non valido."
"Invalid option id specified for %s (%s), skipping the record","Opzione non valida specificata per %s (%s), salto il record"
"Invalid product type specified, skipping the record","Tipo di prodotto non valido specificato, salto il record"
"Invalid store specified","Negozio specificato non valido"
"Invalid store specified, skipping the record","Negozio non valido specificato, salto il record"
"Inventory","Inventario"
"Is Default","predefinito"
"Is Required","Obbligatorio"
"Items %s to %s of %s total","Articoli da %s a %s di %s totali"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca deve avere lo stato 'disabilitato' nel negozio desiderato."
"Label","Etichetta"
"Last Name","Cognome"
"Last Notification","Ultima notifica"
"Learn More","Per saperne di più"
"Length of text is too long","Il testo è troppo lungo"
"Letters","Lettere"
"Letters(a-zA-Z) or Numbers(0-9)","Lettere(a-zA-Z) o Numeri(0-9)"
"Line %d, Email: %s","Riga %d, Email: %s"
"Line %d, SKU: %s","Riga %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Prodotti correlati, Prodotti alternativi, Prodotti consigliati)"
"Link product not exists.","Il link del prodotto non esiste."
"List","Elenco"
"List Mode","Modalità elenco"
"Manage Attribute Sets","Gestisci i set di attributi"
"Manage Attributes","Gestisci attributi"
"Manage Catalog Categories","Gestisci categorie catalogo"
"Manage Categories","Gestisci categorie"
"Manage Label / Options","Gestisci le etichette / Opzioni"
"Manage Options (values of your attribute)","Gestisci opzioni (valore del tuo attributo)"
"Manage Product Attributes","Gestisci attributi prodotto"
"Manage Product Sets","Gestisci set attributi"
"Manage Products","Gestisci prodotti"
"Manage Stock","Gestici scorte"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (Dimensione, Colore, etc.)"
"Max Characters","Max Caratteri"
"Maximal Depth","Altezza massima"
"Maximum Image Size","Dimensione massima immagine"
"Maximum Qty Allowed in Shopping Cart","Massima Qtà permessa nel carrello"
"Maximum image height","Altezza massima immagine"
"Maximum image width","Larghezza massima immagine"
"Maximum number of characters","Numero Massimo di caratteri"
"Media Image","Immagine Media"
"Minimum Lines Per Page","Righe minime per Pagina"
"Minimum Qty Allowed in Shopping Cart","Qtà minima ammessa nel carrello"
"Minimum Qty for Item's Status to be Out of Stock","Qtà minima dello stato dell'articolo per essere non disponibile"
"Missing SKU, skipping the record","Codice prodotto mancante, salto il record"
"More Views","Altre viste"
"Move","Sposta"
"Move category in tree","Sposta in albero categoria"
"Multiple Select","Selezione Multipla"
"Name","Nome"
"Name In %s","Nome In %s"
"Name<br/>(For internal use)","Nome<br/>(Per uso interno)"
"New Category","Nuova Categoria"
"New Product","Nuovo prodotto"
"New Product Attribute","Nuovo attributo prodotto"
"New Products","Nuovi prodotti"
"New Search","Nuova ricerca"
"New Set Name","Nome nuovo Set"
"Next","Successivo"
"No","No"
"No image","Nessuna immagine"
"No layout updates","Nessun aggiornamento al layout"
"No options of this product are available.","Non è disponibile nessuna opzione di questo prodotto."
"No product collections found","Non ho trovato collezioni di prodotti"
"None","Nessuno"
"Not shared with other products","Non condiviso con altri prodotti"
"Notify Low Stock RSS","Comunica via RSS scorte in esaurimento"
"Notify for Quantity Below","Comunica per quantità inferiore"
"Nowhere","Da nessuna parte"
"Number of Uses","Numero di utilizzi"
"Number of results<br/>(For last time placed)","Numero di risultati<br/>(Dall'ultima volta)"
"OR","O"
"Old Price:","Prezzo precedente:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opzione:"
"Options Control","Controllo opzioni"
"Options is required","Opzioni è richiesto"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Il nostro servizio clienti è disponibile 24/7. Call us at (555) 555-0123."
"Out of Stock","Non disponibile"
"Out of stock","Non disponibile"
"Out of stock.","Esaurito."
"PM","PM"
"Page Title Separator","Separatore titolo pagina"
"Page:","Pagina:"
"Parent Category","Categoria genitore"
"Pending","In attesa"
"Pending Reviews RSS","Recensioni in attesa RSS"
"Percentage","Percentuale"
"Please add rows to option.","Aggiungere righe di opzione."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Fai attenzione ogni volta che clicchi sulla riga saranno caricati i moduli dei dati pacchetto dal file selezionato e tutti i moduli dati non salvati andranno persi."
"Please click on Close Window button if it won't be closed automatically","Clicca sul bottone Chiudi Finestra se non si chiude automaticamente"
"Please enter a new group name","Inserire un nuovo nome gruppo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Aggiorna ""Catalog Rewrites"" and ""Indici Navigazione a Livelli"" in Sistema -> <a href=""%s"">Gestione Cache</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Selezionare uno o più attributi."
"Please select product(s)","Selezionare prodotto/i"
"Please select products for attributes update","Selezionare prodotti per l'aggiornamento attributi"
"Please select static block ...","Seleziona un blocco statico ..."
"Please set up merge date/time .","Imposta unione data/ora."
"Please specify date required option(s)","Specifica le opzioni obbligatorie per la data"
"Please specify the product option(s)","Specifia che opzioni del prodotto"
"Please specify the product required option(s)","Specificare le opzioni del prodotto."
"Please specify the product(s) quantity","Specifica la quantità del prodotto"
"Please specify time required option(s)","Specifica l'opzione obbligatoria per l'ora"
"Please, use four-digit year format","Per l'anno usa il formato a quattro cifre"
"Position","Posizione"
"Position In Layered Navigation","Posizione nella Navigazione a Livelli"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco navigazione a livelli"
"Prev","Preced"
"Previous","Precedente"
"Price","Prezzo"
"Price Type","Tipo prezzo"
"Price values for options should be specified in system base currency.","I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta corrente di sistema."
"Price:","Prezzo:"
"Print This Page","Stampa questa pagina"
"Problem saving the collection, aborting. Error: %s","Problema durante il salvataggio della collezione, interrompo. Errore: %s"
"Product","Prodotto"
"Product %s successfully added to compare list","Prodotto %s aggiunto correttamente alla lista confronti"
"Product %s successfully removed from compare list","Prodotto %s rimosso correttamente dalla lista confronti"
"Product API","API prodotto"
"Product Alerts","Avvisi prodotto"
"Product Attribute","Attributo prodotto"
"Product Attributes","Attributi Prodotto"
"Product Categories","Categorie prodotti"
"Product Description","Descrizione prodotto"
"Product Image Placeholders","Segnaposti immagine prodotto"
"Product Image Watermarks","Watermarks immagine prodotto"
"Product Images","Immagini prodotto"
"Product Images API","API immagini prodotto"
"Product In Websites","Prodotto nei siti web"
"Product Info Column","Colonna Info prodotto"
"Product Information","Informazioni prodotto"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotto"
"Product Tags","Tag prodotto"
"Product Tier Price API","API fascia prezzo prodotto"
"Product Type","Tipo prodotto"
"Product URL Suffix","Suffisso URL prodotto"
"Product attribute sets API","API set attributi prodotto"
"Product attribute was successfully deleted","Attributo prodotto eliminato correttamente"
"Product attribute was successfully saved","Attributo del prodotto salvato correttamente"
"Product attributes API","API attributi prodotto"
"Product collection expected","E' attesa una collezione di prodotti"
"Product deleted","Prodotto eliminato"
"Product duplicated","Prodotto duplicato"
"Product has required options","Alcune opzioni del prodotto sono obbligatorie"
"Product links API (related, cross sells, up sells)","Link API prodotto (prodotti correlati, prodotti consigliati, prodotti alternativi)"
"Product listing sort by","Elenco dei prodotti ordinati per"
"Product saving error.","Errore durante il salvataggio del prodotto."
"Product saving error. ","Errore salvataggio Prodotto"
"Product types API","API tipi prodotto"
"Product was successfully created.","Il prodotto è stato creato correttamente."
"Product was successfully saved.","Il prodotto è stato salvato correttamente."
"Product with this combination of attributes already associated to configurable.","Un prodotto con questa combinazione di attributi è già assocciato a configurabile."
"Products","Prodotti"
"Products Information","Informazioni prodotti"
"Products Reviews","Recensioni prodotti"
"Products Sitemap","Sitemap prodotti"
"Products only","Solo prodotti"
"Products per Page on Grid default value","Numero predefinito di Prodotti per Pagina in vista Griglia"
"Products per Page on List allowed values","Valori ammessi dei prodotti in elenco"
"Products per Page on List default value","Numero predefinito di Prodotti per Pagina in vista Elenco"
"Products per page on Grid allowed values","Valori ammessi dei prodotti in griglia"
"Properties","Proprietà"
"Qty","Qtà"
"Qty Uses Decimals","Decimali utilizzati Qtà"
"Qty for Item's Status to become Out of Stock","Qtà dello stato dell'articolo per diventare non disponibile"
"Quick Create","Creazione veloce"
"Quick Overview","Panoramica veloce"
"Quick simple product creation","Creazione veloce prodotti semplici"
"Records for ""","Risultati per """
"Redirect","Reindirizzamento"
"Redirect URL","Reindirizza URL"
"Regular Price:","Prezzo di listino:"
"Related Products","Prodotti associati"
"Remove","Rimuovi"
"Remove Product","Rimuovi Prodotto"
"Remove Product From Websites","Rimuovi prodotto dal sito web"
"Remove This Item","Rimuovi questo articolo"
"Remove product assignment","Rimuovere assegnazione prodotto"
"Remove product image","Rimuovere immagine prodotto"
"Remove product link","Rimuovere link prodotto"
"Required","Obbligatorio"
"Reset","Azzera"
"Results","Risultati"
"Retrieve attribute data","Recupera dati attributo"
"Retrieve attribute list","Recupera lista attributo"
"Retrieve attribute options","Recupera opzioni attributi"
"Retrieve categories tree","Recupera albero categorie"
"Retrieve category attributes","Recupera categoria attributi"
"Retrieve category data","Recupera i dati delle categorie"
"Retrieve hierarchical tree","Recupera gerarchia ad albero"
"Retrieve linked products","Recupera prodotti collegati"
"Retrieve list of assigned products","Recupera elenco prodotti assegnati"
"Retrieve one level of categories by website/store view/parent category","Recupera un livello di categorie dal sito web/negozio vista/categoria genitore"
"Retrieve product","Recupera prodotto"
"Retrieve product attribute sets","Recupera set attributi prodotto"
"Retrieve product image","Recupera immagine prodotto"
"Retrieve product image list","Recupera lista immagini prodotto"
"Retrieve product image types","Recupera tipi immagine prodotto"
"Retrieve product link type attributes","Recuoera tipo attributi collegati al prodotto"
"Retrieve product link types","Recupera tipi collegamenti al prodotto"
"Retrieve product tier prices","Recupera fasce prezzi prodotto"
"Retrieve product types","Recupera tipi prodotto"
"Retrieve products data","Recupera dati prodotto"
"Retrieve products list by filters","Recupera lista prodotti con filtri"
"Review successfully deleted","Recensione eliminata correttamente"
"Review was saved successfully","Recensione salvata correttamente"
"Review was successfully saved","Recensione salvata correttamente"
"Reviews","Recensioni"
"Roll Over for preview","Passa sopra per l'anteprima"
"Root","Root"
"SKU","Cod. Prod."
"Save","Salva"
"Save And Continue Edit","Salva e Continua Modifiche"
"Save Attribute","Salva attributo"
"Save Attribute Set","Salva set attributi"
"Save Category","Salva categoria"
"Save Search","Salva ricerca"
"Saved ","Salvato "
"Scope","Ambito"
"Search","Ricerca"
"Search Engine Optimizations","Ottimizzazione motore di ricerca"
"Search Information","Informazioni di ricerca"
"Search Query","Query di ricerca"
"Search Term was successfully saved","Termine di Ricerca salvato correttamente"
"Search Term with such search query already exist.","Un Termine di Ricerca con questa stringa esiste già."
"Search was successfully deleted","Ricerca eliminata correttamente"
"Searchable","Ricercabile"
"Select Configurable Attributes ","Selezioni attributi configurabili"
"Select type of option","Seleziona tipo di opzione"
"Select type options required values rows.","Selezionare righe valori tipo di opzioni richieste."
"Selected Product Types","Tipi prodotto selezionati"
"Selected configuration is not available.","La configurazione selezionata non è disponibile."
"Send Count","Spedire conteggio"
"Set Ascending Direction","Imposta ordine ascendente"
"Set Descending Direction","Imposta ordine discendente"
"Set Name","Imposta nome"
"Set Root Category For Store","Imposta Categoria Principale per il Negozio"
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta la categoria di root per questo negozio nella <a href=""%s"">configurazione</a>"
"Set special price","Imposta prezzo speciale"
"Set/Get current store view","Imposta/Ottieni vista corrente negozio"
"Settings","Impostazioni"
"Shop by","Fai shopping per"
"Shopping Options","Opzioni acquisto"
"Show","Mostra"
"Show Details","Mostra dettagli"
"Show Tags","Mostra i Tag"
"Simple Product","Prodotto semplice"
"Site Map","Site map"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Salta riga importata, non è un valore valido ""%s"" per il campo ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Salto la riga, non definito un campo obbligatorio ""%s"" per un nuovo cliente"
"Skip import row, required field ""%s"" for new products not defined","Salto la riga, non definito un campo obbligatorio ""%s"" per nuovi prodotti"
"Skip import row, required field ""%s"" not defined","Salto la riga, non definito un campo obbligatorio ""%s"""
"Skip import row, store ""%s"" field not exists","Salto la riga, il campo ""%s"" del negozio non esiste"
"Sort Order","Ordinamento"
"Sort by","Ordina per"
"Source Model","Origine modello"
"Special Price:","Prezzo speciale:"
"Starting at:","A partire da:"
"Static","Statico"
"Static block and products","Blocco statico e prodotti"
"Static block only","Solo blocco statico"
"Status","Stato"
"Stock Availability","Disponibilità"
"Store","Negozio"
"Store View","Vista negozio"
"Stretch","Estendi"
"Subscribe to Feed","Iscriviti al Feed"
"Subscribe to RSS Feed","Iscriviti ai Feed RSS"
"Super product attributes configuration","Configurazione attributi super prodotti"
"Synonym For","Sinonimo di"
"Synonym for","Sinonimo per"
"System","Sistema"
"System Properties","Proprietà del sistema"
"Tag Name","Nome Tag"
"Tax","Tassa"
"Text","Testo"
"Text Area","Area Testo"
"Text Field","Campo Testo"
"There are no %s available.","Non ci sono %s disponobili."
"There are no customers for this alert","Non ci sono clienti per questo avviso"
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"There was an error while adding products to websites","Si è verificato un errore durante l'aggiunta dei prodotti ai siti web"
"There was an error while cleared compare list","C'è stato un errore durante la pulizia della comparazione"
"There was an error while removing products from websites","Si è verificato un errore durante la rimozione dei prodotti dai siti web"
"There was an error while updating product(s) attributes","Errore durante aggiornamento degli attributi del prodotto/i"
"There was an error while updating product(s) status","C'è stato un errore nell'aggiornamento dello status dei prodotti"
"This attribute no longer exists","Questo attributo non esiste più"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Questo gruppo contiene degli attributi utilizzati nei prodotti configurabili. Sposta questi attributi in un altro gruppo e prova di nuovo."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo contiene attributi di sistema. Sposta gli attributi di sistema in un altro gruppo e prova di nuovo."
"This is a required option","un opzione richiesta"
"This search no longer exists","Questa ricerca non esiste più"
"Tier Pricing","Fascia prezzo"
"Tile","Affiancata"
"Time format","Formato Orario"
"Title","Titolo"
"Top/Left","In cima/Sinistra"
"Top/Right","In cima/Destra"
"Total Qty Base Items","Qtà totale articoli di base"
"Total incl. Tax: %1$s","Totale incl. Tasse: %1$s"
"Total of %d record(s) were successfully deleted","Eliminati correttamente %d record in totale"
"Total of %d record(s) were successfully updated","Aggiornati correttamente %d record in totale"
"Type","Tipo"
"Unable to complete request. Please try again later.","Impossibile completare la richiesta. Riprovare più tardi."
"Unable to find a search term to delete","Impossibile trovare un termine di ricerca da cancellare"
"Unable to find an attribute to delete","Impossibile trovare un attributo da eliminare"
"Unable to get product id.","Impossibile recuperare id prodotto."
"Unassigned Attributes","Attributi non assegnati"
"Unique Value","Valore Unico"
"Unique Value (not shared with other products)","Valore Unico (non condiviso con altri prodotti)"
"Unknown attribute: %s","Attributo Sconosciuto: %s"
"Up-sells","Prodotti alternativi"
"Update","Aggiornare"
"Update Attributes","Aggiorna attributi"
"Update Tier Price","Aggiorna fascia prezzo"
"Update assigned product","Aggiorna prodotto assegnato"
"Update attributes","Aggiorna attributi"
"Update category","Aggiorna categoria"
"Update product","Aggiorna prodotto"
"Update product image","Aggiorna immagine prodotto"
"Update product link","Aggiorna link prodotto"
"Update product tier prices","Aggionra livello prezzi prodotto"
"Upload new product image ","Carica una nuova immagine prodotto"
"Url","Url"
"Url Rewrite Management","Gestione URL Rewrite"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Usa impostazioni di configurazione"
"Use Default Value","Usa valore predefinito"
"Use Flat Catalog Category","Usa catalogo categoria Flat"
"Use Flat Catalog Product","Usa catalogo prodotto Flat"
"Use In Layered Navigation","Usa nella navigazione a livelli"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usa nella Navigazione a Livelli<br/>(Si può usare solo con tipo di input 'Dropdown' per il catalogo)"
"Use In Search Results Layered Navigation","Usa nei risultati di ricerca navigazione a livelli"
"Use JavaScript Calendar","Usa calendario JavaScript"
"Use To Create Configurable Product","Usa per creare prodotti configurabili"
