" Copy"," Copia"
"Subscriber","Sottoscrittore"
"Subscribers","Sottoscrittori"
"Subscribers From","Form Sottoscrittori"
"Subscription Options","Opzioni di Sottoscrizione"
"Success Email Sender","Successo Mittente Email"
"Success Email Template","Successo Template Email"
"Template Content","Contenuto Template"
"Template Information","Informazioni Template"
"Template Name","Nome Template"
"Template Subject","Soggetto Template"
"Template Type","Tipo Template"
"Thank you for your subscription","Grazie per esserti iscritto"
"The subscription was successfully saved","L'iscrizione è avvenuta con successo"
"There was a problem with the subscription","Si è verificato un problema con l'iscrizione"
"There was a problem with the subscription: %s","Si è verificato un errore con la sottoscrizione: %s"
"There was a problem with the un-subscription.","Si è verificato un errore con la revoca della sottoscrizione."
"There was an error while saving your subscription","Si è verificato un errore durante il salvataggio  dell' iscrizione"
"Toggle Editor","Cambia Editor"
"Type","Tipo"
"Unsubscribe","Revoca sottoscrizione"
"Unsubscribe Selected","Revoca Sottoscrizione selezionato"
"Unsubscribed","Sottoscrizione revocata"
"Unsubscription Email Sender","Mittente Email di revoca Sottoscrizione"
"Unsubscription Email Template","Template Email di revoca Sottoscrizione"
"View Newsletter","Vedi Newsletter"
"Website","Sito"
"You have been successfully unsubscribed.","La tua iscrizione è stata annullata correttamente."
"Your subscription was successfully confirmed","La tua iscrizione è stata confermata correttamente"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Iscriviti alla nostra newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
