"-- Please Select --","-- Selezionare --"
"Add New Class","Aggiungi una nuova classe"
"New Tax Rate","Nuovo Tax Rate"
"None","Nessuna"
"One of the country has invalid code.","Uno dei Paesi ha il codice non valido"
"Original price only","Soltanto prezzo iniziale"
"Please select Country","Seleziona Paese"
"Please select County","Seleziona Giurisdizione"
"Please select State","Seleziona Stato"
"Priority","Priorità"
"Product Tax Class","Classe tasse prodotti"
"Product Tax Class Information","Informazione classe tasse"
"Product Tax Classes","Classi tasse prodotto"
"Rate","Tariffa"
"Reset","Azzera"
"Sales","Sconti"
"Save Class","Salva classe"
"Save Rate","Salva tariffa"
"Save Rule","Salva regola"
"Shipping prices include tax","Spese di spedizione tasse incluse"
"Sort Order","Ordina"
"State","Stato predefinito"
"State/Region","Stato/Regione"
"Tax","Tasse"
"Tax Based On","Tassa Basata su"
"Tax Class for Shipping","Classe tasse per spedizione"
"Tax Classes","Classe tasse"
"Tax Identifier","Identificativo Tassa"
"Tax Rate","Aliquota"
"Tax Rate Information","Informazioni Tax Rate"
"Tax Rule Information","Informazioni Tax Rule"
"Tax Rules","Regole delle tasse"
"Tax Section","Sezione tassa"
"Tax Titles","Titolo tassa"
"Tax class was successfully deleted","Classe d'imposta cancellata correttamente"
"Tax class was successfully saved","Classe d'imposta salvata correttamente"
"Tax rate was successfully deleted","Aliquota eliminata correttamente"
"Tax rate was successfully imported","Aliquota importata correttamente"
"Tax rate was successfully saved","Aliquota salvata correttamente"
"Tax rates at the same priority are added, others are compounded.","Vengono aggiunti Tax rates con le stesse, gli altri sono composti."
"Tax rule was successfully deleted","Regola d'imposta eliminata correttamente"
"Tax rule was successfully saved","Regola d'imposta salvata correttamente"
"This class no longer exists","Questa classe non è più esistente"
"This rule no longer exists","Questa regola non è più esistente"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Non puoi cancellare questa classe fiscale perché p utilizzata per i gruppi cliente %d."
"You cannot delete this tax class as it is used for %d products.","Non puoi cancellare questa classe fiscale perché è utilizzata per i prodotti %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non puoi cacellare questa classe fiscale perché è utlizzata nelle regole di tassa. Per prima cosa devi cancellare le regole se sono in uso."
"Zip/Post Code","CAP"
