"* Required Fields","* Campi richiesti"
"Create customer address","Crea indirizzo cliente"
"Current Password","Password corrente"
"Customer","Cliente"
"Customer Addresses","Indirizzi Cliente"
"Customer Api","API Cliente"
"Customer Configuration","Configurazione Cliente"
"Customer Group","Gruppo Cliente"
"Customer Group was successfully deleted","Gruppo Cliente cancellato correttamente"
"Customer Group was successfully saved","Gruppo Cliente salvato correttamente"
"Customer Groups","Gruppi Clienti"
"Customer Information","Informazione Clienti"
"Customer Login","Accesso Cliente"
"Customer Since","Cliente dal"
"Customer View","Visualizzazione Cliente"
"Customer collection expected","Collezione clienti mancante"
"Customer doesn't have primary billing address","Il Cliente non ha specificato un indirizzo principale di fatturazione"
"Customer email already exists","Email del cliente gi&agrave; esistente"
"Customer website id must be specified, when using website scope.","L'id del sito del cliente deve essere specificato."
"Customers","Clienti"
"Customers Only","Solo clienti"
"Customers Section","Sezione Clienti"
"DD","DD"
"Date","Data"
"Date Added","Data aggiunta"
"Date of Birth","Data di nascita"
"Date of Birth is required.","Data di Nascita obbligatoria"
"Day","Giorno"
"Days in Wishlist","Giorni nella wishlist"
"Default Addresses","Indirizzi predefiniti"
"Default Billing Address","Indirizzi di fatturazione predefiniti"
"Default Email Domain","Indirizzo predefinito del dominio"
"Default Group","Gruppo predefinito"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"Default Welcome Email","Email di benvenuto predefinita"
"Delete","Cancella"
"Delete Address","Cancella indirizzo"
"Delete Customer","Cancella Cliente"
"Delete Customer Group","Cancella gruppo Cliente"
"Delete customer","Cancella Clienti"
"Delete customer address","Cancella indirizzo Cliente"
"Deleted Stores","Cancella negozi"
"Details","Dettagli"
"Disabled","Disattivato"
"Edit","Modifica"
"Edit Account Info","Modifica informazioni account"
"Edit Account Information","Modifica informazioni account"
"Edit Address","Modifica indirizzo"
"Edit Address Entry","Modifica voce indirizzo"
"Edit Customer Group ""%s""","Modifica gruppo cliente ""%s"""
"Edit Customer Groups","Modifica gruppi cliente"
"Edit Customer's Address","Modifica indirizzo cliente"
"Edit Group","Modifica gruppo"
"Edit Newsletter Subscription","Modifica Iscrizione Newsletter"
"Edit Newsletters","Modifica newsletter"
"Edit Personal Information","Modifica Informazioni Personali"
"Email","Email"
"Email Address","Indirizzo email"
"Email Sender","Email mittente"
"Entity collection is expected","Collezione entità mancante"
"Error during retrieval of option value: %s","Errore  durante il recupero del valore: %s"
"Ext. Price","Prezzo Ext."
"Failed to confirm customer account.","Conferma account cliente fallita"
"Fax","Fax"
"First Name","Nome"
"First name can't be empty","Il campo Nome non può essere lasciato vuoto"
"Forgot Email Sender","Email mittente dimenticata"
"Forgot Email Template","Template email dimenticata"
"Forgot Your Password?","Password dimenticata?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dalla bacheca del tuo account hai la possibilità di vedere uno snapshot delle recenti attività del tuo account e aggiornare le informazioni del tuo account. Seleziona un link qui sotto per vedere o modificare le informazioni."
"General Subscription","Generale iscrizione"
"Global","Globale"
"Go to Address Book","Vai alla Rubrica"
"Grand Total","Totale complessivo"
"Grand Total: %s","Totale Complessivo: %s"
"Group","Gruppo"
"Group ""%s"" can not be deleted","Gruppo ""%s"" non pu&ograve; essere cancellato"
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Guest","Ospite"
"HTML","HTML"
"Hello, %s!","Ciao, %s!"
"ID","ID"
"IP Address","Indirizzo IP"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Specificata una opzione non valida per l'attributo %s (%s), record non processato"
"Invalid attribute set specified, skipping the record","Set di attributi specificato non valido, record non processato"
"Invalid current password","Password corrente non valida"
"Invalid customer data","Dati cliente non validi"
"Invalid email address","Indirizzo email non valido"
"Invalid email address ""%s""","Indirizzo email NON valido ""%s"""
"Invalid login or password.","Login o password non validi"
"Invalid option id specified for %s (%s), skipping the record","Specificata un'opzione id non valida per %s (%s), record non inserito"
"Invalid store specified, skipping the record","Negozio specificato non valido, record non processato"
"Items Order","Ordine Articoli"
"Last 5 Orders","Ultimi 5 Ordini"
"Last Activity","Ultima attività"
"Last Name","Cognome"
"Last Url","Ultimo Url"
"Last Viewed Items","Ultimi Articoli Visti"
"Last date subscribed","Data ultima iscrizione"
"Last date unsubscribed","Data ultima iscrizione annullata"
"Last name can't be empty","Il campo Cognome non può essere lasciato vuoto"
"Leave empty for default (15 minutes).","Lascia vuoto come predefinito (15 minuti)."
"Leave empty for default (2). Valid range: 1-4","Lascia vuoto come predefinito (2). Serie consentita: 1-4"
"Lifetime Sales","Durata vendite"
"Log In","Accedi"
"Log Out","Esci"
"Log in or Create an Account","Accedi o Crea un Account"
"Login","Accedi"
"Login Information","Informazioni accesso"
"Login and password are required","Login e password sono necessari"
"Login or Create an Account","Accedi o crea un account"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gestisci accesso"
"Manage Customers","Gestisci clienti"
"Missing email, skipping the record","Email mancante, record non processato"
"Missing firstname, skipping the record","Nome mancante, record non processato"
"Missing lastname, skipping the record","Cognome mancante, record non processato"
"Month","Mese"
"My Account","Il mio account"
"My Account Dashboard","Dashboard del mio Account"
"My Dashboard","La mia Bacheca"
"My Orders","I miei ordini"
"My Reviews","Le Mie Recensioni"
"My Tags","I Miei Tags"
"My Wishlist","La Mia Wishlist"
"Name","Nome"
"Name and Address Options","Opzioni nome e indirizzo"
"Never","Mai"
"New Address","Nuovo indirizzo"
"New Address Entry","Voce nuovo indirizzo"
"New Customer","Nuovo cliente"
"New Customer Address","Nuovo indirizzo cliente"
"New Customer Group","Nuovo gruppo cliente"
"New Customer Groups","Nuovi gruppi cliente"
"New Customers","Nuovi clienti."
"New Group","Nuovi gruppi"
"New Password","Nuova password"
"New account","Nuovo account"
"New account confirmation key","Codice di conferma nuovo account"
"New account confirmed","Nuovo account confermato"
"New password","Nuova password"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter finale"
"Newsletter Information","Informazioni newsletter "
"Newsletter Received","Newsletter ricevuta"
"Newsletter Start","Newsletter inizio"
"Newsletter Subscription","Newsletter iscrizione"
"Newsletters","Newsletter"
"No Items Found","Nessun oggetto trovato"
"No Newsletter Found","Nessuna newsletter trovata"
"No item specified.","Nessun oggetto specificato"
"No product collections found","Nessuna collezione di prodotti trovata"
"Not Sent","Non inviato"
"Not confirmed, can login","Non confermato, puoi accedere"
"Not confirmed, cannot login","Non confermato, non puoi accedere"
"Number of lines in a street address ","Numero di righe dell'indirizzo fisico"
"Offline","Offline"
"Online","Online"
"Online Customers","Clienti Online"
"Online Customers Options","Opzioni clienti Online"
"Online Minutes Interval","Intervallo minuti online"
"Order #","Ordine #"
"Order #%s (%s)","Ordine #%s (%s)"
"Order List...","Lista ordini..."
"Order Total","Ordine totale"
"Orders","Ordini"
"PDF","PDF"
"Password","Password"
"Password Management","Gestione password"
"Password Options","Opzioni password"
"Password can't be empty","Il campo Password non può essere vuoto"
"Password fields can't be empty.","Il campo Password non può essere vuoto"
"Password forgotten","Password dimenticata"
"Password minimal length must be more %s","La Password deve essere lunga almeno %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La Password deve essere lunga almeno 6 caratteri. Gli spazi iniziali e finali saranno ignorati."
"Paused","In pausa"
"Payment Method","Metodo di Pagamento"
"Pending","In attesa"
"Per Website","Per sito"
"Personal Information","Informazioni personali"
"Please enter your email below and we'll send you a new password.","Inserisci la tua mail e ti verrà spedita una nuova password."
"Please enter your email below and we'll send you confirmation link for it.","Inserisci la tua email di seguito e ti invieremo un link di conferma."
"Please enter your email.","Inserisci la tua email."
"Please make sure your passwords match.","Controlla che le password coincidano."
"Please select","Seleziona"
"Please select region, state or province","Inserisci regione, stato o provincia"
"Please, check your e-mail for confirmation key.","Controlla la tua email per la Chiave di conferma"
"Prefix","Prefisso"
"Prefix dropdown options","Prefix dropdown options"
"Price","Prezzo"
"Primary Billing Address","Indirizzo di Fatturazione Principale"
"Primary Shipping Address","Indirizzo di Spedizione Principale"
"Problem saving the collection, aborting. Error: %s","Problema nel salvare la collezione, annullamento. Errore: %s"
"Product","Prodotto"
"Product ID","ID prodotto"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotto"
"Product Tags","Tag prodotto"
"Product name","Nome Prodotto"
"Purchase On","Acquista su"
"Purchased at","Acquistato a"
"Qty","Qtà"
"Recent Orders","Ordini recenti"
"Records for ""","Record per """
"Refunded","Rimborsati"
"Registered Customers","Clienti registrati"
"Remove","Rimuovi"
"Require Emails Confirmation","Conferma email richiesta"
"Retrieve address data","Recupera indirizzo dati"
"Retrieve address info","Recupera informazioni indirizzo"
"Retrieve customer addresses","Recupera indirizzi cliente"
"Retrieve customer data","Recupera dati cliente"
"Retrieve customer's groups","Recupera gruppi clienti"
"Retrieve customers","Recupera clienti"
"Retrieve customers info","Recupera Informazioni Clienti"
"Retrieve your confirmation link here","Recupera il tuo link di conferma qui"
"Retrieve your password here","Recupera la tua password qui"
"SKU","Cod."
"Sales Statistics","Statistiche vendite"
"Save","Salva"
"Save Address","Salva indirizzo"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Salva cliente"
"Save Customer Group","Salva gruppo cliente"
"Save Password","Salva password"
"Saved ","Salvato "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punto e virgola (;) per separare i valori.<br/>Metti il punto e virgola all'inizio delle prime opzioni vuote.<br/>Lascia vuoto per aprire il campo del testo."
"Send Welcome Email after Confirmation","Invia email di benvenuto dopo la conferma"
"Send auto-generated password","Manda password auto-generate"
"Send confirmation link","Invia link di conferma"
"Send welcome email","Invia email di benvenuto"
"Sending","Invio"
"Sent","Inviato"
"Session Start Time","Sessione di tempo iniziale"
"Set as Default Billing Address","Imposta come indirizzo di fatturazione predefinito"
"Set as Default Shipping Address","Imposta come indirizzo di spedizione predefinito"
"Share Customer Accounts","Condividi account cliente"
"Ship to First name","Spedisci al Nome"
"Ship to Last name","Spedisci al Cognome"
"Shipped to First Name","Inviato a Nome"
"Shipped to Last Name","Inviato a Cognome"
"Shipped to Name","Spedito a Nome"
"Shipping Information","Informazioni Spedizione"
"Shipping Method","Metodo Spedizione"
"Shopping Cart","Carrello"
"Shopping Cart - %d item(s)","Carrello - %d oggetto"
"Show Tax/VAT number","Mostra IVA"
"Show date of birth","Mostra data di nascita"
"Show middle name (initial)","Mostra secondo nome (iniziale)"
"Show prefix","Mostra prefisso"
"Show suffix","Mostra suffisso"
"Sign Up for Newsletter","Iscriviti alla newsletter"
"Sign up for our newsletter","Iscriviti alla nostra newsletter"
"Skip import row, required field ""%s"" not defined","Salta importazione riga, il campo obbligatorio ""%s"" non &egrave; stato definito"
"Skip import row, website ""%s"" field not exists","Salta importazione riga, il campo sito web ""%s"" non esiste"
"State/Province","Stato/Provincia"
"Status","Stato"
"Store","Negozio"
"Store View","Visualizza negozio"
"Street Address","Via"
"Street Address ","Via"
"Subject","Oggetto"
"Submit","Invia"
"Subscribe","Sottoscrivi"
"Subscribe to newsletter","Iscriviti alla newsletter"
"Subscribed to Newsletter?","Iscritto per la newsletter?"
"Suffix","Suffisso"
"Suffix dropdown options","Opzioni dropdown Suffisso"
"TAX/VAT number is required.","Il numero di Partita IVA è obbligatorio."
"Tag Name","Nome tag"
"Tax Class","Classe tassa"
"Tax class","Classe tassa"
"Tax/VAT number","Numero partita IVA"
"Telephone","Telefono"
"Text","Testo"
"Text One Line","Una linea di testo"
"Thank you for registering with %s","Grazie per esserti registrato con %s"
"The address does not belong to this customer","L'indirizzo non appartiene al cliente"
"The address was successfully deleted","Indirizzo eliminato correttamente"
"The address was successfully saved","Indirizzo salvato correttamente"
"The suffix that goes after name (Jr., Sr., etc.)","Il suffisso va inserito dopo il nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Il titolo va inserito prima del nome (Sig., Sig.ra, etc.)"
"There are no items in customer's wishlist at the moment","Non ci sono oggetti nella wishlist del cliente al momento"
"There are no items in customer's shopping cart at the moment","Non ci sono oggetti nel carrello del cliente al momento"
"There was an error while deleting the address","Si è verificato un errore nella cancellazione dell'indirizzo"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Questa Email verrà inviata al posto di quella di benvenuto di default dopo la conferma dell'account."
"This account is not confirmed.","Account non confermato."
"This customer has no saved addresses.","Questo cliente non ha nessun indirizzo salvato."
"This e-mail does not require confirmation.","Questa email non richiede una conferma"
"This email address was not found in our records","Questo indirizzo email non è stato trovato nel nostro database"
"This is My Primary %s Address","Questo è il Mio Indirizzo %s Principale"
"To Cart","Al carrello"
"Total","Totale"
"Type","Tipo"
"Unknown","Sconosciuto"
"Unsubscribe from newsletter","Cancella Iscrizione dalla newsletter"
"Update","Aggiorna"
"Update customer address data","Aggiorna dati indirizzo cliente"
"Update customer data","Aggiorna dati cliente"
"Use as My Primary %s Address","Usa come Indirizzo %s Principale"
"Use as my default billing address","Usa come mio indirizzo di fatturazione predefinito"
"Use as my default shipping address","Usa come mio indirizzo di spedizione predefinito"
"User description","Descizione utente"
"View","Visualizza"
"View Order","Visualizza ordine"
"View Order List","Guarda Lista Ordini"
"Visible In","Visibile In"
"Visitor","Visitatore"
"Visitors Only","Solo visitatore"
"Website","Sito"
"Welcome Email","Email di benvenuto"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d oggetti"
"Wrong confirmation key.","Codice di conferma errato"
"Wrong customer account specified.","Account cliente specificato errato"
"Wrong email.","Email errata."
"Wrong region id by selected country","Id regione non corretta dalla nazione selezionata"
"Wrong transactional account email type.","Tipo di email accout transizionali errato."
"XML","XML"
"YYYY","AAAA"
"Year","Anno"
"You are currently not subscribed to any newsletter.","Non sei iscritto a nessuna newletter al momento."
"You are currently not subscribed to our newsletter","Non sei iscritto alla newsletter"
"You are currently subscribed to 'General Subscription'.","Sei attualmente iscritto a  'Iscrizioni generali'."
"You are currently subscribed to our newsletter","Sei iscritto alla newsletter"
"You are currently subscribed to our newsletter.","Sei attualmente iscritto alla nostra newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sei uscito correttamente e sarai indirizzato alla pagina principale entro 5 secondi."
"You have no additional address entries in your address book.","Non hai altre voci di indirizzi nella tua rubrica."
"You have no additional entries in your address book.","Non hai altre voci nella rubrica."
"You have no default billing address in your address book.","Non hai un indirizzo di fatturazione predefinito nella rubrica."
"You have no default shipping address in your address book.","Non hai un indirizzo di spedizione predefinito nella rubrica."
"You have no primary entries in your address book.","Non hai occorrenze principali nella tua rubrica."
"You have not set a primary billing address.","Non hai impostato l'indirizzo principale di fatturazione."
"You have not set a primary shipping address.","Non hai impostato l'indirizzo principale di spedizione."
"You have placed no orders yet.","Non hai ancora effettuato nessun ordine."
"You have placed no products yet.","Non hai ancora inserito nessun prodotto."
"You're now Logged Out","Hai effettuato il Log Out"
"Your account balance is: %s","Il bilancio del tuo account è: %s"
"ZIP","CAP"
"ZIP/Post Code","CAP"
"ZIP/Postal Code","ZIP/Codice Postale"
"Zip/Postal Code","CAP"
"n/a","n/d"
"or","o"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
