"%s was successfully added to your shopping cart.","%s è stato aggiunto con successo nel tuo carrello"
"Invalid data","Dati non validi"
"Invalid email address ""%s""","Indirizzo email NON valido ""%s"""
"Invalid shipping method.","Metodo di Spedizione Invalido."
"Items","Articoli"
"Load customer quote error","Caricamento cliente errore menzionato"
"Loading next step...","Caricamento passo successivo..."
"Login","Accedi"
"Manage Checkout Terms and Conditions","Gestione Checkout Termini e condizioni"
"Maximum display Recently added item(s)","Visualizzazione Massima articoli aggiunti di recente"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qta massima consentita per la Spedizione ad indirizzi multipli &egrave; %s"
"Move to Wishlist","Sposta nella Wishlist"
"My Account","Il Mio Account"
"My Cart","Il mio carrello"
"My Cart (%s item)","Il mio carrello (%s articoli)"
"My Cart (%s items)","Il mio carrello (%s articoli)"
"My Cart Link","Il mio carrello Link"
"New Address","Nuovo indirizzo"
"New Condition","Nuova condizione"
"Order #","Ordine #"
"Order Review","Rivedi ordine"
"Order Success","Ordine riuscito"
"Other items in your order","Altri articoli nel tuo ordine"
"Password","Password"
"Payment Failed Email Reciever","Pagamento non riuscito destinatario email"
"Payment Failed Email Sender","Pagamento non riuscito mittente email"
"Payment Failed Emails","Emai pagamento non riuscito"
"Payment Failed Template","Template pagamento non riuscito"
"Payment Information","Informazioni di pagamento"
"Payment Method","Metodo di pagamento"
"Payment method is not defined","Metodo di pagamento non definito"
"Place Order","Effettua ordine"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Continua gli Acquisti</a>."
"Please agree to all Terms and Conditions before placing the order.","Accetta tutti i termini e le condizioni prima di effettuare l'ordine."
"Please agree to all Terms and Conditions before placing the orders.","Accetta tutti i termini e le condizioni prima di effettuare gli ordini."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserisci un codice postale valido. Per esempio 20100 o 00100."
"Please log in below:","Accedi:"
"Please select region, state or province","Selezona regione, stato o provincia"
"Please select shipping address for applicable items","Seleziona un indirizzo di spedizione applicabile agli articoli"
"Please select shipping methods for all addresses","Seleziona i metodi di pagamento per tutti gli indirizzi"
"Price","Prezzo"
"Proceed to Checkout","Procedi al Checkout"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Product does not exist","Il prodotto non esiste"
"Qty","Qtà"
"Quote Lifetime (days)","Durata dichiarata (giorni)"
"Recently added item(s)","Articoli/o aggiunti di recente"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per Creare un Account"
"Register with us for future convenience:","Registrati con noi per i vantaggi futuri:"
"Remove","Rimuovi"
"Remove Item","Rimuovi articolo"
"Remove Product","Rimuovi Prodotto"
"Remove item","Rimuovi articolo"
"Review Order","Rivedi ordine"
"Review Order - %s","Rivedi ordine - %s"
"Sales","Vendite"
"Save Condition","Salva condizione"
"Save in address book","Salva nella rubrica"
"Select Address","Seleziona indirizzo"
"Select Addresses","Seleziona indirizzi"
"Select Shipping Method","Seleziona metodo di spedizione"
"Select State/Province...","Seleziona Stato/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di spedizione dalla tua rubrica o inserisci un nuovo indirizzo."
"Send Payment Failed Email Copy Method","Invia una copia via email del metodo di pagamento non riuscito"
"Send Payment Failed Email Copy To","Invia via email una copia del pagamento non riuscito a"
"Send to","Invia a"
"Ship to Multiple Addresses","Spedisci a più indirizzi"
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Shipping Address","Indirizzo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping method has not been selected yet","Il metodo di spedizione non è stato ancora selezionato"
"Shipping selection is not applicable","Scelta di Spedizione non applicabile"
"Shipping to","Spedisci a"
"Shopping Cart","Carrello"
"Shopping Cart Sidebar","Sidebar carrello"
"Shopping Cart is Empty","Il carrello è vuoto"
"Show Content as","Mostra contenuto come"
"Some of the products you requested are not available in the desired quantity","Alcuni prodotti da te richiesti non sono disponibili"
"Some of the products you requested are unavailable","Alcuni prodotti da te richiesti sono indisponibili"
"Sorry, Onepage Checkout is disabled.","Spiacente, il Onepage Checkout non è abilitato."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Spiacente, il checkout per gli ospiti non è possibile. Riprova più tardi o contatta il proprietario del negozio."
"Sorry, no quotes are available for this order at this time.","Ci dispiace, non è disponibile nessun preventivo per questo ordine al momento."
"State/Province","Stato/Provincia"
"Status","Stato"
"Store View","Vista negozio"
"Street Address","Indirizzo"
"Street Address ","Indirizzo fisico"
"Submitting order information...","Presenta informazioni ordine..."
"Subtotal","Subtotale"
"Telephone","Telefono"
"Terms and Conditions","Termini e condizioni"
"Terms and Conditions Information","Informazioni termini e condizioni"
"Terms and conditions","Termini e condizioni"
"Text","Testo"
"Thank you for your purchase!","Ti ringraziamo per il tuo acquisto!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Ci sono <a href=""%s""><strong>%s articoli</strong></a> nel carrello."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","C'è <a href=""%s""><strong>1 articolo</strong></a> nel tuo carrello."
"There is already a customer registered using this email address","C'è già un cliente registrato usando questo indirizzo email"
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione del tuo ordine. Contattaci o prova di nuovo più tardi."
"This condition no longer exists","Questa condizione non è più esistente"
"Total","Totale"
"Total for this address","Totale per questo indirizzo"
"Unit Price","Prezzo unitario"
"Update Qty &amp; Addresses","Aggiorna Qtà &amp; indirizzi"
"Update Shopping Cart","Aggiorna carrello"
"Update Total","Aggiorna totale"
"Use Billing Address","Utilizza indirizzo di fatturazione"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Stiamo elaborando il tuo ordine a breve riceverai un email con i dettagli dell'ordine. Una volta che l'ordine sarà spedito riceverai un altra email con il link per seguirne i progressi."
"You have no items in your shopping cart.","Non hai articoli nel carrello."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai una conferma dell'ordine via email con i dettagli del tuo ordine e il link per seguirne i progressi."
"Your Checkout Progress","I tuoi progressi Checkout"
"Your order # is: %s","Il tuo N° Ordine è: %s"
"Your order # is: <a href=""%s"">%s</a>","Il tuo ordine # è: <a href=""%s"">%s</a>"
"Your order has been received","Il tuo ordine è stato ricevuto"
"Your order number is ","Il tuo numero d'ordine è"
"Zip/Postal Code","Zip/Codice postale"
"osCommerce Orders","Ordini osCommerce"
"separate by "",""","separati da "","""
"My Cart","Carrello"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
