" and ","e"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire un codice zip valido. Per esempio 90602 o 90602-1234."
"Please enter valid password.","Inserire password."
"Please make sure that your changes were saved before running the profile.","Assicurati che le modifiche siano salvate prima di eseguire il profilo."
"Please make sure your passwords match.","Assicurati che le passwords corrispondano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select an option.","Selezionare un'opzione."
"Please select one of the above options.","Selezionare una delle opzioni qui sopra."
"Please select one of the options.","Selezionare una delle opzioni."
"Please use in this field only ""a-z,0-9,_"".","Utilizzare in questo campo solo ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Utilizzare solo lettere (a-z) in questo campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Usa solo numeri in questo campo. Non usare spazi o altri caratteri come punti e virgole."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z) o solo numeri (0-9) in questo campo. Spazi e altri caratteri non sono ammessi."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z) o solo numeri (0-9) o spazi e solo # in questo campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizzare questo formato per la data: dd/mm/yyyy. Per esempio 17/03/2006 per il 17 Marzo, 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Please, select a store view","Seleziona una vetrina"
"Prev. month (hold for menu)","Prev. mese (tenere premuto per il menu)"
"Prev. year (hold for menu)","Prev. anno (tenere premuti per il menu)"
"Previous page","Pagina precedente"
"Price","Prezzo"
"Price:","Prezzo:"
"Primary Billing Address","Indirizzo Fatturazione Primario"
"Processed <strong>%s%% %s/%d</strong> items","Articoli <strong>%s%% %s/%d</strong> elaborati"
"Product","Prodotto"
"Products","Prodotti"
"Profile Information","Informazioni profilo"
"Provided Files","File Forniti"
"Qty","Qtà"
"Read details","Leggi i dettagli"
"Recommended","Raccomandati"
"Remote FTP","FTP Remoto"
"Remote URL:","Rimuovi URL:"
"Remove","Rimuovi"
"Resource Access","Accesso risorsa"
"Resources","Risorse"
"Role","Ruolo"
"Role Users","Ruolo utenti"
"Roles","Ruoli"
"Roles Resources","Risorse ruoli"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Schedule Merge"
"Select All","Seleziona tutto"
"Select Date","Seleziona data"
"Select Range","Seleziona intervallo"
"Select Visible","Seleziona visibile"
"Select date","Seleziona data"
"Select website from map","Seleziona sito dalla mappa"
"Select website to map","Select website to map"
"Shipment Comments","Commenti spedizione"
"Shipment History","Cronologia spedizione"
"Shipping Address","Indirizzo di spedizione"
"Shipping address selection is not applicable","La selezione dell'indirizzo di spedizione non è applicabile"
"Shipping method selection is not applicable","La selezione del metodo di spedizione non è applicabile"
"Show Report for","Mostra Report per"
"Show by","Mostra per"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alcuni prodotti in questo ordine hanno una fattura e tipi di spedizione diversi. Puoi creare spedizioni solo dopo che è stata creata la fattura."
"Sort Order","Criterio ordinamento"
"Spreadsheet Name:","Nome foglio di calcolo:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Data di inizio"
"State/Province:","Stato/Provincia:"
"Status","Stato"
"Status:","Stato:"
"Stock Quantity:","Quantità disponibile:"
"Store:","Negozio:"
"Store: ","Store: "
"Subpackage","Sotto-pacchetto"
"Subpackages","Sotto-pacchetti"
"Summary:","Riassunto:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo emissione numero carta di credito: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo Data inizio carta: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Solo Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) emissione numero carta: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data inizio carta: %s/%s"
"The information in this tab has been changed.","Le informazioni in questa scheda sono state modificate."
"This is a required field.","È un campo obbligatorio."
"This tab contains invalid data. Please solve the problem before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
"Thumbnail","Anteprima"
"Time selection:","Seleziona ora:"
"Time:","Ora:"
"To","a"
"Top 5 Search Terms","5 termini di ricerca più usati"
"Total %d records found","Trovati %d records totali"
"Track order","Traccia Ordine"
"Track this shipment","Traccia questa spedizione"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Impossibile effettuare il log in."
"Unselect All","Deseleziona tutto"
"Unselect Visible","Deseleziona visibile"
"Upgrade All Available Packages","Aggiorna tutti i Pacchi Disponibili"
"Upload Local File","Upload un file Locale"
"Upload local file:","Upload un file Locale:"
"Use Default Value","Usa valore predefiito"
"User","Utente"
"User Name","Nome utente"
"User Roles","Ruoli utente"
"User name","Nome utente"
"Users","Utenti"
"Value Delimiter:","Delimitatore valore:"
"Version:","Versione:"
"View","Vedi"
"View Statistics for","Guarda Statistiche per"
"Visibility:","Visibilità:"
"Warning! Empty value can cause problems with CSV format.","Attenzione! Un valore vuoto può causare problemi con il formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Attenzione!rnQuesta azione rimuoverà quegli utenti a cui è stato assengato un ruolornSei Sicuro?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Attenzione!rnQuesta azione rimuoverà quegli utenti a cui è stato assengato un ruolornSei Sicuro?"
"Web Services","Servizi web"
"Web Services Configuration","Configurazione Servizi Web"
"Website: ","Siti Web:"
"Websites","Siti Web"
"Websites / Stores","Siti Web / Store"
"What is this?","Che cosa è questo?"
"Yes","Si"
"You have","Hai"
"Your Account has been deactivated.","Il tuo account è stato disattivato."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Le impostazioni del tuo server PHP non ti permettono di caricare più di %s file per volta. Modifica i valori di post_max_size (attualmente è %s) e upload_max_filesize (attualmente è %s) in php.ini se vuoi caricare file più grandi."
"Zip/Postal Code:","Zip/CAP:"
"critical","critico"
"images/logo.gif","immagine/logo.gif"
"items selected","prodotti selezionati"
"major","principale"
"md5sum","md5sum"
"minor","secondario"
"notice","avviso"
"of %s pages","di %s pagine"
"or","oppure"
"per page","per pagina"
"to","a"
