"# of Use","# käyttökertaa"
"Edit Search '%s'","Muokkaa hakua '%s'"
"Email","Sähköposti"
"Email to a Friend","Sähköpostita ystävälle"
"Empty","Tyhjä"
"Enabled","Käytössä"
"Error during retrieval of option value: %s","Virhe noudettaessa vaihtoehdon arvoa: %s"
"Error while adding customers for %s alert. Message: %s","Virhe lisättäessä asiakkaita %s ilmoitukseen. Viesti: %s"
"Error while saving this group. Group with the same name already exists.","Virhe tallennettaessa tätä ryhmää. Samalla nimellä on jo ryhmä."
"Error while saving this group. Please try again later.","Virhe tallennettaessa tätä ryhmää. Ole hyvä ja yritä myöhemmin uudelleen."
"Exclude","Sulje pois"
"Expand All","Avaa kaikki"
"Failed","Epäonnistui"
"Failed to move file: %s","Tiedoston siirto epäonnistui: %s"
"Feature Products","Esillä olevat tuotteet"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Suodatinmallin nimi täytyy määrittää"
"Filter must be as object. Set correct filter please","Suodattimen täytyy olla kohde. Aseta oikea suodatin, ole hyvä."
"Filterable (no results)","Suodatettava (ei tuloksia)"
"Filterable (with results)","Suodatettava (tuloksellinen)"
"Filters must be as array","Suodattimien täytyy olla taulukkona"
"First Name","Etunimi"
"Fixed","Kiinteä"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Sisäiseen käyttöön. Täytyy olla yksilöllinen ilman välilyöntejä."
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Kaupan näkymä"
"Frontend Model","Kauppan näkymän malli"
"Frontend Properties","Kaupan näkymän asetukset"
"Gallery","Galleria"
"General Information","Yleiset tiedot"
"Get special price","Get special price"
"Global","Globaali"
"Globally Editable","Globaalisti muokattava"
"Go to Home Page","Mene etusivulle"
"Grid","Taulukkona"
"Grouped Product","Ryhmätuote"
"Groups","Ryhmät"
"Home","Etusivu"
"ID","Tunniste"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määrittele ominaisuuden arvoa kaupalle, oletusarvoa (Admin) käytetään."
"Image","Kuva"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Kuvatiedostoa ei löydy"
"Image not exists","Kuvaa ei ole olemassa"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Kuvan tyyppi ja tiedot täytyy määritellä jokaisella kauppanäkymälle."
"In Stock","Varastossa"
"In stock","Varastossa"
"In stock.","Varastossa."
"Incl. Tax","Verollinen"
"Input Type","Tiedon tyyppi"
"Input Validation for Store Owner","Syöttövahvistus kaupan omistajalle"
"Integer","Kokonaisluku"
"Integer Number","Kokonaisluku"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Virheellinen vaihtoehto määritetty ominaisuudelle %s (%s), hypätään tietueen yli"
"Invalid attribute set specified, skipping the record","Virheellinen ominaisuuksien joukko määritetty, hypätään tietueen yli"
"Invalid block: %s","Virheellinen sisältölohko: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Virheelliset kategorian tunnisteet"
"Invalid image file type","Virheellinen kuvan tiedostotyyppi."
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Virheellinen vaihtoehdon tunniste määritetty tuotteelle (?) %s (%s), hypätään tietueen yli"
"Invalid product type specified, skipping the record","Virheellinen tuotetyyppi määritetty, hypätään tietueen yli"
"Invalid store specified","Virheellinen kauppa määritetty"
"Invalid store specified, skipping the record","Virheellinen kauppa määritetty, hypätään tietueen yli"
"Inventory","Varasto"
"Is Default","On oletus"
"Is Required","Vaadittu"
"Items %s to %s of %s total","Tuotteet %s-%s / %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Tuotteiden tilaksi, joiden et halua näkyvän katalogissa tai haussa tulee asettaa halutussa kaupassa 'Ei käytössä' ."
"Label","Nimike"
"Last Name","Sukunimi"
"Last Notification","Viimeinen muistutus"
"Learn More","Lue lisää..."
"Length of text is too long","Teksti on liian pitkä"
"Letters","Kirjaimet"
"Letters(a-zA-Z) or Numbers(0-9)","Kirjaimet (a-z A-Z) tai numerot (0-9)"
"Line %d, Email: %s","Rivi %d, sähköposti: %s"
"Line %d, SKU: %s","Rivi %d, tuotenumero: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Listana"
"List Mode","Listatila"
"Manage Attribute Sets","Hallinnoi ominaisuuksien joukkoja"
"Manage Attributes","Hallinnoi ominaisuuksia"
"Manage Catalog Categories","Hallinnoi katalogin kategorioita"
"Manage Categories","Hallinnoi kategorioita"
"Manage Label / Options","Hallinnoi nimikettä / vaihtoehtoja"
"Manage Options (values of your attribute)","Hallinnoi vaihtoehtoja (ominaisuuksien arvoja)"
"Manage Product Attributes","Hallinnoi tuotteiden ominaisuuksia"
"Manage Product Sets","Hallinnoi tuotteiden kokonaisuuksia"
"Manage Products","Hallinnoi tuotteita"
"Manage Stock","Ota varastonhallinta käyttöön"
"Manage Titles (Size, Color, etc.)","Hallinnoi otsikoita (koko, väri, jne.)"
"Max Characters","Suurin sallittu merkkimäärä"
"Maximal Depth","Syvyys enintään"
"Maximum Image Size","Suurin sallittu kuvan koko"
"Maximum Qty Allowed in Shopping Cart","Suurin sallittu määrä ostoskorissa"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Suurin sallittu merkkimäärä"
"Media Image","Mediakuva"
"Minimum Lines Per Page","Rivien vähimmäismäärä/sivu"
"Minimum Qty Allowed in Shopping Cart","Pienin sallittu määrä ostoskorissa"
"Minimum Qty for Item's Status to be Out of Stock","Vähimmäismäärä, jolloin tuote merkataan varastosta loppuneeksi"
"Missing SKU, skipping the record","Tuotekoodi puuttuu, hypätään tietueen yli"
"More Views","Lisää kuvia"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Monivalinta"
"Name","Nimi"
"Name In %s","Nimi (missä) %s"
"Name<br/>(For internal use)","Nimi<br/>(sisäiseen käyttöön)"
"New Category","Uusi kategoria"
"New Product","Uusi tuote"
"New Product Attribute","Uusi tuoteominaisuus"
"New Products","Uudet tuotteet"
"New Search","Uusi haku"
"New Set Name","Uusi kokonaisuuden nimi"
"Next","Seuraava"
"No","Ei"
"No image","Ei kuvaa"
"No layout updates","Ei sommitelman päivityksiä"
"No options of this product are available.","Tälle tuotteelle ei ole saatavilla vaihtoehtoja."
"No product collections found","Tuotteiden kokoelmia ei löytynyt"
"None","Ei mikään"
"Not shared with other products","Ei jaeta toisten tuotteiden kanssa"
"Notify Low Stock RSS","Ilmoita huono varastotilanne RSS-syötteellä"
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Nowhere","Ei missään"
"Number of Uses","Käyttökerrat"
"Number of results<br/>(For last time placed)","Tulosten määrä<br/>(Kun haettiin viimeksi)"
"OR","TAI"
"Old Price:","Vanha hinta:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Vaihtoehto:"
"Options Control","Vaihtoehtojen hallinta"
"Options is required","Vaihtoehdot vaaditaan"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Loppu varastosta"
"Out of stock","Loppu varastosta"
"Out of stock.","Loppu varastosta."
"PM","PM"
"Page Title Separator","Sivun otsikon erotin"
"Page:","Sivu:"
"Parent Category","Yläkategoria"
"Pending","Odottaa"
"Pending Reviews RSS","Odottavien arvostelujen RSS-syöte"
"Percentage","Prosenttiosuus"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Ole hyvä ja klikkaa 'Sulje ikkuna -nappia' jos se ei sulkeudu automaattisesti"
"Please enter a new group name","Anna uusi ryhmän nimi"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Valitse yksi tai useampi ominaisuus."
"Please select product(s)","Valitse tuote tai tuotteita"
"Please select products for attributes update","Valitse ominaisuuksien päivitykselle tuotteet"
"Please select static block ...","Valitse muuttumaton sisältölohko..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Valitse tuotteen ominaisuudet"
"Please specify the product required option(s)","Määritä tuotteen tiedot"
"Please specify the product(s) quantity","Syötä tuotteiden määrät"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Käytä vuosissa nelinumeroista muotoa"
"Position","Sijainti"
"Position In Layered Navigation","Sijainti kerroksittaisessa navigaatiossa"
"Position of attribute in layered navigation block","Ominaisuuden sijainti kerroksittaisen navigaation sisältölohkossa"
"Prev","Edellinen"
"Previous","Edellinen"
"Price","Hinta"
"Price Type","Hinnan tyyppi"
"Price values for options should be specified in system base currency.","Hinta-arvot vaihtoehdoille tulee määrittää järjestelmän kantavaluutassa."
"Price:","Hinta:"
"Print This Page","Tulosta tämä sivu"
"Problem saving the collection, aborting. Error: %s","Virhe tallennettaessa kokoelmaa, keskeytetään. Virhe: %s"
"Product","Tuote"
"Product %s successfully added to compare list","Tuote %s lisätty vertailuun"
"Product %s successfully removed from compare list","Tuote %s poistettu vertailusta"
"Product API","Product API"
"Product Alerts","Tuotehälytykset"
"Product Attribute","Tuotteen ominaisuus"
"Product Attributes","Tuotteen ominaisuudet"
"Product Categories","Tuotekategoriat"
"Product Description","Kuvaus"
"Product Image Placeholders","Tuotekuvien paikanpitäjät"
"Product Image Watermarks","Tuotekuvien vesileimat"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Tuote sivustoilla"
"Product Info Column","Samassa palstassa tuotetietojen kanssa"
"Product Information","Tuotteen tiedot"
"Product Name","Tuotteen nimi"
"Product Reviews","Tuotteen arvostelu"
"Product Tags","Tuotteen asiasanat"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tuotteen tyyppi"
"Product URL Suffix","Tuotteiden URL:n pääte"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Tuotteen ominaisuus poistettu"
"Product attribute was successfully saved","Tuotteen ominaisuus tallennettu"
"Product attributes API","Product attributes API"
"Product collection expected","Tuotevalikoima odotettavissa"
"Product deleted","Tuote poistettu"
"Product duplicated","Tuotteesta tehtiin kaksoiskappale"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Tuotelistan järjestys"
"Product saving error.","Tuotteen tallennusvirhe"
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Tuote luotu."
"Product was successfully saved.","Tuote tallennettu."
"Product with this combination of attributes already associated to configurable.","Tuote tällä yhdistelmällä on jo ominaisuuksia liitettynä muokattavaan tuotteeseen."
"Products","Tuotteet"
"Products Information","Tuotteiden tiedot"
"Products Reviews","Tuotteiden arvostelut"
"Products Sitemap","Tuotteiden sivukartta"
"Products only","Vain tuotteet"
"Products per Page on Grid default value","Tuotteita/sivu taulukossa, oletusarvo"
"Products per Page on List allowed values","Tuotteita/sivu listassa, sallitut arvot"
"Products per Page on List default value","Tuotteita/sivu listassa, oletusarvo"
"Products per page on Grid allowed values","Tuotteita/sivu taulukossa, sallitut arvot"
"Properties","Asetukset"
"Qty","Kpl"
"Qty Uses Decimals","Kpl desimaalein"
"Qty for Item's Status to become Out of Stock","Määrä, jolloin tuote merkataan varastosta loppuneeksi"
"Quick Create","Nopea luonti"
"Quick Overview","Kuvaus"
"Quick simple product creation","Nopea yksinkertaisen tuotteen luonti"
"Records for ""","Tietueet (mille) """
"Redirect","Uudelleenohjaus"
"Redirect URL","Uudelleenohjaus osoitteeseen"
"Regular Price:","Normaali hinta:"
"Related Products","Liittyvät tuotteet"
"Remove","Poista"
"Remove Product","Poista tuote"
"Remove Product From Websites","Poista tuote sivustoilta"
"Remove This Item","Poista tämä"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Vaadittu"
"Reset","Tyhjennä"
"Results","Tulokset"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Arvostelu poistettu"
"Review was saved successfully","Arvostelu tallennettu"
"Review was successfully saved","Arvostelu tallennettu"
"Reviews","Arvostelut"
"Roll Over for preview","Aja yli esikatselua varten"
"Root","Juuri"
"SKU","Tuotekoodi"
"Save","Tallenna"
"Save And Continue Edit","Tallenna ja jatka muokkaamista"
"Save Attribute","Tallenna ominaisuus"
"Save Attribute Set","Tallenna ominaisuuskokoelma"
"Save Category","Tallenna kategoria"
"Save Search","Tallenna haku"
"Saved ","Tallennettu"
"Scope","Näkymä"
"Search","Haku"
"Search Engine Optimizations","Hakukoneoptimointi"
"Search Information","Haun tiedot"
"Search Query","Hakulauseke"
"Search Term was successfully saved","Hakusana tallennettu"
"Search Term with such search query already exist.","Hakusana kyseisellä hakulausekkeella on jo olemassa."
"Search was successfully deleted","Haku poistettu"
"Searchable","Haettavissa"
"Select Configurable Attributes ","Valitse muokattavat ominaisuudet"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Valitut tuotetyypit"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Lähetysmääräu"
"Set Ascending Direction","Nouseva"
"Set Descending Direction","Laskeva"
"Set Name","Aseta nimi"
"Set Root Category For Store","Aseta juurikategoria kaupalle"
"Set root category for this store in the <a href=""%s"">configuration</a>","Aseta juurikategoria tälle kaupalle <a href=""%s"">asetuksissa</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Asetukset"
"Shop by","Rajaa"
"Shopping Options","Ominaisuudet"
"Show","Näytä:"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Yksinkertainen tuote"
"Site Map","Sivukartta"
"Sitemap","Sivustokartta"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ohitetaan rivin tuonti, ""%s"" on virheellinen arvo tietokentälle ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty uusille asiakkaille"
"Skip import row, required field ""%s"" for new products not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty uusille tuotteille"
"Skip import row, required field ""%s"" not defined","Ohitetaan rivin tuonti, vaadittua tietokenttää ""%s"" ei ole määritetty"
"Skip import row, store ""%s"" field not exists","Ohitetaan rivin tuonti, kaupan ""%s"" tietokenttää ei ole olemassa"
"Sort Order","Järjestys"
"Sort by","Järjestys"
"Source Model","Lähteen malli"
"Special Price:","Erikoishinta:"
"Starting at:","Alkaen:"
"Static","Muuttumaton"
"Static block and products","Muuttumaton sisältölohko ja tuotteet"
"Static block only","Ainoastaan muuttumaton sisältölohko"
"Status","Tila"
"Stock Availability","Saatavuus"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Stretch","Venytä"
"Subscribe to Feed","Tilaa syöte"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Super product attributes configuration","Supertuotteen ominaisuuksien asetukset"
"Synonym For","Synonyymi sanalle"
"Synonym for","Synonyymi sanalle"
"System","Järjestelmä"
"System Properties","Järjestelmäasetukset"
"Tag Name","Asiasanan nimi"
"Tax","Tax"
"Text","Teksti"
"Text Area","Tekstialue"
"Text Field","Tekstikenttä"
"There are no %s available.","%s ei ole saatavilla."
"There are no customers for this alert","Tälle hälytykselle ei ole asiakkaita"
"There are no products matching the selection.","Valintaa vastaavia tuotteita ei ole."
"There was an error while adding products to websites","Lisättäessä tuotteita sivustoille tapahtui virhe."
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Tuotteita poistettaessa sivustoilta tapahtui virhe"
"There was an error while updating product(s) attributes","Tuotteiden ominaisuuksia päivitettäessä tapahtui virhe."
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Tätä ominaisuutta ei enää ole olemassa."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Tämä ryhmä sisältää järjestelmän ominaisuuksia. Siirrä järjestelmän ominaisuudet toiseen ryhmään ja yritä uudelleen."
"This is a required option","Tämä on vaadittu tieto"
"This search no longer exists","Tätä hakua ei enää ole olemassa"
"Tier Pricing","Määräalennukset"
"Tile","Tile (palikka)"
"Time format","Ajan muoto"
"Title","Title"
"Top/Left","Ylhäällä/vasemmalla"
"Top/Right","Ylhäällä/oikealla"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Yhteensä %d tietuetta poistettu"
"Total of %d record(s) were successfully updated","Yhteensä %d tietuetta päivitetty"
"Type","Tyyppi"
"Unable to complete request. Please try again later.","Pyyntöä ei voida täyttää. Ole hyvä ja yritä uudestaan."
"Unable to find a search term to delete","Poistettavaa hakusanaa ei löydy"
"Unable to find an attribute to delete","Poistettavaa ominaisuutta ei löydy"
"Unable to get product id.","Tuotteen tunnistetta ei saada."
"Unassigned Attributes","Asettamattomat ominaisuudet"
"Unique Value","Yksilöllinen arvo"
"Unique Value (not shared with other products)","Yksilöllinen arvo (ei sama muiden tuotteiden kanssa)"
"Unknown attribute: %s","Tuntematon ominaisuus: %s"
"Up-sells","Myyjälle suosiolliset tuotteet"
"Update","Update"
