"* Required Fields","* Vaaditut tiedot"
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Salasanan täytyy olla vähintään 6 merkkiä. Salasanan alussa tai lopussa olevaa välilyöntiä ei huomioida."
"Paused","Pysäytetty"
"Payment Method","Maksutapa"
"Pending","Odottaa"
"Per Website","/ sivusto"
"Personal Information","Henkilökohtaiset tiedot"
"Please enter your email below and we'll send you a new password.","Anna sähköpostiosoitteesi, niin lähetämme sinulle uuden salasanan."
"Please enter your email below and we'll send you confirmation link for it.","Syötä sähköpostiosoitteesi, lähetämme vahvistuslinkin."
"Please enter your email.","Anna sähköpostiosoitteesi."
"Please make sure your passwords match.","Tarkista, että salasanasi täsmäävät"
"Please select","Valitse"
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Etuliite"
"Prefix dropdown options","Prefix dropdown options"
"Price","Hinta"
"Primary Billing Address","Ensisijainen laskutusosoite"
"Primary Shipping Address","Ensisijainen lähetysosoite"
"Problem saving the collection, aborting. Error: %s","Ongelma tallennettaessa kokoelmaa, keskeytetään. Virhe: %s"
"Product","Tuote"
"Product ID","Tuotetunniste"
"Product Name","Tuotenimi"
"Product Reviews","Tuotearvostelu"
"Product Tags","Tuotteen asiasanat"
"Product name","Tuotenimi"
"Purchase On","Ostettu"
"Purchased at","Ostettu"
"Qty","Kpl"
"Recent Orders","Edelliset tilaukset"
"Records for ""","Tietueet """
"Refunded","Hyvitetty"
"Registered Customers","Rekisteröityneet asiakkaat"
"Remove","Poista"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Nouda salasanasi täältä"
"SKU","Tuotenumero"
"Sales Statistics","Myyntitilastot"
"Save","Tallenna"
"Save Address","Tallenna osoite"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Tallenna asiakas"
"Save Customer Group","Tallenna asiakasryhmä"
"Save Password","Tallenna salasana"
"Saved ","Tallennettu"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Lähetä automaattisesti luotu salasana"
"Send confirmation link","Send confirmation link"
"Send welcome email","Lähetä tervetuliaisposti"
"Sending","Lähetetään"
"Sent","Lähetetty"
"Session Start Time","Istunto alkoi"
"Set as Default Billing Address","Aseta ensisijaiseksi laskutusosoitteeksi"
"Set as Default Shipping Address","Aseta ensisijaiseksi lähetysosoitteeksi"
"Share Customer Accounts","Jaa asiakastilit"
"Ship to First name","Vastaanottajan etunimi"
"Ship to Last name","Vastaanottajan sukunimi"
"Shipped to First Name","Vastaanottajan etunimi"
"Shipped to Last Name","Vastaanottajan sukunimi"
"Shipped to Name","Vastaanottajan nimi"
"Shipping Information","Lähetystiedot"
"Shipping Method","Lähetystapa"
"Shopping Cart","Ostoskori"
"Shopping Cart - %d item(s)","Ostoskori - %d tuote(tta)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Tilaa uutiskirje"
"Sign up for our newsletter","Tilaa uutiskirjeemme"
"Skip import row, required field ""%s"" not defined","Ohitetaan rivin tuonti, vaadittavaa kenttää ""%s"" ei ole määritetty"
"Skip import row, website ""%s"" field not exists","Ohitetaan rivin tuonti, sivustoa ""%s"" ei ole olemassa"
"State/Province","Osavaltio / Provinssi"
"Status","Tila"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Street Address","Katuosoite"
"Street Address ","Street Address "
"Subject","Aihe"
"Submit","Lähetä"
"Subscribe","Tilaa"
"Subscribe to newsletter","Uutiskirjeen tilaus"
"Subscribed to Newsletter?","Uutiskirje tilattu?"
"Suffix","Loppuliite"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Asiasanan nimi"
"Tax Class","Veroluokka"
"Tax class","Veroluokka"
"Tax/VAT number","Y-tunnus"
"Telephone","Puhelin"
"Text","Teksti"
"Text One Line","Teksti yksi rivi"
"Thank you for registering with %s","Kiitos rekisteröitymisestäsi %s-verkokauppaan"
"The address does not belong to this customer","Osoite ei kuulu tälle asiakkaalle"
"The address was successfully deleted","Osoite poistettu"
"The address was successfully saved","Osoite tallennettu"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Asiakkaan toivelistalla ei tällä hetkellä ole kohteita"
"There are no items in customer's shopping cart at the moment","Asiakkaan ostoskorissa ei ole tällä hetkellä tuotteita"
"There was an error while deleting the address","Osoitetta poistaessa tapahtui virhe"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","Tätä asiakastiliä ei ole vahvistettu."
"This customer has no saved addresses.","Tällä asiakkaalla ei ole tallennettuja osoitteita."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Sähköpostiosoitteesta ei löydy merkintää"
"This is My Primary %s Address","Tämä on ensisijainen %s osoitteeni"
"To Cart","Ostoskoriin"
"Total","Kokonaissumma"
"Type","Tyyppi"
"Unknown","Tuntematon"
"Unsubscribe from newsletter","Peruuta uutiskirjeen tilaus"
"Update","Päivitä"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Käytä minun ensisijaisena %s osoitteena"
"Use as my default billing address","Käytä ensisijaisena laskutusosoitteenani"
"Use as my default shipping address","Käytä ensisijaisena lähetysosoitteenani"
"User description","Käyttäjän kuvaus"
"View","Näkymä"
"View Order","Katso tilausta"
"View Order List","Katso tilauslistaa"
"Visible In","Näkyvillä"
"Visitor","Vieras"
"Visitors Only","Vain vieraille"
"Website","Sivusto"
"Welcome Email","Welcome Email"
"Wishlist","Toivelista"
"Wishlist - %d item(s)","Toivelista - %d tuote(tta)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Väärä alueen tunniste valitulla maalla"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","VVVV"
"Year","Year"
"You are currently not subscribed to any newsletter.","Et ole tällä hetkellä minkään uutiskirjeen tilaaja."
"You are currently not subscribed to our newsletter","Et ole tällä hetkellä uutiskirjeemme tilaaja."
"You are currently subscribed to 'General Subscription'.","Olet uutiskirjeen 'Yleinen' tilaaja."
"You are currently subscribed to our newsletter","Olet uutiskirjeemme tilaaja"
"You are currently subscribed to our newsletter.","Olet uutiskirjeemme tilaaja."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Kirjauduit ulos. Sinut ohjataan etusivullemme viiden sekunnin sisällä."
"You have no additional address entries in your address book.","Sinulla ei ole muita tallennettuja osoitteita osoitekirjassasi."
"You have no additional entries in your address book.","Sinulla ei ole muita merkintöjä osoitekirjassasi."
"You have no default billing address in your address book.","Sinulla ei ole ensisijaista laskutusosoitetta osoitekirjassasi."
"You have no default shipping address in your address book.","Sinulla ei ole ensisijaista lähetysosoitetta osoitekirjassasi."
"You have no primary entries in your address book.","Osoitekirjassasi ei ole ensisijaisia merkintöjä."
"You have not set a primary billing address.","Et ole asettanut ensisijaista laskutusosoitetta."
"You have not set a primary shipping address.","Et ole asettanut ensisijaista lähetysosoitetta."
"You have placed no orders yet.","Et ole vielä tehnyt tilauksia."
"You have placed no products yet.","Et ole vielä valinnut tuotteita."
"You're now Logged Out","Kirjauduit ulos"
"Your account balance is: %s","Tilisi saldo tällä hetkellä: %s"
"ZIP","Postinumero"
"ZIP/Post Code","Postinumero"
"ZIP/Postal Code","Postinumero"
"Zip/Postal Code","Postinumero"
"n/a","ei saatavissa"
"or","tai"
"Please enter your email below and we'll send you a new password.","Anna sähköpostiosoitteesi, niin lähetämme sinulle uuden salasanan."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Et ole määritellyt oletusarvoa laskutusosoitteellesi."
"You have not set a default shipping address.","Et ole määritellyt oletusarvoa toimitusosoitteellesi."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
