"-- Please Select --","-- Valitse --"
"Add New Class","Lisää uusi luokka"
"Shipping prices include tax","Toimituskulut sisältävät veron"
"Sort Order","Sort Order"
"State","Osavaltio"
"State/Region","Osavaltio/alue"
"Tax","Verot"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Veroluokat"
"Tax Identifier","Tax Identifier"
"Tax Rate","Verokanta"
"Tax Rate Information","Verokannan tiedot"
"Tax Rule Information","Verosäännön tiedot"
"Tax Rules","Verosäännöt"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Veroluokka poistettu"
"Tax class was successfully saved","Veroluokka tallennettu"
"Tax rate was successfully deleted","Verokanta poistettu"
"Tax rate was successfully imported","Verokanta tuotu"
"Tax rate was successfully saved","Verokanta tallennettu"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Verosääntö poistettu"
"Tax rule was successfully saved","Verosääntö tallennettu"
"This class no longer exists","Tätä luokkaa ei enää ole olemassa"
"This rule no longer exists","Tätä sääntöä ei enää ole olemassa"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Veroluokkaa ei voida poistaa, sillä sitä käytetään asiakasryhmälle %d."
"You cannot delete this tax class as it is used for %d products.","Veroluokkaa ei voida poistaa, sillä sitä käytetään tuotteille %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Veroluokkaa ei voida poistaa sillä sitä käytetään verosäännöissä. Poista ensin säännöt joissa sitä käytetään."
"Zip/Post Code","Postinumero"
