"%s already exist","%s on jo olemassa"
"%s already exists","%s on jo olemassa"
"-- Please Select --","-- Valitse --"
"Edit Website","Muokkaa sivustoa"
"Empty identifier field name","Tyhjä tunnistekentän nimi"
"Empty main table name","Tyhjä päätaulun nimi"
"Enabled","Käytössä"
"Enabled for Admin","Käytössä hallinnoinnissa"
"Enabled for Frontend","Käytössä kaupassa"
"Error in file: ""%s"" - %s","Virhe tiedostossa: ""%s"" - %s"
"Error while saving. Please try again later.","Virhe tallennettaessa. Yritä myöhemmin uudelleen."
"Error: Passwords do not match","Virhe: Salasanat eivät täsmää"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","Viikon ensimmäinen päivä"
"Footer","Footer"
"Forgot Password Email Sender","Unohditko salasanasi? -sähköpostin lähettäjä"
"Forgot Password Email Template","Unohditko salasanasi? -sähköpostin pohja"
"General","Yleinen"
"General Settings","Yleiset asetukset"
"General contact","Yleiset yhteystiedot"
"Global","Globaali"
"HTML Head","HTML Head"
"Header","Header"
"Host","Palvelin"
"Id path for specified store","Id-polku määritetylle kaupalle"
"Incorrect credit card expiration date","Virheellinen luottokortin voimassaolopäivä"
"Invalid base url type","Virheellinen juuriosoite tyyppi"
"Invalid block name to set child %s: %s","Virheellinen sisältölohkon nimi annettu %s: %s"
"Invalid block type: %s","Virheellinen sisältölohkon tyyppi: %s"
"Invalid block: %s","Virheellinen sisältölohko: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Virheellinen ulkoasun päivityksen muuttuja, tarvittava Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Virheellinen ulkoasupäivityksen käsittely"
"Invalid messages storage ""%s"" for layout messages initialization","Virheellinen viestivarasto ""%s"" ulkoasun viestien käyttöönotolle."
"Invalid transactional email code: ","Virheellinen suoraostosähköpostin koodi:"
"Invalid websites configuration path: %s","Virheellinen sivustojen asetuspolku: %s"
"Layout","Sommitelma"
"Layouts","Asettelut"
"Leave empty for access from any location","Jätä tyhjäksi salliaksesi pääsyn mistä tahansa"
"Locale","Alue"
"Locale options","Alueen vaihtoehdot"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Hallinnoi kauppoja"
"Match expressions in the same order as displayed in the configuration.","Säännöt käsitellään asetuksissa näytettävässä järjestyksessä."
"Miscellaneous HTML","Muu HTML-sisältö"
"Miscellaneous scripts","Muu HTML-otsakkeen sisältö"
"Model class does not exist: %s","Mallin luokkaa ei ole olemassa: %s"
"Model collection resource name is not defined","Mallikokoelman lähteen nimeä ei ole määritelty"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Nimi"
"New Design Change","Uusi ulkomuodon vaihdos"
"New Store","Uusi kauppa"
"New Store View","Uusi kauppanäkymä"
"New Website","Uusi sivusto"
"No","No"
"Package","Paketti"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Anna vähintään 6 merkkiä."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Anna vähintään 6 merkkiä. Alussa tai lopussa olevia välilyöntejä ei oteta huomioon."
"Please enter a number greater than 0 in this field.","Anna kenttään numero, joka on suurempi kuin 0."
"Please enter a valid $ amount. For example $100.00.","Anna sopiva euromäärä, esimerkiksi 100€."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna osoitteesi muodossa http://www.esimerkki.com tai www.esimerkki.com"
"Please enter a valid URL. http:// is required","Anna URL-osoite oikeassa muodossa. http:// vaaditaan."
"Please enter a valid credit card number.","Anna voimassaoleva luottokortin numero."
"Please enter a valid date.","Anna voimassoleva päivämäärä."
"Please enter a valid email address. For example johndoe@domain.com.","Anna sähköpostiosoite muodossa esimerkki@esimerkki.com."
"Please enter a valid number in this field.","Anna kenttään numero."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Anna puhelinnumerosi muodossa 09-123456789 tai +358 9 123456789"
"Please enter a valid social security number. For example 123-45-6789.","Anna sosiaaliturvatunnuksesi muodossa 123456-123A"
"Please enter a valid zip code.","Anna voimassaoleva postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Anna postinumero. Esimerkiksi 00100."
"Please enter valid password.","Anna salasana."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Tarkasta että salasanasi täsmäävät."
"Please select State/Province.","Valitse osavaltio / provinssi."
"Please select an option.","Valitse jokin vaihtoehto."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista."
"Please select one of the options.","Valitse yksi vaihtoehdoista."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Valitse toimitustapa."
"Please use letters only (a-z or A-Z) in this field.","Käytä vain kirjaimia (a-z tai A-Z) tässä kentässä."
"Please use letters only (a-z) in this field.","Käytä vain kirjaimia (a-ö) tässä kentässä."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita tässä kentässä."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-ö) tai numeroita (0-9) tässä kentässä. Välilyönnit tai muut merkit eivät ole sallittuja."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Käytä vain kirjaimia (a-ö) tai numeroita (0-9) tai välilyöntejä ja risuaitaa (#) tässä kentässä."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä vain kirjaimia (a-ö), numeroita (0-9) tai alaviivaa (_) tässä kentässä. Ensimmäisen merkin tulee olla kirjain."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä päivämäärän muotoa: pp/kk/vvvv, esimerkiksi 17/03/2006 on 17. maaliskuuta 2006."
"Please wait, loading...","Hetkinen, ladataan..."
"Polls","Polls"
"Port (25)","Portti (25)"
"Profiler","Profiloija"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Pyydetty polku määritellylle kaupalle"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resurssia ei ole asetettu"
"Root Category","Juurikategoria"
"SMTP settings (Windows server only)","SMTP-asetukset (vain Windowsille)"
"Sales representative","Myyntiedustaja"
"Save","Tallenna"
"Save Store","Tallenna kauppa"
"Save Store View","Tallenna kauppanäkymä"
"Save Website","Tallenna sivusto"
"Search Engines Optimization","Hakukoneiden optimointi"
"Secure","Salattu"
"Security","Security"
"Select Date","Select Date"
"Sender email","Lähettäjän sähköposti"
"Sender name","Lähettäjän nimi"
"Services","Palvelut"
"Session Cookie management","Istunnon evästeen hallinnointi"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Istuntojen validointi"
"Set as default","Aseta oletukseksi"
"Skin (Images / CSS)","Ulkoasun tyyli (Kuvat / CSS)"
"Sort order","Järjestys"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Aloituspäivä ei voi olla myöhemmin kuin loppumispäivä"
"Startup page","Startup page"
"Status","Tila"
"Store","Kauppa"
"Store Email Addresses","Kaupan sähköpostiosoitteet"
"Store Information","Kaupan tiedot"
"Store Name","Kaupan nimi"
"Store View","Store View"
"Store View Information","Kauppanäkymän tiedot"
"Store View Name","Kauppanäkymän nimi"
"Store View was successfully saved","Kauppanäkymä tallennettu"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kaupan koodin tulisi sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_), ensimmäisen merkin tulee olla kirjain."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Kauppa poistettu."
"Store was successfully saved","Kauppa tallennettu"
"Store with the same code","Kauppa samalla koodilla"
"System","Järjestelmä"
"System Log File Name","System Log File Name"
"Template Path Hints","Ulkoasun polun vihjeet"
"Templates","Ulkoasut"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Teemat"
"This category and all its child elements","Tässä ja kaikissa alakategorioissa ja -tuotteissa"
"This category and its child categories only","Vain tässä ja kaikissa alakategorioissa"
"This category and its products only","Vain tässä kategoriassa ja sen tuotteissa"
"This category only","Vain tässä kategoriassa"
"This is a required field.","Vaadittu tieto."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","Tämä näytetään juuri ennen body-lohkon lopetustagia"
"This will be included before head closing tag in page HTML","Tämä lisätään sivun HTML:ään ennen head-lohkon lopetustagia"
"Timezone","Aikavyöhyke"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Käännökset"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Ei voida edetä. Ole hyvä ja yritä uudestaan."
"Unknown scope ""%s""","Tuntematon näkymä ""%s"""
"Unsecure","Salaamaton"
"Url Options","Osoitteen vaihtoehdot"
"Use HTTP Only","Käytä vain HTTP:tä"
"Use Secure URLs in Admin","Käytä salattuja osoitteita hallinnoinnissa"
"Use Secure URLs in Frontend","Käytä salattuja osoitteita kaupassa"
"Use Web Server Rewrites","Käytä palvelimen osoitteen uudelleenkirjoittamista"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validoi HTTP_USER_AGENT"
"Validate HTTP_VIA","Validoi HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validoi HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validoi REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Verkko"
"Website","Sivusto"
"Website Information","Sivuston tiedot"
"Website Name","Sivuston nimi"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Sivuston koodi saa sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_), ensimmäisen merkin tulee olla kirjain"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Sivusto poistettu."
"Website was successfully saved","Sivusto tallennettu"
"Website with the same code","Sivusto samalla koodilla"
"Weekend Days","Viikonlopun päivät"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Virheellinen määrä muuttujia kohteelle %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Istuntosi on päättynyt, sinut kirjataan sisään uudelleen nyt."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
