"%s was successfully added to your shopping cart.","%s on lisätty Ostoskoriisi."
"Register","Rekisteröidy"
"Register and save time!","Rekisteröidy ja säästä aikaa!"
"Register to Create an Account","Rekisteröidy luodaksesi Oman tilin"
"Register with us for future convenience:","Rekisteröidy verkkokauppamme ja helpota tulevaa asiointia:"
"Remove","Poista"
"Remove Item","Poista tuote"
"Remove Product","Poista tuote"
"Remove item","Poista tuote"
"Review Order","Tarkasta tilaus"
"Review Order - %s","Tarkasta tilaus - %s"
"Sales","Sales"
"Save Condition","Tallenna toimitusehto"
"Save in address book","Tallenna osoitekirjaan"
"Select Address","Valitse osoite"
"Select Addresses","Valitse osoitteet"
"Select Shipping Method","Valitse toimitustapa"
"Select State/Province...","Valitse osavatio/provinssi..."
"Select a billing address from your address book or enter a new address.","Valitse osoite osoitekirjastasi tai syötä uusi osoite."
"Select a shipping address from your address book or enter a new address.","Valitse toimitusosoite osoitekirjastasi tai syötä uusi osoite."
"Send Payment Failed Email Copy Method","Maksutapahtumien virhesähköpostien kopioiden lähetysmetodi"
"Send Payment Failed Email Copy To","Lähetä maksutapahtumien virhesähköpostien kopio osoitteisiin"
"Send to","Saaja"
"Ship to Multiple Addresses","Lähetä useisiin osoitteisiin"
"Ship to different address","Lähetä eri osoitteeseen"
"Ship to this address","Lähetä samaan osoitteeseen"
"Shipping Address","Toimitusosoite"
"Shipping Information","Vastaanottajan tiedot"
"Shipping Method","Toimitustapa"
"Shipping Methods","Toimitustavat"
"Shipping method has not been selected yet","Toimitustapaa ei ole vielä valittu"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Lähetetään kohteeseen"
"Shopping Cart","Ostoskori"
"Shopping Cart Sidebar","Ostoskori-sivupalkki"
"Shopping Cart is Empty","Ostoskori on tyhjä"
"Show Content as","Sisällön tyyppi"
"Some of the products you requested are not available in the desired quantity","Joitain valitsemiasi tuotteita ei ole varastossa tarvittavaa määrää"
"Some of the products you requested are unavailable","Joitain valitsemiasi tuotteita ei ole saatavilla"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Ei annettuja lainauksia tälle tuotteelle tällä hetkellä."
"State/Province","Osavaltio/Provinssi"
"Status","Status"
"Store View","Store View"
"Street Address","Katuosoite"
"Street Address ","Street Address "
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Yhteensä"
"Telephone","Puhelin"
"Terms and Conditions","Toimitusehdot"
"Terms and Conditions Information","Toimitusehdon tiedot"
"Terms and conditions","Toimitusehdot"
"Text","Text"
"Thank you for your purchase!","Kiitos tilauksestasi!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Ostoskorissasi on <a href=""%s""><strong>%s tuotetta</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Ostokorissasi on <a href=""%s""><strong>1 tuote</strong></a>."
"There is already a customer registered using this email address","Tämä sähköpostiosoite on jo käytössä"
"There was an error processing your order. Please contact us or try again later.","Tilauksen lähetyksessä tapahtui virhe. Ole hyvä ja ota yhteyttä meihin tai yritä myöhemmin uudelleen."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Yhteensä tähän osoitteeseen"
"Unit Price","Yksikköhinta"
"Update Qty &amp; Addresses","Päivitä määrä &amp; osoitteet"
"Update Shopping Cart","Päivitä Ostoskori"
"Update Total","Päivitä summa"
"Use Billing Address","Käytä laskutusosoitetta"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Tilauksesi on käsittelyssä. Saat kohta sähköpostiisi tarkemmat tiedot tilauksestasi. Kun tilauksesi on toimituksessa, saat toisen sähköpostin seurantaa varten."
"You have no items in your shopping cart.","Ostoskorisi on tyhjä."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Saat sähköpostissa tilausvahvistuksen ja linkin josta voit seurata tilauksesi etenemistä."
"Your Checkout Progress","Tilauksen eteneminen"
"Your order # is: %s","Tilausnumerosi on: %s"
"Your order # is: <a href=""%s"">%s</a>","Tilausnumerosi on: <a href=""%s"">%s</a>"
"Your order has been received","Tilauksesi on vastaanotettu"
"Your order number is ","Your order number is "
"Zip/Postal Code","Postinumero"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Ostoskori"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
