"%s was successfully added to your shopping cart.","%s blev tilføjet din indkøbskurv."
"Continue to Shipping Information","Fortsæt til leveringsoplysninger"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabatkoden ""%s"" er ikke gyldig."
"Coupon code ""%s"" was applied successfully.","Rabatkoden ""%s"" er nu anvendt."
"Coupon code was canceled successfully.","Rabatkuponen blev annulleret."
"Create Billing Address","Opret betalingsadresse"
"Create Shipping Address","Opret leveringsadresse"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Kunne ikke gemme."
"Default Billing","Betaling (standard)"
"Default Shipping","Levering (standard)"
"Delete Condition","Slet vilkår"
"Details","Detaljer"
"Disable Onepage Checkout","Deaktiver énsides-bestilling"
"Disabled","Deaktiveret"
"Discount Codes","Rabatkoder"
"Display Cart Summary","Visning af kurvoversigt"
"Display Shopping Cart Sidebar","Vis kurv i sidebar"
"Display item quantities","Vis antal af hvert produkt"
"Display number of items in cart","Vis samlet antal varer i kurven"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Edit","Rediger"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger betalingsadresse"
"Edit Items","Tilføj/fjern produkter"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger vilkår"
"Edit Your Cart","Rediger kurv"
"Email Address","E-mailadresse"
"Enable Terms and�Conditions","Aktiver vilkår"
"Enabled","Aktiveret"
"Enter a New Address","Indtast ny adresse"
"Enter your coupon code if you have one.","Indtast din rabatkode her."
"Enter your destination to get a shipping estimate.","Indtast destination for at få et prisoverslag på levering"
"Error while deleting this condition. Please try again later.","Fejl ved sletning af vilkåret. Prøv igen senere."
"Error while saving this condition. Please try again later.","Fejl ved lagring af vilkåret. Prøv igen senere."
"Estimate Shipping and Tax","Prisoverslag på levering"
"Excl. Tax","Ekskl. moms"
"Fast and easy check out","Hurtig og nem betaling"
"Fax","Faxnummer"
"Forgot an Item?","Glemt et produkt?"
"Forgot your password?","Glemt dit kodeord?"
"Get a Quote","Få et prisoverslag"
"Grand Total:","Total:"
"Grouped product image","Grupperet produktbillede"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl. moms"
"Invalid data","Ugyldig data"
"Invalid email address ""%s""","Ugyldig e-mail-adresse ""%s"""
"Invalid shipping method.","Ugyldig fragtmetode."
"Items","Produkter"
"Load customer quote error","Kunne ikke hente kundepriser"
"Loading next step...","Henter data..."
"Login","Log ind"
"Manage Checkout Terms and Conditions","Administrer handelsvilkår"
"Maximum display Recently added item(s)","Maks-antal senest tilføjede varer"
"Maximum qty allowed for Shipping to multiple addresses is %s","Det maksimale antal tilladt for at kunne fragte til flere adresser er %s"
"Move to Wishlist","Sæt på ønskeseddel"
"My Account","Min konto"
"My Cart","My Cart"
"My Cart (%s item)","Min indkøbskurv (%s vare)"
"My Cart (%s items)","Min indkøbskurv (%s varer)"
"My Cart Link","Link til indkøbskurv"
"New Address","Ny adresse"
"New Condition","Nyt vilkår"
"Order #","Ordre #"
"Order Review","Godkend ordre"
"Order Success","Ordrekvittering"
"Other items in your order","Andre produkter i din ordre"
"Password","Kodeord"
"Payment Failed Email Reciever","E-mail-modtager for mislykket betaling"
"Payment Failed Email Sender","E-mail-afsender for mislykket betaling"
"Payment Failed Emails","E-mails for mislykket betaling"
"Payment Failed Template","Skabelon for mislykket betaling"
"Payment Information","Betalingsform"
"Payment Method","Betalingsform"
"Payment method is not defined","Betalingsform ikke valgt"
"Place Order","Gennemfør ordre"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Shop videre</a>."
"Please agree to all Terms and Conditions before placing the order.","Accepter venligst alle vilkår før du gennemfører bestillingen."
"Please agree to all Terms and Conditions before placing the orders.","Accepter venligst alle vilkår før du gennemfører bestillingerne."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer, eks. 6430 eller 8000."
"Please log in below:","Log venligst ind nedenfor:"
"Please select region, state or province","Vælg venligst region eller område"
"Please select shipping address for applicable items","Vælg venligst leveringsadresse for relevante produkter"
"Please select shipping methods for all addresses","Vælg venligst leveringsform for hver adresse"
"Price","Pris"
"Proceed to Checkout","Gå til bestilling"
"Product","Produkt"
"Product Name","Vare"
"Product does not exist","Produktet eksisterer ikke"
"Qty","Antal"
"Quote Lifetime (days)","Indkøbskurvens levetid (dage)"
"Recently added item(s)","Seneste tilføjede vare(r)"
"Register","Opret konto"
"Register and save time!","Opret konto og spar tid!"
"Register to Create an Account","Opret dig som bruger, hvis du ønsker en konto"
"Register with us for future convenience:","Opret konto hos os for at gøre det nemmere fremover:"
"Remove","Fjern"
"Remove Item","Fjern vare"
"Remove Product","Fjern"
"Remove item","Fjern vare"
"Review Order","Godkend ordre"
"Review Order - %s","Gennemse ordre - %s"
"Sales","Salg"
"Save Condition","Gem vilkår"
"Save in address book","Gem i adressebog"
"Select Address","Vælg adresse"
"Select Addresses","Vælg adresser"
"Select Shipping Method","Vælg leveringsform"
"Select State/Province...","Vælg område..."
"Select a billing address from your address book or enter a new address.","Vælg en betalingsadresse fra dine adresser eller indtast en <a href=""#"" onclick=""billing.newAddress(true); return false;"">ny adresse</a>."
"Select a shipping address from your address book or enter a new address.","Vælg en leveringsadresse fra dine adresser eller indtast en <a href=""#"" onclick=""shipping.newAddress(true); return false;"">ny adresse</a>."
"Send Payment Failed Email Copy Method","Metode til afsendelse af kopi-e-mail for mislykket betaling"
"Send Payment Failed Email Copy To","Send kopi-e-mail for mislykket betaling til"
"Send to","Send til"
"Ship to Multiple Addresses","Levering til flere adresser"
"Ship to different address","Levering til anden adresse"
"Ship to this address","Levering til denne adresse"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsadresse"
"Shipping Method","Leveringsform"
"Shipping Methods","Leveringsformer"
"Shipping method has not been selected yet","Vælg venligst din ønskede leveringsform"
"Shipping selection is not applicable","Leveringsvalget er ikke brugbart"
"Shipping to","Levering til"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Sidebar","Indkøbskurv sidebar"
"Shopping Cart is Empty","Indkøbskurven er tom"
"Show Content as","Vis indhold som"
"Some of the products you requested are not available in the desired quantity","Nogle af de produkter du forespørger er ikke tilgængelige i det ønskede antal"
"Some of the products you requested are unavailable","Nogle af de produkter du forespørger er ikke på lager"
"Sorry, Onepage Checkout is disabled.","Beklager, énsides-bestilling er deaktiveret."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gæstebestilling er ikke aktiveret. Prøv igen eller kontakt butiksejeren."
"Sorry, no quotes are available for this order at this time.","Vi undskylder! Prisoverslag kan ikke gives for denne ordre."
"State/Province","Område"
"Status","Status"
"Store View","Forretningsvisning"
"Street Address","Gade/vej"
"Street Address ","Gade/vej "
"Submitting order information...","Gennemfører ordre..."
"Subtotal","Subtotal"
"Telephone","Telefonnummer"
"Terms and Conditions","Handelsvilkår"
"Terms and Conditions Information","Information om handelsvilkår"
"Terms and conditions","Handelsvilkår"
"Text","Tekst"
"Thank you for your purchase!","Vi takker for dit køb!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Der er <a href=""%s""><strong>%s varer</strong></a> i din kurv."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Der er <a href=""%s""><strong>1 vare</strong></a> i din kurv."
"There is already a customer registered using this email address","Der findes allerede en kunde med den e-mailadresse"
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"This condition no longer exists","Dette vilkår eksisterer ikke længere"
"Total","Total"
"Total for this address","Total for denne adresse"
"Unit Price","Stykpris"
"Update Qty &amp; Addresses","Opdater antal &amp; adresser"
"Update Shopping Cart","Opdater kurv"
"Update Total","Opdater total"
"Use Billing Address","Anvend betalingsadresse"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Din ordre bliver behandlet og du vil snarest modtage en e-mail med ordrekvittering.<br/>Så snart ordren er afsendt sender vi dig en e-mail med et link, hvor du kan følge ordren."
"You have no items in your shopping cart.","Din indkøbskurv er tom."
"You will receive an order confirmation email with details of your order and a link to track its progress.","En ordrebekræftelse er blevet sendt til din e-mail-adresse."
"Your Checkout Progress","Dit bestillingsforløb"
"Your order # is: %s","Ordrenummer: %s"
"Your order # is: <a href=""%s"">%s</a>","Dit ordrenummer er: <a href=""%s"">%s</a>"
"Your order has been received","Vi har modtaget din ordre."
"Your order number is ","Dit ordrenummer er "
"Zip/Postal Code","Postnummer"
"osCommerce Orders","osCommerce-ordrer"
"separate by "",""","adskil med "","""
"My Cart","Indkøbskurv"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
