"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"Check items to add to the cart or","Afkryds produkter for at lægge i kurv eller"
"Choose an Option...","Vælg venligst..."
"Choose option...","Vælg venligst..."
"Clear All","Ryd alle"
"Clear All Items","Fjern alle"
"Close Window","Luk vindue"
"Collapse All","Sammenfold alle"
"Comparable","Kan sammenlignes"
"Comparable on Front-end","Kan sammenlignes"
"Compare Items","Sammenlign varer"
"Compare Products","Sammenlign produkter"
"Compare Products (%d)","Sammenlign varer (%d)"
"Compare Products - %d Items","Sammenlign produkter <span class=""count"">- %d Elementer</span>"
"Compare Products List","Sammenlign produkter"
"Compare list successfully cleared","Sammenligningslisten er ryddet"
"Conditions Combination","Betingelses-kombination"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Konfigurerbare produktindstillinger"
"Continue","Fortsæt"
"Copy From Configurable","Kopier fra konfigurerbar"
"Country/State","Land/stat"
"Create","Opret"
"Create (Upload)","Opret (upload)"
"Create Empty","Opret tom"
"Create Product Settings","Opret produktindstillinger"
"Create Simple Associated Product","Opret simpelt tilknyttet produkt"
"Create new category","Opret ny kategori"
"Create new product","Opret nyt produkt"
"Cross-sells","Krydssalg"
"Currently Shopping by","Dine filtre"
"Custom Design","Eget design"
"Custom Options","Tilpasningsmuligheder"
"Customer Group","Kundegruppe"
"Customers Reviews","Kunders bedømmelser"
"Customers Tagged Product","Kunder, der har tagget produktet (antal)"
"Customers for alert %s was successfuly added to queue","Kunder for beskeden %s blev tilføjet køen"
"Data Type for Saving in Database","Datatype til at gemme i databasen"
"Date","Dato"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Dato tilmeldt"
"Date fields order","Date fields order"
"Datetime","Dato og tidspunkt"
"Decimal","Decimal"
"Decimal Number","Decimaltal"
"Declare attribute value saving scope","Angiv området, hvor egenskabens værdi gemmes"
"Default Qty","Antal (standard)"
"Default Values","Standardværdier"
"Default price","Standard pris"
"Default value","Standardværdi"
"Delete","Slet"
"Delete Attribute","Slet egenskab"
"Delete Attribute Set","Slet sæt"
"Delete Category","Slet kategori"
"Delete Option","Slet mulighed"
"Delete Row","Slet række"
"Delete Search","Slet søgning"
"Delete Selected Group","Slet valgt gruppe"
"Delete category","Slet kategori"
"Delete product","Slet produkt"
"Depends on design theme","Depends on design theme"
"Design","Design"
"Disabled","Inaktiv"
"Display in Suggested Terms","Vis i foreslået udtryk"
"Double click on a group to rename it","Dobbeltklik på en gruppe for at omdøbe den"
"Double click on above image to view full picture","Dobbeltklik på ovenstående billede for at se i fuld størrelse"
"Dropdown","Drop-down"
"Duplicate","Kopier"
"Duplicate website tier price customer group and quantity.","Dupliker website pristrin kundegruppe og antal"
"Duplicate website, country and state tax found.","Dupliker website, land og fundet statsmoms."
"Edit","Rediger"
"Edit Attribute Set '%s'","Rediger egenskabssæt '%s'"
"Edit Product Attribute","Rediger produktegenskab"
"Edit Product Attribute ""%s""","Rediger produktegenskaben ""%s"""
"Edit Search","Rediger søgning"
"Edit Search '%s'","Rediger søgning '%s'"
"Email","E-mail"
"Email to a Friend","Tip en ven"
"Empty","Tom"
"Enabled","Aktiv"
"Error during retrieval of option value: %s","Værdi for mulighed %s kunne ikke hentes"
"Error while adding customers for %s alert. Message: %s","Fejl opstod da kunder skulle knyttes til %s besked. Fejlbesked: %s"
"Error while saving this group. Group with the same name already exists.","Fejl - der findes allerede en gruppe med det valgte navn."
"Error while saving this group. Please try again later.","Fejl - gruppen kunne ikke gemmes. Prøv venligst igen senere"
"Exclude","Udelad"
"Expand All","Udfold alle"
"Failed","Fejl"
"Failed to move file: %s","Kunne ikke flytte filen: %s"
"Feature Products","Fremhævede produkter"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Giv venligst filteret et navn"
"Filter must be as object. Set correct filter please","Vælg korrekt filter"
"Filterable (no results)","Kan filtreres (uden søgeresultat)"
"Filterable (with results)","Kan filtreres (med søgeresultat)"
"Filters must be as array","Filtre skal være i en array"
"First Name","Fornavn"
"Fixed","Fast"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Til internt brug. Skal være unikt og uden mellemrum"
"For reindex enabled product(s) you need specify store or product","For at reindeksere aktive produkter skal du angive forretning eller produkt"
"Frontend","Frontend"
"Frontend Model","Model (front-end)"
"Frontend Properties","Egenskaber (front-end)"
"Gallery","Galleri"
"General Information","Indhold"
"Get special price","Hent specialpris"
"Global","Global"
"Globally Editable","Redigerbar (globalt)"
"Go to Home Page","Gå til forside"
"Grid","Tabel"
"Grouped Product","Grupperet produkt"
"Groups","Grupper"
"Home","Forside"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Billede"
"Image content is not valid base64 data.","Billeddata er ikke gyldige base64-data."
"Image file not found","Billedfil kunne ikke findes"
"Image not exists","Billed eksisterer ikke"
"Image not specified.","Billede ikke angivet."
"Image type and information need to be specified for each store view.","Billedtype og -information skal specificeres for hver visning af forretning."
"In Stock","På lager"
"In stock","På lager"
"In stock.","På lager."
"Incl. Tax","Inkl. moms"
"Input Type","Inputtype"
"Input Validation for Store Owner","Inputvalidering for butiksejer"
"Integer","Heltal"
"Integer Number","Heltal"
"Invalid Tier Prices","Ugyldig mængderabat"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig værdi i mulighed for egenskab %s (%s), posten springes over…"
"Invalid attribute set specified, skipping the record","Ugyldigt sæt af egenskaber, posten springes over…"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid category","Ugyldig kategori"
"Invalid category IDs","Ugyldigt kategori-ID"
"Invalid image file type","Ugyldig billedfiltype"
"Invalid image type.","Ugyldig billedtype."
"Invalid option id specified for %s (%s), skipping the record","Ugyldigt muligheds-ID for %s (%s), posten springes over…"
"Invalid product type specified, skipping the record","Ugyldig produkttype, posten springes over…"
"Invalid store specified","Ugyldig butik specificeret"
"Invalid store specified, skipping the record","Ugyldig forretning specificeret, posten springes over…"
"Inventory","Lager"
"Is Default","Er standard"
"Is Required","Er påkrævet"
"Items %s to %s of %s total","%s til %s ud af %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil have skal vises i kataloget eller under søgning skal have sat status som ""Deaktiveret"" i den ønskede butik."
"Label","Etiket"
"Last Name","Efternavn"
"Last Notification","Sidste notifikation"
"Learn More","Vis detaljer"
"Length of text is too long","Teksten er for lang"
"Letters","Bogstaver"
"Letters(a-zA-Z) or Numbers(0-9)","Bogstaver (a-zA-Z) eller numre (0-9)"
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, varenummer: %s"
"Link (Related, Up sell, Cross sell)","Link (relateret, opsalg, krydssalg)"
"Link product not exists.","Tilknyttet produkt eksisterer ikke."
"List","Liste"
"List Mode","Listevisning"
"Manage Attribute Sets","Egenskaber - sæt"
"Manage Attributes","Egenskaber"
"Manage Catalog Categories","Kategorier til katalog"
"Manage Categories","Kategorier"
"Manage Label / Options","Rediger labels"
"Manage Options (values of your attribute)","Administrer muligheder"
"Manage Product Attributes","Produktegenskaber"
"Manage Product Sets","Produktsæt"
"Manage Products","Produkter"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Rediger titler (Størrelse, Farve, etc.)"
"Max Characters","Maks tegn"
"Maximal Depth","Maks dybde"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Max-antal tilladt i indkøbskurv"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Max antal tegn"
"Media Image","Mediebilled"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Min-antal tilladt i indkøbskurv"
"Minimum Qty for Item's Status to be Out of Stock","Minimum antal for at varens status er ikke på lager"
"Missing SKU, skipping the record","Manglende SKU, posten springes over"
"More Views","Flere visninger"
"Move","Flyt"
"Move category in tree","Flyt kategori i træet"
"Multiple Select","Vælg flere"
"Name","Navn"
"Name In %s","Navn i %s"
"Name<br/>(For internal use)","Navn<br/>(til internt brug)"
"New Category","Ny kategori"
"New Product","Nyt produkt"
"New Product Attribute","Ny produktegenskab"
"New Products","Nye produkter"
"New Search","Ny søgning"
"New Set Name","Nyt sætnavn"
"Next","Næste"
"No","Nej"
"No image","Intet billede"
"No layout updates","Ingen opdatering af layout fundet"
"No options of this product are available.","Valgmuligheder for produkt er ikke tilgængelig"
"No product collections found","Der blev ikke fundet nogen produkter."
"None","Ingen"
"Not shared with other products","Ikke delt med andre produkter"
"Notify Low Stock RSS","Advar om lav beholdning (RSS)"
"Notify for Quantity Below","Advisér for antal nedenfor"
"Nowhere","Ingen steder"
"Number of Uses","Anvendt (antal gange)"
"Number of results<br/>(For last time placed)","Antal resultater<br/>(sidst søgningen blev kørt)"
"OR","ELLER"
"Old Price:","Gammel pris:"
"Option validation failed to add product to cart","Valgmuligheds valideringen kunne ikke tilføje produktet til indkøbskurven"
"Option:","Mulighed:"
"Options Control","Indstillinger af muligheder"
"Options is required","Muligheder er påkrævet"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"Out of stock.","Ikke på lager."
"PM","PM"
"Page Title Separator","Separator for sidetitel"
"Page:","Side:"
"Parent Category","Hovedkategori"
"Pending","Ikke godkendt"
"Pending Reviews RSS","Manglende godkendelse (RSS)"
"Percentage","Procent"
"Please add rows to option.","Tilføj venligst rækker til muligheden."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Pas på, da pakkedata fra den valgte fil indlæses og al data der ikke er gemt vil gå tabt, så snart du klikker på rækken."
"Please click on Close Window button if it won't be closed automatically","Klik venligst på luk-knappen, hvis vinduet ikke lukker automatisk"
"Please enter a new group name","Indtast venligst et gruppenavn"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Opdater venligst ""Katalogadresser"" og ""Lagdelt navigations-indices"" i System -> <a href=""%s"">Cache-styring</a>"
"Please select  items","Vælg elementer"
"Please select one or more attributes.","Vælg venligst en eller flere egenskaber"
"Please select product(s)","Vælg venligst produkt(er)"
"Please select products for attributes update","Vælg venligst de produkter, hvis egenskaber skal opdateres"
"Please select static block ...","Vælg venligst statisk blok..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Vælg venligst blandt produktets valgmuligheder"
"Please specify the product required option(s)","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the product(s) quantity","Angiv venligst produktets mængde"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Position"
"Position In Layered Navigation","Position i lagdelt navigation"
"Position of attribute in layered navigation block","Egenskabens position i den lagdelte navigationsblok"
"Prev","Forrige"
"Previous","Forrige"
"Price","Pris"
"Price Type","Pristype"
"Price values for options should be specified in system base currency.","Priser for mulighederne skal være specificeret i systemets standardvaluta."
"Price:","Pris:"
"Print This Page","Print siden"
"Problem saving the collection, aborting. Error: %s","Listen kunne ikke gemmes, afbryder. Fejl: %s"
"Product","Produkt"
"Product %s successfully added to compare list","Varen %s blev føjet til sammenligning."
"Product %s successfully removed from compare list","Produkt blev fjernet fra sammenligningslisten"
"Product API","Produkt-API"
"Product Alerts","Produktbeskeder"
"Product Attribute","Produktegenskab"
"Product Attributes","Produktegenskaber"
"Product Categories","Produktkategorier"
"Product Description","Beskrivelse"
"Product Image Placeholders","Placeholders til produktbilleder"
"Product Image Watermarks","Vandmærker til produktbilleder"
"Product Images","Produktbilleder"
"Product Images API","Produktbilled-API"
"Product In Websites","Produkt på websites"
"Product Info Column","Produktinfo-kolonne"
"Product Information","Produktinformation"
"Product Name","Produktnavn"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Product Tier Price API","Produkt-mængderabat-API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL suffix"
"Product attribute sets API","Produkt-egenskabssæt-API"
"Product attribute was successfully deleted","Produktegenskab er slettet"
"Product attribute was successfully saved","Egenskab er gemt"
"Product attributes API","Produktegenskabs-API"
"Product collection expected","Produktliste blev forventet"
"Product deleted","Produktet er slettet"
"Product duplicated","Produktet er kopieret"
"Product has required options","Produktet har påkrævede valgmuligheder"
"Product links API (related, cross sells, up sells)","Produktlinks-API (relaterede, krydssalg, opsalg)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Produktet kunne ikke gemmes."
"Product saving error. ","Produktet kunne ikke gemmes. "
"Product types API","Produkttype-API"
"Product was successfully created.","Produktet blev oprettet."
"Product was successfully saved.","Produktet blev gemt."
"Product with this combination of attributes already associated to configurable.","Produktet med denne kombination af egenskaber er allerede forbundet med dette konfigurerbare produkt."
"Products","Produkter"
"Products Information","Produktinformation"
"Products Reviews","Produkters bedømmelser"
"Products Sitemap","Sitemap for produkter"
"Products only","Kun produkter"
"Products per Page on Grid default value","Standardværdi for produkter pr. side ved tabelvisning"
"Products per Page on List allowed values","Tilladte værdier for produkter pr. side ved listevisning"
"Products per Page on List default value","Standardværdi for produkter pr. side ved listevisning"
"Products per page on Grid allowed values","Tilladte værdier for produkter pr. side ved tabelvisning"
"Properties","Egenskaber"
"Qty","Antal"
"Qty Uses Decimals","Antal med decimal"
"Qty for Item's Status to become Out of Stock","Antal for at produktets status bliver 'ikke på lager'"
"Quick Create","Hurtig-opret"
"Quick Overview","Hurtigt overblik"
"Quick simple product creation","Hurtig simpel produktoprettelse"
"Records for ""","Poster for """
"Redirect","Omdiriger"
"Redirect URL","URL til videresendelse"
"Regular Price:","Pris:"
"Related Products","Relaterede produkter"
"Remove","Fjern"
"Remove Product","Fjern produkt"
"Remove Product From Websites","Fjern produkt fra website"
"Remove This Item","Fjern element"
"Remove product assignment","Fjern produkttildeling"
"Remove product image","Fjern produktbillede"
"Remove product link","Fjern produktlink"
"Required","Skal udfyldes"
"Reset","Nulstil"
"Results","Resultater"
"Retrieve attribute data","Hent egenskabsdata"
"Retrieve attribute list","Hent egenskabsliste"
"Retrieve attribute options","Hent egenskabsmuligheder"
"Retrieve categories tree","Hent kategoritræ"
"Retrieve category attributes","Hent kategoriegenskaber"
"Retrieve category data","Hent kategoridata"
"Retrieve hierarchical tree","Hent hierarkisk træ"
"Retrieve linked products","Hent tilknyttede produkter"
"Retrieve list of assigned products","Hent liste af tilknyttede produkter"
"Retrieve one level of categories by website/store view/parent category","Hent et niveau af kategorier ud fra website/forretningsvisning/forældrekategori"
"Retrieve product","Hent produkt"
"Retrieve product attribute sets","Hent produktegenskabssæt"
"Retrieve product image","Hent produktbillede"
"Retrieve product image list","Hent produktbilledliste"
"Retrieve product image types","Hent produktbilledtyper"
"Retrieve product link type attributes","Hent egenskaber for tilknyttede produkters typer"
"Retrieve product link types","Hent tilknyttede produkters typer"
"Retrieve product tier prices","Hent produktmængderabatter"
"Retrieve product types","Hent produkttyper"
"Retrieve products data","Hent produktdata"
"Retrieve products list by filters","Hent produktliste med filtre"
"Review successfully deleted","Bedømmelse er slettet"
"Review was saved successfully","Bedømmelse er gemt"
"Review was successfully saved","Bedømmelsen er gemt"
"Reviews","Bedømmelser"
"Roll Over for preview","Hold musen henover for preview"
"Root","Basis"
"SKU","Varenummer"
"Save","Gem"
"Save And Continue Edit","Gem og fortsæt redigering"
"Save Attribute","Gem egenskab"
"Save Attribute Set","Gem sæt"
"Save Category","Gem kategori"
"Save Search","Gem søgning"
"Saved ","Gemt "
"Scope","Anvendelsesområde"
"Search","Søg"
"Search Engine Optimizations","Søgemaskine-optimering (SEO)"
"Search Information","Søgning - detaljer"
"Search Query","Søgning"
"Search Term was successfully saved","Søgeord blev gemt"
"Search Term with such search query already exist.","Søgeord med en sådan søgestreng findes allerede."
"Search was successfully deleted","Søgning er slettet"
"Searchable","Søgbar"
"Select Configurable Attributes ","Vælg konfigurerbare egenskaber"
"Select type of option","Vælg type af mulighed"
"Select type options required values rows.","Vælg krævede værdirækker for mulighed."
"Selected Product Types","Valgte produkttyper"
"Selected configuration is not available.","Den valgte konfiguration er utilgængelig."
"Send Count","Send antal"
"Set Ascending Direction","Sorter stigende"
"Set Descending Direction","Sorter faldende"
"Set Name","Sætnavn"
"Set Root Category For Store","Angiv basis-kategori for forretning"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angiv rodkategorien for denne butik i <a href=""%s"">konfigurationen</a>"
"Set special price","Angiv specialpris"
"Set/Get current store view","Sæt/hent nuværende forretningsvisning"
"Settings","Indstillinger"
"Shop by","Filtrering"
"Shopping Options","Mulige filtre"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tags"
"Simple Product","Simpelt produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Springer over importrække, ugyldig værdi ""%s"" for feltet ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Springer over importrække, påkrævet felt ""%s"" for ny kunde ikke defineret"
"Skip import row, required field ""%s"" for new products not defined","Springer over importrække, påkrævet felt ""%s"" for nye produkter ikke defineret"
"Skip import row, required field ""%s"" not defined","Springer over importrække, påkrævet felt ""%s"" ikke defineret"
"Skip import row, store ""%s"" field not exists","Springer over importrække, butiksfelt ""%s"" eksisterer ikke"
"Sort Order","Sorteringsrækkefølge"
"Sort by","Sorter efter"
"Source Model","Kilde-model"
"Special Price:","Specialpris:"
"Starting at:","Starter ved:"
"Static","Statisk"
"Static block and products","Statisk blok og produkter"
"Static block only","Kun statisk blok"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store","Forretning"
"Store View","Forretningsvisning"
"Stretch","Stræk"
"Subscribe to Feed","Abonner på feed"
"Subscribe to RSS Feed","Modtag RSS"
"Super product attributes configuration","Egenskabskonfiguration for superprodukt"
"Synonym For","Synonym for"
"Synonym for","Synonym for"
"System","System"
"System Properties","System-egenskaber"
"Tag Name","Navn"
"Tax","Moms"
"Text","Tekst"
"Text Area","Tekst"
"Text Field","Tekstfelt"
"There are no %s available.","Der er ingen %s til rådighed."
"There are no customers for this alert","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no products matching the selection.","Der er ikke nogen produkter, som matcher de kriterier, du har angivet."
"There was an error while adding products to websites","Der opstod en fejl under tilføjelsen af produkter til websitet"
"There was an error while cleared compare list","Der opstod en fejl ved rydning af sammenligningslisten"
"There was an error while removing products from websites","Der opstod en fejl ved fjernelsen af produkter fra websitet"
"There was an error while updating product(s) attributes","Der opstod en fejl under opdatering af produktegenskaber"
"There was an error while updating product(s) status","Der opstod en fejl ved opdatering af produktstatus"
"This attribute no longer exists","Egenskaben eksisterer ikke længere"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denne gruppe indeholder egenskaber brugt i konfigurerbare produkter. Flyt venligst disse egenskaber til en anden gruppe og prøv igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppe indeholder systemegenskaber. Flyt venligst alle systemegenskaber til en anden gruppe og prøv så igen."
"This is a required option","This is a required option"
"This search no longer exists","Søgningen eksisterer ikke længere."
"Tier Pricing","Mængderabat"
"Tile","Tegl"
"Time format","Time format"
"Title","Titel"
"Top/Left","Top/venstre"
"Top/Right","Top/højre"
"Total Qty Base Items","Total antal basisvarer"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Total of %d record(s) were successfully deleted","%d post(er) blev slettet"
"Total of %d record(s) were successfully updated","%d post(er) blev opdateret"
"Type","Type"
"Unable to complete request. Please try again later.","Forespørgslen kunne ikke gennemføres. Prøv venligst igen senere."
"Unable to find a search term to delete","Kunne ikke foretage sletning: ingen søgeord blev fundet"
"Unable to find an attribute to delete","Der blev ikke fundet nogen egenskaber"
"Unable to get product id.","Kunne ikke hente produkt-id."
"Unassigned Attributes","Utilknyttede egenskaber"
"Unique Value","Unik værdi"
"Unique Value (not shared with other products)","Unik værdi (deles ikke med andre produkter)"
"Unknown attribute: %s","Ukendt egenskab: %s"
"Up-sells","Opsalg"
"Update","Opdater"
"Update Attributes","Opdater egenskaber"
"Update Tier Price","Opdater mængderabat"
"Update assigned product","Opdater tilknyttet produkt"
"Update attributes","Opdater egenskaber"
"Update category","Opdater kategori"
"Update product","Opdater produkt"
"Update product image","Opdater produktbillede"
"Update product link","Opdater tilknyttet produkt"
"Update product tier prices","Opdater mængderabatter"
"Upload new product image ","Upload nyt produktbillede "
"Url","Url"
"Url Rewrite Management","URL-omskrivning"
"Url rewrie save problem.","Problem med lagring af URL-omskrivninger."
"Use Config Settings","Anvend konfigurationsindstillinger"
"Use Default Value","Anvend standardværdi"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Anvend i lagdelt navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Brug i lagdelt navigation<br/>(Kan kun bruges med kataloginputtypen 'Dropdown')"
"Use In Search Results Layered Navigation","Brug i lagdelt navigation for søgeresultater"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Anvend til 'Opret konfigurerbart produkt'"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Anvend kategoristi i produktets URL"
"Use in advanced search","Anvend i avanceret søgning"
"Use in quick search","Anvend i kviksøgning"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Skal udfyldes"
"Varchar","Varchar (felttype)"
"View as","Vis som"
"Virtual Product","Virtuelt produkt"
"Visibility","Synlig i"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsiderne"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Vandmærke"
"Watermark Default Size","Vandmærkestørrelse (standard)"
"Watermark Position","Vandmærkeposition"
"We Also Recommend","Vi anbefaler også"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Websites"
