" and "," og "
"Catalog","Katalog"
"Channel","Kanal"
"Channel:","Kanal:"
"Choose Store View","Vælg forretningsvisning"
"Client Session timeout (sec.)","Timeout for klientsession (sek.)"
"Close","Luk"
"Comments History","Kommentarhistorik"
"Confirmed email:","Bekræftet e-mail"
"Connect with the Magento Community","Forbind dig med Magento-fællesskabet"
"Contents","Indhold"
"Country:","Land:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Kortnummer"
"Credit Card Number: xxxx-%s","Kortnummer: xxxx-%s"
"Credit Card Type","Korttype"
"Credit Card Type: %s","Korttype: %s"
"Credit Memo History","Kreditnota-historik"
"Credit Memo Totals","Kreditnota-totaler"
"Current Configuration Scope:","Nuværende anvendelsesområde for konfiguration:"
"Current Release Information","Nuværende udgivelsesinformation"
"Custom","Tilpasset"
"Customer Group:","Kundegruppe:"
"Customer Since:","Kunde siden:"
"Customers","Kunder"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Dashboard","Oversigt"
"Data Format","Dataformat"
"Data transfer:","Dataoverførsel:"
"Date selection:","Datovalg:"
"Date selector","Datovælger"
"Date:","Dato:"
"Decimal separator:","Decimalseparator:"
"Default (Admin) Values","Standard (admin)-værdier"
"Default Values","Standardværdier"
"Delete","Slet"
"Dependencies","Afhængigheder"
"Description:","Beskrivelse:"
"Direction:","Retning:"
"Display %s first","Vis %s først"
"Distributed under GNU LGPL. See %s for details.","Udgivet under GNU LGPL. Se %s for detaljer."
"Done By:","Udført af:"
"Done by:","Udført af:"
"Download Remote File","Download fjernfil"
"Drag to move","Træk for at flytte"
"Edit Role","Rediger rolle"
"Edit User '%s'","Rediger bruger '%s'"
"Email","E-mail"
"Email Preview","E-maileksempel"
"Email:","E-mail:"
"Enclose Values In:","Indram værdier i:"
"Entity type:","Enhedstype:"
"Excl. Tax","Ekskl. moms"
"Exclude","Udelad"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Export","Eksporter"
"Export Filters","Eksportfiltre"
"Export to:","Eksporter til:"
"Export:","Eksporter:"
"Extension","Udvidelse"
"Extensions","Udvidelser"
"FTP Host[:Port]","FTP-vært[:port]"
"Field Mapping","Feltmapping"
"File Information","Filinformation"
"File name:","Filnavn:"
"Final Price","Endelig pris"
"Finished items creation.","Finished items creation."
"First Name:","Fornavn:"
"For latest version visit: %s","For seneste version, se: %s"
"From","Fra"
"General Settings","Generelle indstillinger"
"Get help for this page","Hjælp til denne side"
"Global Record Search","Søg i alle registrer"
"Go Today","I dag"
"Google Base Items","Google Base-varer"
"Group:","Gruppe:"
"Help Us Keep Magento Healthy - Report All Bugs","Hjælp os med at holde Magento fejlfri - rapporter alle fejl"
"Ignore","Ignorer"
"Images","Billeder"
"Import","Importer"
"Import Service","Importeringsservice"
"In Database:","I database:"
"In File:","I file:"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. moms"
"Include","Inkluder"
"Installed As","Installeret som"
"Interactive","Interaktiv"
"Interface Locale: %s","Interface-sprog: %s"
"Invalid webservice adapter specified","Ugyldig webservice-adapter angivet"
"Invalid webservice handler specified","Ugyldig webservice-handler angivet"
"Invoice History","Fakturahistorik"
"Invoice Totals","Fakturatotaler"
"Issue Number","Udstedelsesnummer"
"Issuer: %s","Udsteder: %s"
"Items to merge","Items to merge"
"Last 5 Orders","Sidste 5 ordrer"
"Last 5 Search Terms","Seneste 5 søgninger"
"Last Logged In (%s):","Sidst logget ind (%s):"
"Last Logged In:","Sidst logget ind:"
"Last Name:","Efternavn:"
"Latest Message:","Seneste besked:"
"Leave empty to use tax identifier","Udelad for at bruge moms-id"
"Level","Niveau"
"License:","Licens:"
"Loading...","Indlæser..."
"Local Server","Lokal server"
"Local/Remote Server","Lokal/fjern server"
"Log Out","Log ud"
"Logged in as %s","Logget ind som %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api-sektion"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento er et varemærke ejet af Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Vedligeholdere"
"Manage Stores","Administrer butikker"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"Merge Now","Merge Now"
"Min","Min"
"Module version conflict!","Module version conflict!"
"N/A","N/A"
"Name","Navn"
"Name on Card","Navn på kort"
"Name on the Card: %s","Navn på kortet: %s"
"Name:","Navn:"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next page","Næste side"
"Next year (hold for menu)","Næste år (hold for menu)"
"No","Nej"
"No Data Found","Ingen data fundet"
"No search keywords.","Ingen søgeord."
"Note:","Note:"
"Notes:","Noter:"
"Number of records:","Antal poster:"
"Old rate:","Gammel kurs:"
"Only mapped fields","Kun mappede felter"
"Order Totals","Ordretotaler"
"Order confirmation email not sent","Ordrebekræftelse ikke sendt"
"Order confirmation email sent","Ordrebekræftelse sendt"
"Original Magento attribute names in first row:","Originale Magento egenskabsnavne i første række:"
"Package","Pakke"
"Package Information","Pakkeinformation"
"Packages","Pakker"
"Page","Side"
"Passive mode","Passiv-mode"
"Password","Adgangskode"
"Path","Sti"
"Path:","Sti:"
"PayPal Email","PayPal e-mail"
"Personal Information","Personlig information"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bekræft skift af website. Alle data der ikke er gemt vil gå tabt."
"Please enter 6 or more characters.","Skriv mindst 6 tegn."
"Please enter a number greater than 0 in this field.","Skriv et tal større end 0 i dette felt."
"Please enter a valid $ amount. For example $100.00.","Skriv et gyldigt $-beløb. F.eks. $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Skriv en gyldig URL, f.eks. http://www.eksempel.dk or www.eksempel.dk"
"Please enter a valid URL. http:// is required","Skriv en gyldig URL. http:// kræves."
"Please enter a valid credit card number.","Indtast et gyldigt kortnummer."
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Skriv en gyldig e-mail-adresse, f.eks. johndoe@domain.com."
"Please enter a valid number in this field.","Skriv et gyldigt tal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv et gyldigt telefonnummer, f.eks. 12 34 56 78."
"Please enter a valid social security number. For example 123-45-6789.","Skriv et gyldigt CPR-nummer, f.eks. 123456-7890."
"Please enter a valid value from list","Angiv en gyldig værdi fra listen"
"Please enter a valid value, ex: 10,20,30","Skriv en gyldg værdi, f.eks. 10,20,30"
"Please enter a valid zip code.","Skriv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Skriv et gyldigt postnummer, f.eks. 1000."
"Please enter valid password.","Skriv en gyldig adgangskode."
"Please make sure that your changes were saved before running the profile.","Sørg for at dine ændringer er gemt før du kører profilen."
"Please make sure your passwords match.","Sørg for at dine adgangskoder er ens."
"Please select State/Province.","Vælg region."
"Please select an option.","Vælg en mulighed."
"Please select one of the above options.","Vælg en af mulighederne ovenfor."
"Please select one of the options.","Vælg en af mulighederne."
"Please use in this field only ""a-z,0-9,_"".","Brug kun tegnene ""a-z,0-9,_"" i dette felt."
"Please use letters only (a-z) in this field.","Brug kun bogstaverne a-z i dette felt."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Brug kun tal i dette felt. Undgå mellemrum eller andre tegn som punktummer eller kommaer."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver a-z eller tal 0-9 i dette felt. Ingen mellemrum eller andre tegn er tilladt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver a-z, tal 0-9, mellemrum eller # i dette felt."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. F.eks. 17/03/2006 for den 17. marts 2006."
"Please wait, loading...","Vent venligst, indlæser..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Previous page","Forrige side"
"Price","Pris"
"Price:","Pris:"
"Primary Billing Address","Primære faktureringsadresse"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Produkt"
"Products","Produkter"
"Profile Information","Profilinformation"
"Provided Files","Leverede filer"
"Qty","Antal"
"Read details","Læs detaljer"
"Recommended","Anbefalet"
"Remote FTP","Fjern-FTP"
"Remote URL:","Fjern-URL:"
"Remove","Remove"
"Resource Access","Ressourceadgang"
"Resources","Ressourcer"
"Role","Rolle"
"Role Users","Rollebrugere"
"Roles","Roller"
"Roles Resources","Rolleressourcer"
"SKU","Varenummer"
"SKU:","Varenummer:"
"Schedule Merge","Schedule Merge"
"Select All","Vælg alle"
"Select Date","Vælg dato"
"Select Range","Vælg interval"
"Select Visible","Vælg synlig"
"Select date","Vælg dato"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Leveringskommentarer"
"Shipment History","Leveringshistorik"
"Shipping Address","Leveringsadresse"
"Shipping address selection is not applicable","Leveringsadresse kan ikke bruges"
"Shipping method selection is not applicable","Leveringsform kan ikke bruges"
"Show Report for","Vis rapport for"
"Show by","Vis efter"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Nogle varer i denne ordrer har forskellige faktura- og leveringstyper. Du kan først oprette leveringen når fakturaen er oprettet."
"Sort Order","Sorteringsrækkefølge"
"Spreadsheet Name:","Regnearksnavn:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Startdato"
"State/Province:","Region:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Lagerantal:"
"Store:","Butik:"
"Store: ","Store: "
"Subpackage","Subpakke"
"Subpackages","Subpakker"
"Summary:","Resumé:"
"Switch/Solo Only","Kun Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo-kort udstedelsesnummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo-kort startdato: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Kun Switch/Solo/Maestro(UK indenrigs)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK indenrigs) udstedelsesnummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK indenrigs) startdato: %s/%s"
"The information in this tab has been changed.","Oplysningerne i denne fane er ændret."
"This is a required field.","Dette er et obligatorisk felt."
"This tab contains invalid data. Please solve the problem before saving.","Denne fane indeholder ugyldige data. Løs venligst problemet før du gemmer."
"Thumbnail","Thumbnail"
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"To","Til"
"Top 5 Search Terms","Top 5 søgeord"
"Total %d records found","I alt %d poster fundet"
"Track order","Track ordre"
"Track this shipment","Track denne levering"
"Type","Type"
"Type:","Type:"
"Unable to login.","Kan ikke logge ind."
"Unselect All","Fravælg alle"
"Unselect Visible","Fravælg synlige"
"Upgrade All Available Packages","Opdater alle tilgængelige pakker"
"Upload Local File","Upload lokal fil"
"Upload local file:","Upload lokal fil:"
"Use Default Value","Brug standardværdi"
"User","Bruger"
"User Name","Brugernavn"
"User Roles","Brugerroller"
"User name","Brugernavn"
"Users","Brugere"
"Value Delimiter:","Værdiseparator:"
"Version:","Version:"
"View","Vis"
"View Statistics for","Vis statistik for"
"Visibility:","Synlighed:"
"Warning! Empty value can cause problems with CSV format.","Advarsel! Tom værdi kan give problemer med CSV-formatet."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Web Services"
"Web Services Configuration","Web Services konfiguration"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","Hvad er dette?"
"Yes","Ja"
"You have","Du har"
"Your Account has been deactivated.","Din konto er deaktiveret."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Din servers PHP-indstillinger tillader ikke at uploade mere end %s ad gangen. Modificer værdierne for post_max_size (i øjeblikket %s) og upload_max_filesize (i øjeblikket %s) i php.ini hvis du vil uploade større filer."
"Zip/Postal Code:","Postnummer:"
"critical","kritisk"
"images/logo.gif","images/logo.gif"
"items selected","varer valgt"
"major","større"
"md5sum","md5sum"
"minor","mindre"
"notice","notits"
"of %s pages","af %s sider"
"or","or"
"per page","per side"
"to","til"
