"* Required Fields","* Skal udfyldes"
"Use as my default shipping address","Brug min standard <strong>leveringsadresse</strong>"
"User description","Brugerens beskrivelse"
"View","Vis"
"View Order","Vis ordre"
"View Order List","Se ordreoversigt"
"Visible In","Synlig i"
"Visitor","Besøgende"
"Visitors Only","Kun for gæster"
"Website","Website"
"Welcome Email","Velkomst-e-mail"
"Wishlist","Ønskeseddel"
"Wishlist - %d item(s)","Ønskeseddel - %d vare(r)"
"Wrong confirmation key.","Forkert bekræftelsesnøgle."
"Wrong customer account specified.","Forkert kundekonto angivet."
"Wrong email.","Forkert e-mail."
"Wrong region id by selected country","Forkert regions-id for valgte land"
"Wrong transactional account email type.","Forkert e-mailtype for transkationskonto."
"XML","XML"
"YYYY","ÅÅÅÅ"
"Year","År"
"You are currently not subscribed to any newsletter.","Du er i øjeblikket ikke tilmeldt vores nyhedsbrev."
"You are currently not subscribed to our newsletter","Du er ikke tilmeldt vores nyhedsbrev"
"You are currently subscribed to 'General Subscription'.","Du er i øjeblikket tilmeldt 'Generelt abonnement'."
"You are currently subscribed to our newsletter","Du er tilmeldt vores nyhedsbrev"
"You are currently subscribed to our newsletter.","Du er tilmeldt vores nyhedsbrev"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Du er blevet logget ud og vil blive sendt til vores forside indenfor 5 sekunder."
"You have no additional address entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no additional entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no default billing address in your address book.","Du har ikke en standard betalingsadresse i din adressebog"
"You have no default shipping address in your address book.","Du har ikke en standard leveringsadresse i din adressebog"
"You have no primary entries in your address book.","Du har ikke nogen primære adresser i din adressebog."
"You have not set a primary billing address.","Du har ikke angivet en betalingsadresse"
"You have not set a primary shipping address.","Du har ikke angivet en leveringsadresse"
"You have placed no orders yet.","Ingen ordrer endnu..."
"You have placed no products yet.","Du har ikke ingen produkter i kurven."
"You're now Logged Out","Du er nu logget ud"
"Your account balance is: %s","Din kontobalance er: <strong>%s</strong>"
"ZIP","ZIP"
"ZIP/Post Code","Postnummer"
"ZIP/Postal Code","Postnummer"
"Zip/Postal Code","Postnummer"
"n/a","Ikke tilgængelig"
"or","eller"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
