"-- Please Select --","-- من فضلك اختر --"
"Add New Class","إضافة شريحة جديدة"
"New Rule","قاعدة جديدة"
"New Tax Rate","معدل ضريبة جديد"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","من فضلك اختر دولة"
"Please select County","من فضلك اختر مقاطعة"
"Please select State","من فضلك اختر ولاية"
"Priority","Priority"
"Product Tax Class","شريحة المنتج الضريبية"
"Product Tax Class Information","معلومات شريحة المنتج الضريبية"
"Product Tax Classes","شرائح المنتج الضريبية"
"Rate","Rate"
"Reset","إعادة ضبط"
"Sales","المبيعات"
"Save Class","حفظ شريحة"
"Save Rate","حفظ معدل"
"Save Rule","حفظ قاعدة"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","ولاية"
"State/Region","ولاية/منطقة"
"Tax","الضريبة"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","معدل الضريبة"
"Tax Rate Information","معلومات معدل الضريبة"
"Tax Rule Information","معلومات معدل الضريبة"
"Tax Rules","قواعد الضريبة"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","تم حذف شريحة الضريبة بنجاح"
"Tax class was successfully saved","تم حفظ شريحة الضريبة بنجاح"
"Tax rate was successfully deleted","تم حذف معدل الضريبة بنجاح"
"Tax rate was successfully imported","تم استيراد معدل الضريبة بنجاح"
"Tax rate was successfully saved","تم حفظ معدل الضريبة بنجاح"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","تم حذف قاعدة الضريبة بنجاح"
"Tax rule was successfully saved","تم حفظ قاعدة الضريبة بنجاح"
"This class no longer exists","هذه الشريحة لم تعد موجودة"
"This rule no longer exists","هذه القاعدة لم تعد موجودة"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في %d مجموعات عملاء."
"You cannot delete this tax class as it is used for %d products.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في %d منتجات."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في قواعد الضريبة. يجب عليك حذف هذه القواعد أولا."
"Zip/Post Code","الرمز البريدي"
