"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","Items"
"Load customer quote error","Load customer quote error"
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingresar"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Mover a Listado"
"My Account","Mi cuenta"
"My Cart","My Cart"
"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart Link","My Cart Link"
"New Address","New Address"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Revisar Pedido"
"Order Success","Pedido Procesado correctamente"
"Other items in your order","Other items in your order"
"Password","Contraseña"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Información de Pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Lugar del pedido"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continúe comprando</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor introduzca un codigo zip valido. Por ejemplo 90602 o 90602-1234."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Por favor seleccione el método de envío para todas las direcciones"
"Price","Precio"
"Proceed to Checkout","Proceder a Comprar"
"Product","Producto"
"Product Name","Product Name"
"Product does not exist","El producto no existe"
"Qty","Cant."
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","Recently added item(s)"
"Register","Registrar"
"Register and save time!","¡Registrate y ahorra tiempo!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove","Eliminar"
"Remove Item","Eliminar Artículo"
"Remove Product","Eliminar producto"
"Remove item","Remove item"
"Review Order","Revisar Pedido"
"Review Order - %s","Review Order - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"Select Address","Seleccione dirección"
"Select Addresses","Seleccionar direcciones"
"Select Shipping Method","Seleccione método de pago"
"Select State/Province...","Seleccionar Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una"
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío en su libreta de direcciones o introduzca una<a href=""#"" onclick=""shipping.newAddress(true)
You will receive an order confirmation email with details of your order and a link to track its progress.,Usted recibirá una confirmación del pedido por correo electrónico con los detalles de su pedido y un enlace para seguir el progreso.
Your Checkout Progress,Su progreso de facturación
&laquo
&laquo
You may check out as a guest or register with us for future convenience:,Puede comprar como invitado o registrarte con nosotros para ventajas futuras:
Continue Shopping,Continuar comprando
Zip/Postal Code,Codigo Postal/Zip
Update Qty &amp
Product Name,Nombre del producto
Your order number is %s,Tu número de orden es %s
* Required Fields,* Campos requeridos
Items,Artículos
Continue to Shipping Information,Continuar con la Información de Envío
Ship to this address,Enviar a esta dirección
Sorry, no quotes are available for this order at this time.,Lo sentimos"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Enviar a"
"Ship to Multiple Addresses","Envíar a Múltiples Direcciones"
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shipping Address","Dirección de Envío"
"Shipping Information","Información de Envío"
"Shipping Method","Método de Envío"
"Shipping Methods","Métodos de Envío"
"Shipping method has not been selected yet","Aún no ha seleccionado el método de envío"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Enviar a"
"Shopping Cart","carro de compra"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","El carro de compra está vacío"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Algunos de los productos requeridos no están disponibles en la cantidad deseada"
"Some of the products you requested are unavailable","Algunos de los productos requeridos no están disponibles"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Estado/Provincia"
"Status","Status"
"Store View","Store View"
"Street Address","Dirección"
"Street Address ","Street Address "
"Submitting order information...","Agregue otra información..."
"Subtotal","Subtotal"
"Telephone","Teléfono"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","¡Gracias por su compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","Ya existe un cliente registrado usando este correo electrónico"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total para esta dirección"
"Unit Price","Precio Unidad"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","Actualice el carro de compra"
"Update Total","Actualizar Total"
"Use Billing Address","Usar Dirección de Facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido"
"You have no items in your shopping cart.","No tiene artículos en su carro de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your Checkout Progress","Your Checkout Progress"
"Your order # is: %s","Tu pedido # es: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Su pedido ha sido recibido"
"Your order number is ","Your order number is "
"Zip/Postal Code","Zip/Postal Code"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Mi Carro"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
