" and "," y "
"Catalog","Catálogo"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Escoger Vista de Tienda"
"Client Session timeout (sec.)","Tiempo de la Sesión del Cliente (sec.)"
"Close","Cerrar"
"Comments History","Historial de Comentarios"
"Confirmed email:","Correo Confirmado:"
"Connect with the Magento Community","Conectarse a la Comunidad Magento"
"Contents","Contenidos"
"Country:","País:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Crear un respaldo"
"Created <strong>%s</strong> items","Creado <strong>%s</strong> articulos"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Memo History","Historial de Notas de Crédito"
"Credit Memo Totals","Totales de Notas de Crédito"
"Current Configuration Scope:","Rango de la Configuración Actual:"
"Current Release Information","Información de la Versión Actual"
"Custom","Personalizado"
"Customer Group:","Grupo de Clientes:"
"Customer Since:","Cliente Desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Selector de Fecha/Tiempo DHTML"
"Dashboard","Panel"
"Data Format","Formato de Datos"
"Data transfer:","Transferencia de Datos:"
"Date selection:","Selección de Fecha:"
"Date selector","Selector de Fecha"
"Date:","Fecha:"
"Decimal separator:","Separador Decimal:"
"Default (Admin) Values","Valores por Defecto (Admin)"
"Default Values","valores por Defecto"
"Delete","Borrar"
"Dependencies","Dependencias"
"Description:","Descripción:"
"Direction:","Dirección:"
"Display %s first","Mostrar los %s primeros"
"Distributed under GNU LGPL. See %s for details.","Distribuído bajo GNU LGPL. Vea %s para detalles."
"Done By:","Hecho por:"
"Done by:","Hecho por:"
"Download Remote File","Descargar Archivo Remoto"
"Drag to move","Arrastrar para mover"
"Edit Role","Editar Rol"
"Edit User '%s'","Editar Usuario '%s'"
"Email","Correo Electrónico"
"Email Preview","Vista Previa del Correo"
"Email:","Correo Electrónico:"
"Enclose Values In:","Adjuntar valores en:"
"Entity type:","Tipo de Entidad:"
"Excl. Tax","Sin Impuestos"
"Exclude","Excluir"
"Expiration Date","Fecha de Vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Export","Exportar"
"Export Filters","Filtros de Exportación"
"Export to:","Exportar a:"
"Export:","Exportar:"
"Extension","Extensión"
"Extensions","Extensiones"
"FTP Host[:Port]","Host FTP[:Puerto]"
"Field Mapping",";Mapeo de Campos"
"File Information","Información de Archivo"
"File name:","Nombre de Archivo:"
"Final Price","Precio Final"
"Finished items creation.","Finished items creation."
"First Name:","Nombre:"
"For latest version visit: %s","Para versión actualizada visite: %s"
"From","De"
"General Settings","Configuraciones Generales"
"Get help for this page","Obtener ayuda para ésta página"
"Global Record Search","Búsqueda Global"
"Go Today","Ir a Hoy"
"Google Base Items","Elementos Base de Google"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdenos a Mantener Magento Saludable - Reporte todos las fallas"
"Ignore","Ignorar"
"Images","Imágenes"
"Import","Importar"
"Import Service","Servicio de Importación"
"In Database:","En base de datos:"
"In File:","En archivo:"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Include","Incluído"
"Installed As","Instalado como"
"Interactive","Interactivo"
"Interface Locale: %s","Interfáz Local: %s"
"Invalid webservice adapter specified","Adaptador de servicio web especificado incorrecto"
"Invalid webservice handler specified","Cabecera de servicio web especificado incorrecto"
"Invoice History","Historial de Facturación"
"Invoice Totals","Totales de Facturación"
"Issue Number","Número de la publicación"
"Issuer: %s","Emisor: %s"
"Items to merge","Articulos a combinar"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 términos buscados"
"Last Logged In (%s):","Último ingreso en (%s):"
"Last Logged In:","Último ingreso en:"
"Last Name:","Apellido:"
"Latest Message:","Último Mensaje:"
"Leave empty to use tax identifier","Dejar en blanco para usar identificador de impuesto"
"Level","Nivel"
"License:","Licencia:"
"Loading...","Cargando..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Salir"
"Logged in as %s","Ingresó como %s"
"MS Excel XML","XML MS Excel"
"Magento Core Api","Core Api Magento"
"Magento Core Api Section","Sección Core Api Magento"
"Magento Logo","Logo Magento"
"Magento ver. %s","Versión de Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; es una marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Mantenedores"
"Manage Stores","Gestión de Tiendas"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"Merge Now","Combinar Ahora"
"Min","Min"
"Module version conflict!","Modulo conflicto de version!"
"N/A","N/A"
"Name","Nombre"
"Name on Card","Nombre en Tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"Name:","Nombre:"
"Next month (hold for menu)","Siguiente mes (mantener presionado para menú)"
"Next page","Siguiente página"
"Next year (hold for menu)","Siguiente Año (mantener presionado para menú)"
"No","No"
"No Data Found","No se encontraron datos"
"No search keywords.","Sin claves de búsqueda."
"Note:","Nota:"
"Notes:","Notas:"
"Number of records:","Número de registros:"
"Old rate:","Tasa Anterior:"
"Only mapped fields","Sólo campos mapeados"
"Order Totals","Totales del Pedido"
"Order confirmation email not sent","Correo de confirmación de pedido no envíado"
"Order confirmation email sent","Correo de confirmación de pedido envíado"
"Original Magento attribute names in first row:","Nombres de atributo originales de Magento en la primera fila:"
"Package","Paquete"
"Package Information","Información del Paquete"
"Packages","Paquetes"
"Page","Página"
"Passive mode","Modo pasivo"
"Password","Contraseña"
"Path","Ruta"
"Path:","Ruta:"
"PayPal Email","Correo de PayPal"
"Personal Information","Información Personal"
"Phone:","Teléfono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirmar cambio de sitio. Todos los datos que no fueron grabados se perderán."
"Please enter 6 or more characters.","Por favor ingrese 6 caracteres o más."
"Please enter a number greater than 0 in this field.","Por favor ingrese un número mayor que 0 en éste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor ingrese un monto $ válido. Por ejemplo $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor ingrese una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid URL. http:// is required","Por favor ingrese una URL válida. http:// es obligatorio"
"Please enter a valid credit card number.","Por favor ingrese un número de tarjeta de crédito válido."
"Please enter a valid date.","Por favor ingrese una fecha válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor ingrese un correo electrónico válido. Por ejemplo johndoe@dominio.com."
"Please enter a valid number in this field.","Por favor ingrese un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor ingrese un número de teléfono válido. Por ejemplo (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor iingrese un número de seguridad social válido. Por ejemplo 123-45-6789."
"Please enter a valid value from list","Por favor ingrese un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor ingrese un valor válido, ejem: 10,20,30"
"Please enter a valid zip code.","Por favor ingrese un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter valid password.","Por favor ingrese una contraseña válida."
"Please make sure that your changes were saved before running the profile.","Asegúrese que grabó los cambios antes de correr el perfil."
"Please make sure your passwords match.","Por favor asegúrese que las contraseñas coinciden."
"Please select State/Province.","Por favor escoja Estado/Provincia."
"Please select an option.","Por favor elija una opción."
"Please select one of the above options.","Por favor elija una de las siguientes opciones."
"Please select one of the options.","Por favor elija una de las opciones."
"Please use in this field only ""a-z,0-9,_"".","Por favor ingrese en este campo solamente ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Por favor use solamente letras (a-z) en este campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor solamente use números en éste campo. Evite espacios u otros caracteres como puntos o comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use sólo letras (a-z) o números (0-9) en éste campo. No se permiten espacios u otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Use solamente letras (a-z) o números (0-9) o espacios y # en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use éste formato de fecha: dd/mm/yyyy. Por ejemplo 17/03/2006 para el 17 de marzo, 2006."
"Please wait, loading...","Por favor espere, cargando..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Mes Anterior (mantener presionado para menú)"
"Prev. year (hold for menu)","Año anterior (mantener presionado para menú)"
"Previous page","Página Anterior"
"Price","Precio"
"Price:","Precio:"
"Primary Billing Address","Dirección de Facturación Primaria"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Producto"
"Products","Productos"
"Profile Information","Información del Perfil"
"Provided Files","Archivos Proporcionados"
"Qty","Cant"
"Read details","Leer Detalles"
"Recommended","Recomendado"
"Remote FTP","FTP Remoto"
"Remote URL:","URL Remota:"
"Remove","Remove"
"Resource Access","Acceso a Recurso"
"Resources","Recursos"
"Role","Rol"
"Role Users","Rol de Usuarios"
"Roles","Roles"
"Roles Resources","Recursos de Roles"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Agendar Combinar"
"Select All","Seleccionar todos"
"Select Date","Seleccionar Fecha"
"Select Range","Seleccionar Rango"
"Select Visible","Seleccionar Visibles"
"Select date","Seleccionar Fecha"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Comentarios de Despacho"
"Shipment History","Historial de Despacho"
"Shipping Address","Dirección de Despacho"
"Shipping address selection is not applicable","Dirección de despacho no es aplicable"
"Shipping method selection is not applicable","Selección de Método de Despacho no es aplicable"
"Show Report for","Mostrgar Reporte para"
"Show by","Mostrar por"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos de este pedido tienen diferentes tipos de envío y factura. Sólo puede crear un Despacho después de crear la factura"
"Sort Order","Ordenar Pedidos"
"Spreadsheet Name:","Nombre de la Hoja de Cálculo:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Fecha de Inicio"
"State/Province:","Estado/Provincia:"
"Status","Estado"
"Status:","Estado:"
"Stock Quantity:","Cantidad en Existencia:"
"Store:","Tienda:"
"Store: ","Tienda: "
"Subpackage","Subpaquete"
"Subpackages","Subpaquetes"
"Summary:","Resumen:"
"Switch/Solo Only","Solamente Switch/Solo"
"Switch/Solo card issue number: %s","Número de Tarjeta Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Fecha de Inicios de la Tarjeta Switch/Solo: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Solamente Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de Tarjeta Switch/Solo/Maestro(UK Domestic): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Fecha de incio de la Tarjeta Switch/Solo/Maestro(UK Domestic): %s/%s"
"The information in this tab has been changed.","La información de esta pestaña hga sido cambiada."
"This is a required field.","Este es un campo obligatorio."
"This tab contains invalid data. Please solve the problem before saving.","Esta pestaña contiene datos incorrectos. Por favor arregle el problema antes de grabar."
"Thumbnail","Miniatura"
"Time selection:","Selección de Tiempo:"
"Time:","Tiempo:"
"To","A"
"Top 5 Search Terms","Condiciones de Búsqueda Top 5"
"Total %d records found","Total %d registros encontrados"
"Track order","Seguir Pedido"
"Track this shipment","Seguir éste despacho"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","No se puede ingresar."
"Unselect All","Deseleccionar todos"
"Unselect Visible","Deseleccionar Visibles"
"Upgrade All Available Packages","Actualizar todos los paquetes disponobles"
"Upload Local File","Actualizar archivo local"
"Upload local file:","Actualizar archivo local:"
"Use Default Value","Usar valor por defecto"
"User","Usurio"
"User Name","Nombre de usuario"
"User Roles","Roles del Usuario"
"User name","Nombre del Usuario"
"Users","Usuarios"
"Value Delimiter:","Valor del delimitador "
"Version:","Versión:"
"View","Ver"
"View Statistics for","Ver Estadísticas para"
"Visibility:","Visibilidad:"
"Warning! Empty value can cause problems with CSV format.","¡Cuidado! Valores vacíos pueden causar problemas con el formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Servicos Web"
"Web Services Configuration","Configuración de Servicios Web"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","¿Qué es ésto?"
"Yes","Si"
"You have","Ud. tiene"
"Your Account has been deactivated.","Su cuenta ha sido desactivada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración de su servidor sólo le permite cargar archivos de no más de %s en este momento. Modifique los valores post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) en php.ini si quiere subir archivos grandes."
"Zip/Postal Code:","Código CP/Postal:"
"critical","crítico"
"images/logo.gif","images/logo.gif"
"items selected","items seleccionadoas"
"major","mayor"
"md5sum","md5sum"
"minor","menor"
"notice","noticia"
"of %s pages","de %s páginas"
"or","or"
"per page","por página"
"to","a"
