"* Required Fields","* Campos obligatorios"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Recupera tu contraseña aquí"
"SKU","SKU"
"Sales Statistics","Sales Statistics"
"Save","Grabar"
"Save Address","Grabar dirección"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Save Customer"
"Save Customer Group","Save Customer Group"
"Save Password","Grabar contraseña"
"Saved ","Saved "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Suscribirse al Boletín"
"Sign up for our newsletter","Suscribirse al Boletín"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Store"
"Store View","Store View"
"Street Address","Calle"
"Street Address ","Street Address "
"Subject","Subject"
"Submit","Enviar"
"Subscribe","Suscribir"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax class","Tax class"
"Tax/VAT number","Tax/VAT number"
"Telephone","Teléfono"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s","Gracias por registrarse en %s"
"The address does not belong to this customer","La dirección no pertenece a este cliente"
"The address was successfully deleted","La dirección fue eliminada correctamente"
"The address was successfully saved","La dirección fue guardada correctamente"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There was an error while deleting the address","Ha ocurrido un error mientras se eliminaba la dirección"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","This customer has no saved addresses."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Esta direccion de correo no se encuentra en los archivos"
"This is My Primary %s Address","Está es mi dirección primaria en <strong>%s</strong>"
"To Cart","Al carro"
"Total","Total"
"Type","Type"
"Unknown","Unknown"
"Unsubscribe from newsletter","Unsubscribe from newsletter"
"Update","Actualizar"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Utilizar como mi dirección principal en <strong>%s</strong>"""
"Use as my default billing address","Utilizar como mi dirección de facturación"
"Use as my default shipping address","Utilizar mi dirección de <strong>facturación</strong> por defecto"
"User description","User description"
"View","View"
"View Order","Ver pedido"
"View Order List","Ver lista de órdenes"
"Visible In","Visible In"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Listado"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","id de región equivocada para el país seleccionado"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You are currently not subscribed to our newsletter","Actualmente no está suscrito a nuestro Boletín"
"You are currently subscribed to 'General Subscription'.","Actualmente está suscrito a 'Suscripción general'."
"You are currently subscribed to our newsletter","Actualmente no está suscrito a nuestro Boletín"
"You are currently subscribed to our newsletter.","Actualmente está suscrito a nuestro Boletín."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Se ha desconectado correctamente y será reenviado a la página principal en 5 segundos."
"You have no additional address entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no default billing address in your address book.","No tiene dirección de envío en su libreta de direcciones."
"You have no default shipping address in your address book.","No hay ninguna dirección de envío por defecto en tu libreta de direcciones."
"You have no primary entries in your address book.","No tiene entradas en el libro de direcciones."
"You have not set a primary billing address.","No ha configurado una dirección de facturación primaria."
"You have not set a primary shipping address.","No ha configurado una dirección de envío."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"You have placed no products yet.","No ha elegido ningún producto."
"You're now Logged Out","Ahora está desconectado"
"Your account balance is: %s","El balance de tu cuenta es: <strong>%s</strong>"
"ZIP","ZIP"
"ZIP/Post Code","ZIP/Post Code"
"ZIP/Postal Code","ZIP/Postal Code"
"Zip/Postal Code","CP/Código Postal"
"n/a","n/a"
"or","or"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
