"# of Use","# de Uso"
"Categories Sitemap","Categorias Mapeo del Sitio"
"Category","Categoría"
"Category API","Categoría API"
"Category Data","Categoría Data"
"Category Navigation:","Categoría de Navegación:"
"Category Products","Categoría Productos"
"Category Top Navigation","Categoría Top de Navigación"
"Category URL Suffix","Categoría Sufijo URL "
"Category attributes API","Categoría atributos API"
"Category delete error","Categoría error de borrado"
"Category deleted","Categoría eliminada"
"Category move error","Categoría error al mover"
"Category must be instance of Mage_Catalog_Model_Category","Categoría debe ser instacia de Mage_Catalog_Model_Category"
"Category saved","Categoría guardada"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambie o Recuperar atributo vista de tienda"
"Change status","Cambie estado"
"Check items to add to the cart or","Compruebe los elementos a añadir al carro o"
"Choose an Option...","Elegir una Opción..."
"Choose option...","Elija opción..."
"Clear All","Limpiar Todo"
"Clear All Items","Limpiar todos los artículos"
"Close Window","Cerrar Ventana"
"Collapse All","Contraer Todo"
"Comparable","Comparable"
"Comparable on Front-end","Comparable en Front-end"
"Compare Items","Comparar Artículos"
"Compare Products","Comparar Productos"
"Compare Products (%d)","Comparar Productos (%d)"
"Compare Products - %d Items","Comparar Productos - %d Artículos"
"Compare Products List","Lista de Productos Comparados"
"Compare list successfully cleared","Comparar lista limpiada con éxito"
"Conditions Combination","Condiciones Combinación"
"Configurable Product","Configurable Producto"
"Configurable Product Settings","Configurable Producto Configurables"
"Continue","Continue"
"Copy From Configurable","Copie de Configurable"
"Country/State","Pais/Estado"
"Create","Crear"
"Create (Upload)","Crear (Subir)"
"Create Empty","Crear Vacío"
"Create Product Settings","Crear Producto Configurables"
"Create Simple Associated Product","Crear Simple Asociado a Producto"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Cross-sells","Ventas-cruzadas"
"Currently Shopping by","Actualmente Comprando por"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones Personalizadas"
"Customer Group","Grupo de Cliente"
"Customers Reviews","Clientes Comentarios"
"Customers Tagged Product","Clientes Etiquetado de Productos"
"Customers for alert %s was successfuly added to queue","Clientes por alerta %s fue exitosamente añadido a la cola"
"Data Type for Saving in Database","Tipo de Datos de Ahorro en Base de Datos"
"Date","Fecha"
"Date & Time Custom Options","Fecha y Hora de Opciones Personalizadas"
"Date Subscribed","Fecha Suscrito"
"Date fields order","Campos de fecha de la orden"
"Datetime","Datetime"
"Decimal","Decimal"
"Decimal Number","Decimal Number"
"Declare attribute value saving scope","Declarar valor del atributo ahorro alcance"
"Default Qty","Cant. predeterminada"
"Default Values","Valores predeterminados"
"Default price","Precio predeterminado"
"Default value","Valor predeterminado"
"Delete","Eliminar"
"Delete Attribute","Eliminar Atributo"
"Delete Attribute Set","Eliminar Conjunto de Atributos"
"Delete Category","Eliminar Categoría"
"Delete Option","Eliminar Opción"
"Delete Row","Eliminar Fila"
"Delete Search","Eliminar Busqueda"
"Delete Selected Group","Eliminar Grupo Selecionado"
"Delete category","Eliminar categoría"
"Delete product","Eliminar producto"
"Depends on design theme","Depende del tema de diseño"
"Design","Diseño"
"Disabled","Desactivado"
"Display in Suggested Terms","Pantalla en Términos Sugeridos"
"Double click on a group to rename it","Haga clic en un grupo para cambiarle el nombre"
"Double click on above image to view full picture","Haga clic en la imagen para verla en tamaño completo"
"Dropdown","Desplegable"
"Duplicate","Duplicado"
"Duplicate website tier price customer group and quantity.","Duplicar página web del grupo de clientes precio de nivel y cantidad."
"Duplicate website, country and state tax found.","Duplicar página web, el país y estatdo con impuesto encontrado."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo del Producto"
"Edit Product Attribute ""%s""","Editar Atributo del Producto ""%s"""
"Edit Search","Editar Busqueda"
"Edit Search '%s'","Editar Busqueda '%s'"
"Email","Correo Electronico"
"Email to a Friend","Correo Electronico a un Amigo"
"Empty","Vacío"
"Enabled","Activado"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"Error while adding customers for %s alert. Message: %s","Error al agregar los clientes por %s alerta. Mensaje: %s"
"Error while saving this group. Group with the same name already exists.","Error al guardar este grupo. Grupo con el mismo nombre ya existe."
"Error while saving this group. Please try again later.","Error al guardar este grupo. Por favor, inténtelo de nuevo más tarde."
"Exclude","Excluir"
"Expand All","Expandir Todo"
"Failed","Fallido"
"Failed to move file: %s","Fallo al mover archivo: %s"
"Feature Products","Caracteristica de Productos"
"File options format is not valid","Formato Opciones de Archivo no es válido"
"File upload failed","Subir archivo falló"
"Filter model name must be declared","El nombre del modelo de filtro debe ser declarado"
"Filter must be as object. Set correct filter please","El filtro debe estar como objeto. Elija el filtro correcto"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"Filters must be as array","Filtros deben estar como matriz"
"First Name","Nombre"
"Fixed","Reparado"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Módulo Catálogo plana tiene un límite de %2$d filtrados y/o atributos ordenados. Actualmente hay %1$d. Por favor, reduzca el número de atributos que se pueden filtrar/ordenar capaces con el fin de utilizar este módulo."
"For internal use. Must be unique with no spaces","Para uso interno. Debe ser único, sin espacios"
"For reindex enabled product(s) you need specify store or product","Para reindexar producto(s) activos usted necesita especificar tienda o producto"
"Frontend","Frontend"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propiedades Frontend"
"Gallery","Gallería"
"General Information","Información General"
"Get special price","Obtén precio especial"
"Global","Global"
"Globally Editable","Editable Globalmente"
"Go to Home Page","Ir a Inicio"
"Grid","Rejilla"
"Grouped Product","Producto Agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no se especifica un valor de opción para una vista específica tienda entonces se usará la (Admin) valor predeterminado."
"Image","Imagen"
"Image content is not valid base64 data.","Contenido de la imagen no es base64 válido."
"Image file not found","Archivo de imagen no encontrado"
"Image not exists","No existe imagen"
"Image not specified.","La imagen no se especifica."
"Image type and information need to be specified for each store view.","Tipo de imagen y la información deben especificarse para cada vista de tienda."
"In Stock","En Existencia"
"In stock","En existencia"
"In stock.","En existencia."
"Incl. Tax","Incl. Impuesto"
"Input Type","Tipo de Entrada"
"Input Validation for Store Owner","Validación de entrada por Propietario de la Tienda"
"Integer","Entero"
"Integer Number","Número Entero"
"Invalid Tier Prices","Nivel de Precios Invalido"
"Invalid attribute %s","Atributo invalido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo no válido para el atributo %s (%s), omitiendo el registro"
"Invalid attribute set specified, skipping the record","Conjunto atributo no válido, omitiendo el registro"
"Invalid block: %s","Bloque no válido: %s"
"Invalid category","Categoría no válida"
"Invalid category IDs","IDs de Categoría no válida"
"Invalid image file type","Archivo imagen tipo no válida"
"Invalid image type.","Tipo imagen no válida"
"Invalid option id specified for %s (%s), skipping the record","Opción id no válido para el %s (%s), omitiendo el registro"
"Invalid product type specified, skipping the record","Tipo de producto especificado no válido, omitiendo el registro"
"Invalid store specified","Tienda especificada no válida"
"Invalid store specified, skipping the record","Tienda especificada no es válida, omitiendo el registro"
"Inventory","Inventario"
"Is Default","Es Predeterminado"
"Is Required","Es Requerido"
"Items %s to %s of %s total","%s Artículos a %s de %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desea mostrar en el catálogo o resultados de búsqueda deben tener el estado "Desactivado" en la tienda deseada."
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Última Notificación"
"Learn More","Leer más"
"Length of text is too long","Longitud del texto es demasiado largo"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras(a-zA-Z) o Números(0-9)"
"Line %d, Email: %s","Linea %d, Correo Electronico: %s"
"Line %d, SKU: %s","Linea %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Enlace (Relacionado, Hasta Vender, Venta Cruzada)"
"Link product not exists.","Enlace a producto no existe."
"List","Lista"
"List Mode","Modo Lista"
"Manage Attribute Sets","Administrar Conjuntos de Atributos"
"Manage Attributes","Administrar Atributos"
"Manage Catalog Categories","Administrar Catálogo Categorías"
"Manage Categories","Administrar Categorías"
"Manage Label / Options","Administrar Etiqueta / Opciones"
"Manage Options (values of your attribute)","Administrar Opciones (valores de sus atributos)"
"Manage Product Attributes","Administrat Atributos de Productos"
"Manage Product Sets","Administrar Conjuntos de Producto"
"Manage Products","Administrar Productos"
"Manage Stock","Administrar Inventario"
"Manage Titles (Size, Color, etc.)","Administrar Titulos (Tamaño, Color, etc.)"
"Max Characters","Max Caracteres"
"Maximal Depth","Profundidad Maxima"
"Maximum Image Size","Tamaño Maximo de Imagen"
"Maximum Qty Allowed in Shopping Cart","Máxima Cantidad permitido en el carro de compra"
"Maximum image height","Altura máxima de imagen"
"Maximum image width","Ancho máximo de imagen"
"Maximum number of characters","Número máximo de caracteres"
"Media Image","Imagen Medio"
"Minimum Lines Per Page","Líneas Mínimas por Página"
"Minimum Qty Allowed in Shopping Cart","Mínima Cantidad permitida en el carro de compra"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad Mínima en Estado del Articulo para estar Agotado"
"Missing SKU, skipping the record","Falta SKU, omitiendo el registro"
"More Views","Más Vistas"
"Move","Mover"
"Move category in tree","Move categoría en árbol"
"Multiple Select","Selección Multiple"
"Name","Nombre"
"Name In %s","Nombre En %s"
"Name(For internal use)","Nombre(Para uso interno)"
"New Category","Nueva Categoría"
"New Product","Nuevo Producto"
"New Product Attribute","Nuevo Atributo de Producto"
"New Products","Nuevos Productos"
"New Search","Nueva Busqueda"
"New Set Name","Nuevo Conjunto de Nombre"
"Next","Siguiente"
"No","No"
"No image","Sin imagen"
"No layout updates","Sin actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles para este producto."
"No product collections found","No hay colecciones de productos encontrados"
"None","Ninguno"
"Not shared with other products","No se comparte con otros productos"
"Notify Low Stock RSS","Notifique Baja Cantidad RSS"
"Notify for Quantity Below","Notifique Baja Cantidad"
"Nowhere","Ningun Lugar"
"Number of Uses","Número de Usos"
"Number of results(For last time placed)","Número de resultados(Por última vez colocado)"
"OR","O"
"Old Price:","Precio Anterior:"
"Option validation failed to add product to cart","Opción de Validación falló no pudo agregar producto al carro"
"Option:","Opción:"
"Options Control","Control de Opciones"
"Options is required","Se requiere Opciones"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio al cliente está disponible 24/7. Llámenos al (555) 555-0123."
"Out of Stock","Sin Existencia"
"Out of stock","Sin existencia"
"Out of stock.","Sin existencia."
"PM","PM"
"Page Title Separator","Titulo de Separador de Página"
"Page:","Página:"
"Parent Category","Categoría Padre"
"Pending","Pendiente"
"Pending Reviews RSS","Pendiente Comentarios RSS"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Por favor, tenga cuidado ya que una vez que se hace clic en la fila que cargará los datos de paquetes forman el archivo seleccionado y se perderán todos los datos del formulario no guardados."
"Please click on Close Window button if it won't be closed automatically","Por favor, haga clic en el botón Cerrar Ventana si no se cierra automáticamente"
"Please enter a new group name","Por favor, introduzca un nuevo nombre de grupo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select items","Por favor, seleccionar elementos"
"Please select one or more attributes.","Por favor, seleccione uno o más atributos."
"Please select product(s)","Por favor seleccione su producto(s)"
"Please select products for attributes update","Por favor seleccione los productos para los atributos de actualización"
"Please select static block ...","Por favor seleccione un bloque estático..."
"Please set up merge date/time .","Por favor, configurar fusión fecha/hora ."
"Please specify date required option(s)","Por favor, especifique la opción de fecha requerida(s)"
"Please specify the product option(s)","Por favor, especifique la opción de producto(s)"
"Please specify the product required option(s)","Por favor, especifique la opción de producto requerido(s)"
"Please specify the product(s) quantity","Por favor, especifique el producto(s) cantidad"
"Please specify time required option(s)","Por favor, especifique la opción requerida tiempo(s)"
"Please, use four-digit year format","Por favor, utilice el formato de año de cuatro dígitos"
"Position","Posición"
"Position In Layered Navigation","Posición En Capas Navegación"
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación por capas"
"Prev","Ante"
"Previous","Anterior"
"Price","Precio"
"Price Type","Tipo de Precio"
"Price values for options should be specified in system base currency.","Los valores del precio para las opciones deben ser especificadas en la moneda del sistema."
"Price:","Precio:"
"Print This Page","Imprimir esta Página"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortando. Error: %s"
"Product","Producto"
"Product %s successfully added to compare list","Producto %s agregado a la lista de comparación"
"Product %s successfully removed from compare list","Producto %s eliminado de la lista de comparación"
"Product API","API de Producto"
"Product Alerts","Alertas de Producto"
"Product Attribute","Atributo de Producto"
"Product Attributes","Atributos de Producto"
"Product Categories","Categorías de Producto"
"Product Description","Descripción del Producto"
"Product Image Placeholders","Marcadores de Imagen del Producto"
"Product Image Watermarks","Marcas de Agua en Imagen del Producto"
"Product Images","Imagenes del Producto"
"Product Images API","API Imagenes del Producto"
"Product In Websites","Producto en Pagina Web"
"Product Info Column","La información de Columna del Producto"
"Product Information","Información de Producto"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios del Producto"
"Product Tags","Etiquetas del Producto"
"Product Tier Price API","Producto Nivel Precio API"
"Product Type","Tipo de Producto"
"Product URL Suffix","Sufijo URL del Producto"
"Product attribute sets API","API Conjuntos de atributos del Producto"
"Product attribute was successfully deleted","Atributo del producto se ha eliminado correctamente"
"Product attribute was successfully saved","Atributo del producto se ha guardado correctamente"
"Product attributes API","API atriburos del Producto"
"Product collection expected","Recogida del Producto esperado"
"Product deleted","Producto eliminado"
"Product duplicated","Producto duplicado"
"Product has required options","Producto ha requerido opciones"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Producto listado ordenado por"
"Product saving error.","Error guardando Producto."
"Product saving error. ","Error guardando Producto. "
"Product types API","API tipos de Producto"
"Product was successfully created.","Producto se ha creado correctamente."
"Product was successfully saved.","Producto se ha guardado correctamente."
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya está asociada a configurable."
"Products","Productos"
"Products Information","Información de Productos"
"Products Reviews","Comentarios de Productos"
"Products Sitemap","Mapa del sitio de Productos"
"Products only","Sólo Productos"
"Products per Page on Grid default value","Productos por Página en la rejilla valor pode defecto"
"Products per Page on List allowed values","Productos por Página en los valores de lista permitida"
"Products per Page on List default value","Productos por Página en la Lista del valor por defecto"
"Products per page on Grid allowed values","Productos por Página en la rejilla permiten valores"
"Properties","Propiedades"
"Qty","Cantidad"
"Qty Uses Decimals","Cantidad Usa Decimales"
"Qty for Item's Status to become Out of Stock","Cantidad de Estado del Articulo para convertirse Sin Existencia"
"Quick Create","Creación Rápida"
"Quick Overview","Descripción Rápida"
"Quick simple product creation","Rápida creación de productos simples "
"Records for ""","Registros de """
"Redirect","Redirigir"
"Redirect URL","Redirigir URL"
"Regular Price:","Precio Habitual:"
"Related Products","Productos Relacionados"
"Remove","Eliminar"
"Remove Product","Eliminar Producto"
"Remove Product From Websites","Eliminar Producto del Sitio Web"
"Remove This Item","Eliminar Este Artículo"
"Remove product assignment","Eliminar asignación producto"
"Remove product image","Eliminar imagen producto"
"Remove product link","Eliminar enlace producto"
"Required","Requerido"
"Reset","Reiniciar"
"Results","Resultados"
"Retrieve attribute data","Recuperar datos de atributos"
"Retrieve attribute list","Recuperar lista de atributos"
"Retrieve attribute options","Recuperar opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar atributos categoría"
"Retrieve category data","Recuperar datos de categoría"
"Retrieve hierarchical tree","Recuperar árbol jerárquico"
"Retrieve linked products","Recuperar productos vinculados"
"Retrieve list of assigned products","Recuperar lista de productos asignados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por website/store view/parent categorías"
"Retrieve product","Recuperar producto"
"Retrieve product attribute sets","Recuperar conjuntos de atributos del producto"
"Retrieve product image","Recuperar la imagen del producto"
"Retrieve product image list","Recuperar lista de imágenes del producto"
"Retrieve product image types","Recuperar los tipos de imagen del producto"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de producto"
"Retrieve product link types","Recuperar tipos de vínculos producto"
"Retrieve product tier prices","Recuperar los precios de nivel de producto"
"Retrieve product types","Recuperar tipos de productos"
"Retrieve products data","Recuperar datos de productos"
"Retrieve products list by filters","Recuperar lista de productos por los filtros"
"Review successfully deleted","Revise eliminado correctamente"
"Review was saved successfully","Revisión se ha guardado correctamente"
"Review was successfully saved","Revisión correctamente guardada"
"Reviews","Comentarios"
"Roll Over for preview","Desplácese sobre la vista previa"
"Root","Raiz"
"SKU","SKU"
"Save","Guardar"
"Save And Continue Edit","Guardar y Continue Editando"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Guardar Conjunto de Atributo"
"Save Category","Guardar Categoría"
"Save Search","Guarda Busqueda"
"Saved ","Guardado "
"Scope","Rango"
"Search","Busqueda"
"Search Engine Optimizations","Optimización de Motores de Busqueda"
"Search Information","Información de Busqueda"
"Search Query","Buscar Resultados"
"Search Term was successfully saved","Término de búsqueda se ha guardado correctamente"
"Search Term with such search query already exist.","Término de búsqueda con tal consulta de búsqueda ya existe."
"Search was successfully deleted","Buscar se ha eliminado correctamente"
"Searchable","Investigable"
"Select Configurable Attributes ","Seleccionar atributos configurables "
"Select type of option","Seleccione el tipo de opción"
"Select type options required values rows.","Seleccione tipo de opciones requieren valores filas."
"Selected Product Types","Tipos de Productos Seleccionados"
"Selected configuration is not available.","Configuración seleccionada no está disponible."
"Send Count","Enviar Conteo"
"Set Ascending Direction","Seleccionar Dirección Ascendente"
"Set Descending Direction","Seleccionar Dirección Descendente"
"Set Name","Establecer Nombre"
"Set Root Category For Store","Establecer Categoría Raiz para la Tienda"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer categoría raiz para la tienda en la <a href=""%s"">configuración</a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Establecer/Obtener Vista Tienda"
"Settings","Configuración"
"Shop by","Comprar por"
"Shopping Options","Opciones de Compra"
"Show","Mostrar"
"Show Details","Mostrar Detalles"
"Show Tags","Mostrar Etiquetas"
"Simple Product","Producto Simple"
"Site Map","Mapa del Sitio"
"Sitemap","Mapa del sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort Order","Orden de Clasificación"
"Sort by","Ordenar por"
"Source Model","Modelo Fuente"
"Special Price:","Precio Especial:"
"Starting at:","Iniciando en:"
"Static","Estatico"
"Static block and products","Bloque estático y productos"
"Static block only","Bloque estático solamente"
"Status","Estado"
"Stock Availability","Existencia Disponible"
"Store","Tienda"
"Store View","Vista de Tienda"
"Stretch","Tramo"
"Subscribe to Feed","Suscripción a Canal"
"Subscribe to RSS Feed","Suscripción a Canal RSS"
"Super product attributes configuration","Súper atributos de producto configuración"
"Synonym For","Sinonimo Para"
"Synonym for","Sinonimo para"
"System","Sistema"
"System Properties","Propiedades de Sistema"
"Tag Name","Nombre de Etiqueta"
"Tax","Impuesto"
"Text","Texto"
"Text Area","Area de Texto"
"Text Field","Campo Texto"
"There are no %s available.","No hay %s disponible."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"There was an error while adding products to websites","Se ha producido un error al añadir productos a sitios web"
"There was an error while cleared compare list","Hubo un error al eliminar la lista de comparación"
"There was an error while removing products from websites","Se ha producido un error al eliminar los productos de los sitios web"
"There was an error while updating product(s) attributes","Se ha producido un error al actualizar el atributos del producto(s)"
"There was an error while updating product(s) status","Se ha producido un error al actualizar el estado del producto(s)"
"This attribute no longer exists","Este atributo ya no existe"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos, utilizados en productos configurables. Por favor, mueva estos atributos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Por favor, mueva los atributos del sistema a otro grupo y vuelva a intentarlo."
"This is a required option","Esta es una opción obligatoria"
"This search no longer exists","Esta búsqueda ya no existe"
"Tier Pricing","Tier Pricing"
"Tile","Tile"
"Time format","Formato tiempo"
"Title","Titulo"
"Top/Left","Arriba/Izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Total Cantidad de Artículos"
"Total incl. Tax: %1$s","Total incl. impuesto: %1$s"
"Total of %d record(s) were successfully deleted","Total de %d registros(s) se elimino correctamente"
"Total of %d record(s) were successfully updated","Total de %d registros(s) se actualizo correctamente"
"Type","Tipo"
"Unable to complete request. Please try again later.","No se puede completar la solicitud. Inténtalo de nuevo más tarde."
"Unable to find a search term to delete","Imposible encontrar un término de búsqueda a eliminar"
"Unable to find an attribute to delete","Imposible encontrar un atributo a eliminar"
"Unable to get product id.","Imposible obtener Identificación del producto."
"Unassigned Attributes","Atributos no Asignados"
"Unique Value","Valor Unico"
"Unique Value (not shared with other products)","Valor Unico (no compartido con otros productos)"
"Unknown attribute: %s","Atributo desconocido: %s"
"Up-sells","Up-sells"
"Update","Actualizar"
"Update Attributes","Actualizar Atributos"
"Update Tier Price","Actualizar Nivel de Precio"
"Update assigned product","Actualizar producto asignado"
"Update attributes","Actualizar atributo"
"Update category","Actualizar categoría"
"Update product","Actualizar producto"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace de producto"
"Update product tier prices","Actualizar nivel precio de producto"
"Upload new product image ","Subir nueva imagen de producto "
"Url","Url"
"Url Rewrite Management","Gestión de reescritura de URL"
"Url rewrite save problem.","Url rewrite save problem."
"Use Config Settings","Utilice Opciones de Configuración"
"Use Default Value","Usar valor predeterminado"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Use In Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilice En Capas Navegación<br/>(puede ser utilizado solamente con el tipo de entrada de catálogo 'desplegable')"
"Use In Search Results Layered Navigation","Utilizar En Resultado de Busqueda Navegación"
"Use JavaScript Calendar","Utilice Calendario JavaScript"
"Use To Create Configurable Product","Utilizar para crear Configurable Producto"
"Use Tree Like Category Sitemap","Utilizar Arbol tal como Categoria de SiteMap"
"Use categories path for product URLs","Utilizar ruta categorías de producto URLs"
"Use in advanced search","Utilice la búsqueda avanzada"
