"%s already exist","%s вече съществува"
"%s already exists","%s вече съществува"
"-- Please Select --","-- Моля изберете --"
"Date From","Дата от"
"Date To","Дата до"
"Date/time format ""%s"" is not supported.","Формат за дата/време ""%s"" не се поддържа."
"Debug","Дебъг"
"Default","По подразбиране"
"Default Description","Описание по подразбиране"
"Default Keywords","Кл. думи по подразбиране"
"Default Pages","Страници по подразбиране"
"Default Robots","Роботи по подразбиране"
"Default Store","Магазин по подразбиране"
"Default Store View","
Default Title"""
"Default Title","Default Title"
"Default country","Страна по подразбиране"
"Default no-route url","URL за празен път по подразбиране"
"Default web url","Основен уеб URL"
"Delete","Изтрий"
"Delete Store","Изтрий магазин"
"Delete Store View","Изтрий изглед на магазин"
"Delete Website","Изтрий уебсайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Изтриването на %1$s няма да изтрие информацията асоциирана с %1$s (напр. категории, продукти и т.н.), но възстановяването на %1$s няма да е възможно. Препоръчително е създаването на архив за възстановяване преди изтриване на %1$s."
"Design","Дизайн"
"Design Change","Промянва в дизайн"
"Developer","Разработчик"
"Developer Client Restrictions","Ограничения в клиент за разработка"
"Disable email communications","Изключи на email съобщения"
"Disable modules output","Изключи изходните съобщения на модула"
"Duplicate Of Template Code","Дубликат на шаблонен код"
"Edit Design Change","Редактирай промяна на дизайн"
"Edit Store","Редактирай магазин"
"Edit Store View","Редактирай изглед на магазин"
"Edit Website","Редактирай уебсайт"
"Empty identifier field name","Празно име на поле за идентификатор"
"Empty main table name","Празно главно име на таблица"
"Enabled","Активно"
"Enabled for Admin","Активно за Администрация"
"Enabled for Frontend","Активно за публичен сайт"
"Error in file: ""%s"" - %s","Грешка във файл: ""%s"" - %s"
"Error while saving. Please try again later.","Грешка при записване. Моля опитайте отново по-късно."
"Error: Passwords do not match","Грешка: Паролите не съвпадат"
"Exceptions Log File Name","Име на файл за дневник на изключенията"
"First Day of Week","Първи ден на седмицата"
"Footer","Край на страница"
"Forgot Password Email Sender","Подател за имейл за забравена парола"
"Forgot Password Email Template","Шаблон за имейл за забравена парола"
"General","Основни"
"General Settings","Основни настройки"
"General contact","Общи контакти"
"Global","Глобално"
"HTML Head","HTML заглавен блок"
"Header","Начало на страница"
"Host","Хост"
"Id path for specified store","Id пътека за конкретния магазин"
"Incorrect credit card expiration date","Некоректна дата на изтичане на кредитна карта"
"Invalid base url type","Невалиден тип базов адрес (url)"
"Invalid block name to set child %s: %s","Невалидно име на блок за задаване на под-блок %s: %s"
"Invalid block type: %s","Невалиден блок тип: %s"
"Invalid block: %s","Невалиден блок: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Невалидна аргумент за обновяване на оформлението, очаква се Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Невалидно име за обновяване на оформление"
"Invalid messages storage ""%s"" for layout messages initialization","Невалидно хранилище на съобщения ""%s"" за инициализация на съобщения за оформление"
"Invalid transactional email code: ","Неалиден транзакционен имейл код: "
"Invalid websites configuration path: %s","Невалидна пътека за конфигурация на уебсайтове : %s"
"Layout","Оформление"
"Layouts","Layouts"
"Leave empty for access from any location","Оставете празно за достъп от всяка точка"
"Locale","Регион"
"Locale options","Опции за локализация"
"Log Settings","Настройки на системни дневници"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Alt за Logo изображение"
"Logo Image Src","Src за Logo изображение """
"Manage Stores","Управление на Магазини"
"Match expressions in the same order as displayed in the configuration.","Търси съответсвия на изразите в същия ред, в който са показани в конфигурацията."
"Miscellaneous HTML","Друг HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Не съществува модел с клас  :%s"
"Model collection resource name is not defined","Името на склада за модели не е определено"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Име"
"New Design Change","Нова промяна в дизайна"
"New Store","Нов магазин"
"New Store View","Нов изглед на магазин"
"New Website","Нов уебсайт"
"No","Не"
"Package","Пакет"
"Please choose to register or to checkout as a guest","Моля изберете регистриране или плащане като гост"
"Please define flag code.","Моля дефинирайте код за флаг."
"Please enter 6 or more characters.","Моля въведете 6 или повече символа."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Моля въведете 6 или повече символа. Начални и крайни празни места ще бъдат игнорирани."
"Please enter a number greater than 0 in this field.","Моля въведете число по-голямо от нула в това поле."
"Please enter a valid $ amount. For example $100.00.","Моля въведете валидна доларова ($) сума. Например $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля въведете валиден интернет адрес. Например http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Моля въведете валиден интернет адрес. http:// е задължително"
"Please enter a valid credit card number.","Моля въведете валиден номер на кредитна карта."
"Please enter a valid date.","Моля въведете валидна дата."
"Please enter a valid email address. For example johndoe@domain.com.","Моля, въведете валиден e-mail адрес. Например: johndoe@domain.com"
"Please enter a valid number in this field.","Моля въведете валидно число в полето."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля въведете валиден телефонен номер. Например (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валиден номер на социална осигуровка. Например 123-45-6789."
"Please enter a valid zip code.","Моля въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля въведете валиден пощенски код. Например 90602 или 90602-1234."
"Please enter valid password.","Моля въведете валидна парола."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Моля уверете се, че паролите съвпадат."
"Please select State/Province.","Моля изберете Щат/Област."
"Please select an option.","Моля изберете опция."
"Please select one of the above options.","Моля изберете една от опциите по-горе."
"Please select one of the options.","Моля изберете една от опциите."
"Please specify payment method.","Моля изберете метод на разплащане."
"Please specify shipping method.","Моля изберете метод на изпращане."
"Please use letters only (a-z or A-Z) in this field.","Моля използвайте само букви (a-z or A-Z) в това поле."
"Please use letters only (a-z) in this field.","Моля използвайте само букви (a-z) в това поле."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Моля използвайте само числа в това поле. Моля избягвайте използването на дргуи символи като празни места, точки или запетайки."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Моля използвайте само букви (a-z) или числа (0-9) в това поле. Не са разрешени празни места или други символи."""
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Моля използвайте само букви (a-z), или числа (0-9), или празни места и # в това поле."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Моля използвайте само букви (a-z), числа (0-9) или долна черта (_) в това поле, първия символ трябва да е буква."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля използвайте следния формат за дата: dd/mm/yyyy. Например 17/03/2006 за 17ти март, 2006."
"Please wait, loading...","Моля изчакайте, зареждане..."
"Polls","Анкети"
"Port (25)","Порт (25)"
"Profiler","Профайлър"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Искана пътека за въпросния магазин"
"Requested invalid store ""%s""","Заявен невалиден магазин ""%s"""
"Resource is not set","Ресурсът не е указан"
"Root Category","Главна (root) категория"
"SMTP settings (Windows server only)","SMTP настройки (само за Windows Server)"
"Sales representative","Търговски представител"
"Save","Запиши"
"Save Store","Запиши магазин"
"Save Store View","Запиши изглед на магазин"
"Save Website","Запиши уебсайт"
"Search Engines Optimization","Оптимизация за търсачки"
"Secure","Сигурен"
"Security","Сигурност"
"Select Date","Изберете дата"
"Sender email","Email на подател"
"Sender name","Име на подател"
"Services","Услуги"
"Session Cookie management","Управление на бисквитките на сесията"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Настройки за валидиране на сесия"
"Set as default","Сложи по подразбиране"
"Skin (Images / CSS)","Визуализация (Images / CSS)"
"Sort order","Ред на сортиране"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Зададената стойност за дата/време ""%1$s"" не съвпада с формат ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Началната дата не може да е по-голяма от крайната дата"
"Startup page","Startup page"
"Status","Статус"
"Store","Магазин"
"Store Email Addresses","Имейл адрес на магазин"
"Store Information","Информация за магазин"
"Store Name","Име на магазин"
"Store View","Изглед на магазин"
"Store View Information","Информация за изглед на магазин"
"Store View Name","Име на изглед на магазин"
"Store View was successfully saved","Изгледът на магазина беше успешно записан."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код на магазина трябва да съдържа само букви (A-Z), цифри (0-9) или долна черта (_), първият символ следва да бъде буква."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Изгледа на магазин не съществува"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Магазинът беше успешно изтрит."
"Store was successfully saved","Магазинът беше успешно записан."
"Store with the same code","Магазин със същия код"
"System","Система"
"System Log File Name","Име на файл за системен дневник"
"Template Path Hints","Подсказки за път на шаблон"
"Templates","Шаблони"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Въведеното %s е невалидно. Моля спазете формат ""http://domain.com/""."
"Themes","Теми"
"This category and all its child elements","Тази категория и всички нейни под-елементи"
"This category and its child categories only","Само тази категория и нейните под-категории"
"This category and its products only","Само тази категория и нейните продукти"
"This category only","Само тази категория"
"This is a required field.","Това поле е задължително."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","Този магазин не може да бъде изтрит."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","Този изглед на магазин не може да бъде изтрит."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","Този уебсайт не може да бъде изтрит."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Часова зона"
"Title Prefix","Префикс на заглавие"
"Title Suffix","Суфикс на заглавие"
"Translate Inline","Вградено превеждане"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Преводи"
"Unable to delete store view. Please, try again later.","Невъзможно е изтриването на изглед на магазин. Моля опитайте по късно."
"Unable to delete store. Please, try again later.","Невъзможно е изтриването на магазин. Моля опитайте по късно.."
"Unable to delete website. Please, try again later.","Невъзможно е изтриването на уебсайт. Моля опитайте по късно.."
"Unable to proceed. Please, try again","Процесирането е невъзможно. Моля опитайте отново"
"Unknown scope ""%s""","Неизвестен обхват ""%s"""
"Unsecure","Несигурен"
"Url Options","Url опции"
"Use HTTP Only","Изплзвай само HTTP"
"Use Secure URLs in Admin","Използвай сигурни адреси за достъп в администрация"
"Use Secure URLs in Frontend","Използвай сигурни адреси за достъп на публичен сайт"
"Use Web Server Rewrites","Използвай презаписвания на уеб сървър"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Валидирай HTTP_USER_AGENT"
"Validate HTTP_VIA","Валидирай HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Валидирай HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Валидирай REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Уеб"
"Website","Уебсайт"
"Website Information","Информация за уебсайт"
"Website Name","Име на уебсайт"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Кодът на уебсайта трябва да съдържа само букви (A-Z), цифри (0-9) или долна черта (_), първият символ трябва да бъде буква."
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Уебсайтът беше успешно изтрит."
"Website was successfully saved","Уебсайтът беше успешно записан."
"Website with the same code","Уебсайт със същия код"
"Weekend Days","Дни за уикенд"
"Welcome Text","Текст за добре дошъл"
"Wrong number of arguments for %s","Грешен брой аргументи за %s"
"Yes","Да"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Сесията Ви изтече, ще бъдете оторизиран отново."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
