"* Required Fields","* Задължителни полета"
"Per Website","По уебсайт"
"Personal Information","Лични данни"
"Please enter your email below and we'll send you a new password.","Моля, въведете вашия Email по-долу и ние ще Ви изпратим нова парола."
"Please enter your email below and we'll send you confirmation link for it.","Моля, въведете вашия имейл и ще ви бъде изпратен линк за потвърждение."
"Please enter your email.","Моля, въведете вашия имейл."
"Please make sure your passwords match.","Моля, убедете се, че паролите съвпадат."
"Please select","Моля, изберете"
"Please select region, state or province","Моля, изберете област"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Префикс"
"Prefix dropdown options","Prefix dropdown options"
"Price","Цена"
"Primary Billing Address","Първичен Разплащателен Адрес"
"Primary Shipping Address","Основен адрес за доставка"
"Problem saving the collection, aborting. Error: %s","Проблем при записването на колекцията. Грешка: %s"
"Product","Продукт"
"Product ID","Продукт ID"
"Product Name","Име на продукт"
"Product Reviews","Мнения за продукт"
"Product Tags","Ключови думи за продукт"
"Product name","Име на продукт"
"Purchase On","Покупка на"
"Purchased at","Поръчан на"
"Qty","Бр."
"Recent Orders","Последни поръчки"
"Records for ""","Документацията за """
"Refunded","Върната сума"
"Registered Customers","Регистрирани клиенти"
"Remove","Премахни"
"Require Emails Confirmation","Изисквай имейл потвърждение"
"Retrieve address data","Извлечи данни за адрес"
"Retrieve address info","Извлечи информация за адрес"
"Retrieve customer addresses","Извлечи клиентски адрес"
"Retrieve customer data","Извлечи данни за клиент"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Извлечиа клиенти"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Получаване на линк за потвърждение тук"
"Retrieve your password here","Получаване на парола тук"
"SKU","Кат. №"
"Sales Statistics","Статистика продажби"
"Save","Запиши"
"Save Address","Запиши адрес"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Запиши клиент"
"Save Customer Group","Запиши клиентска група"
"Save Password","Запиши парола"
"Saved ","Записано "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Стойности разделени с точка и запетайка (;).<br/>Сложете точка и запетайка за празна първа стойност.<br/>Оставете празно за отворено текстово поле."
"Send Welcome Email after Confirmation","Изпращане на имейл Добре дошли след потвърждение"
"Send auto-generated password","Изпращане на автоматично генерирана парола"
"Send confirmation link","Изпращане на линк за потвърждение"
"Send welcome email","Изпрати поздравителен Email"
"Sending","Изпращане"
"Sent","Изпратен"
"Session Start Time","Начало на сесия"
"Set as Default Billing Address","Задай като адрес за плащане по подразбиране"
"Set as Default Shipping Address","Задай като адрес за доставка по подразбиране"
"Share Customer Accounts","Сподели клиентски профили"
"Ship to First name","Корабно първо име"
"Ship to Last name","Кораба да Фамилия"
"Shipped to First Name","Доставено до име"
"Shipped to Last Name","Доставено до фамилия"
"Shipped to Name","Доставено до име"
"Shipping Information","Информация за доставка"
"Shipping Method","Начин на доставка"
"Shopping Cart","Количка"
"Shopping Cart - %d item(s)","Количка - %d продукт(а)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Абонирайте се за бюлетин"
"Sign up for our newsletter","Запишете се за нашия бюлетин"
"Skip import row, required field ""%s"" not defined","Прескачане вносни ред, задължително поле ""%s"" не е определено"
"Skip import row, website ""%s"" field not exists","Прескачане вносни ред, уебсайт ""%s"" поле не съществува"
"State/Province","Област"
"Status","Статус"
"Store","Магазин"
"Store View","Изглед на магазин"
"Street Address","Адрес"
"Street Address ","Адрес"
"Subject","Тема"
"Submit","Изпрати"
"Subscribe","Абонамент"
"Subscribe to newsletter","Абонирайте се за бюлетин"
"Subscribed to Newsletter?","Абониран за бюлетин?"
"Suffix","Суфикс"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Ключова дума"
"Tax Class","Данъчен клас"
"Tax class","Данъчен клас"
"Tax/VAT number","Булстат/Рег. номер по ДДС"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст на един ред"
"Thank you for registering with %s","Благодарим Ви, че се регистрирате с %s"
"The address does not belong to this customer","Адресът, не принадлежи на този клиент"
"The address was successfully deleted","Адресът е успешно изтрити"
"The address was successfully saved","Адресът е успешно записани"
"The suffix that goes after name (Jr., Sr., etc.)","Суфикс след името (мл., ст., т.н.)"
"The title that goes before name (Mr., Mrs., etc.)","Титла пред името (г-н., г-жа., т.н.)"
"There are no items in customer's wishlist at the moment","Списъкът с желания на клиента е празен"
"There are no items in customer's shopping cart at the moment","Количката на клиента е празна"
"There was an error while deleting the address","Грешка при изтриване на адрес"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","Непотвърден профил."
"This customer has no saved addresses.","Клиентът няма съхранени адреси."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Този Email адрес не е намерен в нашите архиви"
"This is My Primary %s Address","Това е моят основен адрес %s"
"To Cart","В количката"
"Total","Общо"
"Type","Тип"
"Unknown","Неизвестно"
"Unsubscribe from newsletter","Отписване от информационния бюлетин"
"Update","Обнови"
"Update customer address data","Обнови данните за клентски адрес"
"Update customer data","Обнови клиентски данни"
"Use as My Primary %s Address","Използвай като моят основен Адрес %s"
"Use as my default billing address","Използвай като адрес за плащане по подразбиране"
"Use as my default shipping address","Използвай като адрес за доставка по подразбиране"
"User description","Потребителско описание"
"View","Преглед"
"View Order","Преглед на поръчка"
"View Order List","Преглед ред Списък"
"Visible In","Видимо в"
"Visitor","Посетител"
"Visitors Only","Само за посетители"
"Website","Уебсайт"
"Welcome Email","Имейл Добре дошли"
"Wishlist","Списък с желания"
"Wishlist - %d item(s)","Списък с желания - %d продукт(а)"
"Wrong confirmation key.","Грешен ключ за потвърждение."
"Wrong customer account specified.","Посочен е грешен потребителски акаунт."
"Wrong email.","Грешен имейл."
"Wrong region id by selected country","Грешен ID на регион от избраната страна"
"Wrong transactional account email type.","Грешен тип на транзакционен имейл на профил."
"XML","XML"
"YYYY","ГГГГ"
"Year","Година"
"You are currently not subscribed to any newsletter.","Не е направен абонамент за нито един бюлетин."
"You are currently not subscribed to our newsletter","В момента не сте абониран за нашия бюлетин."
"You are currently subscribed to 'General Subscription'.","Направен е абонамент за 'Основен абонамент'."
"You are currently subscribed to our newsletter","В момента сте абонирани за нашия бюлетин"
"You are currently subscribed to our newsletter.","Направен е абонамент за нашия бюлетин."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Излязохте успешно от системата и ще бъдете пренасочени към нашата начална страница след 5 секунди."
"You have no additional address entries in your address book.","Няма други адреси в адресната книга."
"You have no additional entries in your address book.","Няма други адреси в адресната книга."
"You have no default billing address in your address book.","Няма адрес за плащане по подразбиране в адресната книга."
"You have no default shipping address in your address book.","Няма адрес за доставка по подразбиране в адресната книга."
"You have no primary entries in your address book.","Нямате основни записи в адресната книга."
"You have not set a primary billing address.","Не сте задали основен платежен адрес."
"You have not set a primary shipping address.","Не сте задали първична доставка."
"You have placed no orders yet.","Нямате направени поръчки."
"You have placed no products yet.","Нямате избрани продукти."
"You're now Logged Out","Излязохте от системата."
"Your account balance is: %s","Вашият баланс е: %s"
"ZIP","П.К."
"ZIP/Post Code","Пощенски код"
"ZIP/Postal Code","Пощенски Код"
"Zip/Postal Code","Пощенски код"
"n/a","няма"
"or","или"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Няма посочен адрес за плащане по подразбиране."
"You have not set a default shipping address.","Няма посочен адрес за доставка по подразбиране."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
