"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s Продукт(а)"
"Can be used only with catalog input type Dropdown","Може да се използва само с поле за въвеждане тип Падащо меню"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може да се използва само с поле за въвеждане тип Падащо меню, Многократен избор и Цена"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Атрибут за продукт в количката"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип вход за собственик на магазина"
"Catalog Price Scope","Каталожен ценови обхват"
"Catalog Section","Каталог секция"
"Catalog, Search","Каталог, Търсене"
"Categories","Категории"
"Categories Sitemap","Карта на категориите"
"Category","Категория"
"Category API","Категория API"
"Category Data","Категории Данни"
"Category Navigation:","Категория Навигация:"
"Category Products","Категория: Продукти"
"Category Top Navigation","Основна навигация на категории"
"Category URL Suffix","Наставка за URL на категории"
"Category attributes API","API на атрибути на категории"
"Category delete error","Грешка при изтриване на категория"
"Category deleted","Категория изтрита"
"Category move error","Грешка при преместване на категория"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Категория записани"
"Change","Промяна"
"Change or Retrieve attribute store view","Промяна или извличане изглед на атрибут в магазин"
"Change status","Промени статус"
"Check items to add to the cart or","Маркирай артикули за добавяне в количката или"
"Choose an Option...","Избери опция..."
"Choose option...","Избери опция ..."
"Clear All","Изчисти всичко"
"Clear All Items","Изчистване на всички артикули"
"Close Window","Затвори прозореца"
"Collapse All","Затвори всичко"
"Comparable","Сравним"
"Comparable on Front-end","Сравним на публичен сайт"
"Compare Items","Сравни артикулите"
"Compare Products","Сравни продукти"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Сравни продукт - %d артикул(а)"
"Compare Products List","Сравни списък с продукти"
"Compare list successfully cleared","Сравнете списък успешно изчиства"
"Conditions Combination","Комбинация на условия"
"Configurable Product","Конфигуриран Продукт"
"Configurable Product Settings","Настройки на Конфигуриран продукт"
"Continue","Продължи"
"Copy From Configurable","Копирай от конфигуриран"
"Country/State","Държава / Щат"
"Create","Създай"
"Create (Upload)","Създай (Качване)"
"Create Empty","Създай празен"
"Create Product Settings","Настройки за създаване на продукт"
"Create Simple Associated Product","Създай обикновен асоцииран продукт"
"Create new category","Създай нова категория"
"Create new product","Създай нов продукт"
"Cross-sells","Кръстосани продажби"
"Currently Shopping by","В момента се пазарува от"
"Custom Design","Различен дизайн"
"Custom Options","Допълнителни опции"
"Customer Group","Клиентска група"
"Customers Reviews","Клиентски мнения"
"Customers Tagged Product","Клиентски отбелязан продукт"
"Customers for alert %s was successfuly added to queue","Клиенти за аларма %s беше успешно добавен към опашката"
"Data Type for Saving in Database","Тип информация за съхранение в БД"
"Date","Дата"
"Date & Time Custom Options","Потребителски опции за Дата и Час"
"Date Subscribed","Дата на абонамент"
"Date fields order","Date fields order"
"Datetime","Дата/час"
"Decimal","Десетичен"
"Decimal Number","Десетичен Брой"
"Declare attribute value saving scope","Декларирай обхват за записване на стойности на атрибут"
"Default Qty","Количество по подразбиране"
"Default Values","Стойности по подразбиране"
"Default price","Стандартна цена"
"Default value","Стандартна стойност"
"Delete","Изтрий"
"Delete Attribute","Изтрий Атрибут"
"Delete Attribute Set","Изтрий Атрибут група"
"Delete Category","Изтрий категория"
"Delete Option","Изтрий опция"
"Delete Row","Изтрий ред"
"Delete Search","Изтрий търсене"
"Delete Selected Group","Изтрий избраната група"
"Delete category","Изтрий категория"
"Delete product","Изтрий продукт"
"Depends on design theme","Зависи от дизайна на темата"
"Design","Дизайн"
"Disabled","Неактивно"
"Display in Suggested Terms","Покажи в препоръчани критерии"
"Double click on a group to rename it","Двоен клик върху група за преименуване"
"Double click on above image to view full picture","Двоен клик върху изображението за преглед на цялата снимка"
"Dropdown","Падащо меню"
"Duplicate","Направи копие"
"Duplicate website tier price customer group and quantity.","Направи копие на клиентска група за ценови нива и количество на уебсайт."
"Duplicate website, country and state tax found.","Направи копие на намерените уебсайт, държава, област и данък."
"Edit","Редактирай"
"Edit Attribute Set '%s'","Редактирай Атрибут група '%s'"
"Edit Product Attribute","Редактирай продуктов атрибут"
"Edit Product Attribute ""%s""","Редактирай продуктов атрибут ""%s"""
"Edit Search","Редактирай търсене"
"Edit Search '%s'","Редактирай търсене '%s'"
"Email","Имейл"
"Email to a Friend","Изпрати на приятел чрез Имейл"
"Empty","Празно"
"Enabled","Активно"
"Error during retrieval of option value: %s","Грешка при извличане стойност на опция: %s"
"Error while adding customers for %s alert. Message: %s","Грешка при добавяне на клиенти за %s предупреждение. Съобщение: %s"
"Error while saving this group. Group with the same name already exists.","Грешка при съхраняване на тази група. Група със същото име вече съществува."
"Error while saving this group. Please try again later.","Грешка при съхраняване на тази група. Моля опитайте отново по-късно."
"Exclude","Изключване"
"Expand All","Отвори всичко"
"Failed","Неуспешно"
"Failed to move file: %s","Неуспех при местене на файл: %s"
"Feature Products","Маркирай продукти като специални"
"File options format is not valid","File options format is not valid"
"File upload failed","Качването на файл неуспешно"
"Filter model name must be declared","Моля, декларирайте име на филтър модела"
"Filter must be as object. Set correct filter please","Филтъра трябва да бъде обект. Задайте правилен филтър, моля"
"Filterable (no results)","Позволен за филтър (без резултати)"
"Filterable (with results)","Позволен за филтър (с резултати)"
"Filters must be as array","Филтрите трябва да са в масив"
"First Name","Име"
"Fixed","Статичен"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","За вътрешна употреба. Трябва да е уникално, без интервали"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Публичен сайт"
"Frontend Model","Модел за публичен сайт"
"Frontend Properties","Настройки за публичен сайт"
"Gallery","Галерия"
"General Information","Основна информация"
"Get special price","Получи промоционална цена"
"Global","Глобално"
"Globally Editable","Глобално позволен за редактиране"
"Go to Home Page","Към начална страница"
"Grid","Таблица"
"Grouped Product","Групиран продукт"
"Groups","Групи"
"Home","Начална страница"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Ако не е посочена стойност на опцията за конкретен изглед на магазин, тогава ще бъде използвана стойността по подразбиране (Администрация)."
"Image","Изображение"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Изображението не е намерено"
"Image not exists","Изображението не съществува"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Видът и информацията на изображението трябва да бъдат посочени за всеки изглед на магазин."
"In Stock","В наличност"
"In stock","В наличност"
"In stock.","In stock."
"Incl. Tax","Вкл. данък"
"Input Type","Входящ тип"
"Input Validation for Store Owner","Валидация на входящата информация за собственик на магазина"
"Integer","Цяло число"
"Integer Number","Цяло число"
"Invalid Tier Prices","Невалидни ценови нива"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Невалидна атрибут опция за определен атрибут %s (%s). Игнорирано."
"Invalid attribute set specified, skipping the record","Невалиден атрибут е посочен. Игнорирано."
"Invalid block: %s","Невалиден блок:%s"
"Invalid category","Invalid category"
"Invalid category IDs","Невалидна категория идентификатори"
"Invalid image file type","Невалиден тип изображение."
"Invalid image type.","евалиден тип на изображение."
"Invalid option id specified for %s (%s), skipping the record","Невалидна опция ID за %s (%s). Игнорирано."
"Invalid product type specified, skipping the record","Посочен е невалиден тип продукт. Игнорирано."
"Invalid store specified","Използван е невалиден магазин"
"Invalid store specified, skipping the record","Невалиден магазин. Игнорирано."
"Inventory","Инвентар"
"Is Default","е по подразбиране"
"Is Required","е задължителен"
"Items %s to %s of %s total","Артикули %s до %s от общо %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Артикули, които не искате да се показват в каталога или резултатите от търсене, трябва да имат статус 'Неактивен' в избрания магазин."
"Label","Етикет"
"Last Name","Фамилия"
"Last Notification","Последно известие"
"Learn More","Вижте повече"
"Length of text is too long","Length of text is too long"
"Letters","Писма"
"Letters(a-zA-Z) or Numbers(0-9)","Букви (a-zA-Z) или цифри (0-9)"
"Line %d, Email: %s","Ред %d, Имейл: %s"
"Line %d, SKU: %s","Ред %d, Кат. №: %s"
"Link (Related, Up sell, Cross sell)","Свързване (Свързан, Допълнителна продажба, Кръстосана продажба)"
"Link product not exists.","Link product not exists."
"List","Списък"
"List Mode","Режим списък"
"Manage Attribute Sets","Управление на Атрибут групи"
"Manage Attributes","Атрибути"
"Manage Catalog Categories","Управление на Категории"
"Manage Categories","Управление на Категории"
"Manage Label / Options","Етикети / опции"
"Manage Options (values of your attribute)","Опции (стойности на ваш атрибут)"
"Manage Product Attributes","Управление на Атрибути на продукт"
"Manage Product Sets","Управление на Продукт групи"
"Manage Products","Управление на Продукти"
"Manage Stock","Управление на Налични количества"
"Manage Titles (Size, Color, etc.)","Управление на Заглавия (Размер, Цвят, т.н.)"
"Max Characters","Макс. брой символи"
"Maximal Depth","Макс. дълбочина"
"Maximum Image Size","Макс. размер на файла"
"Maximum Qty Allowed in Shopping Cart","Макс. количество, разрешено в количката"
"Maximum image height","Макс. височина на изображението"
"Maximum image width","Макс. широчина на изображението"
"Maximum number of characters","Maximum number of characters"
"Media Image","Изображение"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Мин. количество, разрешено в количката"
"Minimum Qty for Item's Status to be Out of Stock","Мин. количество за смяна на продукт статуса на Неналичен"
"Missing SKU, skipping the record","Липсващ SKU. Игнорирано."
"More Views","Още изгледи"
"Move","Премести"
"Move category in tree","Премести категорията в дървото"
"Multiple Select","Множествен избор"
"Name","Име"
"Name In %s","Име %s"
"Name<br/>(For internal use)","Име <br/> (за вътрешно ползване)"
"New Category","Нова категория"
"New Product","Нов продукт"
"New Product Attribute","Нов атрибут на продукт"
"New Products","Нови продукти"
"New Search","Ново търсене"
"New Set Name","Ново име на група"
"Next","Следващо"
"No","Не"
"No image","Без изображение"
"No layout updates","Няма обновяване на оформлението"
"No options of this product are available.","Не са налични опции за този продукт."
"No product collections found","Няма намерени колекции на този продукт"
"None","Няма"
"Not shared with other products","Не се споделя с други продукти"
"Notify Low Stock RSS","RSS Предупреждение за ниски наличности"
"Notify for Quantity Below","Предупреди за наличности под"
"Nowhere","Никъде"
"Number of Uses","Брой използвания"
"Number of results<br/>(For last time placed)","Брой резултати <br/> (За последен път поставени)"
"OR","ИЛИ"
"Old Price:","Стара цена:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Опция:"
"Options Control","Управление на опции"
"Options is required","Опцията е задължителна"
"Our customer service is available 24/7. Call us at (555) 555-0123.","- текст за Клиентски услуги - mage catalog l.377"
"Out of Stock","Неналичен"
"Out of stock","Неналичен"
"Out of stock.","Не е налично"
"PM","PM"
"Page Title Separator","Разделител за заглавие на страницата"
"Page:","Страница:"
"Parent Category","Главна категория"
"Pending","За одобрение"
"Pending Reviews RSS","RSS за мнения, очакващи одобрение"
"Percentage","Процент"
"Please add rows to option.","Моля добавете редове за опция."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Моля бъдете внимателен - с кликане върху ред ще бъдат заредени данните от пакет от избрания файл и всички незаписани данни от формата ще бъдат загубени."
"Please click on Close Window button if it won't be closed automatically","Моля, кликнете върху бутона Затвори прозореца, ако не се затвори автоматично"
"Please enter a new group name","Моля, въведете ново име на група"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Моля, изберете един или повече атрибути."
"Please select product(s)","Моля, изберете продукт(и)"
"Please select products for attributes update","Моля, изберете продукти за обновяване на атрибути"
"Please select static block ...","Моля изберете статичен блок ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Моля, определете задължителните за продукта опции"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Позиция"
"Position In Layered Navigation","Позиция в Слоева навигация"
"Position of attribute in layered navigation block","Позиция на атрибута в блок на филтър навигация"
"Prev","назад"
"Previous","назад"
"Price","Цена"
"Price Type","Ценови тип"
"Price values for options should be specified in system base currency.","Стойности на цена за опции трябва да бъдат определени в системна базова валута."
"Price:","Цена:"
"Print This Page","Разпечатай страницата"
"Problem saving the collection, aborting. Error: %s","Проблем при записване на събирането. Грешка:%s"
"Product","Продукт"
"Product %s successfully added to compare list","Продукт %s е добавен успешно в списъка за сравнение"
"Product %s successfully removed from compare list","Продукт %s е успешно премахнат от списъка за сравнение"
"Product API","Продукт API"
"Product Alerts","Предупреждения за продукт"
"Product Attribute","Продукт Атрибут"
"Product Attributes","Продукт Атрибути"
"Product Categories","Категории на продукта"
"Product Description","Описание на продукта"
"Product Image Placeholders","Контейнери на продуктови изображения"
"Product Image Watermarks","Водни знаци на продуктови изображения"
"Product Images","Изображения на продукт"
"Product Images API","API за продуктови изображения"
"Product In Websites","Продукт в Уебсайтове"
"Product Info Column","Инфо колона на продукта"
"Product Information","Информация за продукта"
"Product Name","Име"
"Product Reviews","Мнения за продукта"
"Product Tags","Ключови думи на продукта"
"Product Tier Price API","API за ценови нива"
"Product Type","Тип на продукта"
"Product URL Suffix","Наставка на URL на продукт"
"Product attribute sets API","API на групи атрибути"
"Product attribute was successfully deleted","Атрибутът беше успешно изтрит"
"Product attribute was successfully saved","Атрибутът беше успешно записан"
"Product attributes API","API на продукт атрибути"
"Product collection expected","Очаква се да въведете колекция на продукт"
"Product deleted","Продуктът беше изтрит"
"Product duplicated","Продуктът е дублиран"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","API продуктово свързване (свързани, кръстосани продажби, допълнителни продажби)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Грешка при записване на продукта."
"Product saving error. ","Product saving error. "
"Product types API","API продуктови типове"
"Product was successfully created.","Продукт е успешно създаден."
"Product was successfully saved.","Продукт бе успешно записан."
"Product with this combination of attributes already associated to configurable.","Продукт с тази комбинация от атрибути в вече асоцииран към конфигуриран."
"Products","Продукти"
"Products Information","Информация за продукти"
"Products Reviews","Мнения за продукти"
"Products Sitemap","Карта на продукти"
"Products only","Само продукти"
"Products per Page on Grid default value","Продукти на страница в решетка - стойност по подразбиране"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Продукти на страница в списък – стойност по подразбиране"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Настройки"
"Qty","Кол."
"Qty Uses Decimals","Кол. е в десетична дроб"
"Qty for Item's Status to become Out of Stock","Кол. за промяна статуса на артикула на неналичен"
"Quick Create","Бързо създаване"
"Quick Overview","Бърз преглед"
"Quick simple product creation","Бързо създаване на Обикновен продукт"
"Records for ""","Записи за """
"Redirect","Пренасочване"
"Redirect URL","URL за пренасочване"
"Regular Price:","Нормална цена:"
"Related Products","Свързани продукти"
"Remove","Премахни"
"Remove Product","Премахни Продукт"
"Remove Product From Websites","Премахни продукт от Уебсайтове"
"Remove This Item","Премахни този артикул"
"Remove product assignment","Премахни присъединеност на продукт"
"Remove product image","Премахни изображение"
"Remove product link","Премахни връзка"
"Required","Задължително"
"Reset","Нулирай"
"Results","Резултати"
"Retrieve attribute data","Извлечи атрибут данни"
"Retrieve attribute list","Извлечи списък атрибути"
"Retrieve attribute options","Извлечи опции на атрибут"
"Retrieve categories tree","Извлечи дърво на категории"
"Retrieve category attributes","Извлечи атрибути на категория"
"Retrieve category data","Извлечи данни за категория"
"Retrieve hierarchical tree","Извлечи йерархично дърво"
"Retrieve linked products","Извлечи свързани продукти"
"Retrieve list of assigned products","Извлечи присъединени продукти"
"Retrieve one level of categories by website/store view/parent category","Извлечи едно ниво категории по уебсайт/магазин изглед/главна категория"
"Retrieve product","Извлечи продукт"
"Retrieve product attribute sets","Извлечи продуктови атрибут групи"
"Retrieve product image","Извлечи изображение на продукт"
"Retrieve product image list","Извлечи списък изображения за продукт"
"Retrieve product image types","Извлечи типа на изображенията за продукт"
"Retrieve product link type attributes","Извлечи атрибути на тип продуктово свързване"
"Retrieve product link types","Извлечи типовете продуктово свързване"
"Retrieve product tier prices","Извлечи ценови нива"
"Retrieve product types","Извлечи типове продукти"
"Retrieve products data","Извлечи данни на продукти"
"Retrieve products list by filters","Извлечи списък продукти по филтри"
"Review successfully deleted","Ревюто беше изтрито успешно"
"Review was saved successfully","Ревюто е записано успешно"
"Review was successfully saved","Ревюто е записано успешно"
"Reviews","Мнения"
"Roll Over for preview","Премини с мишката за преглед"
"Root","Главен"
"SKU","Кат. №"
"Save","Запиши"
"Save And Continue Edit","Запази и Продължи Редактирането"
"Save Attribute","Запиши атрибут"
"Save Attribute Set","Запиши атрибут група"
"Save Category","Запиши категория"
"Save Search","Запиши търсене"
"Saved ","Записано "
"Scope","Обхват"
"Search","Търсене"
"Search Engine Optimizations","Оптимизация за търсачки"
"Search Information","Информация за търсене"
"Search Query","Заявка за търсене"
"Search Term was successfully saved","Търсене Условие беше успешно записано"
"Search Term with such search query already exist.","Търсено условие с такава опашка вече съществува"
"Search was successfully deleted","Търсеното условие беше успешно изтрито"
"Searchable","Позволено за търсене"
"Select Configurable Attributes ","Избери конфигурируеми атрибути"
"Select type of option","Избери тип опция"
"Select type options required values rows.","Изберете тип опции изискващи редове със стойности."
"Selected Product Types","Избрани типове продукти"
"Selected configuration is not available.","Избраната кофигурация е неналична."
"Send Count","Изпращане на бройка"
"Set Ascending Direction","Задай във възходяща посока"
"Set Descending Direction","Задай в низходяща посока"
"Set Name","Задай име"
"Set Root Category For Store","Задай базовата категория за Магазин"
"Set root category for this store in the <a href=""%s"">configuration</a>","Задаване на основна категория (root) за този магазин в <a href=""%s"">конфигурацията</a>"
"Set special price","Задай промоционална цена"
"Set/Get current store view","Задай/Извлечи текущ изглед на магазин"
"Settings","Настройки"
"Shop by","Пазарувай чрез"
"Shopping Options","Опции за пазаруване"
"Show","Покажи"
"Show Details","Покажи детайли"
"Show Tags","Покажи ключови думи"
"Simple Product","Обикновен продукт"
"Site Map","Карта на сайта"
"Sitemap","Карта на сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропускане на ред за импорт, невалидна стойност ""%s"" за поле ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Прескочи реда за импортиране, задължителното поле ""%s"" за нов клиент не е определено"
"Skip import row, required field ""%s"" for new products not defined","Прескочи реда за импортиране, задължителното поле ""%s"" за нови продукти, не е определено"
"Skip import row, required field ""%s"" not defined","Прескочи реда за импортиране, задължителното поле ""%s"" не е определено"
"Skip import row, store ""%s"" field not exists","Прескочи реда за импортиране, полето магазин ""%s"" не съществува"
"Sort Order","Ред на сортиране"
"Sort by","Сортирай по"
"Source Model","Модел на източника"
"Special Price:","Промоционална цена:"
"Starting at:","Започва от:"
"Static","Статичен"
"Static block and products","Статичен блок и продукти"
"Static block only","Само статичен блок"
"Status","Статус"
"Stock Availability","Наличност"
"Store","Магазин"
"Store View","Изглед на магазин"
"Stretch","Stretch???"
"Subscribe to Feed","Абонирайте се за емисията"
"Subscribe to RSS Feed","Абонирай се за RSS данни"
"Super product attributes configuration","Конфигурация на атрибути за Супер продукт"
"Synonym For","Синоним за"
"Synonym for","Синоним на"
"System","Система"
"System Properties","Системни настройки"
"Tag Name","Име на ключова дума"
"Tax","Данък"
"Text","Текст"
"Text Area","Текстова Площ"
"Text Field","Текстово поле"
"There are no %s available.","Няма налични %s."
"There are no customers for this alert","Няма клиенти за това предупреждение"
"There are no products matching the selection.","Не са намерени продукти, отговарящи на избора."
"There was an error while adding products to websites","Възникна грешка при добавянето на продуктите за уебсайтове"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Възникна грешка при премахване на продукти от сайтове"
"There was an error while updating product(s) attributes","Възникна грешка при актуализирането продуктов(и) атрибути"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Атрибутът вече не съществува."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Тази група съдържа атрибути, използвани в Конфигурирани продукти. Моля, преместете ги в друга група и опитайте отново."
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа системни атрибути. Моля, преместете ги в друга група и опитайте отново."
"This is a required option","Задължителна опция"
"This search no longer exists","Това търсене вече не съществува"
"Tier Pricing","Ценообразуване по нива"
"Tile","Плочка"
"Time format","Time format"
"Title","Заглавие"
"Top/Left","Горе/Ляво"
"Top/Right","Горе/Дясно"
"Total Qty Base Items","Общо кол. базови артикули"
"Total incl. Tax: %1$s","Общо с данък: %1$s"
"Total of %d record(s) were successfully deleted","Общо %d запис(а), бяха успешно изтрити"
"Total of %d record(s) were successfully updated","Общо %d запис(а), бяха успешно актуализирани"
"Type","Тип"
"Unable to complete request. Please try again later.","Невъзможно е да попълните молба. Моля опитайте отново по-късно."
"Unable to find a search term to delete","Невъзможно е да се намери търсен период за изтриване"
"Unable to find an attribute to delete","Невъзможно е да се намери атрибут за да изтриване"
"Unable to get product id.","Не може да се получи продукт ID."
"Unassigned Attributes","Неизползвани атрибути"
"Unique Value","Уникална Стойност"
"Unique Value (not shared with other products)","Уникална стойност (не се споделя с други продукти)"
"Unknown attribute: %s","Неизвестен атрибут: %s"
"Up-sells","Допълнителни продажби"
"Update","Обнови"
"Update Attributes","Обнови атрибути"
"Update Tier Price","Обнови ценови нива"
"Update assigned product","Обнови присъединени продукти"
"Update attributes","Обнови атрибути"
"Update category","Обнови категория"
"Update product","Обнови продукт"
"Update product image","Обнови изображение на продукт"
"Update product link","Обнови свързване на продукт"
"Update product tier prices","Обнови ценови нива"
"Upload new product image ","Качи ново изображение на продукт"
"Url","Url"
"Url Rewrite Management","Управление на URL презаписи"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Използвай Конфигурационни настройки"
"Use Default Value","Използвай стойност по подразбиране"
"Use Flat Catalog Category","Използвай линейни категории"
"Use Flat Catalog Product","Използвай линейни продукти"
"Use In Layered Navigation","Използвай във филтър навигация"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Използвай в слойна навигация <br/> (може да бъде използвано само с каталог тип 'падащо меню')"
"Use In Search Results Layered Navigation","Използвай в резултати от търсене на филтър навигация"
"Use JavaScript Calendar","Използвай JavaScript календар"
"Use To Create Configurable Product","Използвай за създаване на Конфигуриран продукт"
"Use Tree Like Category Sitemap","Използвай дървовиден изглед за карта на категориите"
"Use categories path for product URLs","Използвай пътеката на категориите за URL адреси на продукта"
"Use in advanced search","Използвай по-разширено търсене"
"Use in quick search","Използвай в бързо търсене"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Задължителни стойности"
"Varchar","Varchar"
"View as","Преглед като"
"Virtual Product","Виртуален продукт"
"Visibility","Видимост"
"Visible","Видимо"
"Visible on Catalog Pages on Front-end","Видимо на страниците от каталаога на публичния сайт"
"Visible on Product View Page on Front-end","Видимо на страницата за преглед на продукт на публичния сайт"
"Watermark","Воден знак"
"Watermark Default Size","Размери на воден знка по подразбиране"
"Watermark Position","Позиция на воден знак"
"We Also Recommend","Препоръчваме още"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Уебсайт"
"Websites","Уебсайтове"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
