"-- Please Select --","-- Моля изберете --"
"Add New Class","Добави нов клас"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Данъчен клас за доставка"
"Tax Classes","Данъчни класове"
"Tax Identifier","Данъчен идентификатор"
"Tax Rate","Данъчна ставка"
"Tax Rate Information","Информация за данъчна ставка"
"Tax Rule Information","Информация за данъчно правило"
"Tax Rules","Данъчни правила"
"Tax Section","Секция данък"
"Tax Titles","Заглавия на данъци"
"Tax class was successfully deleted","Успешно изтриване на данъчен клас"
"Tax class was successfully saved","Успешно запазване на данъчен клас"
"Tax rate was successfully deleted","Успешно изтриване на данъчна ставка"
"Tax rate was successfully imported","Успешно вмъкване на данъчна ставка"
"Tax rate was successfully saved","Успешно записване на данъчна ставка"
"Tax rates at the same priority are added, others are compounded.","Данъчни ставки със еднакъв приоритет се добавят, останалите се опрощават."
"Tax rule was successfully deleted","Успешно изтриване на данъчно правило"
"Tax rule was successfully saved","Успешно запазване на данъчно правило"
"This class no longer exists","Този клас вече не съществува"
"This rule no longer exists","Това правило вече не съществува"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Не е позволено изтриването на този данъчен клас, понеже се използва от %d клиентски групи."
"You cannot delete this tax class as it is used for %d products.","Не е позволено изтриването на този данъчен клас, понеже се използва от %d продукта."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Не е позволено изтриването на този данъчен клас, понеже се използва в данъчни правила. Необходимо е първо да изтриете сътоветните правила."
"Zip/Post Code","Пощенски код"
