" and "," и "
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Вид адрес:"
"All","Всичко"
"All Websites","Всички уебсайтове"
"All fields","Всички полета"
"Archive file name:","Име на архива:"
"Are you sure that you want to delete this template?","Сигурни ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip tags?","Сигурни ли сте, че искате да скъсите(изрежете) таговете?"
"Attribute Set Name:","Име на Атрибут група:"
"Attributes","Атрибути"
"Available Products","Налични продукти"
"Big Image","Голямо Изображение"
"Billing Address","Адрес за разплащане"
"Bundle Items","Артикули към пакета"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Пакет с динамично ценообразуване не може да включва дефинирани от потребителя опции. Опциите няма да бъдат запазени."
"CSV / Tab separated","CSV / разделени с табулация"
"Card Verification Number","Номер за оторизация на картата"
"Catalog","Каталог"
"Channel","Канал"
"Channel:","Channel:"
"Choose Store View","Избор на изглед за магазин"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","Затвори"
"Comments History","Хронология на коментари"
"Confirmed email:","Потвърден имейл:"
"Connect with the Magento Community","Свързване с Magento Общността"
"Contents","Съдържание"
"Country:","Държава:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Номер на кредитна карта"
"Credit Card Number: xxxx-%s","Номер на кредитна карта: xxxx-%s"
"Credit Card Type","Тип кредитна карта"
"Credit Card Type: %s","Тип кредитна карта: %s"
"Credit Memo History","Хронология по кредитни известия"
"Credit Memo Totals","Суми по кредитни известия"
"Current Configuration Scope:","Текущ обхват на конфигурация:"
"Current Release Information","Current Release Information"
"Custom","Потребителски"
"Customer Group:","Клиентска група:"
"Customer Since:","Клиент от:"
"Customers","Клиенти"
"DHTML Date/Time Selector","DHTML инструмент за избор на Дата/Време"
"Dashboard","Табло"
"Data Format","Формат на данни"
"Data transfer:","Трансфер на данни:"
"Date selection:","Избор на дата:"
"Date selector","Инструмент за избор на дата"
"Date:","Date:"
"Decimal separator:","Разделител за деситични дроби:"
"Default (Admin) Values","(Администратор) Стойности по подразбиране"
"Default Values","Стойности по подразбиране"
"Delete","Изтриване"
"Dependencies","Dependencies"
"Description:","Description:"
"Direction:","Посока:"
"Display %s first","Покажи първо %s"
"Distributed under GNU LGPL. See %s for details.","Разпространява се под GNU LGPL. Виж %s за повече информация."
"Done By:","Done By:"
"Done by:","Done by:"
"Download Remote File","Download Remote File"
"Drag to move","Издърпай за преместване"
"Edit Role","Редакция на роля"
"Edit User '%s'","Редакция на потребител '%s'"
"Email","Имейл"
"Email Preview","Преглед на имейл"
"Email:","Имейл:"
"Enclose Values In:","Обгради стойностите в:"
"Entity type:","Тип на обекта:"
"Excl. Tax","Без данък"
"Exclude","Exclude"
"Expiration Date","Дата на изтичане"
"Expiration Date: %s/%s","Дата на изтичане: %s/%s"
"Export","Експорт"
"Export Filters","Експортиране на филтри"
"Export to:","Експортиране в:"
"Export:","Експорт:"
"Extension","Разширение"
"Extensions","Разширения"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Свързване на полета"
"File Information","Информация за файла"
"File name:","Име на файла:"
"Final Price","Крайна цена"
"Finished items creation.","Finished items creation."
"First Name:","Собствено име:"
"For latest version visit: %s","За последна версия, посетете: %s"
"From","От"
"General Settings","Основни настройки"
"Get help for this page","Помощ за тази страница"
"Global Record Search","Търсене във всички записи"
"Go Today","Отиди на Днес"
"Google Base Items","Google Base продукти"
"Group:","Група:"
"Help Us Keep Magento Healthy - Report All Bugs","Помогни за стабилността на Magento - Докладвай всички проблеми"
"Ignore","Игнорирай"
"Images","Изображения"
"Import","Импорт"
"Import Service","Импорт на услуга"
"In Database:","В база данни:"
"In File:","Във файл:"
"Inactive","Inactive"
"Incl. Tax","Вкл. данък"
"Include","Включи"
"Installed As","Installed As"
"Interactive","Интерактивно"
"Interface Locale: %s","Регион на интерфейса: %s"
"Invalid webservice adapter specified","Invalid webservice adapter specified"
"Invalid webservice handler specified","Invalid webservice handler specified"
"Invoice History","Хронология на фактури"
"Invoice Totals","Суми по фактури"
"Issue Number","Номер на проблем"
"Issuer: %s","Подател: %s"
"Items to merge","Items to merge"
"Last 5 Orders","Последни 5 поръчки"
"Last 5 Search Terms","Последни 5 критерия за търсене"
"Last Logged In (%s):","Последно влизане (%s):"
"Last Logged In:","Последно влизане:"
"Last Name:","Фамилия:"
"Latest Message:","Последно съобщение:"
"Leave empty to use tax identifier","Празно за използване на данъчен идентификатор"
"Level","Level"
"License:","License:"
"Loading...","Зареждане..."
"Local Server","Локален сървър"
"Local/Remote Server","Локален/Отдалечен сървър"
"Log Out","Изход"
"Logged in as %s","Влезнал като %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Секция Magento Core Api"
"Magento Logo","Magento лого"
"Magento ver. %s","Magento версия %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Maintainers"
"Manage Stores","Управление магазини"
"Mapping Configuration","Mapping Configuration"
"Max","Макс."
"Merge Now","Merge Now"
"Min","Мин."
"Module version conflict!","Module version conflict!"
"N/A","Неналично"
"Name","Име"
"Name on Card","Име на картата"
"Name on the Card: %s","Име на картата: %s"
"Name:","Име:"
"Next month (hold for menu)","Следващ месец (задръжте за меню)"
"Next page","Следваща стр."
"Next year (hold for menu)","Следваща година (задръжте за меню)"
"No","Не"
"No Data Found","Няма намерена информация"
"No search keywords.","Липсват ключови думи за търсене."
"Note:","Бележка:"
"Notes:","Notes:"
"Number of records:","Брой записи:"
"Old rate:","Стара ставка:"
"Only mapped fields","Само свързани полета"
"Order Totals","Суми по поръчки"
"Order confirmation email not sent","Order confirmation email not sent"
"Order confirmation email sent","Order confirmation email sent"
"Original Magento attribute names in first row:","Оригинални Magento имена на атрибути в първи ред:"
"Package","Пакет"
"Package Information","Package Information"
"Packages","Пакети"
"Page","Страница"
"Passive mode","Пасивен режим"
"Password","Парола"
"Path","Път"
"Path:","Път:"
"PayPal Email","PayPal Email"
"Personal Information","Лични данни"
"Phone:","Телефон:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Моля потвърдете смяната на сайт. Несъхранената информация ще бъде загубена."
"Please enter 6 or more characters.","Моля, въведете 6 или повече символа."
"Please enter a number greater than 0 in this field.","Моля, въведете число по-голямо от 0."
"Please enter a valid $ amount. For example $100.00.","Моля, въведете валидна валутна сума. Например: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля, въведете валиден адрес към уебсайт. Например: http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Моля, въведете валиден URL адрес. Нужно е да въведете http://"
"Please enter a valid credit card number.","Моля, въведете валиден номер на кредитна карта."
"Please enter a valid date.","Моля, въведете валидна дата."
"Please enter a valid email address. For example johndoe@domain.com.","Моля, въведете валиден имейл адрес. Например: johndoe@domain.com"
"Please enter a valid number in this field.","Моля, въведете валидно число в полето."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля, въведете валиден телефонен номер. Например: (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валиден номер на социална осигуровка. Например 123-45-6789."
"Please enter a valid value from list","Моля, въведете валидна стойност от списък"
"Please enter a valid value, ex: 10,20,30","Моля, въведете валидна стойност, напр.: 10,20,30"
"Please enter a valid zip code.","Моля, въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля, въведете валиден пощенси код. Например: 90602 or 90602-1234."
"Please enter valid password.","Моля, въведете валидна парола."
"Please make sure that your changes were saved before running the profile.","Моля уверете се, че вашите промени са записани преди стартиране на профила."
"Please make sure your passwords match.","Моля, убедете се, че паролите съвпадат."
"Please select State/Province.","Моля, изберете Област/Щат."
"Please select an option.","Моля, изберете опция."
"Please select one of the above options.","Моля, изберете една от опциите по-горе."
"Please select one of the options.","Моля, изберете една от опциите."
"Please use in this field only ""a-z,0-9,_"".","Моля, използвайте само ""a-z,0-9,_"" в това поле."
"Please use letters only (a-z) in this field.","Моля, използвайте само букви в това поле."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Моля, използвайте само числа в това поле. Избягвайте други символи като празни символи, точки и запетайки."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Моля, използвайте само букви и цифри в това поле. Други символи не са позволени."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Моля, използвайте само цифри, букви, празни символи или # в това поле."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля, използвайте този формат за въвеждане на дата: дд/мм/гггг. Например: 17/03/2006 за 17ти Март 2006 г."
"Please wait, loading...","Моля изчакайте, зареждане..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Пред. месец (задръжте за меню)"
"Prev. year (hold for menu)","Пред. година (задръжте за меню)"
"Previous page","Предишна страница"
"Price","Цена"
"Price:","Цена:"
"Primary Billing Address","Primary Billing Address"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Продукт"
"Products","Продукти"
"Profile Information","Профил данни"
"Provided Files","Provided Files"
"Qty","Кол."
"Read details","Прочети всичко"
"Recommended","Recommended"
"Remote FTP","Отдалечен FTP"
"Remote URL:","Remote URL:"
"Remove","Премахни"
"Resource Access","Достъп до ресурси"
"Resources","Ресурси"
"Role","Role"
"Role Users","Потребители за роля"
"Roles","Роли"
"Roles Resources","Ресурси за роли"
"SKU","Кат. №"
"SKU:","Кат. №:"
"Schedule Merge","Schedule Merge"
"Select All","Избери всичко"
"Select Date","Избери дата"
"Select Range","Избери обхват"
"Select Visible","Избери видимо"
"Select date","Избери дата"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Коментари за доставки"
"Shipment History","Хронология на доставки"
"Shipping Address","Адрес за доставка"
"Shipping address selection is not applicable","Изборът на Адрес за доставка е невалиден"
"Shipping method selection is not applicable","Изборът на Начин на доставяне е невалиден"
"Show Report for","Show Report for"
"Show by","Show by"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Някои от продуктите в тази поръчка имат различни фактури и тип на доставка. Създаването на доставка е възможно само след създаването на фактурата."
"Sort Order","Начин на подреждане"
"Spreadsheet Name:","Име на електронна таблица:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Начална дата"
"State/Province:","Област/Щат:"
"Status","Статус"
"Status:","Статус:"
"Stock Quantity:","Стокова наличност:"
"Store:","Магазин:"
"Store: ","Store: "
"Subpackage","Subpackage"
"Subpackages","Subpackages"
"Summary:","Summary:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo карта номер: %s"
"Switch/Solo card start Date: %s/%s","Начална дата на Switch/Solo карта: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Само Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) карта номер: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Начална дата на Switch/Solo/Maestro(UK Domestic) карта: %s/%s"
"The information in this tab has been changed.","Информацията в този изглед беше променена."
"This is a required field.","Товае е задължително поле."
"This tab contains invalid data. Please solve the problem before saving.","Този изглед съдържа невалидни данни. Моля отстранете проблема преди записване."
"Thumbnail","Изображение за преглед"
"Time selection:","Избор на време:"
"Time:","Време:"
"To","До"
"Top 5 Search Terms","Водещи 5 критерия за търсене"
"Total %d records found","Намерени са общо %d записа"
"Track order","Track order"
"Track this shipment","Проследяване на тази пратка"
"Type","Тип"
"Type:","Тип:"
"Unable to login.","Неуспешен вход."
"Unselect All","Размаркирай всички"
"Unselect Visible","Размаркирай видими"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upload Local File","Upload Local File"
"Upload local file:","Upload local file:"
"Use Default Value","Използване на стойност по подразбиране"
"User","Потребител"
"User Name","Потребителско име"
"User Roles","Потребителски роли"
"User name","Потребителско име"
"Users","Потребители"
"Value Delimiter:","Разделител на стойности:"
"Version:","Version:"
"View","Преглед"
"View Statistics for","View Statistics for"
"Visibility:","Видимост:"
"Warning! Empty value can cause problems with CSV format.","Внимание! Празна стойност може да създаде проблем в CSV формат."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Уеб Услуги"
"Web Services Configuration","Web Services Configuration"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","Какво е това?"
"Yes","Да"
"You have","Имате"
"Your Account has been deactivated.","Your Account has been deactivated."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Вашите PHP настройки не позволяват качване на файлове по-големи от %s. Моля, променете стойностите на post_max_size (в момента %s) и upload_max_filesize (в момента %s) в php.ini ако искате да качвате по-големи файлове."
"Zip/Postal Code:","Пощенски код:"
"critical","критично"
"images/logo.gif","images/logo.gif"
"items selected","избрани обекта"
"major","важно"
"md5sum","md5sum"
"minor","маловажно"
"notice","известие"
"of %s pages","от %s страници"
"or","or"
"per page","на страница"
"to","до"
