"%s was successfully added to your shopping cart.","%s беше успешно добавен към Вашата количка."
"Please select shipping methods for all addresses","Моля, изберете начин на доставка за всички адреси"
"Price","Цена"
"Proceed to Checkout","Продължи към разплащане"
"Product","Продукт"
"Product Name","Име на продукта"
"Product does not exist","Продуктът не съществува"
"Qty","Бр."
"Quote Lifetime (days)","Продължителност на офертата (дни)"
"Recently added item(s)","Скоро добавен(и) продукт(и)"
"Register","Регистрация"
"Register and save time!","Направете регистрация и спечелете време!"
"Register to Create an Account","Регистрирайте се за създаване на профил"
"Register with us for future convenience:","Регистрирайте се на сайта за бъдещо удобство:"
"Remove","Премахване"
"Remove Item","Премахни артикул"
"Remove Product","Премахване на продукт"
"Remove item","Премахни артикул"
"Review Order","Преглед на поръчката"
"Review Order - %s","Преглед на поръчка - %s"
"Sales","Продажби"
"Save Condition","Запис на условие"
"Save in address book","Запиши в книгата за адреси"
"Select Address","Избор на адрес"
"Select Addresses","Избор на адреси"
"Select Shipping Method","Избор на начин за доствка"
"Select State/Province...","Избор на област..."
"Select a billing address from your address book or enter a new address.","Изберете адрес за плащане от книгата за адреси или въведете нов."
"Select a shipping address from your address book or enter a new address.","Изберете адрес за доставка от книгата за адреси или въведете нов."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Изпрати на"
"Ship to Multiple Addresses","Доставка на няколко адреса"
"Ship to different address","Доставка на различен адрес"
"Ship to this address","Доставка на този адрес"
"Shipping Address","Адрес за доставка"
"Shipping Information","Информация за доставка"
"Shipping Method","Начин на доставка"
"Shipping Methods","Начини на доставка"
"Shipping method has not been selected yet","Не е избран начин на доставка"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Доставка до"
"Shopping Cart","Количка"
"Shopping Cart Sidebar","Странична лента на количка"
"Shopping Cart is Empty","Количката е празна"
"Show Content as","Покажи съдържанието като"
"Some of the products you requested are not available in the desired quantity","Някои от продуктите, който заявихте не са налични в желаното количество"
"Some of the products you requested are unavailable","Някои от продуктите, които заявихте не са налични"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Съжаляваме, няма налични оферти по тази поръчка в момента."
"State/Province","Област/Щат"
"Status","Статус"
"Store View","Изглед на магазин"
"Street Address","Адрес"
"Street Address ","Street Address "
"Submitting order information...","Обработка на поръчката..."
"Subtotal","Междинна сума"
"Telephone","Телефон"
"Terms and Conditions","Правила и условия"
"Terms and Conditions Information","Информация за правила и условия"
"Terms and conditions","Правила и условия"
"Text","Текст"
"Thank you for your purchase!","Благодарим Ви за покупката!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Има <a href=""%s""> <strong>%s продукта</strong> </a> в количката."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Има <a href=""%s""> <strong> 1 продукт </strong> </a> в количката."
"There is already a customer registered using this email address","Вече съществува регистриран клиент с този имейл адрес"
"There was an error processing your order. Please contact us or try again later.","Възникна грешка при изпълнение на поръчката. Моля, свържете се с нас или опитайте отново по-късно."
"This condition no longer exists","This condition no longer exists"
"Total","Общо"
"Total for this address","Общо за този адрес"
"Unit Price","Ед. цена"
"Update Qty &amp; Addresses","Обновяване на количества и адреси"
"Update Shopping Cart","Обновяване на количката"
"Update Total","Актуализране на обща сума"
"Use Billing Address","Използвай адреса за плащане"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Поръчката се обработва и скоро ще бъде изпратен имейл с пълна информация. Когато поръчката е изпратена, ще бъде изпратен нов имейл, съдържащ линк за проследяване на доставката."
"You have no items in your shopping cart.","Количката е празна."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ще получите имейл за потвърждение на поръчката, съдържащ подробна информация и линк за проследяване на нейния статус."
"Your Checkout Progress","Прогрес на разплащане"
"Your order # is: %s","Вашата поръчка е: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Поръчката е приета"
"Your order number is ","Номер на поръчката"
"Zip/Postal Code","Пощенски код"
"osCommerce Orders","osCommerce поръчки"
"separate by "",""","separate by "","""
"My Cart","Моята кошница"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
