"%s was successfully added to your shopping cart.","%s se agreg&oacute; a tu Carrito de compras."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga <a href=""%s"" onclick=""this.target='_blank'"" title=""Clic aqu&iacute; para imprimir una copia"">clic aqu&iacute;</a> para imprimir una copia de su confirmaci&oacute;n de orden."
"Close","Cerrar"
"Company","Compa&ntilde;ia"
"Condition Name","Nombre de la condici&oacute;n"
"Condition was successfully deleted","Condici&oacute;n eliminada exitosamente"
"Condition was successfully saved","Condici&oacute;n guardada exitosamente"
"Configurable product image","Im&aacute;gen del producto configurable"
"Confirm Password","Confirmar contrase&ntilde;a"
"Content","Contenido"
"Content Height","Alto del contenido (height)"
"Content Height (css)","Alto del contenido (css: height)"
"Continue","Continuar"
"Continue Shopping","Continuar compra"
"Continue to Billing Information","Continuar a Informaci&oacute;n de Facturaci&oacute;n"
"Continue to Review Your Order","Continuar a: Revisar su Pedido"
"Continue to Shipping Information","Continuar con la Informaci&oacute;n de env&iacute;"
"Country","Pa&iacute;s"
"Coupon code ""%s"" is not valid.","El c&oacute;digo de cup&oacute;n ""%s"" no es v&aacute;lido."
"Coupon code ""%s"" was applied successfully.","El c&oacute;digo de cup&oacute;n ""%s"" fue aplicado correctamente."
"Coupon code was canceled successfully.","El c&oacute;digo de cup&oacute;n fue cancelado correctamente."
"Create Billing Address","Crear Direcci&oacute;n de Facturaci&oacute;n"
"Create Shipping Address","Crear Direcci&oacute;n de Env&iacute;o"
"Customer Address is not valid.","La direcci&oacute;n del Cliente no es v&aacute;lida."
"Data saving problem","Problemas al guardar la informaci&oacute;n"
"Default Billing","Facturacci&oacute;n predeterminada"
"Default Shipping","Evn&iacute;o predeterminado"
"Delete Condition","Elimiar Condici&oacute;n"
"Details","Detalles"
"Disable Onepage Checkout","Deshabilitar OnePage CheckOut"
"Disabled","Deshabilitado"
"Discount Codes","C&oacute;digos de Descuento"
"Display Cart Summary","Visualizar el Resumen del Carrito"
"Display Shopping Cart Sidebar","Visualizar Sidebar del Carrito"
"Display item quantities","Visualizar cantidades de item"
"Display number of items in cart","Visualizar cantidad de items en el Carrito"
"Easy access to your order history and status","F&aacute;cil acceso a tu historial y estado de Pedidos"
"Edit","Editar"
"Edit Address","Editar Direcciones"
"Edit Billing Address","Editar Direcci&oacute;n de Facturaci&oacute;n"
"Edit Items","Editar items"
"Edit Shipping Address","Editar Direcci&oacute;n de Env&iacute;o"
"Edit Terms and Conditions","Editar T&eacute;rminos y Condiciones"
"Edit Your Cart","Editar Mi Carrito"
"Email Address","Direcci&oacute;n de E-mail"
"Enable Terms and Conditions","Habilitar T&eacute;rminos y Condiciones"
"Enabled","Habilitado"
"Enter a New Address","Ingresar una Nueva direcci&oacute;n"
"Enter your coupon code if you have one.","Si tenes un c&oacute;digo de cup&oacute;n, ingresalo aqu&iacute;."
"Enter your destination to get a shipping estimate.","Ingrese el destino para obtener un precio estimado de env&iacute;."
"Error while deleting this condition. Please try again later.","Se produjo un error mientras se eliminaba la condici&oacute;n. Por favor, intente nuevamente."
"Error while saving this condition. Please try again later.","Se produjo un error mientras se guardaba la condici&oacute;n. Por favor, intente nuevamente."
"Estimate Shipping and Tax","Estimar Env&iacute;o e Impuestos"
"Excl. Tax","Excl. Impuestos"
"Fast and easy check out","R&aacute;pido y f&aacute;cil CheckOut"
"Fax","Fax"
"Forgot an Item?","Olvido un Item?"
"Forgot your password?","Olivdo su contrase&ntilde;a?"
"Get a Quote","Get a Quote"
"Grand Total:","Total general:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Imp"
"Invalid data","Data inv&aacute;lida"
"Invalid email address ""%s""","Direcci&oacute;n de e-mail inv&aacute;lida ""%s"""
"Invalid shipping method.","M&eacute;todo de env&iacute;o inv&aacute;lido."
"Items","Items"
"Load customer quote error","Load customer quote error"
"Loading next step...","Cargando pr&oacute;ximo paso..."
"Login","Iniciar Sesi&oacute;n"
"Manage Checkout Terms and Conditions","Administrar T&eacute;rminos y Condiciones para la Finalizaci&oacute;n del Pedido"
"Maximum display Recently added item(s)","Cantidad m&aacute;xima de Producto(s) agregado(s) recientemente"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Mover a la Lista de Deseos"
"My Account","Mi Cuenta"
"My Cart","My Cart"
"My Cart (%s item)","Mi Carrito (%s)"
"My Cart (%s items)","Mi Carrito (%s)"
"My Cart Link","Link de Mi Carrito - Opciones"
"New Address","Nueva Direcci&oacute;n"
"New Condition","Nueva Condici&oacute;n"
"Order #","Orden #"
"Order Review","Orden Review"
"Order Success","Order Exitosa"
"Other items in your order","Otros items en tu Orden"
"Password","Contrase&ntilde;a"
"Payment Failed Email Reciever","Payment Failed E-mail Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Payment method is not defined","Payment method is not defined"
"Place Order","Place Order"
"Please <a href=""%s"">continue shopping</a>.","Ingres&aacute; <a href=""%s"">a la p&aacute;gina principal</a> para comenzar a navegar la tienda."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Price","Price"
"Proceed to Checkout","Finalizar Compra"
"Product","Product"
"Product Name","Product Name"
"Product does not exist","Product does not exist"
"Qty","Qty"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","Producto(s) agregado(s) recientemente"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove","Remove"
"Remove Item","Remove Item"
"Remove Product","Remove Product"
"Remove item","Remove item"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"Select Address","Select Address"
"Select Addresses","Select Addresses"
"Select Shipping Method","Select Shipping Method"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Enviar a"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Shipping to"
"Shopping Cart","Mi Carrito"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Tu Carrito se encuentra vac&iacute;o"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Some of the products you requested are not available in the desired quantity"
"Some of the products you requested are unavailable","Some of the products you requested are unavailable"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","State/Province"
"Status","Status"
"Store View","Store View"
"Street Address","Street Address"
"Street Address ","Street Address "
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Telephone","Telephone"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Thank you for your purchase!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s"">%s productos</a> en tu carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s"">1 producto</a> en tu carrito."
"There is already a customer registered using this email address","There is already a customer registered using this email address"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total for this address"
"Unit Price","Precio por unidad"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","Actualizar Carrito"
"Update Total","Update Total"
"Use Billing Address","Use Billing Address"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"You have no items in your shopping cart.","&iquest;Todav&iacute;a no agregaste ning&uacute;n producto a tu Carrito?"
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your Checkout Progress","Your Checkout Progress"
"Your order # is: %s","Your order # is: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Your order has been received"
"Your order number is ","Your order number is "
"Zip/Postal Code","Zip/Postal Code"
"osCommerce Orders","Ordenes osCommerce"
"separate by "",""","separado por "","""
"My Cart","Mi Carrito"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
