"-- Please Select --","-- Seleccionar Por favor --"
"Add New Class","Agregar Nueva Clase"
"Tax rates at the same priority are added, others are compounded.","Tasa de Impuestos a la misma prioridad se ha agregado."
"Tax rule was successfully deleted","La Regla fiscal se ha eliminado"
"Tax rule was successfully saved","La Regla fiscal se ha guardado"
"This class no longer exists","Esta categoría ya no existe"
"This rule no longer exists","Esta regla ya no existe"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","No se puede eliminar esta clase de impuestos, ya que se utiliza para %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","No se puede eliminar esta clase de impuestos, ya que se utiliza para productos %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","No se puede eliminar esta clase de impuestos ya que se utiliza en la regla fiscal. Primero tienes que eliminar las reglas donde se utilizan. "
"Zip/Post Code","C.P./Código postal"
