" and "," i"
"Add Maintainer","Dodaj Opiekuna"
"Add New Role","Dodaj nową rolę"
"Add New Template","Dodaj nowy szablon"
"Add New User","Dodaj nowego użytkownika"
"Add PHP Extension dependency","Dodaj zależność rozszerzenia PHP"
"Add Package dependency","Dodaj zależność pakietu"
"Add Subpackage dependency","Dodaj zależność podpakietu"
"Add new store view map","Dodaj nową mapę widoku sklepu"
"Add new website map","Dodaj nową mapę witryny"
"Address Type:","Typ adresu:"
"All","Wszystkie"
"All Websites","Wszystkie strony"
"All fields","Wszystkie pola"
"Archive file name:","Nazwa pliku archiwum:"
"Are you sure that you want to delete this template?","Czy jesteś pewien, że chcesz usunąć ten szablon?"
"Are you sure that you want to strip tags?","Jesteś pewien, że chcesz pozbyć się tagów?"
"Attribute Set Name:","Nazwa zestawu atrybutów:"
"Attributes","Atrybuty"
"Available Products","Dostępne produkty"
"Big Image","Duży obrazek"
"Billing Address","Adres płatnika"
"Bundle Items","Produkty pakietowe"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pakiety z dynamicznymi cenami nie mogą zawierać niestandardowych opcji do zdefiniowania. Opcje nie zostaną zapisane."
"CSV / Tab separated","CSV / rozdzielone tabulatorem"
"Card Verification Number","CVC/CVV"
"Catalog","Sklep"
"Channel","Kanał"
"Channel:","Kanał:"
"Choose Store View","Wybierz widok sklepu"
"Client Session timeout (sec.)","Timeout sesji klienta (sek.)"
"Close","Zamknij"
"Comments History","Historia komentarzy"
"Confirmed email:","Potwierdzony e-mail:"
"Connect with the Magento Community","Przyłącz się do <a href=”http://yento.pl”>społeczności Magento</a>"
"Contents","Zawartości"
"Country:","Kraj:"
"Create New Staging Store View","Utwórz nowy widok testowego sklepu"
"Create a backup","Utwórz kopię"
"Created <strong>%s</strong> items","Utworzone elementy: <strong>%s</strong>"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: xxxx-%s","Numer karty kredytowej: xxxx-%s"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","Typ karty kredytowej: %s"
"Credit Memo History","Historia faktur korygujących"
"Credit Memo Totals","Suma faktur korygujących"
"Current Configuration Scope:","Zasięg obecnej konfiguracji:"
"Current Release Information","Informacja o bieżącej wersji"
"Custom","Niestandardowe"
"Customer Group:","Grupa klienta:"
"Customer Since:","Jest klientem od:"
"Customers","Klienci"
"DHTML Date/Time Selector","DHTML selektor daty/czasu"
"Dashboard","Panel"
"Data Format","Format danych"
"Data transfer:","Transfer danych:"
"Date selection:","Wybór daty:"
"Date selector","Selektor daty"
"Date:","Data:"
"Decimal separator:","Separator dziesiętny:"
"Default (Admin) Values","Domyślne wartości (Admin)"
"Default Values","Domyślne wartości"
"Delete","Usuń"
"Dependencies","Zależności"
"Description:","Opis:"
"Direction:","Kierunek:"
"Display %s first","Wyświetl %s pierwszych"
"Distributed under GNU LGPL. See %s for details.","Rozpowszechniane na podstawie licencji GNU LGPL. Zajrzyj %s po szczegóły."
"Done By:","Wykonane przez:"
"Done by:","Wykonane przez:"
"Download Remote File","Pobierz zdalny plik"
"Drag to move","Przeciągnij aby przesunąć"
"Edit Role","Edytuj rolę"
"Edit User '%s'","Edytuj użytkownika '%s'"
"Email","E-mail"
"Email Preview","Podgląd e-mail"
"Email:","E-mail:"
"Enclose Values In:","Zawrzyj wartości w:"
"Entity type:","Typ jednostki:"
"Excl. Tax","bez VAT"
"Exclude","Wyklucz"
"Expiration Date","Data wygaśnięcia"
"Expiration Date: %s/%s","Data wygaśnięcia: %s/%s"
"Export","Eksport"
"Export Filters","Filtry eksportu"
"Export to:","Eksportuj do:"
"Export:","Eksport:"
"Extension","Rozszerzenie"
"Extensions","Rozszerzenia"
"FTP Host[:Port]","Host FTP[:Port]"
"Field Mapping","Mapowanie pól"
"File Information","Informacje o pliku"
"File name:","Nazwa pliku:"
"Final Price","Ostateczna cena"
"Finished items creation.","Zakończono tworzenie elementów."
"First Name:","Imię:"
"For latest version visit: %s","Po najnowszą wersję zajrzyj na: %s"
"From","Od"
"General Settings","Ustawienia ogólne"
"Get help for this page","Uzyskaj pomoc dla tej strony"
"Global Record Search","Globalne wyszukiwanie"
"Go Today","Idź do dzisiejszej daty"
"Google Base Items","Przedmioty Google Base"
"Group:","Grupa:"
"Help Us Keep Magento Healthy - Report All Bugs","Pomóż nam w rozwoju Magento – Zgłoś wszystkie problemy"
"Ignore","Ignoruj"
"Images","Obrazki"
"Import","Importuj"
"Import Service","Usługa importu"
"In Database:","W bazie danych:"
"In File:","W pliku:"
"Inactive","Nieaktywny"
"Incl. Tax","z VAT"
"Include","Z"
"Installed As","Zainstalowane jako"
"Interactive","Interaktywny"
"Interface Locale: %s","Język interfejsu: %s"
"Invalid webservice adapter specified","Podany adapter usługi sieciowej jest nieprawidłowy"
"Invalid webservice handler specified","Podany uchwyt usługi sieciowej jest nieprawidłowy"
"Invoice History","Historia faktur"
"Invoice Totals","Suma faktur"
"Issue Number","Numer problemu"
"Issuer: %s","Wystawca:"
"Items to merge","Elementy do złączenia"
"Last 5 Orders","Ostatnie 5 zamówień"
"Last 5 Search Terms","Ostatnie 5 wyszukiwanych fraz"
"Last Logged In (%s):","Ostatnio zalogowano (%s):"
"Last Logged In:","Ostatnio zalogowano:"
"Last Name:","Nazwisko:"
"Latest Message:","Ostatnia wiadomość:"
"Leave empty to use tax identifier","Pozostaw puste aby użyć identyfikator podatku"
"Level","Poziom"
"License:","Licencja:"
"Loading...","Ładuję..."
"Local Server","Serwer lokalny"
"Local/Remote Server","Lokalny/Zdalny serwer"
"Log Out","Wyloguj"
"Logged in as %s","Zalogowano jako %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Rdzeń API Magento"
"Magento Core Api Section","Sekcja Rdzeń API Magento"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento wer."
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; jest znakiem handlowym Irubin Consulting Inc. DBA Varien.<br/>Wszelkie prawa zastrzeżone &copy; %s Irubin Consulting Inc."
"Maintainers","Opiekunowie"
"Manage Stores","Zarządzaj sklepami"
"Mapping Configuration","Konfiguracja mapowania"
"Max","Maks"
"Merge Now","Połącz teraz"
"Min","Min"
"Module version conflict!","Konflikt wersji modułu!"
"N/A","N/D"
"Name","Imię"
"Name on Card","Imię na karcie"
"Name on the Card: %s","Imię na karcie: %s"
"Name:","Imię"
"Next month (hold for menu)","Następny miesiąc (przytrzymaj dla menu)"
"Next page","Następna strona"
"Next year (hold for menu)","Następny rok (przytrzymaj dla menu)"
"No","Nie"
"No Data Found","Nie znaleziono żadnych danych"
"No search keywords.","Brak słów kluczowych."
"Note:","Notatka"
"Notes:","Notatki:"
"Number of records:","Liczba rekordów:"
"Old rate:","Stara stawka:"
"Only mapped fields","Tylko mapowane pola"
"Order Totals","Suma zamówienia"
"Order confirmation email not sent","Potwierdzenie zamówienia nie zostało wysłane"
"Order confirmation email sent","Potwierdzenie zamówienia zostało wysłane"
"Original Magento attribute names in first row:","Oryginalne nazwy atrybutów Magento w pierwszym rzędzie:"
"Package","Rozszerzenie"
"Package Information","Informacje pakietu"
"Packages","Rozszerzenia"
"Page","Strona"
"Passive mode","Tryb pasywny"
"Password","Hasło"
"Path","Ścieżka"
"Path:","Ścieżka:"
"PayPal Email","Adres e-mail PayPal"
"Personal Information","Informacje osobiste"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź przełączenie strony. Wszystkie niezapisane dane zostaną utracone."
"Please enter 6 or more characters.","Prosimy o wprowadzenie 6 lub więcej znaków."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej sumy w $. Dla przykładu: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid URL. http:// is required","Prosimy o wprowadzenie poprawnego URL. http:// jest wymagane"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykładu: jan@kowalski.pl."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (058) 553 87 12 lub 058 553 8712."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia. Dla przykładu: 123-45-6789."
"Please enter a valid value from list","Prosimy o wprowadzenie poprawnej wartości z listy"
"Please enter a valid value, ex: 10,20,30","Prosimy o wprowadzenie poprawnej wartości np. 10,20,30"
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykładu: 90602 lub 90-602."
"Please enter valid password.","Prosimy o wprowadzenie poprawnego hasła."
"Please make sure that your changes were saved before running the profile.","Upewnij się, że zapisano wszystkie zmiany profilu przed jego uruchomieniem."
"Please make sure your passwords match.","Prosimy o upewnienie się, że wpisane hasła są identyczne."
"Please select State/Province.","Prosimy o wybranie województwa."
"Please select an option.","Prosimy o zaznaczenie opcji."
"Please select one of the above options.","Prosimy o wybranie jednej z powyższych opcji."
"Please select one of the options.","Prosimy o wybranie jednej z opcji."
"Please use in this field only ""a-z,0-9,_"".","Użyj tylko następujących znaków ""a-z,0-9,_"""
"Please use letters only (a-z) in this field.","Prosimy o użycie samych liter (a-z) w tym polu."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Prosimy o używanie tylko liczb w tym polu. Prosimy o unikanie spacji, przecinków lub kropek."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimy o używanie jedynie liter (a-z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prosimy o używanie jedynie liter (a-z) lub cyfr (0-9) lub spacji i # w tym polu."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please wait, loading...","Proszę czekać, trwa ładowanie..."
"Please, select a store view","Proszę, wybierz widok sklepu"
"Prev. month (hold for menu)","Poprzedni miesiąc (przetrzymaj dla menu)"
"Prev. year (hold for menu)","Poprzedni rok (przetrzymaj dla menu) "
"Previous page","Poprzednia strona"
"Price","Cena"
"Price:","Cena:"
"Primary Billing Address","Podstawowy adres rozliczeniowy"
"Processed <strong>%s%% %s/%d</strong> items","Przetworzone elementy: <strong>%s%% %s/%d</strong>"
"Product","Produkt"
"Products","Produkty"
"Profile Information","Informacje o profilu"
"Provided Files","Dostarczone pliki"
"Qty","Ilość"
"Read details","Przeczytaj szczegóły"
"Recommended","Polecane"
"Remote FTP","Zdalny FTP"
"Remote URL:","Zdalny URL:"
"Remove","Usuń"
"Resource Access","Dostęp do zasobów"
"Resources","Źródła"
"Role","Rola"
"Role Users","Rola użytkowników"
"Roles","Role"
"Roles Resources","Role zasobów"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Zaplanuj złączenie"
"Select All","Zaznacz wszystkie"
"Select Date","Wybierz datę"
"Select Range","Wybierz zakres"
"Select Visible","Zaznacz widoczne"
"Select date","Wybierz datę"
"Select website from map","Wybierz witrynę z mapy"
"Select website to map","Wybierz witrynę do mapowania"
"Shipment Comments","Komentarze do wysyłki"
"Shipment History","Historia wysyłki"
"Shipping Address","Adres wysyłki"
"Shipping address selection is not applicable","Wybór adresu wysyłki jest niepoprawny"
"Shipping method selection is not applicable","Wybór metody wysyłki jest niepoprawny"
"Show Report for","Pokaż raport dla"
"Show by","Pokaż wg"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Niektóre przedmioty w tym zamówieniu mają różne typy faktur i metody wysyłek. Możesz utworzyć wysyłkę dopiero po utworzeniu faktury."
"Sort Order","Porządek sortowania"
"Spreadsheet Name:","Nazwa arkusza:"
"Staging Store: ","Testowy sklep:"
"Staging Website: ","Testowa witryna:"
"Start Date","Data startu"
"State/Province:","Województwo"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Ilość na magazynie:"
"Store:","Sklep:"
"Store: ","Sklep:"
"Subpackage","Podpakiet"
"Subpackages","Podpakiety"
"Summary:","Podsumowanie:"
"Switch/Solo Only","Tylko Switch/Solo"
"Switch/Solo card issue number: %s","Numer karty (Issue Number) Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data początkowa Switch/Solo: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Tylko Switch/Solo/Maestro(Wielka Brytania)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numer karty (Issue Number) Switch/Solo/Maestro(Wielka Brytania): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data początkowa Switch/Solo/Maestro(Wielka Brytania): %s/%s"
"The information in this tab has been changed.","Informacje w tej zakładce zostały zmienione."
"This is a required field.","To pole jest wymagane."
"This tab contains invalid data. Please solve the problem before saving.","Ta zakładka zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisem."
"Thumbnail","Miniaturka"
"Time selection:","Wybór czasu:"
"Time:","Czas:"
"To","do"
"Top 5 Search Terms","Top 5 wyszukiwanych fraz"
"Total %d records found","Łącznie znaleziono %d rekord(ów)"
"Track order","Śledź zamówienie"
"Track this shipment","Śledź tą wysyłkę"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Nie można się zalogować."
"Unselect All","Odznacz wszystkie"
"Unselect Visible","Odznacz widoczne"
"Upgrade All Available Packages","Zaktualizuj wszystkie dostępne pakiety"
"Upload Local File","Załaduj lokalny plik"
"Upload local file:","Załaduj lokalny plik:"
"Use Default Value","Użyj wartości domyślnych"
"User","Użytkownik"
"User Name","Nazwa użytkownika"
"User Roles","Rola użytkownika"
"User name","Imię użytkownika"
"Users","Użytkownicy"
"Value Delimiter:","Separator wartości"
"Version:","Wersja:"
"View","Widok"
"View Statistics for","Zobacz statystyki dla"
"Visibility:","Widoczność"
"Warning! Empty value can cause problems with CSV format.","Uwaga! Pusta wartość może spowodować problemy z formatem CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Ostrzeżenie!rnTo działanie usunie użytkownika z już przypisanej rolirnCzy na pewno togo chcesz?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Ostrzeżenie!rnTo działanie usunie tych użytkowników z już przypisanych rólrnCzy na pewno togo chcesz?"
"Web Services","Usługi sieciowe"
"Web Services Configuration","Konfiguracja usług sieciowych"
"Website: ","Witryna:"
"Websites","Witryny"
"Websites / Stores","Witryny / sklepy"
"What is this?","Co to jest?"
"Yes","Tak"
"You have","Posiadasz"
"Your Account has been deactivated.","Twoje konto zostało dezaktywowane."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Twoje ustawienia PHP nie pozwalają na wysłanie więcej niż %s plików na raz. Zmodyfikuj wartości post_max_size (obecnie %s) oraz upload_max_filesize (obecnie %s) w php.ini jeśli chcesz wysyłać większe pliki."
"Zip/Postal Code:","Kod pocztowy"
"critical","krytyczny"
"images/logo.gif","images/logo_pl.gif"
"items selected","zaznaczonych przedmiotów"
"major","ważny"
"md5sum","md5sum"
"minor","mniej ważne"
"notice","uwaga"
"of %s pages","z %s stron"
"or","lub"
"per page","na stronę"
"to","do"
