"%s already exist","%s już istnieje"
"%s already exists","%s już istnieje"
"-- Please Select --","-- Prosimy wybrać --"
"Model collection resource name is not defined","Nazwa modelu kolekcji zasobów nie została zdefiniowana"
"Module ""%1$s"" can not be depended from ""%2$s""","Moduł ""%1$s"" nie może być zależny od ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Moduł ""%1$s"" wymaga modułu ""%2$s"""
"Name","Nazwa"
"New Design Change","Nowa zmiana wyglądu"
"New Store","Nowy sklep"
"New Store View","Nowy widok sklepu"
"New Website","Nowa witryna"
"No","Nie"
"Package","Paczka"
"Please choose to register or to checkout as a guest","Prosimy o rejestrację lub złożenie zamówienia jako gość"
"Please define flag code.","Prosimy o zdefiniowanie kodu flagi."
"Please enter 6 or more characters.","Prosimy o wprowadzenie 6 lub więcej znaków."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prosimy o wprowadzenie 6 lub więcej znaków. Początkowe lub końcowe spacje zostaną zignorowane."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykład $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid URL. http:// is required","Prosimy o wprowadzenie poprawnego URL. http:// jest wymagane"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykładu: jankowalski@domena.pl."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia społecznego. Dla przykładu: 123-45-6789."
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykładu: 90602 lub 90-602."
"Please enter valid password.","Prosimy o wprowadzenie poprawnego hasła."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Upewnij się, że bazowy URL kończy się '/' (ukośnik), np. http://twojadomena/magento/"
"Please make sure your passwords match.","Prosimy upewnić się, że hasła psują do siebie."
"Please select State/Province.","Prosimy o wybór regionu."
"Please select an option.","Prosimy o wybranie opcji."
"Please select one of the above options.","Prosimy o wybór jednej z powyższych opcji."
"Please select one of the options.","Prosimy o wybór jednej z opcji."
"Please specify payment method.","Prosimy o wybór metody płatności."
"Please specify shipping method.","Prosimy o wybór metody dostawy."
"Please use letters only (a-z or A-Z) in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z) w tym polu."
"Please use letters only (a-z) in this field.","Prosimy o używanie jedynie liter (a-z) w tym polu."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Prosimy o używanie tylko liczb w tym polu. Prosimy o unikanie spacji, przecinków lub kropek."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimy o używanie jedynie liter (a-z or A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prosimy o używanie jedynie liter (a-z or A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please wait, loading...","Prosimy czekać, trwa ładowanie..."
"Polls","Ankiety"
"Port (25)","Port (25)"
"Profiler","Skrypt profilujący"
"Prototype Deprecation Log","Log starych wersji Prototype"
"Request path for specified store","Wymagaj ścieżki dla określonego sklepu"
"Requested invalid store ""%s""","Wywołano nieprawidłowy sklep %s"""
"Resource is not set","Źródło nie zostało określone"
"Root Category","Kategoria bazowa"
"SMTP settings (Windows server only)","Ustawienia SMTP (tylko dla serwerów Windows)"
"Sales representative","Przedstawiciel handlowy"
"Save","Zapisz"
"Save Store","Zapisz sklep"
"Save Store View","Zapisz widok sklepu"
"Save Website","Zapisz witrynę"
"Search Engines Optimization","Optymalizacja dla wyszukiwarek"
"Secure","Bezpieczny"
"Security","Bezpieczeństwo"
"Select Date","Wybierz datę"
"Sender email","Nadawca e-maila"
"Sender name","Imię nadawcy"
"Services","Usługi"
"Session Cookie management","Zarządzanie cookie"
"Session Lifetime, Seconds","Czas ważności sesji w sekundach"
"Session Validation Settings","Ustawienia walidacji sesji"
"Set as default","Ustaw jako domyślne"
"Skin (Images / CSS)","Skórka (Obrazki / CSS)"
"Sort order","Porządek sortowania"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Wybrana data/czas %1$s"" nie odpowiada formatowi ""%2$s""."""
"Specify either category or product, or both.","Sprecyzuj kategorię, produkt lub oba łącznie."
"Start date can't be greater than end date","Data początkowa nie może być późniejsza niż data końcowa"
"Startup page","Strona startowa"
"Status","Status"
"Store","Sklep"
"Store Email Addresses","Adres e-mail sklepu"
"Store Information","Informacje o sklepie"
"Store Name","Nazwa sklepu"
"Store View","Widok sklepu"
"Store View Information","Informacje o widoku sklepu"
"Store View Name","Nazwa widoku sklepu"
"Store View was successfully saved","Widok sklepu został pomyślnie zapisany"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kod sklepu powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreślenia (_), pierwszy znak powinien być literą."
"Store doesn't exist","Sklep nie istnieje"
"Store view doesn't exist","Widok sklepu nie istnieje"
"Store view was successfully deleted.","Widok sklepu został usunięty."
"Store was successfully deleted.","Sklep został pomyślnie usunięty."
"Store was successfully saved","Sklep został pomyślnie zapisany."
"Store with the same code","Sklep z takim samym kodem"
"System","System"
"System Log File Name","Nazwa pliku systemowego logu"
"Template Path Hints","Podpowiedzi ścieżek szablonów"
"Templates","Szablony"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Wprowadzony %s jest niepoprawny. Upewnij się ze pasuje do formatu http://domena.pl/""."""
"Themes","Motywy"
"This category and all its child elements","Ta kategoria wraz ze wszystkimi jej podrzędnymi elementami"
"This category and its child categories only","Ta kategoria tylko ze wszystkimi jej podkategoriami"
"This category and its products only","Tylko ta kategoria i jej produkty"
"This category only","Tylko ta kategoria"
"This is a required field.","To pole jest wymagane."
"This store cannot be deleted","Ten sklep nie może zostać usunięty"
"This store cannot be deleted.","Ten sklep nie może być usunięty."
"This store view cannot be deleted","Ten widok sklepu nie może zostać usunięty"
"This store view cannot be deleted.","Ten widok sklepu nie może być usunięty."
"This website cannot be deleted","Ta witryna nie może zostać usunięta"
"This website cannot be deleted.","Ta witryna nie może zostać usunięta."
"This will be displayed just before body closing tag","To będzie wyświetlane tuż przed zamykającym znacznikiem body"
"This will be included before head closing tag in page HTML","To będzie załączone przed znacznikiem zamykającym sekcję HEAD w HTML"
"Timezone","Strefa czasowa"
"Title Prefix","Przedrostek tytułu"
"Title Suffix","Przyrostek tytułu"
"Translate Inline","Tłumaczenie liniowe"
"Translate cache should be disabled for both Frontend and Admin inline translations","Pamięć podręczna tłumaczeń powinna być wyłączona dla Katalogu i Admina"
"Translations","Tłumaczenia"
"Unable to delete store view. Please, try again later.","Nie można usunąć widoku sklepu. Prosimy spróbować później."
"Unable to delete store. Please, try again later.","Nie można usunąć sklepu. Prosimy spróbować później."
"Unable to delete website. Please, try again later.","Nie można usunąć witryny. Prosimy spróbować później."
"Unable to proceed. Please, try again","Nie można kontynuować. Prosimy spróbować później"
"Unknown scope ""%s""","Nieznany zakres ""%s"""
"Unsecure","Niezabezpieczony"
"Url Options","Opcje URL"
"Use HTTP Only","Użyj tylko HTTP"
"Use Secure URLs in Admin","Użyj zabezpieczonych URLi dla admina"
"Use Secure URLs in Frontend","Użyj zabezpieczonych URLi w katalogu"
"Use Web Server Rewrites","Używaj przekierowań serwera"
"Use custom admin URL","Użyj indywidualnego adresu URL dla admina"
"Validate HTTP_USER_AGENT","Waliduj HTTP_USER_AGENT"
"Validate HTTP_VIA","Waliduj HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Waliduj HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Waliduj REMOTE_ADDR"
"Values less than 60 are ignored.","Wartości mniejsze niż 60 są ignorowane."
"Web","Sieć"
"Website","Witryna"
"Website Information","Informacje o witrynie"
"Website Name","Nazwa witryny"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kod strony powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreśenia (_), pierwszy znak powinien być literą."
"Website doesn't exist","Witryna nie istnieje"
"Website was successfully deleted.","Strona została pomyślnie usunięta."
"Website was successfully saved","Strona została pomyślnie zapisana"
"Website with the same code","Witryna z takim samym kodem"
"Weekend Days","Dni weekendu"
"Welcome Text","Tekst powitalny"
"Wrong number of arguments for %s","Zła liczba argumentów dla %s"
"Yes","Tak"
"Your order can not be completed at this time as there is no payment methods available for it.","Twoje zamówienie nie może zostać zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody płatności."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Twoje zamówienie nie może zostać zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody dostawy. Prosimy wprowadzić odpowiednie zmiany do swojego adresu dostawy."
"Your session has been expired, you will be relogged in now.","Twoja sesja wygasła, zostaniesz zalogowany ponownie."
"Search","Szukaj"
"Go","Dalej"
"Search entire store here...","Przeszukaj cały sklep..."
"Compare Products","Porównaj produkty"
"Back to Main Product Info","Powrót do głównej informacji o produkcie"
"You have no items to compare.","Nie masz produktów do porównania."
"Clear All","Wyczyść wszystko"
"Search entire store here...","Szukaj tutaj w całym sklepie..."
"Search","Szukaj"
"About the calendar","O kalendarzu"
"For latest version visit: %s","W celu pobrania najnowszej wersji odwiedź: %s"
"Distributed under GNU LGPL. See %s for details.","Udostępniane na licencji GNU LGPL. Zobacz %s, aby dowiedzieć się więcej."
"Date selection:","Wybór daty:"
"- Use the %s, %s buttons to select year","- użyj przyciski %s, %s do wybrania roku"
"- Use the %s buttons to select month","- użyj przyciski %s do wybrania miesiąca"
"- Hold mouse button on any of the above buttons for faster selection.","- przytrzymaj przycisk myszy na jednym z powyższych przycisków dla szybszego wyboru."
"Time selection:","Wybór czasu:"
"- Click on any of the time parts to increase it","- kliknij na dowolnej jednostce czasu aby ją zwiększyć"
"- or click and drag for faster selection.","- lub kliknij i przeciągnij dla szybszego wyboru."
"Go Today","Dzisiaj"
"Next month (hold for menu)","Następny miesiąc (przytrzymaj dla menu)"
"Next year (hold for menu)","Następny rok (przytrzymaj dla menu)"
"Select date","Wybierz datę"
"Drag to move","Przeciągnij, aby przemieścić"
"Close","Zamknij"
"(Shift-)Click or drag to change value","Kliknij (z Shiftem) lub przeciągnij, aby zmienić wartość"
"Time:","Czas:"
"DHTML Date/Time Selector","Dynamiczny selektor daty/czasu"
