"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"Category Data","Dane kategorii"
"Category Navigation:","Nawigacja kategorii:"
"Category Products","Produkty kategorii"
"Category Top Navigation","Nawigacja górna kategorii"
"Category URL Suffix","Sufiks URL kategorii"
"Category attributes API","API cech kategorii"
"Category delete error","Błąd kasowania kategorii"
"Category deleted","Kategoria została usunięta"
"Category move error","Błąd przenoszenia kategorii"
"Category must be instance of Mage_Catalog_Model_Category","Kategoria musi być instancją Mage_Catalog_Model_Category"
"Category saved","Kategoria została zapisana"
"Change","Zmień"
"Change or Retrieve attribute store view","Zmień lub pobierz atrybuty dla widoku sklepu"
"Change status","Zmień status"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"Choose an Option...","Wybierz opcję..."
"Choose option...","Wybierz opcję..."
"Clear All","Wyczyść wszystko"
"Clear All Items","Wyczyść wszystko"
"Close Window","Zamknij okno"
"Collapse All","Zwiń wszystko"
"Comparable","Porównywalne"
"Comparable on Front-end","Porównywalne w sklepie"
"Compare Items","Porównaj"
"Compare Products","Porównaj produkty"
"Compare Products (%d)","Porównaj produkty (%d)"
"Compare Products - %d Items","Porównywarka"
"Compare Products List","Lista produktów porównywanych"
"Compare list successfully cleared","Lista porównań została wyczyszczona"
"Conditions Combination","Kombinacja warunków"
"Configurable Product","Produkt konfigurowalny"
"Configurable Product Settings","Ustawienia produkty konfigurowalnego"
"Continue","Kontynuuj"
"Copy From Configurable","Kopiuj z konfigurowalnego"
"Country/State","Kraj/Województwo"
"Create","Utwórz"
"Create (Upload)","Utwórz (załaduj)"
"Create Empty","Utwórz pusty"
"Create Product Settings","Stwórz ustawienia produktu"
"Create Simple Associated Product","Utwórz prosty powiązany produkt"
"Create new category","Utwórz nową kategorię"
"Create new product","Utwórz nowy produkt"
"Cross-sells","Sprzedaże krzyżowe"
"Currently Shopping by","Aktualnie przeglądasz wg"
"Custom Design","Indywidualny wygląd"
"Custom Options","Indywidualne opcje"
"Customer Group","Grupa Klientów"
"Customers Reviews","Recenzje klientów"
"Customers Tagged Product","Produkt otagowany przez klientów"
"Customers for alert %s was successfuly added to queue","Klienci dla powiadomienia %s zostali dodani do kolejki"
"Data Type for Saving in Database","Typ danych do zapisania w bazie"
"Date","Data"
"Date & Time Custom Options","Indywidualne opcje daty i czasu"
"Date Subscribed","Data subskrypcji"
"Date fields order","Kolejność pól daty"
"Datetime","Data i czas"
"Decimal","Dziesiętne"
"Decimal Number","Liczba dziesiętna"
"Declare attribute value saving scope","Zadeklaruj zakres zapisywania wartości cechy"
"Default Qty","Domyślna ilość"
"Default Values","Wartości domyślne"
"Default price","Domyślna cena"
"Default value","Domyślna wartość"
"Delete","Usuń"
"Delete Attribute","Usuń cechę"
"Delete Attribute Set","Usuń zestaw cech"
"Delete Category","Usuń kategorię"
"Delete Option","Usuń opcję"
"Delete Row","Usuń rząd"
"Delete Search","Usuń wyszukiwanie"
"Delete Selected Group","Usuń zaznaczoną grupę"
"Delete category","Usuń kategorię"
"Delete product","Usuń produkt"
"Depends on design theme","Zależy od wyglądu motywu"
"Design","Wygląd"
"Disabled","Wyłączone"
"Display in Suggested Terms","Wyświetlaj w sugerowanych frazach"
"Double click on a group to rename it","Kliknij na grupie dwukrotnie aby zmienić jej nazwę"
"Double click on above image to view full picture","Kliknij na obrazek aby obejrzeć pełną wersję"
"Dropdown","Lista rozwijana"
"Duplicate","Klonuj"
"Duplicate website tier price customer group and quantity.","Duplikuj ilości i grupy użytkowników poziomów cen w tej witrynie."
"Duplicate website, country and state tax found.","Duplikuj witryne, kraj i znalezione strefy podatkowe."
"Edit","Edytuj"
"Edit Attribute Set '%s'","Edytuj zestaw cech '%s'"
"Edit Product Attribute","Edytuj cechę produktu"
"Edit Product Attribute ""%s""","Edytuj cechę produktu %s"""
"Edit Search","Edycja wyszukiwania"
"Edit Search '%s'","Edycja wyszukiwania '%s'"
"Email","E-mail"
"Email to a Friend","Wyślij znajomemu"
"Empty","Pusty"
"Enabled","Włączone"
"Error during retrieval of option value: %s","Błąd podczas pobierania wartości opcji: %s"
"Error while adding customers for %s alert. Message: %s","Błąd podczas dodawania klientów do powiadomienia %s. Wiadomość: %s"
"Error while saving this group. Group with the same name already exists.","Błąd podczas zapisywania grupy. Grupa o takiej samej nazwie już istnieje."
"Error while saving this group. Please try again later.","Nie udało się zapisać grupy. Ponów próbę."
"Exclude","Wyłącz"
"Expand All","Rozwiń wszystko"
"Failed","Nieudane"
"Failed to move file: %s","Nie udało się przenieść pliku: %s"
"Feature Products","Polecane produkty"
"File options format is not valid","Niepoprawny format opcji pliku"
"File upload failed","Niepowodzenie podczas wysyłania pliku"
"Filter model name must be declared","Nazwa typu filtra musi zostać zadeklarowana"
"Filter must be as object. Set correct filter please","Filtr musi być obiektem. Wybierz prawidłowy filtr"
"Filterable (no results)","Filtrowalne (bez wyników)"
"Filterable (with results)","Filtrowalne (z wynikami)"
"Filters must be as array","Filtry muszą być tablicami"
"First Name","Imię"
"Fixed","Stały"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Moduł płaskiego katalogu posiada limit %2$d filtrowanych i/lub sortowalnych atrybutów. Obecnie jest ich %1$d. Aby korzystać z tego modułu należy zredukować liczbę tych atrybutów."
"For internal use. Must be unique with no spaces","Do użytku wewnętrznego. Musi być unikalna, bez spacji"
"For reindex enabled product(s) you need specify store or product","Aby przeindeksować włączony produkt musisz sprecyzować sklep lub produkt"
"Frontend","Interfejs klienta"
"Frontend Model","Model interfejsu klienta"
"Frontend Properties","Właściwości interfejsu klienta"
"Gallery","Galeria"
"General Information","Informacje ogólne"
"Get special price","Pobierz specjalną cenę"
"Global","Globalny"
"Globally Editable","Edytowalne globalnie"
"Go to Home Page","Przejdź na stronę główną"
"Grid","Siatka"
"Grouped Product","Grupowany produkt"
"Groups","Grupy"
"Home","Strona główna"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla wybranego widoku sklepu to użyta zostanie domyślna wartość (Admin)."
"Image","Obrazek"
"Image content is not valid base64 data.","Zawartość obrazka to nie jest poprawny format base64."
"Image file not found","Plik obrazka nie został znaleziony"
"Image not exists","Obrazek nie istnieje"
"Image not specified.","Obrazek nie został wybrany"
"Image type and information need to be specified for each store view.","Typ i informacja o obrazku muszą być sprecyzowane dla każdego widoku sklepu."
"In Stock","W magazynie"
"In stock","W magazynie"
"In stock.","W magazynie."
"Incl. Tax","Z podatkiem"
"Input Type","Typ pola"
"Input Validation for Store Owner","Sprawdzanie poprawności danych dla właściciela sklepu"
"Integer","Liczba całkowita"
"Integer Number","Wartość typu integer"
"Invalid Tier Prices","Błędne poziomy cen"
"Invalid attribute %s","Nieprawidłowa cecha %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Nieprawidłowa opcja cechy wybrana dla cechy %s (%s), pomijam wpis"
"Invalid attribute set specified, skipping the record","Określony nieprawidłowy zestaw cech, pomijam wpis"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid category","Błędna kategoria"
"Invalid category IDs","Błędne ID kategorii"
"Invalid image file type","Błędny typ pliku obrazka"
"Invalid image type.","Błędny typ obrazka."
"Invalid option id specified for %s (%s), skipping the record","Nieprawidłowy identyfikator opcji dla %s (%s), pomijam wpis"
"Invalid product type specified, skipping the record","Nieprawidłowy typ produktu, pomijam wpis"
"Invalid store specified","Wybrano nieprawidłowy sklep"
"Invalid store specified, skipping the record","Wybrany nieprawidłowy sklep, pomijam wpis"
"Inventory","Magazyn"
"Is Default","Jest domyślny"
"Is Required","Jest wymagane"
"Items %s to %s of %s total","Produkty %s do %s z %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkty, które mają być niewidoczne w katalogu bądź w wynikach wyszukiwania, muszą być zaznaczone jako 'Wyłączone' dla danego sklepu."
"Label","Etykieta"
"Last Name","Nazwisko"
"Last Notification","Ostatnie powiadomienie"
"Learn More","Dowiedz się więcej"
"Length of text is too long","Teks jest za długi"
"Letters","Litery"
"Letters(a-zA-Z) or Numbers(0-9)","Litery (a-zA-Z) lub cyfry (0-9)"
"Line %d, Email: %s","Linia %d, E-mail: %s"
"Line %d, SKU: %s","Linia %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Link product not exists.","Link produktu nie istnieje"
"List","Lista"
"List Mode","Tryb listy"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Catalog Categories","Zarządzaj kategoriami katalogu"
"Manage Categories","Zarządzanie kategoriami"
"Manage Label / Options","Zarządzaj Etykietami/opcjami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cechy)"
"Manage Product Attributes","Zarządzaj cechami produktu"
"Manage Product Sets","Zarządzaj zestawami produktu"
"Manage Products","Zarządzaj produktami"
"Manage Stock","Zarządzaj stanami"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (rozmiar, kolor itp.)"
"Max Characters","Maks znaków"
"Maximal Depth","Maksymalna głębokość"
"Maximum Image Size","Maksymalny rozmiar obrazka"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Maximum image height","Maksymalna wysokość obrazka"
"Maximum image width","Maksymalna szerokość obrazka"
"Maximum number of characters","Maks. ilość znaków"
"Media Image","Obrazek mediów"
"Minimum Lines Per Page","Minimalna ilość linii na stronę"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"Minimum Qty for Item's Status to be Out of Stock","Minimalna ilość po której produkt otrzyma status Brak w magazynie"
"Missing SKU, skipping the record","Brak SKU, pomijam wpis"
"More Views","Więcej widoków"
"Move","Przenieś"
"Move category in tree","Przenieś produkt w drzewie"
"Multiple Select","Wiielokrotny wybór"
"Name","Nazwa"
"Name In %s","Nazwa w %s"
"Name<br/>(For internal use)","Nazwa<br/>(do użytku wewnętrznego)"
"New Category","Nowa kategoria"
"New Product","Nowy produkt"
"New Product Attribute","Nowa cecha produktu"
"New Products","Nowe produkty"
"New Search","Nowe wyszukiwanie"
"New Set Name","Nowa nazwa zestawu"
"Next","Następne"
"No","Nie"
"No image","Brak obrazka"
"No layout updates","Brak aktualizacji układu"
"No options of this product are available.","Brak opcji dla tego produktu."
"No product collections found","Nie znaleziono kolekcji produktów"
"None","Brak"
"Not shared with other products","Nie dzielone z innymi produktami"
"Notify Low Stock RSS","RSS powiadomień o produktach na wyczerpaniu"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Nowhere","Nigdzie"
"Number of Uses","Ilość zastosowań"
"Number of results<br/>(For last time placed)","Ilość wyników<br/>(od ostatniego razu)"
"OR","LUB"
"Old Price:","Stara cena:"
"Option validation failed to add product to cart","Błąd walidacji opcji produktu podczas dodawania przedmiotu do koszyka"
"Option:","Opcja:"
"Options Control","Kontrola opcji"
"Options is required","Opcje są wymagane"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nasz zespół obsługi klienta jest dostępny 24h na dobę. Zadzwoń 801 801 801."
"Out of Stock","Brak w magazynie"
"Out of stock","Brak w magazynie"
"Out of stock.","Brak"
"PM","po południu"
"Page Title Separator","Separator tytułu strony"
"Page:","Strona:"
"Parent Category","Kategoria nadrzędna"
"Pending","Oczekuje"
"Pending Reviews RSS","RSS oczekujących recenzji"
"Percentage","Procent"
"Please add rows to option.","Dodaj rzędy do opcji."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bądź ostrożny - kiedy klikniesz na rząd system załaduje pakiet i wszystkie niezapisane dane zostaną utracone."
"Please click on Close Window button if it won't be closed automatically","Proszę kliknąć Zamknij Okno jeśli okno nie zamknie się automatycznie"
"Please enter a new group name","Wpisz nazwę nowej grupy"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Prosimy odświeżyć ""Przekierowania katalogu"" oraz ""Wskaźniki warstwowej nawigacji"" w System -> <a href=""%s"">Zarządzanie pamięcią podręczną</a>"
"Please select  items","Wybierz produkty"
"Please select one or more attributes.","Wybierz jedną lub więcej cech"
"Please select product(s)","Wybierz produkt(y)"
"Please select products for attributes update","Wybierz produkty do uaktualnienia cech"
"Please select static block ...","Wybierz blok statyczny..."
"Please set up merge date/time .","Ustaw datę i czas połączenia."
"Please specify date required option(s)","Prosimy o określenie wymaganych opcji daty"
"Please specify the product option(s)","Wybierz opcje dla produktu"
"Please specify the product required option(s)","Prosimy sprecyzować obowiązkowe opcje produktu"
"Please specify the product(s) quantity","Sprecyzuj ilość produktu"
"Please specify time required option(s)","Prosimy o określenie wymaganych opcji czasu"
"Please, use four-digit year format","Prosimy o użycie czterocyfrowego formatu daty dla roku"
"Position","Pozycja"
"Position In Layered Navigation","Pozycja w warstwowej nawigacji"
"Position of attribute in layered navigation block","Pozycja cechy w bloku warstwowej nawigacji"
"Prev","Poprzedni"
"Previous","Poprzedni"
"Price","Cena"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Wartości ceny dla opcji powinny być ustawione w podstawowej walucie systemu."
"Price:","Cena:"
"Print This Page","Drukuj stronę"
"Problem saving the collection, aborting. Error: %s","Problem podczas zapisywania kolekcji, przerwano. Błąd: %s"
"Product","Produkt"
"Product %s successfully added to compare list","Produkt %s został dodany do listy porównań"
"Product %s successfully removed from compare list","Produkt %s został usunięty z porównania"
"Product API","API produktu"
"Product Alerts","Alerty produktów"
"Product Attribute","Cecha produktu"
"Product Attributes","Cechy produktu"
"Product Categories","Kategorie produktu"
"Product Description","Opis produktu"
"Product Image Placeholders","Obrazki zastępcze produktu"
"Product Image Watermarks","Znaki wodne produktu"
"Product Images","Obrazki produktu"
"Product Images API","API obrazków produktu"
"Product In Websites","Produkty w witrynach"
"Product Info Column","Kolumna informacji o produkcie"
"Product Information","Informacje o produkcie"
"Product Name","Nazwa produktu"
"Product Reviews","Recenzje produktu"
"Product Tags","Tagi produktu"
"Product Tier Price API","API poziomów cen produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Sufiks URL produktu"
"Product attribute sets API","API zestawów cech produktu"
"Product attribute was successfully deleted","Cecha produktu została usunięta"
"Product attribute was successfully saved","Cecha produktu została zapisana"
"Product attributes API","API cech produktu"
"Product collection expected","Spodziewana kolekcja produktów"
"Product deleted","Produkt został usunięty"
"Product duplicated","Produkt został zduplikowany"
"Product has required options","Produkt posiada wymagane opcje"
"Product links API (related, cross sells, up sells)","API linków produktu (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Product listing sort by","Wykaz produktów sortowany według"
"Product saving error.","Błąd zapisywania produktu."
"Product saving error. ","Błąd zapisywania produktu."
"Product types API","API typów produktu"
"Product was successfully created.","Produkt został utworzony"
"Product was successfully saved.","Produkt został zapisany"
"Product with this combination of attributes already associated to configurable.","Produkt z taką kombinacją atrybutów został już przypisany do konfigurowalnego."
"Products","Produkty"
"Products Information","Informacje o produktach"
"Products Reviews","Recenzje produktów"
"Products Sitemap","Mapa witryny produktów"
"Products only","Tylko produkty"
"Products per Page on Grid default value","Domyślna ilość produktów na stronie (widok siatki)"
"Products per Page on List allowed values","Dozwolona ilość produktów na stronie (widok listy)"
"Products per Page on List default value","Domyślna ilość produktów na stronie (widok listy)"
"Products per page on Grid allowed values","Dozwolona ilość produktów na stronie (widok siatki)"
"Properties","Właściwości"
"Qty","Ilość"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Qty for Item's Status to become Out of Stock","Ilość po której produkt otrzyma status Brak w Magazynie"
"Quick Create","Szybkie tworzenie"
"Quick Overview","Krótki opis"
"Quick simple product creation","Szybkie tworzenie prostych produktów"
"Records for ""","Rekordy dla """
"Redirect","Przekierowanie"
"Redirect URL","Przekierowanie URL"
"Regular Price:","Normalna cena:"
"Related Products","Produkty powiązane"
"Remove","Usuń"
"Remove Product","Usuń produkt"
"Remove Product From Websites","Usuń produkt z witryn"
"Remove This Item","Usuń ten produkt"
"Remove product assignment","Usuń powiązania produktu"
"Remove product image","Usuń obrazek produktu"
"Remove product link","Usuń link produktu"
"Required","Wymagane"
"Reset","Resetuj"
"Results","Rezultaty"
"Retrieve attribute data","Pobierz dane cech"
"Retrieve attribute list","Pobierz listę cech"
"Retrieve attribute options","Pobierz opcje cech"
"Retrieve categories tree","Pobierz drzewo kategorii"
"Retrieve category attributes","Pobierz cechy kategorii"
"Retrieve category data","Pobierz dane kategorii"
"Retrieve hierarchical tree","Pobierz drzewo hierarchiczne"
"Retrieve linked products","Pobierz połączone produkty"
"Retrieve list of assigned products","Pobierz listę powiązanych produktów"
"Retrieve one level of categories by website/store view/parent category","Pobierz jeden poziom kategorii wg strony/widoku sklepu/ nadrzędnej kategorii"
"Retrieve product","Pobierz produkt"
"Retrieve product attribute sets","Pobierz zestaw cech produktu"
"Retrieve product image","Pobierz obrazek produktu"
"Retrieve product image list","Pobierz listę obrazków produktu"
"Retrieve product image types","Pobierz typy obrazków produktu"
"Retrieve product link type attributes","Pobierz typ cechy linku dla produktu"
"Retrieve product link types","Pobierz typy linków dla produktu"
"Retrieve product tier prices","Pobierz poziomy cen dla produktu"
"Retrieve product types","Pobierz typy produktu"
"Retrieve products data","Pobierz dane produktów"
"Retrieve products list by filters","Pobierz listę produktów wg filtrów"
"Review successfully deleted","Recenzja została usunięta"
"Review was saved successfully","Recenzja została zapisana"
"Review was successfully saved","Recenzja została zapisana"
"Reviews","Recenzje"
"Roll Over for preview","Najedź kursorem aby podejrzeć"
"Root","Baza"
"SKU","SKU"
"Save","Zapisz"
"Save And Continue Edit","Zapisz i kontynuuj edycję"
"Save Attribute","Zapisz cechę"
"Save Attribute Set","Zapisz zestaw cech"
"Save Category","Zapisz kategorię"
"Save Search","Zapisz wyszukiwanie"
"Saved ","Zapisano "
"Scope","Zakres"
"Search","Szukaj"
"Search Engine Optimizations","Optymalizacja dla wyszukiwarek"
"Search Information","Informacje o wyszukiwaniu"
"Search Query","Fraza wyszukiwania"
"Search Term was successfully saved","Wyrażenie zostało pomyślnie zapisane"
"Search Term with such search query already exist.","Wyrażenie z takim zapytaniem już istnieje."
"Search was successfully deleted","Usunięto wyszukiwanie"
"Searchable","Widoczny w wynikach wyszukiwania"
"Select Configurable Attributes ","Wybierz konfigurowalne cechy "
"Select type of option","Proszę wybrać typ opcji"
"Select type options required values rows.","Proszę wybrać typ opcji z wymaganymi wartościami."
"Selected Product Types","Wybrane typy produktu"
"Selected configuration is not available.","Wybrana konfiguracja nie jest dostępna."
"Send Count","Wyślij licznik"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"Set Name","Nazwa zestawu"
"Set Root Category For Store","Ustaw kategorię podstawową dla sklepu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Wybierz kategorię bazową dla tego sklepu w <a href=%s"">konfiguracji</a>"""
"Set special price","Ustaw specjalną cenę"
"Set/Get current store view","Ustaw/pobierz widok bieżącego sklepu"
"Settings","Ustawienia"
"Shop by","Kupuj wg"
"Shopping Options","Opcje zakupów"
"Show","Pokaż"
"Show Details","Pokaż szczegóły"
"Show Tags","Pokaż tagi"
"Simple Product","Prosty produkt"
"Site Map","Mapa witryny"
"Sitemap","Mapa witryny"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pominięto wpis, wartość ""%s"" nie jest prawidłowa dla pola ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Pominięto wpis, wymagane pole ""%s"" dla nowego klienta nie zostało zdefiniowane"
"Skip import row, required field ""%s"" for new products not defined","Pominięto wpis, wymagane pole ""%s"" dla nowego produktu nie zostało zdefiniowane"
"Skip import row, required field ""%s"" not defined","Pominięto wpis, wymagane pole ""%s"" nie zostało zdefiniowane"
"Skip import row, store ""%s"" field not exists","Pominięto wpis, pole sklepu ""%s"" nie istnieje"
"Sort Order","Kolejność sortowania"
"Sort by","Sortuj wg"
"Source Model","Model źródłowy"
"Special Price:","Cena promocyjna:"
"Starting at:","Już od:"
"Static","Statyczny"
"Static block and products","Bloki statyczne i produkty"
"Static block only","Tylko blok statyczny"
"Status","Status"
"Stock Availability","Dostępność towaru"
"Store","Sklep"
"Store View","Widok sklepu"
"Stretch","Rozciągnij"
"Subscribe to Feed","Zapisz się do kanału RSS"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"Super product attributes configuration","Konfiguracja cech dla super produktu"
"Synonym For","Synonim dla"
"Synonym for","Synonim dla"
"System","System"
"System Properties","Właściwości systemowe"
"Tag Name","Nazwa tagu"
"Tax","Podatek"
"Text","Tekst"
"Text Area","Pole typu textarea"
"Text Field","Pole tekstowe"
"There are no %s available.","Nie ma żadnych %s dostępnych."
"There are no customers for this alert","Nie ma klientów dla tego alertu"
"There are no products matching the selection.","Brak produktów odpowiadających zapytaniu."
"There was an error while adding products to websites","Wystąpił błąd podczas dodawania produktów do stron"
"There was an error while cleared compare list","Wystąpił błąd podczas czyszczenia listy porównań"
"There was an error while removing products from websites","Wystąpił błąd podczas usuwania produktów z stron"
"There was an error while updating product(s) attributes","Wystąpił błąd podczas uaktualniania cech produktów"
"There was an error while updating product(s) status","Wystąpił błąd podczas uaktualniania statusu produktów"
"This attribute no longer exists","Taka cecha już nie istnieje"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ta grupa zawiera cechy użyte w produktach konfigurowalnych. Przenieś te cechy do innej grupy i ponów próbę."
"This group contains system attributes. Please move system attributes to another group and try again.","Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"This is a required option","Ta opcja jest wymagana"
"This search no longer exists","To wyszukiwanie już nie istnieje"
"Tier Pricing","Poziomy cen"
"Tile","Kafelek"
"Time format","Format czasu"
"Title","Tytuł"
"Top/Left","Góra/lewo"
"Top/Right","Góra/prawo"
"Total Qty Base Items","Łączna ilość podstawowych produktów"
"Total incl. Tax: %1$s","Łącznie z podatkiem: %1$s"
"Total of %d record(s) were successfully deleted","Usunięto %d wpis(ów)"
"Total of %d record(s) were successfully updated","Uaktualniono %d wpis(ów)"
"Type","Typ"
"Unable to complete request. Please try again later.","Nie udało się zrealizować zadania. Ponów próbę."
"Unable to find a search term to delete","Nie znaleziono pasującego terminu do usunięcia"
"Unable to find an attribute to delete","Nie znaleziono cechy do usunięcia"
"Unable to get product id.","Nie udało się ustalić id produktu."
"Unassigned Attributes","Nieprzypisane cechy"
"Unique Value","Unikalna wartość"
"Unique Value (not shared with other products)","Unikalna wartość (nie jest współdzielona z innymi produktami)"
"Unknown attribute: %s","Nieznana cecha: %s"
"Up-sells","Produkty alternatywne"
