"* Required Fields","* wymagane pola"
"Customer doesn't have primary billing address","Klient nie posiada podstawowego adresu dla płatności"
"Customer email already exists","Adres e-mail klienta już istnieje"
"Customer website id must be specified, when using website scope.","Id witryny klienta musi być podane, kiedy używany jest zakres witryny,"
"Customers","Klienci"
"Customers Only","Tylko klienci"
"Customers Section","Sekcja klientów"
"DD","dzień"
"Date","Data"
"Date Added","Data dodania"
"Date of Birth","Data urodzenia"
"Date of Birth is required.","Data urodzenia jest wymagana."
"Day","Dzień"
"Days in Wishlist","Dni na liście życzeń"
"Default Addresses","Domyślne adresy"
"Default Billing Address","Podstawowy adres rozliczeniowy"
"Default Email Domain","Domyślna domena adresów e-mail"
"Default Group","Domyślna grupa"
"Default Shipping Address","Domyślny adres dostawy"
"Default Welcome Email","Domyślny e-mail powitalny"
"Delete","Usuń"
"Delete Address","Usuń adres"
"Delete Customer","Usuń klienta"
"Delete Customer Group","Usuń grupę klientów"
"Delete customer","Usuń klienta"
"Delete customer address","Usuń adres klienta"
"Deleted Stores","Usunięte sklepy"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Account Info","Edytuj informacje o koncie"
"Edit Account Information","Edytuj informacje o koncie"
"Edit Address","Edytuj adres"
"Edit Address Entry","Edytuj wpis adresu"
"Edit Customer Group ""%s""","Edytuj grupę klientów %s"""
"Edit Customer Groups","Edycja grup klientów"
"Edit Customer's Address","Edycja adresu klienta"
"Edit Group","Edytuj grupę"
"Edit Newsletter Subscription","Edycja subskrypcji newslettera"
"Edit Newsletters","Edycja newsletterów"
"Edit Personal Information","Edytuj dane personalne"
"Email","E-mail"
"Email Address","Adres e-mail"
"Email Sender","Nadawca"
"Entity collection is expected","Kolekcja jednostek jest oczekiwana"
"Error during retrieval of option value: %s","Błąd podczas pobierania wartości opcji: %s"
"Ext. Price","Cena"
"Failed to confirm customer account.","Potwierdzenie konta klienta nie powiodło się."
"Fax","Faks"
"First Name","Imię"
"First name can't be empty","Imię nie może pozostać puste"
"Forgot Email Sender","Nadawca wiadomości przypominającej o e-mailu"
"Forgot Email Template","Szablon wiadomości przypominającej o e-mailu"
"Forgot Your Password?","Nie pamiętasz hasła?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"General Subscription","Ogólny newsletter"
"Global","Globalny"
"Go to Address Book","Przejdź do książki adresowej"
"Grand Total","Łącznie"
"Grand Total: %s","Łącznie: %s"
"Group","Grupa"
"Group ""%s"" can not be deleted","Grupa ""%s"" nie może być usunięta"
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Guest","Gość"
"HTML","HTML"
"Hello, %s!","Witaj, %s!"
"ID","ID"
"IP Address","Adres IP"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Nieprawidłowa opcja cechy wybrana dla cechy %s (%s), pomijam wpis"
"Invalid attribute set specified, skipping the record","Określony nieprawidłowy zestaw cech, pomijam wpis"
"Invalid current password","Nieprawidłowe bieżące hasło"
"Invalid customer data","Nieprawidłowe dane klienta"
"Invalid email address","Adres e-mail nie jest prawidłowy"
"Invalid email address ""%s""","Niepoprawny adres e-mail ""%s"""
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Invalid option id specified for %s (%s), skipping the record","Nieprawidłowy identyfikator opcji dla %s (%s), pomijam wpis"
"Invalid store specified, skipping the record","Wybrany nieprawidłowy sklep, pomijam wpis"
"Items Order","Kolejność produktów"
"Last 5 Orders","Ostatnie 5 zamówień"
"Last Activity","Ostatnia aktywność"
"Last Name","Nazwisko"
"Last Url","Ostatni adres URL"
"Last Viewed Items","Ostatnio oglądane produkty"
"Last date subscribed","Data ostatniej subskrypcji"
"Last date unsubscribed","Data ostatniego wypisania z newslettera"
"Last name can't be empty","Pole nazwisko musi być wypełnione"
"Leave empty for default (15 minutes).","Pozostaw puste dla domyślnej wartości (15 minut)"
"Leave empty for default (2). Valid range: 1-4","Pozostaw puste dla domyślnej wartości (2). Dozwolone wartości: 1-4"
"Lifetime Sales","Całkowita sprzedaż"
"Log In","Zaloguj"
"Log Out","Wyloguj"
"Log in or Create an Account","Zaloguj się lub załóż konto"
"Login","Logowanie"
"Login Information","Informacje o logowaniu"
"Login and password are required","Login i hasło są wymagane"
"Login or Create an Account","Zaloguj się lub utwórz konto"
"M.I.","M.I"
"MM","miesiąc"
"Manage Addresses","Zarządzaj adresami"
"Manage Customers","Zarządzaj klientami"
"Missing email, skipping the record","Brak maila, rekord zostanie pominięty"
"Missing firstname, skipping the record","Brak imienia, rekord zostanie pominięty"
"Missing lastname, skipping the record","Brak nazwiska, rekord zostanie pominięty"
"Month","Miesiąc"
"My Account","Moje konto"
"My Account Dashboard","Podsumowanie konta"
"My Dashboard","Mój panel"
"My Orders","Moje zamówienia"
"My Reviews","Moje recenzje"
"My Tags","Moje tagi"
"My Wishlist","Moja lista życzeń"
"Name","Nazwa"
"Name and Address Options","Opcje nazwy i adresu"
"Never","Nigdy"
"New Address","Nowy adres"
"New Address Entry","Nowy wpis adresu"
"New Customer","Nowy klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klienta"
"New Customer Groups","Nowe grupy klientów"
"New Customers","Nowi klienci"
"New Group","Nowa grupa"
"New Password","Nowe hasło"
"New account","Nowe konto"
"New account confirmation key","Klucz potwierdzający nowe konto"
"New account confirmed","Nowe konto zostało potwierdzone"
"New password","Nowe hasło"
"Newsletter","Mailing"
"Newsletter Finish","Koniec newslettera"
"Newsletter Information","Informacje o newsletterze"
"Newsletter Received","Newsletter otrzymany"
"Newsletter Start","Start newslettera"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Newsletters","Newslettery"
"No Items Found","Nie znaleziono produktów"
"No Newsletter Found","Nie znaleziono newslettera"
"No item specified.","Nie wybrano produktu."
"No product collections found","Nie znaleziono kolekcji produktów"
"Not Sent","Nie wysłane"
"Not confirmed, can login","Nie potwierdzone, możliwość logowania"
"Not confirmed, cannot login","Nie potwierdzone, brak możliwości logowania"
"Number of lines in a street address ","Ilość linii w polu adresu"
"Offline","Offline"
"Online","Online"
"Online Customers","Klienci online"
"Online Customers Options","Opcje klientów online"
"Online Minutes Interval","Długość sesji klientów"
"Order #","Zamówienie nr "
"Order #%s (%s)","Zamówienie nr %s (%s)"
"Order List...","Lista zamówień..."
"Order Total","Suma zamówienia"
"Orders","Zamówienia"
"PDF","PDF"
"Password","Hasło"
"Password Management","Zarządzanie hasłami"
"Password Options","Opcje hasła"
"Password can't be empty","Hasło nie może pozostać puste"
"Password fields can't be empty.","Pola hasła nie mogą pozostać puste."
"Password forgotten","Zapomniane hasło"
"Password minimal length must be more %s","Minimalna długość hasła musi być większa od %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Hasło musi mieć co najmniej 6 znaków. Spacje na początku i końcu hasła będą pominięte."
"Paused","Zatrzymany"
"Payment Method","Forma płatności"
"Pending","Oczekuje"
"Per Website","Na witrynę"
"Personal Information","Dane osobiste"
"Please enter your email below and we'll send you a new password.","Proszę o wprowadzenie Twojego adresu email, na ten adres przesłane zostanie nowe hasło."
"Please enter your email below and we'll send you confirmation link for it.","Proszę o wprowadzenie Twojego adresu e-mail, na ten adres przesłany zostanie link potwierdzający."
"Please enter your email.","Prosimy wpisać adres e-mail"
"Please make sure your passwords match.","Upewnij się że hasła są takie same."
"Please select","Prosimy wybrać"
"Please select region, state or province","Wybierz województwo"
"Please, check your e-mail for confirmation key.","Prosimy sprawdzić skrzynkę e-mail, powinien już tam czekać klucz potwierdzający."
"Prefix","Prefiks"
"Prefix dropdown options","Rozwijane opcje prefiksu"
"Price","Cena"
"Primary Billing Address","Podstawowy adres płatnika"
"Primary Shipping Address","Podstawowy adres płatnika"
"Problem saving the collection, aborting. Error: %s","Problem podczas zapisywania kolekcji, przerwano. Błąd: %s"
"Product","Produkt"
"Product ID","ID produktu"
"Product Name","Nazwa produktu"
"Product Reviews","Recenzje produktu"
"Product Tags","Tagi produktu"
"Product name","Nazwa produktu"
"Purchase On","Kupiono"
"Purchased at","Kupiono w"
"Qty","Ilość"
"Recent Orders","Ostatnie zamówienia"
"Records for ""","Rekordy dla """
"Refunded","Zwrócono"
"Registered Customers","Zarejestrowani klienci"
"Remove","Usuń"
"Require Emails Confirmation","Wymagaj potwierdzenia przez e-mail"
"Retrieve address data","Pobierz dane adresu"
"Retrieve address info","Pobierz informacje o adresie"
"Retrieve customer addresses","Pobierz adres klienta"
"Retrieve customer data","Pobierz dane klienta"
"Retrieve customer's groups","Pobierz grupy klienta"
"Retrieve customers","Pobierz klientów"
"Retrieve customers info","Pobierz informacje o klientach"
"Retrieve your confirmation link here","Pobierz swój link potwierdzający tutaj"
"Retrieve your password here","Tutaj możesz odzyskać hasło"
"SKU","SKU"
"Sales Statistics","Statystyki sprzedaży"
"Save","Zapisz"
"Save Address","Zapisz adres"
"Save And Continue Edit","Zapisz i kontynuuj edycję"
"Save Customer","Zapisz klienta"
"Save Customer Group","Zapisz grupę klienta"
"Save Password","Zapisz hasło"
"Saved ","Zapisano "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Wartości oddzielone średnikiem (;). <br/>Umieść średnik na początku .aby pozostawić pierwszą opcję pustą.<br/> Pozostaw puste dla wolnego pola tekstowego."
"Send Welcome Email after Confirmation","Wyślij e-mail powitalny po potwierdzeniu"
"Send auto-generated password","Wyślij automatycznie wygenerowane hasło"
"Send confirmation link","Wyślij link potwierdzający"
"Send welcome email","Wyślij wiadomość powitalną"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Session Start Time","Czas rozpoczęcia sesji"
"Set as Default Billing Address","Ustaw jako domyślny adres rozliczeniowy"
"Set as Default Shipping Address","Ustaw jako domyślny adres dostawy"
"Share Customer Accounts","Udostępniaj konta klientów"
"Ship to First name","Dostawa na imię"
"Ship to Last name","Dostawa na nazwisko"
"Shipped to First Name","Dostarczane na imię"
"Shipped to Last Name","Dostarczane na nazwisko"
"Shipped to Name","Dostawa na nazwę"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Shopping Cart","Koszyk"
"Shopping Cart - %d item(s)","Koszyk - %d produkt(ów)"
"Show Tax/VAT number","Pokazuj numer NIP"
"Show date of birth","Pokazuj datę urodzenia"
"Show middle name (initial)","Pokazuj drugie imię (inicjał)"
"Show prefix","Pokazuj prefiks"
"Show suffix","Pokazuj sufiks"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"Sign up for our newsletter","Zapisz się do newslettera"
"Skip import row, required field ""%s"" not defined","Pominięto wiersz, wymagane pole ""%s"" nie zostało zdefiniowane"
"Skip import row, website ""%s"" field not exists","Pominięto wiersz, strona ""%s"" nie istnieje"
"State/Province","Województwo:"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Street Address","Adres pocztowy"
"Street Address ","Adres pocztowy "
"Subject","Temat"
"Submit","Prześlij"
"Subscribe","Subskrybuj"
"Subscribe to newsletter","Zasubskrybuj newsletter"
"Subscribed to Newsletter?","Subskrybujesz newsletter?"
"Suffix","Sufiks"
"Suffix dropdown options","Rozwijane opcje sufiksu"
"TAX/VAT number is required.","Numer NIP jest wymagany."
"Tag Name","Nazwa tagu"
"Tax Class","Klasa podatku"
"Tax class","Klasa podatku"
"Tax/VAT number","Numer NIP"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst jedna linia"
"Thank you for registering with %s","Dziękujemy za rejetrację w %s"
"The address does not belong to this customer","Ten adres nie jest przypisany do tego klienta"
"The address was successfully deleted","Adres został skasowany"
"The address was successfully saved","Adres został zapisany"
"The suffix that goes after name (Jr., Sr., etc.)","Sufiks, który pojawia się po imieniu (Jr., Sr., itp.)"
"The title that goes before name (Mr., Mrs., etc.)","Tytuł pojawiający się przed imieniem (Mr., Mrs., itp.)"
"There are no items in customer's wishlist at the moment","Nie ma produktów na liście życzeń klienta"
"There are no items in customer's shopping cart at the moment","W chwili obecnej klient nie posiada żadnych przedmiotów w koszyku"
"There was an error while deleting the address","Błąd w trakcie usuwania tego adresu"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Ten e-mail będzie wysłany zamiast domyślnej wiadomości powitalnej po potwierdzeniu konta."
"This account is not confirmed.","To konto nie zostało potwierdzone."
"This customer has no saved addresses.","Ten klient nie zapisał żadnych adresów."
"This e-mail does not require confirmation.","Ten adres e-mail nie wymaga potwierdzenia."
"This email address was not found in our records","Nie ma takiego adresu e-mail w naszej bazie"
"This is My Primary %s Address","To jest mój podstawowy adres %s"
"To Cart","Do koszyka"
"Total","Razem"
"Type","Typ"
"Unknown","Nieznany"
"Unsubscribe from newsletter","Wypisz z newslettera"
"Update","Aktualizuj"
"Update customer address data","Uaktualnij dane adresowe klienta"
"Update customer data","Aktualizuj dane klienta"
"Use as My Primary %s Address","Użyj jako podstawowego adresu %s"
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"User description","Opis użytkownika"
"View","Zobacz"
"View Order","Zobacz zamówienie"
"View Order List","Zobacz zamówienia"
"Visible In","Widoczny w"
"Visitor","Odwiedzający"
"Visitors Only","Tylko odwiedzający"
"Website","Witryna"
"Welcome Email","E-mail powitalny"
"Wishlist","Lista życzeń"
"Wishlist - %d item(s)","Lista życzeń - %d produkt(ów)"
"Wrong confirmation key.","Zły klucz potwierdzający"
"Wrong customer account specified.","Wybrano nieprawidłowe konto klienta."
"Wrong email.","Błędny e-mail."
"Wrong region id by selected country","Błędne id regionu dla wybranego kraju"
"Wrong transactional account email type.","Wybrano nieprawidłowe konto dla maili transakcyjnych."
"XML","XML"
"YYYY","RRRR"
"Year","Rok"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"You are currently not subscribed to our newsletter","Nie korzystasz z naszego newslettera"
"You are currently subscribed to 'General Subscription'.","Jesteś zapisany na ogólny newsletter w naszym sklepie."
"You are currently subscribed to our newsletter","Już jesteś zapisany na nasz newsletter"
"You are currently subscribed to our newsletter.","Jesteś już zapisany na newsletter w naszym sklepie."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Zostałeś wylogowany i w ciągu 5 sekund zostaniesz przeniesiony na stronę główną."
"You have no additional address entries in your address book.","Nie masz innych wpisów w swojej książce adresowej."
"You have no additional entries in your address book.","Nie masz dodatkowych adresów w książce adresowej."
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"You have no primary entries in your address book.","Nie masz jeszcze adresów podstawowych w swojej książce adresowej"
"You have not set a primary billing address.","Nie wybrałeś podstawowego adresu płatnika."
"You have not set a primary shipping address.","Nie ustaliłeś podstawowego adresu dostawy."
"You have placed no orders yet.","Nie składałeś jeszcze zamówień."
"You have placed no products yet.","Nie składałeś jeszcze zamówień."
"You're now Logged Out","Wylogowałeś się"
"Your account balance is: %s","Stan konta: <strong>%s</strong>"
"ZIP","Kod pocztowy"
"ZIP/Post Code","Kod pocztowy"
"ZIP/Postal Code","Kod pocztowy"
"Zip/Postal Code","Kod pocztowy"
"n/a","n/d"
"or","lub"
"Please enter your email below and we'll send you a new password.","Proszę o wprowadzenie Twojego adresu email, na ten adres przesłane zostanie nowe hasło."
"First name can't be empty","Pole ""Imię"" nie może być puste"
"Last name can't be empty","Pole ""Nazwisko"" nie może być puste"
"Password can't be empty","Pole ""Hasło"" nie może być puste"
"My Account","Moje konto"
"Log In","Zaloguj"
"New Customers","Nowi klienci"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"Registered Customers","Zarejestrowani klienci"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Email Address","Adres e-mail"
"Password","Hasło"
"* Required Fields","* wymagane pola"
"Forgot Your Password?","Nie pamiętasz hasła?"
"Retrieve your password here","Tutaj możesz odzyskać hasło"
"Please enter your email below and we'll send you a new password.","Wpisz poniżej swój adres e-mail, na który wyślemy ci nowe hasło."
"Back to Login","Powrót do logowania"
"Submit","Wyślij"
"My Dashboard","Mój panel"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"Contact Information","Dane kontaktowe"
"Address Book","Książka adresowa"
"Account Information","Dane konta"
"Thank you for registering with %s","Dziękujemy za rejestrację w %s"
"Newsletter Subscription","Subskrypcja newslettera"
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu płatności."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu wysyłki."
"Login or Create an Account","Zaloguj się lub utwórz konto"
"Personal Information","Dane osobiste"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"Default Shipping Address","Domyślny adres dostawy"
"Login","Logowanie"
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Edit Account Information","Edytuj konto"
"Log Out","Wyloguj"
"First Name","First Name"
"Last Name","Last Name"
