"-- Please Select --","-- Prosimy wybrać --"
"Add New Class","Dodaj nową klasę"
"Tax Rules","Reguły podatków"
"Tax Section","Sekcja Podatków"
"Tax Titles","Tytuły podatku"
"Tax class was successfully deleted","Klasa podatku została usunięta"
"Tax class was successfully saved","Stawka podatku została zapisana"
"Tax rate was successfully deleted","Stawka podatku została usunięta"
"Tax rate was successfully imported","Stawka podatku została zaimportowana"
"Tax rate was successfully saved","Stawka podatku została usunięta"
"Tax rates at the same priority are added, others are compounded.","Stawki podatku o tym samym priorytecie zostały dodane, pozostałe zostały połączone."
"Tax rule was successfully deleted","Reguła podatku została usunięta"
"Tax rule was successfully saved","Reguła dla podatku została zapisana"
"This class no longer exists","Ta klasa już nie istnieje"
"This rule no longer exists","Ta reguła już nie istnieje"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Nie możesz usunąć tej klasy podatku ponieważ jest używana do %s grup klientów."
"You cannot delete this tax class as it is used for %d products.","Nie możesz usunąć tej klasy podatku ponieważ jest używana do %s produktów."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nie możesz usunąć tej klasy podatku ponieważ jest używana w regułach podatków. Musisz najpierw usunąć regułę, w której jest zawarta."
"Zip/Post Code","Kod pocztowy"
