" Copy","  Kopia"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Newsletter Subscriptions","Subskrypcje newslettera"
"Newsletter Templates","Szablony newslettera"
"Newsletter subscription confirmation","Potwierdzenie subskrypcji newslettera"
"Newsletter subscription success","Udana subskrypcja newslettera"
"Newsletter unsubscription success","Udane usunięcie subskrypcji newslettera"
"No Templates Found","Nie znaleziono szablonów"
"No problems found","Nie znaleziono problemów"
"No subscribers selected","Nie wybrano żadnych subskrybentów"
"Not Sent","Nie wysłane"
"Not activated","Nieaktywny"
"Pause","Pauza"
"Paused","Zatrzymany"
"Please enter a valid email address","Prosimy wpisać poprawny adres e-mail"
"Please enter new template name","Podaj nową nazwę szablonu"
"Please select subscriber(s)","Wybierz subskrybentów"
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Processed","Przetworzona"
"Queue Date Start","Start kolejki"
"Queue Finish","Koniec kolejki"
"Queue Information","Informacje o kolejce"
"Queue Newsletter","Kolejka newslettera"
"Queue Start","Start kolejki"
"Queue Subject","Temat kolejki"
"Recipients","Odbiorcy"
"Reset","Resetuj"
"Resume","Wznów"
"Return Html Version","Zwróć wersję HTML"
"Save And Resume","Zapisz i wznów"
"Save As","Zapisz jako"
"Save Newsletter","Zapisz newsletter"
"Save Template","Zapisz szablon"
"Selected problem subscribers successfully unsubscribed","Subskrybenci, dla których wystąpił zaznaczony problem zostali usunięci"
"Selected problems successfully deleted","Zaznaczone problemy zostały usunięte"
"Sender","Nadawca"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Sending","Wysyłanie"
"Sending Options","Opcje wysyłania"
"Sent","Wysłano"
"Set Return-Path","Ustaw ścieżkę powrotu"
"Sign me up","Zapisz mnie"
"Sign up for our newsletter:","Zapisz się do newslettera:"
"Start","Start"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Subject","Temat"
"Subscribe","Subskrybuj"
"Subscribed","Subskrypcje"
"Subscriber","Subskrybent"
"Subscribers","Subskrybenci"
"Subscribers From","Subskrybenci od"
"Subscription Options","Opcje subskrypcji"
"Success Email Sender","Nadawca wiadomości o powodzeniu"
"Success Email Template","Szablon wiadomości o powodzeniu"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Thank you for your subscription","Dziękujemy za twoją subskrypcję"
"The subscription was successfully saved","Subskrypcja została zapisana"
"There was a problem with the subscription","Wystąpił problem z subskrypcją"
"There was a problem with the subscription: %s","Wystąpił problem z subskrypcją: %s"
"There was a problem with the un-subscription.","Wystąpił problem podczas usuwania subskrypcji."
"There was an error while saving your subscription","Błąd podczas zapisywania subskrypcji"
"Toggle Editor","Przełącz edytor"
"Type","Typ"
"Unsubscribe","Zrezygnuj"
"Unsubscribe Selected","Wypisz zaznaczonych"
"Unsubscribed","Usunięte subskrypcje"
"Unsubscription Email Sender","Nadawca wiadomości wypisującej"
"Unsubscription Email Template","Szablon wiadomości wypisującej"
"View Newsletter","Zobacz newsletter"
"Website","Witryna"
"You have been successfully unsubscribed.","Twoja subskrypcja została usunięta."
"Your subscription was successfully confirmed","Subskrypcja została potwierdzona"
"Sign up for our newsletter:","Subskrybuj nasz newsletter:"
"Subscribe","Subskrybuj"
"Newsletter","Newsletter"
"Sign up for our newsletter","Zapisz się do newslettera"
"Newsletter Subscriptions","Subskrypcje newslettera"
